漢字	IPA	釋義
㿭	tsʰwa7	皴
一	i7	
丁	tjən1	
七	tsʰi7	
万	wæ̃6-	
万	wæ̃5=	
丈	dʐaŋ6-	
丈	tʂaŋ5=	
三	sæ̃1	
上	ʂaŋ6-	～山；～面
上	ʂaŋ5=	～山；～面
下	xa6-	底～；～降
下	xwa6-	底～；～降
下	çja6=	底～；～降
不	pu7	
与	ʯ3	
丐	kɛ5	
丑	tʂʰəw3	子～；怕～
专	tʂɻʷĩ1	
且	tsʰjɛ3	
丕	pʰɛ1	
世	ʂʅ5	
丘	cʰjʊ1	
丙	pjæ̃3-	
丙	pjən3=	
业	ɲjɛ7	
丛	dzən2	
东	tən1	
丝	sɿ1	
丞	dʐən2	
丢	tjʊ1	
两	njaŋ3	～个；几～
严	ɲĩ2	
丧	saŋ1	～事
丧	saŋ5	～失
个	kʊ5	
个	kʊ7	这
丫	ja1	
中	tʂən1	当～
中	tʂən5	射～
丰	xwən1	
串	tʂʰɻʷĩ5	
临	njən2	
丸	wĩ2	
丹	tæ̃1	
为	wej2	
主	tʂʯ3	
丽	ni5	
举	tʂʯ3	
乃	na3	
久	cjʊ3	
么	mʊ3	～子
义	ɲĩ6-	
义	ɲĩ5=	
之	tʂʅ1	
乌	u1	
乎	ɸu2	
乏	xwa7	
乐	nʊ7	快～
乐	jʊ7	音～
乔	ɟjɔ2	
乖	kwa1	
乘	ʂən2	
乙	jɛ7	
九	cjʊ3	
乞	cʰi7	
也	ja3-	
也	jɛ3=	
习	si7	
乡	çjaŋ1	
书	ʂʯ1	
买	mæ̃3	
乱	nwĩ6-	
乱	nwĩ5=	
乳	ʯ3	
乾	ɟĩ2	～坤
了	njɔ3	～结
争	tsĩ1-	
争	tsən1=	
事	sɿ6-	
事	sɿ5=	
二	ɛ6	
于	ʯ2	
亏	kʰwej1	
云	wən2	～采；说
互	ɸu6-	
互	ɸu5=	
五	u3	
井	tsjæ̃3-	
井	tsjən3=	
亚	ja5	
些	sja1-	
些	sjɛ1=	
亡	waŋ2	
交	cjɔ1	
亥	xɛ6	
亦	i7	
产	tsʰæ̃3	
亨	xən1	
亩	mjɔ3	
享	çjaŋ3	
京	cjən1	
亭	djən2	
亮	njaŋ6-	
亮	njaŋ5=	
亲	tsʰjən1	～戚
亲	tsʰjən5	～家
人	jən2	
亿	i5	
什	ʂʅ5	
仁	jən2	
仅	cʰjən5	
仆	pʰʊ7	倒；～人
仇	ɟjʊ2	姓
仇	dʐəw2	
今	cjən1	
介	ka5	
仍	jən2	
从	tsʰən1	～容
从	dzən2	服～
仓	tsʰaŋ1	
仕	sɿ6-	
仕	sɿ5=	
他	tʰɔ1-	
他	tʰa1=	
仗	dʐaŋ6-	依～
仗	tʂaŋ5=	打～
付	ɸu5	
仙	sĩ1	
代	dɛ6-	
代	tɛ5=	
令	njən6-	
令	njən5=	
以	i3	
仪	ɲĩ2	
仰	ɲjaŋ3	
仲	dʐən6-	
仲	tʂən5=	
件	ɟĩ6	
价	cja5	
任	jən6-	责～
任	jən6	姓
任	jən5=	责～
份	xwən6	本～
仿	xaŋ3	～效；相似
企	ci5	～图
企	cʰi5	～业
伊	i1	
伍	u3	
伏	ɸu5	
伐	xwa5	
休	çjʊ1	
众	tʂən5	
优	jʊ1	
伙	xʊ3	
会	xwɛ6-	开～；～不～
会	kʰwa5	～计
会	xwɛ5=	开～；～不～
伞	sæ̃3	
伟	wej3	
传	dʐɻʷĩ2	～达
传	dʐɻʷĩ3	～记
伢	ŋwa2-	小孩子
伢	ja2=	小孩子
伤	ʂaŋ1	
伦	nən2	
伪	wej5	
伯	pɰa7-	
伯	pɛ7=	
伯	pʊ7=	
估	ku1	
伴	bĩ6	
伶	njən2	
伸	tʂʰən1-	
伸	ʂən1=	
伺	sɿ1	
似	sɿ6-	
似	sɿ5=	
佃	dĩ6-	
佃	tĩ5=	
但	dæ̃6-	
但	tæ̃5=	
位	wej6-	
位	wej5=	
低	ti1	
住	dʐʯ6	
佐	tsʊ3	
佑	jʊ6-	
佑	jʊ5=	
体	tʰi3	
何	xʊ2	
佘	ʂɻʷa2	姓
余	ʯ2	姓；多～
佛	ɸu7	
作	tsʊ7	
你	n̩3-	
你	ɲĩ3=	
佩	pʰɛ5	
佬	nɔ3	
佳	cja1	
使	ʂʅ3	
侄	tʂʅ7	
侉	kʰwa3	
例	ni6-	
例	ni5=	
侍	dzɿ6-	
侍	sɿ5=	
供	kən1	～给；～养
供	kən5	上～
依	i1	
侦	tʂən1	
侧	tsɛ7	
侨	ɟjɔ2	
侬	nən2	
侮	u3	
侯	xɔ2-	
侯	çjɔ2-	
侯	xəw2=	
侵	tsʰjən5	
便	bĩ6-	方～
便	bĩ2	～宜
便	pĩ5=	方～
促	tsʰəw7	
俄	ŋʊ2	
俊	tsən5	
俏	tsʰjɔ5	
俗	səw7	
俘	ɸu2	
保	pɔ3	
信	sjən5	
俭	ɟĩ6-	
俭	cĩ5=	
修	sjʊ1	
俯	ɸu3	
俱	tʂʯ1	
俸	xwən5	
倌	kwĩ1	
倍	bɛ6-	
倍	pɛ5=	
倒	tɔ3	打～，颠～
倒	tɔ5	～水
倔	tʂɻʷɛ7	～强
倘	tʰaŋ3	～使
候	xɔ6-	
候	çjɔ6-	
候	xəw6=	
倚	i3	
借	tsja5-	
借	tsjɛ5=	
倡	tʂʰaŋ1	
倦	tʂɻʷĩ5	
倪	ɲĩ2	
债	tsa5	
值	tʂʰʅ5	
倾	tʂʰɻʷən1	
假	cja3	真～；放～
偏	pʰĩ1	
做	tsɔ5-	
做	tsəw5=	
停	djən2	
健	ɟĩ6-	
健	cĩ5=	
偶	ɲjɔ3-	配～；～然
偶	ŋəw3=	配～；～然
偷	tʰjɔ1	
偷	tʰəw1=	
偿	ʂaŋ2	
傀	kʰwa3	
傅	ɸu5	
储	dʐʯ2	
催	tsʰɛ1	
傲	ŋɔ6-	
傲	ŋɔ5=	
傻	sa3	
像	dzjaŋ6-	
像	tsjaŋ5=	
僧	tsĩ1-	
僧	tsən1=	
僵	cjaŋ1	
僻	pʰi7	
儒	ʯ2	
儡	nɛ3	
儿	ɛ2-	
儿	ʐʅ2=	
允	wən3	
元	wĩ2	
兄	çjən1	
充	tʂʰən1	
兆	dʐɔ6-	
兆	tʂɔ5=	
先	sĩ1	
光	kaŋ1	
克	kʰɛ7	
免	mĩ3	
兑	dɛ6-	
兑	tɛ5=	
兔	tʰəw5	
党	taŋ3	
兜	tjɔ1-	
兜	təw1=	
入	ʯ7	
全	dzĩ2	
八	pa7	
公	kən1	
六	nəw7	
兮	çi1	
兰	næ̃2	
共	ɡən6-	
共	kən5=	
关	kwæ̃1	
兴	çjən1	～旺
兴	çjən5	高～
兵	pjən1	
其	ɟi2	
具	dʐʯ6-	
具	tʂʯ5=	
典	tĩ3	
兹	dzɿ2	
养	jaŋ3	
兼	cĩ1	
兽	ʂəw5	
冀	ci5	
内	nɛ6	
冈	kaŋ1	
册	tsʰɛ7	
再	tsɛ5	
冒	mɔ6-	
冒	mɔ5=	
写	sja3-	
写	sjɛ3=	
军	tʂɻʷən1	
农	nən2	
冠	kwĩ1	衣～
冠	kwĩ5	～军
冢	tʂən3	
冤	wĩ1	
冬	tən1	
冯	xən2	
冰	pjən1	
冲	tʂʰən1	
决	tʂɻʷɛ7	
况	kʰaŋ5	
冶	jɛ3	
冷	njæ̃3-	
冷	nən3=	
冷	njən3=	
冻	tən5	
净	dzjən6	
准	tʂɻʷən3	批～；标～
凉	njaŋ2	
凌	njən2	～乱
凌	njən6	～冰
减	kæ̃3	
凑	tsʰjɔ5-	
凑	tsʰəw5=	
凝	ɲjən2	
几	ci3	茶～；～乎；～个
凡	xwæ̃2	
凤	xwən6-	
凤	xwən5=	
凭	bjən2	
凯	kʰɛ3	
凳	tĩ5-	
凳	tən5=	
凶	çjən1	吉～；～恶
出	tʂʰʯ7	
击	ci7	
函	xæ̃2	
凿	tsʰʊ5	
刀	tɔ1	
刁	tjɔ1	
刃	jən5	
分	xwən1	～开
切	tsʰjɛ7	
刊	kʰæ̃1	
刑	çjən2	
划	xwa6-	计～
划	xwa2	～船
划	xwa5=	计～
列	njɛ7	
刘	njʊ2	
则	tsɛ7	
刚	kaŋ1	
刚	cjaŋ1	～才
创	tsʰaŋ5	
初	tsʰəw1	
删	sæ̃1	
判	pʰĩ5	
刨	bɔ2	～地
刨	bɔ6	～子
利	ni6-	
利	ni5=	
别	pʰjɛ7	区～；离～
刮	kwa7	
到	tɔ5	
制	tʂʅ5	～度；～造
刷	swa7	
券	tʂɻʷĩ5	
刺	tsʰɿ5	
刻	kʰɛ7	时～；雕～
刽	kʰwa5	
剁	tʊ5	
剁	tʂʊ5	又
剂	tsi5	
剃	tʰi5	
削	sjʊ7	
前	dzĩ2	
剐	kwa3	
剑	cĩ5	
剔	tʰi7	
剖	pʰʊ5	
剥	pʊ7	
剧	tʂʯ5	～烈；戏～
剩	ʂən6-	
剩	ʂən5=	
剪	tsĩ3	
副	ɸu5	
割	kwɛ7-	
割	kʊ7=	
剿	tsjɔ3	
劈	pʰja7-	
劈	pʰi7=	
力	ni5	
力	ni7=	
劝	tʂʰɻʷĩ5	
办	bæ̃6-	
办	pæ̃5=	
功	kən1	
加	cja1	
务	u6-	
务	u5=	
劣	njɛ7	
动	dən6-	
动	tən5=	
助	dzəw6-	
助	tsəw5=	
努	nəw3	
劫	cjɛ7	
励	ni5	
劲	cjən5	
劳	nɔ2	
势	ʂʅ5	
勃	pʰʊ7	
勇	jən3	
勉	mĩ3	
勋	ʂɻʷən1	
勒	nɛ7	
勘	kʰæ̃5	
募	mʊ5	
勤	ɟjən2	
