"据《海南东方八所军话音系》录入"	
"#符号说明：-白=文/书*俗?待考"	
"#调值"	"［1］陰平³³［3］上⁵¹［5］去²⁴［8］ 入³¹       #入声为喉塞音"
"#a"	
"p"	"［1］巴芭疤笆峇［8］把{～握}八拔跋［3］把{刀～}靶［5］爸坝霸罢灞"
"pʰ"	"［1］趴葩啪［8］爬扒耙琶扒［5］怕帕"
"m"	"［1］妈［8］麻蟆抹{～布}蔴［5］骂［3］马码蚂玛犸"
"f"	"［1］发{～送}［8］法伐罚阀乏筏砝"
"v"	"［1］挖蛙洼娲娃［8］袜［5］瓦佤"
"t"	"［8］达答搭鞑妲靼［5］大［3］打"
"tʰ"	"［1］他=它=牠祂［8］踏塔搨榻塌拓蹋𦶑"
"n"	"［5］那呐纳娜捺钠衲［3］哪［8］拿"
"l"	"［1］拉喇垃［8］辣［3］邋"
"ts"	"［1］渣［8］杂眨砸扎札轧铡闸匝［5］楂乍诈榨炸栅"
"tsʰ"	"［1］叉杈差{～别}岔汊［8］茶搽茬查插霎擦察"
"s"	"［1］莎沙纱鲨刹［8］杀煞［3］洒傻撒"
"z"	"［1］鸦丫桠［8］牙芽衙雅闸鸭押压"
"k"	"［1］家［3］遢嘎*{～喇：表示吵闹}"
"kʰ"	"［8］掐［3］卡"
"h"	"［1］哈［8］蛤"
"Ø"	"［1］阿［3］哑［5］阿{～哥}"
"#o"	
"p"	"［1］波菠玻钹播［8］薄博钵勃剥驳卜柏伯帛［3］跛"
"pʰ"	"［1］坡［8］菩泼婆［5］破"
"m"	"［1］摩摸［8］魔末沫抹{～煞}没{沉～}莫膜寞漠馍模{劳～}默陌磨{～刀}［5］磨{石～}"
"v"	"［1］窝涡［8］倭龌鹅［5］饿"
"t"	"［1］多［8］夺铎踱［3］朵躲垛［5］舵剁堕惰"
"tʰ"	"［1］拖［8］驼驮脱托［3］妥椭［5］拓"
"n"	"［8］挪傩娜［5］糯懦诺"
"l"	"［1］啰［8］罗萝螺锣乐逻摞［3］裸"
"ts"	"［1］捉［8］拙着{～凉}酌灼芍作凿昨卓桌琢啄戳浊镯［3］左［5］佐挫坐座做"
