#http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=C 	聲韻 	聲調 	字元 	字數
94 	po 	陽平213 	剝, 鉢, 撥, 潑, 薄, 搏, 縛, 駁, 博		9
95 	po 	上聲42 	跛, 簸		2
96 	po 	去聲35 	簸		1
97 	pɤ 	陽平213 	北, 泊, 白, 粕, 百, 柏, 伯		7
98 	pie 	陰平55 	鼈, 憋		2
99 	pi 	陽平213 	璧, 逼, 必, 碧, 鼻, 畢, 筆, 潷, 壁		9
100 	pi 	上聲42 	彼, 比, 匕		3
101 	pu 	陽平213 	不		1
102 	pu 	上聲42 	捕, 補		2
103 	pu 	去聲35 	埠, 部, 布, 怖, 佈, 步, 簿		7
104 	pai 	陰平55 	擘		1
105 	pai 	上聲42 	擺		1
106 	pai 	去聲35 	稗, 拜, 敗		3
107 	pei 	陰平55 	碑, 禆, 蓖, 杯, 揹, 悲, 卑		7
108 	pei 	去聲35 	臂, 閉, 避, 被, 貝, 蔽, 備, 背, 輩, 倍, 陛, 敝, 悖, 斃, 幣, 弊		16
109 	pau 	陰平55 	胞, 鮑, 包, 褒, 苞		5
110 	pau 	上聲42 	保, 寶, 堡, 飽		4
111 	pau 	去聲35 	抱, 報, 爆, 豹, 暴, 雹, 鮑		7
112 	piau 	陰平55 	標, 彪, 飆, 鏢		4
113 	piau 	上聲42 	裱, 錶, 表, 婊		4
114 	pan 	陰平55 	搬, 般, 班, 斑, 頒, 扳		6
115 	pan 	上聲42 	版, 板		2
116 	pan 	去聲35 	半, 扮, 辦, 瓣, 伴		5
117 	piɛn 	陰平55 	鯿, 編, 邊, 鞭		4
118 	piɛn 	上聲42 	匾, 貶, 蝙, 扁		4
119 	piɛn 	去聲35 	遍, 辮, 辯, 卞, 便, 辨, 汴, 變		8
120 	pən 	陰平55 	崩, 奔, 逩		3
121 	pən 	上聲42 	本		1
122 	pən 	去聲35 	笨		1
123 	pin 	陰平55 	濱, 冰, 斌, 鬢, 彬, 殯, 賓, 檳, 繽, 兵		10
124 	pin 	上聲42 	炳, 丙, 稟, 柄, 餅		5
125 	pin 	去聲35 	併, 並, 病, 摒		4
126 	paŋ 	陰平55 	邦, 浜, 幫		3
127 	paŋ 	上聲42 	榜, 綁, 謗		3
128 	paŋ 	去聲35 	蚌, 傍, 棒		3
129 	poŋ 	陰平55 	繃		1
130 	poŋ 	上聲42 	凸		1
131 	poŋ 	去聲35 	蹦		1
132 	pʰa 	陽平213 	琶, 杷, 鈀, 爬		4
133 	pʰa 	上聲42 	啪		1
134 	pʰa 	去聲35 	怕, 帕		2
135 	pʰo 	陰平55 	坡		1
136 	pʰo 	陽平213 	潑, 婆		2
137 	pʰo 	上聲42 	頗, 剖, 叵		3
138 	pʰo 	去聲35 	破		1
139 	pʰɤ 	陽平213 	帛, 珀, 魄, 拍, 舶, 迫		6
140 	pʰie 	陽平213 	瞥, 撇		2
141 	pʰi 	陰平55 	紕		1
142 	pʰi 	陽平213 	霹, 疲, 皮, 脾, 僻, 枇, 闢, 癖, 弼, 琵, 匹, 劈		12
143 	pʰi 	上聲42 	痹, 痞, 鄙		3
144 	pʰi 	去聲35 	屁, 庇		2
145 	pʰu 	陰平55 	鋪		1
146 	pʰu 	陽平213 	蒲, 菩, 樸, 仆, 璞, 浦, 渤, 僕, 勃		9
147 	pʰu 	上聲42 	脯, 甫, 譜, 普		4
148 	pʰu 	去聲35 	鋪		1
149 	pʰai 	陽平213 	排, 徘, 牌		3
150 	pʰai 	去聲35 	派		1
151 	pʰei 	陰平55 	胚, 坯, 披, 丕, 砒		5
152 	pʰei 	陽平213 	賠, 陪, 裴, 培		4
153 	pʰei 	上聲42 	呸		1
154 	pʰei 	去聲35 	轡, 配, 佩, 沛		4
155 	pʰau 	陰平55 	拋, 泡		2
156 	pʰau 	陽平213 	袍, 鉋, 刨, 跑		4
157 	pʰau 	去聲35 	鰾, 炮		2
158 	pʰiau 	陰平55 	飄, 漂		2
159 	pʰiau 	陽平213 	瓢, 嫖		2
160 	pʰiau 	上聲42 	漂, 瞟		2
161 	pʰiau 	去聲35 	票, 漂		2
162 	pʰan 	陰平55 	蟠, 潘, 攀		3
163 	pʰan 	陽平213 	盤, 磐		2
164 	pʰan 	去聲35 	盼, 絆, 襻, 叛, 判		5
165 	pʰiɛn 	陰平55 	篇, 偏		2
166 	pʰiɛn 	陽平213 	胼, 便		2
167 	pʰiɛn 	上聲42 	諞		1
168 	pʰiɛn 	去聲35 	片, 騙		2
169 	pʰən 	陰平55 	烹, 噴		2
170 	pʰən 	陽平213 	盆, 彭		2
171 	pʰən 	去聲35 	噴		1
172 	pʰin 	陰平55 	姘, 拚, 拼		3
173 	pʰin 	陽平213 	頻, 萍, 屏, 瓶, 貧, 評, 憑, 坪, 蘋, 平		10
174 	pʰin 	上聲42 	品		1
175 	pʰin 	去聲35 	聘		1
176 	pʰaŋ 	陰平55 	肨		1
177 	pʰaŋ 	陽平213 	傍, 旁, 滂, 龐		4
178 	pʰaŋ 	上聲42 	膀		1
179 	pʰaŋ 	去聲35 	肨		1
180 	pʰoŋ 	陰平55 	怦, 抨, 砰		3
181 	pʰoŋ 	陽平213 	蓬, 篷, 朋, 棚		4
182 	pʰoŋ 	上聲42 	捧		1
183 	pʰoŋ 	去聲35 	碰		1
184 	ma 	陽平213 	蟆, 麻, 蔴, 抹		4
185 	ma 	上聲42 	碼, 馬, 螞		3
186 	ma 	去聲35 	罵		1
187 	mo 	陰平55 	摩, 摸		2
188 	mo 	陽平213 	膜, 磨, 魔, 莫, 模, 末, 沫, 寞, 漠		9
189 	mo 	上聲42 	抹		1
190 	mo 	去聲35 	抹, 磨		2
191 	mɤ 	陽平213 	麥, 默, 脈, 墨, 陌		5
192 	mie 	陰平55 	咩		1
193 	mie 	陽平213 	滅, 篾, 蔑		3
194 	mi 	陰平55 	瞇, 咪		2
195 	mi 	陽平213 	祕, 蜜, 覓, 密, 迷, 彌, 靡, 糜		8
196 	mi 	上聲42 	米		1
197 	mu 	陽平213 	模, 沒		2
198 	mu 	上聲42 	拇		1
199 	mai 	陽平213 	埋		1
200 	mai 	上聲42 	買		1
201 	mai 	去聲35 	賣, 邁		2
