"繁体"	"简体"	"IPA"	"注释"	"来源"		"#符號說明："	"音標後的“-”表示文讀；“=”表示讀書音，口語中不用；“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"晚"	"晚"	"ɛ3"	"可能为“晏”"	"蘇州同音字彙1892"		"#聲調："	"[1]陰平44 [2]陽平223 [3]陰上51 [4]陽上31 [5]陰去523 [6]陽去312 [7]陰入4 [8]陽入23"
"闇"	"闇"	"ɛ3="		"蘇州同音字彙1892"		"#來源："	"樛木整理自《蘇州同音常用字彙》（載於《一百年前的蘇州話》）、《蘇州同音字彙1892》、《鄉音字類》"
"黯"	"黯"	"ɛ3="		"蘇州同音字彙1892"		"#關於調值："	"Edkins於19世紀五六十年代（早於《蘇州同音字彙》的成書時間）記載的蘇州話單字調分別爲：[1]陰平53 [2]陽平13 [3]陰上55 [4]陽上31 [5]陰去35 [6]陽去113 [7]陰入5 [8]陽入1，僅供參考。"
"殷"	"殷"	"ɛ3"	"紫青绿~"	"墳派"			
"言"	"言"	"ɦɛ2"	"有一句~话。正字應爲“閒”"	"蘇州同音常用字彙"		"#說明1："	"《蘇州同音字彙1892》聲母w、y不區分清濁，半濁聲母m、n、l缺乏直接資料標明聲調陰陽者本表皆歸入陽調，故本表給出的陰陽調可能與實際有出入；另外韻母uah不區分[uɑʔ][uaʔ]，故該書中除有資料給出明確發音、區分者，其餘全記作[uɑʔ]"
"鹽"	"盐"	"ɦɛ2"		"墳派"		"#說明2："	"本表有部分漢字選自陸基《蘇州同音常用字彙》，書中只給出了讀音但是沒有標聲調，故對於沒有明確資料記載漢字的讀音採用今音。對於與各資料記載不一致的讀音，給出的是推測的讀音，並在注釋中標出今音或資料中的標音。"
"銜"	"衔"	"ɦɛ2"	"燕子~泥做窝"	"墳派"			
"鹹"	"咸"	"ɦɛ2"	"~味"	"墳派"		"#說明3："	"本表多數漢字選自《鄉音字類》，該書主要記載了十九世紀蘇州話文讀音，成書於1877年，作者陸懋修，擬音僅供參考。"
"限"	"限"	"ɦɛ6"		"墳派"		"#說明4："	"本表及說明中出現的所有[øʏ]的[ø]都爲左上角"
"辦"	"办"	"bɛ6"		"墳派"			
"爿"	"爿"	"bɛ6"		"墳派"		"#說明5："	"in韻分[iən][iɪn]，但分法存疑，《蘇州同音字彙》中一般以讀[iɪn]爲主，只有“人忍㣼認”明確記載讀[ȵiən]，其餘讀[-iən]者以論文《19世紀末的蘇州話》中的記載及韻書推導爲依據；該時期的蘇州話仍有字分[o][uo]，但也在合併階段；e韻分[-ᴇ]和[-ɛ]，除本表中列出的[-ɛ]外，其他一般都讀[-ᴇ]；ie韻同理。並且，[yn]都讀[yən]；[øʏ]都讀[øʏ]；今大部分[əu]讀作[ᵊu]，還有少數讀[uo]；[iø]有人擬作[yø]；[io]有人擬作[yo]；[ioŋ]有人擬作[yoŋ]；[ioʔ]有人擬作[yoʔ]；[iɑ̃]有人擬作[yɑ̃]（實際可能是[yɒ̃]）。"
"𨂝"	"𨂝"	"bɛ6"	"一个虫~得唻"	"墳派"		"#說明6："	"發音盡量以其書中記載爲准。記音以陸基的擬音爲基準（陸基的e韻分[ᴇ][ɛ]，[iɛ]是本人在[ɛ]的基礎上推導的記音。其中[ɛ]對應于蔡佞的[æ̃]，[iɛ]對應于蔡佞的[iɛ̃]。陸基不分[ie][iɛ̃]，都記作[iᴇ]），再佐以蔡佞（論文《19世紀末的蘇州話》作者）的擬音（蔡佞的擬音方案本“帶鼻”韻母仍未脫鼻，而且有的與陸基的擬音差別較大，如現在的oe韻爲[œ̃]，[æ]韻爲[ɐɵ]；e韻分[e][æ̃]，ie韻分[ie][iɛ̃]，in韻分[iən][iɪn]，[ɑ]韻分[ɔ][ɒ]等等，皆酌情選用，而某些則與陸基的方案取折中值，如本表採用的是[iᴇ][iɛ]對立、[ᴇ][ɛ]對立等）和當今通行的記音符號（如濁[i]濁[u]處理成[ɦi-][ɦu-]等）。此外，《蘇州同音字彙》及《鄉音字彙》聲調不分陰陽，則聲母爲次濁者本人一般作歸入陽調處理。"
"緶"	"緶"	"biɛ4"		"墳派"		"#說明7："	"部分元音的演變路徑（可能）：元音 ʯ>ʮ ɔ>ɒ>o/ɑ>o/a（新派） uɒ>uɑ>ua（新派） 部分u>ᵊu>əu 部分u>β̩/v̩ 部分u>o 大部分uo>o 少部分uo>o>u>ᵊu>əu i>iⱼ y>yⱼ e>ᴇ ie>iᴇ>iɪ>i ue>uᴇ ɐɵ>ɐə>ɐ>æ iɐɵ>iɐə>iɐ>iæ əʏ>øʏ（ø爲左上標）>eɪ（新派） iʏ>y æ̃>ɛ>ᴇ iɛ̃>iɛ>iᴇ>iɪ>i uæ̃>uɛ>uᴇ œ̃>ø iœ̃>iø（有人把這裡的介音i擬作y是因爲受主元音œ̃、ø影響而變圓唇，其他還有io、ioŋ、ioʔ、iɔŋ亦同） uœ̃>uø iən>iɪn>in iɪn>in yən>yn aŋ>ã iaŋ>iã uaŋ>uã ɔŋ>ɒ̃>ɑ̃>ã（新派） iɔŋ>iɒ̃>iɑ̃>iã（新派） uɔŋ>uɒ̃>uɑ̃>uã（新派） iɔŋ>iɒ̃>iɑ̃>iã（新派） ɒʔ>ɑʔ>aʔ（新派）  iɒʔ>iɑʔ>iaʔ（新派）  uɒʔ>uɑʔ>uaʔ（新派） 部分iɪʔ>iəʔ yɪʔ>yəʔ uoʔ>oʔ"
"軿"	"軿"	"biɛ4"		"墳派"			
"胼"	"胼"	"biɛ4"		"墳派"		"#說明8："	"在蔡佞的論文《19世紀末的蘇州話》中將翹舌音擬作[tʃ]、[tʃʰ]、[ʃ]、[ʒ]、[dʒ]。陸基的記音爲[tʂ]、[tʂʰ]、[ʂ]、[ʐ]，與傳統意義上的老派蘇州話相同，不分[dʐ][ʐ]。李軍的論文《蘇州方言字書<鄉音字類>簡介及同音字彙》中把翹舌音擬作[tʂ]、[tʂʰ]、[ʂ]、[ʐ]、[dʐ]，本表中的翹舌音採用的是這版擬音；此時[dz][z]、[dʐ][ʐ]就已出現相混的現象，之後分別併入[z]、[ʐ]；1877年陸懋修編纂的《鄉音字類》不區分[dz][z]，但1892年傳教士編纂的《蘇州方言字音表》仍區分[dz][z]，[dʐ][ʐ]則兩者都區分，不過該書中指出在當時的口語中[dʐ]位於詞首時讀作[ʐ]，[dz]位於詞首時讀作[z]。"
"駢"	"骈"	"biɛ4"		"墳派"			
"骿"	"骿"	"biɛ4"		"墳派"			
"楄"	"楄"	"biɛ4"		"墳派"			
"蠙"	"蠙"	"biɛ4"		"墳派"			
"楩"	"楩"	"biɛ4"		"墳派"			
"洴"	"洴"	"biɛ4"		"墳派"			
"幈"	"幈"	"biɛ4"		"墳派"			
"卞"	"卞"	"biɛ6"	"姓"	"墳派"			
"便"	"便"	"biɛ6"		"墳派"			
"弁"	"弁"	"biɛ6"	"马~"	"墳派"			
"忭"	"忭"	"biɛ6"		"墳派"			
"抃"	"抃"	"biɛ6"		"墳派"			
"汴"	"汴"	"biɛ6"		"墳派"			
"汳"	"汳"	"biɛ6"		"墳派"			
"辨"	"辨"	"biɛ6"		"墳派"			
"辮"	"辫"	"biɛ6"		"墳派"			
"辯"	"辩"	"biɛ6"		"墳派"			
"平"	"平"	"biɪn2"		"墳派"			
"枰"	"枰"	"biɪn2"		"墳派"			
"蘋"	"苹"	"biɪn2"	"~果"	"墳派"			
"屏"	"屏"	"biɪn2"	"~风"	"墳派"			
"瓶"	"瓶"	"biɪn2"	"油~"	"墳派"			
"貧"	"贫"	"biɪn2"		"墳派"			
"萍"	"萍"	"biɪn2"	"浮~"	"墳派"			
"評"	"评"	"biɪn2"	"批~"	"墳派"			
