剧	kʰiak55				
钳	kʰiem22				
桥	kʰieu22				
茄	kʰiɛ32	kʰiɛ55			
琴	kʰim22				
勤	kʰin22				
近	kʰin33				
吸	kʰip55				
舅	kʰiu21				
球	kʰiu22				
箍	kʰu33				
该	kʰuɔi33				
渠	kʰui22				
区	kʰui33				
权	kʰun22				
裙	kʰun22				
困	kʰun33				
卷	kʰun55				
滚	kʰun55				
决	kʰut55				
缺	kʰut55				
脚	kiak33				
姜	kiaŋ33				
镜	kiaŋ33				
剑	kiem33				
及	kiep32				
轿	kieu32				
叫	kieu33				
金	kim33				
根	kin33				
筋	kin33				
紧	kin55				
急	kip55				
吉	kit55				
橘	kit55				
旧	kiu32				
九	kiu55				
古	ku55				
歌	kuɔ33				
过	kuɔ33				
果	kuɔ55				
个	kuɔi33				
盖	kuɔi33				
改	kuɔi55				
肝	kuɔn33				
官	kuɔn33				
割	kuɔt33				
句	kui33				
锯	kui33				
举	kui55				
均	kun33				
军	kun33				
骨	kut55				
拉	la55				
犁	lai22				
西	ɬai33				
洗	ɬai55				
塞	ɬak55				
蓝	lam22				
三	ɬam33				
兰	lan22				
烂	lan32				
懒	lan33				
伞	ɬan33				
冷	laŋ21				
蜡	lap32				
辣	lat32				
老	lɑu55				
嫂	ɬɑu55				
落	lɔk32				
浪	lɔŋ32				
写	ɬe55				
梨	lei22				
四	ɬei33				
李	lei55				
死	ɬei55				
鹿	ləɯk32				
六	ləɯk32				
绿	ləɯk32				
宿	ɬəɯk55				
聋	ləɯŋ22				
龙	ləɯŋ22				
送	ɬəɯŋ33				
松	ɬəɯŋ33				
宋	ɬəɯŋ33				
领	len21				
连	len22				
莲	len22				
鲜	ɬen33				
线	ɬen33				
先	ɬen33				
姓	ɬen33				
星	ɬen33				
列	let32				
力	let32				
历	let32				
息	ɬet55				
惜	ɬet55				
楼	leu22				
削	ɬiak33				
锡	ɬiak33				
零	liaŋ22				
亮	liaŋ32				
两	liaŋ55				
想	ɬiaŋ55				
料	lieu32				
笑	ɬieu33				
箫	ɬieu33				
小	ɬieu55				
林	lim22				
心	ɬim33				
邻	lin22				
新	ɬin33				
立	lip32				
流	liu22				
修	ɬiu33				
路	lu32				
事	ɬu32				
刺	ɬu33				
师	ɬu33				
丝	ɬu33				
祠	ɬu33				
锣	luɔ22				
螺	luɔ22				
锁	ɬuɔ55				
来	luɔi22				
乱	luɔn32				
酸	ɬuɔn33				
算	ɬuɔn33				
吕	lui21				
雷	lui22				
类	lui32				
碎	ɬui33				
岁	ɬui33				
轮	lun22				
孙	ɬun33				
选	ɬun55				
笋	ɬun55				
栗	lut32				
律	lut32				
雪	ɬut55				
马	ma21				
骂	ma32				
埋	mai22				
卖	mai32				
买	mai33				
米	mai55				
墨	mak32				
麦	mak32				
晚	man21				
慢	man32				
万	man32				
猛	maŋ21				
袜	mat32				
毛	mɑu22				
帽	mɑu32				
剥	mɔk55				
忙	mɔŋ22				
网	mɔŋ55				
眉	mei22				
味	mei32				
尾	mei55				
木	məɯk32				
目	məɯk32				
梦	məɯŋ32				
棉	men22				
明	men22				
名	men22				
面	men32				
面	men32				
灭	met32				
篾	met32				
命	miaŋ32	men32			
庙	mieu32				
民	min22				
密	mit32				
猫	miu55				
武	mu21				
母	mu21				
雾	mu32				
磨	muɔ22				
摸	muɔ55				
煤	muɔi22				
妹	muɔi32				
门	muɔn22				
满	muɔn55				
末	muɔt32				
物	muɔt32				
蚊	mun21				
问	mun32				
泥	nai22				
南	nam22				
难	nan22				
能	naŋ22				
闹	nɑu32				
脑	nɑu55				
脓	nəɯŋ22				
弄	nəɯŋ32				
年	nen22				
捏	nen55				
娘	niaŋ22				
念	niem32				
黏	niem33				
鸟	nieu21				
奴	nu22				
暖	nuɔn21				
女	nui55				
嫩	nun32				
牙	ŋa22				
瓦	ŋa55				
危	ŋai22				
艺	ŋai32				
蚁	ŋai55				
额	ŋak55				
岩	ŋam22				
颜	ŋan22				
顽	ŋan22				
银	ŋan22				
眼	ŋan55				
硬	ŋaŋ32				
熬	ŋɑu22				
儿	ŋei22				
义	ŋei32				
二	ŋei32				
耳	ŋei55				
肉	ŋəɯk32				
玉	ŋəɯk32				
浓	ŋəɯŋ22				
迎	ŋen22				
热	ŋet32				
孽	ŋet55				
藕	ŋeu21				
牛	ŋeu22				
钩	ŋeu33				
弱	ŋiak32				
让	ŋiaŋ32				
染	ŋiem21				
严	ŋiem22				
验	ŋiem32				
业	ŋiep32				
绕	ŋieu22				
任	ŋim32				
人	ŋin22				
认	ŋin32				
日	ŋit32				
鹅	ŋuɔ22				
