pa³³疤爸霸
pa²¹³八拔
pa⁵⁵把{把握}
pa³⁵坝罢把{刀把}
pʰa²¹³爬耙
pʰa³⁵怕
ma²¹³麻
ma⁵⁵马
ma³⁵骂
fa²¹³法乏发罚伐
va³³挖
va²¹³袜
ta²¹³答搭达
ta⁵⁵打
ta³⁵大
tʰa³³他獭
tʰa²¹³踏塔塌
na²¹³拿纳
la³³拉
la²¹³辣
kʰa⁵⁵卡
xa²¹³下{文读ɕia³⁵}
tsa³³渣
tsa²¹³杂铡闸扎炸札
tsa³⁵榨诈
tsʰa³³差{差别}
tsʰa²¹³茶查察擦插
tsʰa³⁵叉岔差
sa³³沙纱
sa²¹³杀霎煞
sa⁵⁵傻洒
a³³阿
tɕia³³家加嘉佳
tɕia²¹³夹甲胛
tɕia⁵⁵假贾稼
tɕia³⁵假架驾价嫁
tɕʰia²¹³恰洽掐
ɕia³³虾
ɕia²¹³霞狭匣瞎辖吓
ɕia³⁵厦夏下{文读}
ia³³鸦丫
ia²¹³牙芽鸭压押
ia⁵⁵哑雅
ia³⁵亚
kua³³ 瓜
kua²¹³ 刮
kua⁵⁵ 寡
kua³⁵ 卦挂
kʰua³³ 夸
kʰua⁵⁵ 垮
kʰua³⁵ 跨
xua³³ 花
xua²¹³ 华滑划
xua³⁵华画话化
tsua³³抓
tsua⁵⁵爪
sua²¹³刷
sua⁵⁵耍
ua³³蛙
ua⁵⁵瓦
tsɿ³³知蜘枝支栀资脂汁肢姿质滋
tsɿ²¹³侄直值织殖只质职植
tsɿ⁵⁵紫纸姊稚指旨
tsɿ³⁵制智自至致滞
tsʰɿ³³匙痴
tsʰɿ²¹³池迟赤尺吃雌驰瓷慈磁辞词
tsʰɿ⁵⁵此
tsʰɿ³⁵刺赐翅次
sɿ³³私师狮尸湿斯撕司厕
sɿ²¹³时十虱实失室食识适释石施拾蚀饰式
sɿ⁵⁵死使
sɿ³⁵世势誓市侍是四示肆似祀
zɿ²¹³日
pi²¹³鼻笔毕逼碧壁必璧
pi⁵⁵ 比彼鄙
pi³⁵币毙闭避庇痹必弊蔽敝
pʰi³³批匹披
pʰi²¹³皮脾枇僻癖劈疲辟
pʰi³⁵屁
mi²¹³糜密蜜谜弥觅
mi⁵⁵米秘
vi²¹³微
vi⁵⁵尾
vi³⁵味未
ti³³低堤
ti²¹³滴的笛敌狄
ti⁵⁵底抵
ti³⁵帝地递第弟
tʰi³³梯涕剔
tʰi²¹³题提啼蹄踢
tʰi⁵⁵体
tʰi³⁵替剃惕
ȵi²¹³尼逆溺
ȵi⁵⁵你
ȵi³⁵腻
li²¹³犁黎离荔梨栗力历驴篱厘
li⁵⁵吕旅礼屡缕狸理里
li³⁵虑滤律率例厉丽励隶痢吏
tɕi³³居车鸡基机拘驹肌饥讥
tɕi²¹³集及急级及疾吉橘鲫极剧屐积迹脊绩击稽即籍寂激菊局
tɕi⁵⁵举矩己几济
tɕi³⁵锯巨拒既聚句具祭际计继髻系记寄季据距惧剂系技妓纪
tɕʰi³³蛆区欺趋驱躯凄
tɕʰi²¹³渠棋旗奇骑祁鳍乞七漆膝屈戚瞿切其麒曲屈
tɕʰi⁵⁵取启起杞娶企岂祈
tɕʰi³⁵去{多说kʰə³⁵}歧岐趣契气弃汽
ɕi³³西需墟溪希戌嘘犀牺稀析
ɕi²¹³徐习吸悉熄息隙惜席锡袭泣昔夕宿蓄畜旭
ɕi⁵⁵许喜
ɕi³⁵系戏
i³³淤依衣
i²¹³余鱼乙一亿翼玉狱移益亦液译疫役于愚虞娱寓盂愉榆喻仪逸忆抑域育浴郁欲
i⁵⁵语与雨羽以已异椅倚裕
i³⁵预遇芋愈艺意蚁义议易御誉谊
piɛ²¹³别鳖
pʰiɛ²¹³撇
miɛ²¹³灭蔑
tiɛ³³跌
tiɛ²¹³叠蝶碟跌谍
tʰiɛ²¹³铁帖贴
ȵiɛ²¹³孽捏虐
liɛ²¹³猎裂列烈劣
tɕiɛ²¹³接捷杰揭节截结洁绝掘决诀竭
tɕiɛ⁵⁵姐
tɕiɛ³⁵借
tɕʰiɛ²¹³茄瘸妾切缺窃
tɕʰiɛ⁵⁵且
ɕiɛ³³靴{多说鞋}些
ɕiɛ²¹³雪斜邪劫胁协薛歇血泄
ɕiɛ⁵⁵写
ɕiɛ³⁵泻谢屑卸
iɛ²¹³爷叶业阅月岳越粤约噎悦
iɛ⁵⁵野也
iɛ³⁵夜
pɔ³³波
pɔ⁵⁵簸
pʰɔ³³波
pʰɔ²¹³婆
pʰɔ³⁵破
mɔ²¹³磨模莫膜幕墨默
mɔ³⁵磨慕暮墓募
ɔ³³蜗
ɔ²¹³蛾鹅恶沃腭
ɔ⁵⁵我
ɔ³⁵饿
puɔ³³菠播玻
puɔ²¹³拨钵勃博薄剥驳伯柏擘
pʰuɔ³³剖颇
pʰuɔ²¹³泼
muɔ²¹³抹摩沫摸漠
muɔ³⁵末
tuɔ³³多
tuɔ²¹³夺{多说抢}
tuɔ⁵⁵朵
tuɔ³⁵堕惰
tʰuɔ³³拖
tʰuɔ²¹³驼舵脱托驮
tʰuɔ⁵⁵妥
nuɔ²¹³诺
nuɔ³⁵糯
luɔ²¹³罗锣箩螺脶落乐{快乐}骡萝洛骆络烙酪
kuɔ³³哥歌锅
kuɔ²¹³鸽割各郭葛搁阁
kuɔ⁵⁵果
kuɔ³⁵个过
kʰuɔ³³柯稞科棵颗
kʰuɔ²¹³磕渴扩壳括阔廓
kʰuɔ⁵⁵可
kʰuɔ³⁵课
