字目	读音	注释	声母	韵母	声调	重复数	潮语拼音	罗马字拼音	(声母)	(声母序)	(韵母序)	(调序)	同音字个数	ID(暂定)	音节序(暂定)	文白区别工程
蓖	=D2&E2&F2		p	i	22	=COUNTIF(A:A,A2)	=IF(D2=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2=0,"〇",D2)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2)	1761	1	=IF(LEN(C2)-LEN(SUBSTITUTE(C2,"白",""))=1,"白",(IF(LEN(C2)-LEN(SUBSTITUTE(C2,"文",""))=1,"文",(IF(LEN(C2)-LEN(SUBSTITUTE(C2,"训",""))=1,"训","无")))))
碑	=D3&E3&F3		p	i	22	=COUNTIF(A:A,A3)	=IF(D3=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D3=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D3=0,"〇",D3)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I3)	1762	=IF(B3=B2,P2,P2+1)	=IF(LEN(C3)-LEN(SUBSTITUTE(C3,"白",""))=1,"白",(IF(LEN(C3)-LEN(SUBSTITUTE(C3,"文",""))=1,"文",(IF(LEN(C3)-LEN(SUBSTITUTE(C3,"训",""))=1,"训","无")))))
卑	=D4&E4&F4		p	i	22	=COUNTIF(A:A,A4)	=IF(D4=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4=0,"〇",D4)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4)	1763	=IF(B4=B3,P3,P3+1)	=IF(LEN(C4)-LEN(SUBSTITUTE(C4,"白",""))=1,"白",(IF(LEN(C4)-LEN(SUBSTITUTE(C4,"文",""))=1,"文",(IF(LEN(C4)-LEN(SUBSTITUTE(C4,"训",""))=1,"训","无")))))
陂	=D5&E5&F5		p	i	22	=COUNTIF(A:A,A5)	=IF(D5=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D5=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D5=0,"〇",D5)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I5)	6732	=IF(B5=B4,P4,P4+1)	=IF(LEN(C5)-LEN(SUBSTITUTE(C5,"白",""))=1,"白",(IF(LEN(C5)-LEN(SUBSTITUTE(C5,"文",""))=1,"文",(IF(LEN(C5)-LEN(SUBSTITUTE(C5,"训",""))=1,"训","无")))))
脾	=D6&E6&F6		p	i	44	=COUNTIF(A:A,A6)	=IF(D6=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D6=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D6=0,"〇",D6)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I6)	1755	=IF(B6=B5,P5,P5+1)	=IF(LEN(C6)-LEN(SUBSTITUTE(C6,"白",""))=1,"白",(IF(LEN(C6)-LEN(SUBSTITUTE(C6,"文",""))=1,"文",(IF(LEN(C6)-LEN(SUBSTITUTE(C6,"训",""))=1,"训","无")))))
琵	=D7&E7&F7		p	i	44	=COUNTIF(A:A,A7)	=IF(D7=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D7=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D7=0,"〇",D7)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I7)	1756	=IF(B7=B6,P6,P6+1)	=IF(LEN(C7)-LEN(SUBSTITUTE(C7,"白",""))=1,"白",(IF(LEN(C7)-LEN(SUBSTITUTE(C7,"文",""))=1,"文",(IF(LEN(C7)-LEN(SUBSTITUTE(C7,"训",""))=1,"训","无")))))
枇	=D8&E8&F8		p	i	44	=COUNTIF(A:A,A8)	=IF(D8=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D8=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D8=0,"〇",D8)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I8)	1757	=IF(B8=B7,P7,P7+1)	=IF(LEN(C8)-LEN(SUBSTITUTE(C8,"白",""))=1,"白",(IF(LEN(C8)-LEN(SUBSTITUTE(C8,"文",""))=1,"文",(IF(LEN(C8)-LEN(SUBSTITUTE(C8,"训",""))=1,"训","无")))))
啤	=D9&E9&F9		p	i	44	=COUNTIF(A:A,A9)	=IF(D9=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D9=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D9=0,"〇",D9)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I9)	6626	=IF(B9=B8,P8,P8+1)	=IF(LEN(C9)-LEN(SUBSTITUTE(C9,"白",""))=1,"白",(IF(LEN(C9)-LEN(SUBSTITUTE(C9,"文",""))=1,"文",(IF(LEN(C9)-LEN(SUBSTITUTE(C9,"训",""))=1,"训","无")))))
俾	=D10&E10&F10		p	i	53	=COUNTIF(A:A,A10)	=IF(D10=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D10=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D10=0,"〇",D10)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I10)	1758	=IF(B10=B9,P9,P9+1)	=IF(LEN(C10)-LEN(SUBSTITUTE(C10,"白",""))=1,"白",(IF(LEN(C10)-LEN(SUBSTITUTE(C10,"文",""))=1,"文",(IF(LEN(C10)-LEN(SUBSTITUTE(C10,"训",""))=1,"训","无")))))
彼	=D11&E11&F11		p	i	53	=COUNTIF(A:A,A11)	=IF(D11=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D11=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D11=0,"〇",D11)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I11)	1759	=IF(B11=B10,P10,P10+1)	=IF(LEN(C11)-LEN(SUBSTITUTE(C11,"白",""))=1,"白",(IF(LEN(C11)-LEN(SUBSTITUTE(C11,"文",""))=1,"文",(IF(LEN(C11)-LEN(SUBSTITUTE(C11,"训",""))=1,"训","无")))))
