调值	[1](阴平31 [2]阳平35 [3]上声213 [5]去声52 [7]阴入5 [8]阳入45 [0]轻声)		
字表来源	《江阴方言新探》		
备注	1.(部分零声母字声母为浊擦音v；\n2.y韵母部分字读为ʮ，视作y的变体，不单列；\n3.去声在语流里调值常变为54。)		
汉字	IPA	调型	备注
啊	ɑ	1	
啊	ɑ	2	
啊	ɑ	3	
啊	ɑ	5	
丫	ɑ	1	~头
伢	ɑ	2	
阿	ɑʔ	7	~爹、~妈
惬	ɕiɑ	5	~意：舒服
虾	ɕiɑ	1	白
下	ɕiɑ	5	文，~午
夏	ɕiɑ	5	文
些	ɕiɑ	1	白
衔	ɕiæɳ	2	文
限	ɕiæɳ	5	文
瞎	ɕiæʔ	7	文
响	ɕiɑŋ	3	
项	ɕiɑŋ	5	文
巷	ɕiɑŋ	5	白
削	ɕiɑʔ	7	
小	ɕiɔ	3	
晓	ɕiɔ	3	
笑	ɕiɔ	5	
休	ɕiəɯ	1	
袖	ɕiəɯ	5	
舌	ɕiəʔ	7	
吸	ɕiəʔ	7	
息	ɕiəʔ	7	
熄	ɕiəʔ	7	
膝	ɕiəʔ	7	
席	ɕiəʔ	8	~子
雪	ɕiəʔ	7	
些	ɕiɛ	1	文，那~
□	ɕiɪ	3	鱼~：鱼鳞
闪	ɕiɪ	3	
扇	ɕiɪ	1	
扇	ɕiɪ	5	
鳝	ɕiɪ	5	
先	ɕiɪ	1	
弦	ɕiɪ	2	
䘆	ɕiɪ	5	䗙~：蚯蚓
现	ɕiɪ	5	
些	ɕiɪ	1	文，这~
絮	ɕiɪ	5	棉~
蟋	ɕiɪʔ	7	
歇	ɕiɪʔ	7	
洗	ɕiᶨ	3	
戏	ɕiᶨ	5	
婿	ɕiᶨ	5	女~
心	ɕiŋ	1	
心	ɕiŋ	1	
新	ɕiŋ	1	
信	ɕiŋ	5	
星	ɕiŋ	1	
蛵	ɕiŋ	1	~蜓：蜻蜓
兴	ɕiŋ	1	
兴	ɕiŋ	5	
杏	ɕiŋ	5	
酸	ɕio	1	
雄	ɕioŋ	2	文
熊	ɕioŋ	2	
说	ɕioʔ	7	
缩	ɕioʔ	7	偷瓜~：刺猬
靴	ɕyɑ	1	
刷	ɕyæʔ	7	
顺	ɕyəŋ	5	
旬	ɕyəŋ	2	
帅	ɕyɛ	5	
蟀	ɕyɛ	1	
书	ɕyᶨ	1	
诉	ɕyᶨ	5	
许	ɕyᶨ	3	
儿	ɚ	2	
儿	ɚ	0	后缀
尔	ɚ	3	
耳	ɚ	3	
二	ɚ	5	
屙	əɯ	1	
莴	əɯ	1	
窝	əɯ	1	
番	fæɳ	1	
㽹	fæɳ	2	胃不舒服，恶心呕吐
饭	fæɳ	5	
发	fæʔ	7	
乏	fæʔ	8	
方	fɑŋ	1	
房	fɑŋ	2	
访	fɑŋ	3	
放	fɑŋ	5	
飞	fei	1	
肥	fei	2	
坟	fəŋ	2	
粉	fəŋ	3	
粪	fəŋ	5	
风	fəŋ	1	
蜂	fəŋ	1	
蜂	fəŋ	1	
冯	fəŋ	2	
缝	fəŋ	2	
伏	foʔ	8	
服	foʔ	8	
肤	fu	1	
敷	fu	1	
扶	fu	2	
孚	fu	2	
浮	fu	2	
腐	fu	3	
父	fu	5	
哈	hɑ	1	
还	hɑ	2	
虾	hɑ	1	白
下	hɑ	5	白，~霜
夏	hɑ	5	白
憨	hæɳ	1	小孩好动
含	hæɳ	2	文
衔	hæɳ	2	白
限	hæɳ	5	白
瞎	hæʔ	7	白
狭	hæʔ	8	
桁	hɑŋ	2	~条
项	hɑŋ	5	白
巷	hɑŋ	5	白
薅	hɔ	1	
好	hɔ	3	
□	hei	2	~子：骰子
齁	hei	1	气喘
后	hei	5	
厚	hei	5	
鲎	hei	5	彩虹
䗙	həɯ	2	~䘆：蚯蚓
和	həɯ	2	
和	həɯ	5	搅拌
河	həɯ	2	
火	həɯ	3	
伙	həɯ	3	
横	həŋ	2	文
横	həŋ	5	文
合	həʔ	8	
黑	həʔ	7	
孩	hɛ	2	
海	hɛ	3	
害	hɛ	5	
鞋	hɛ	2	
𡗼	hɛ	2	瞥见
蟹	hɛ	3	
□	ho	5	~ tʰo5：吸吐
含	ho	2	白
河	ho	2	
欢	ho	1	
痪	ho	1	
烘	hoŋ	1	
红	hoŋ	2	
洪	hoŋ	2	
寣	hoʔ	7	量词，睡一觉
掝	hoʔ	7	轻轻接触一下
学	hoʔ	8	~生
呼	hu	1	
胡	hu	2	
壶	hu	2	
葫	hu	2	
湖	hu	2	
虎	hu	3	
户	hu	1	
花	huɑ	1	
化	huɑ	5	
划	huɑ	2	
画	huɑ	5	
话	huɑ	1	白，空~
话	huɑ	5	文
还	huæɳ	2	
𫝺	huæɳ	5	扔
划	huæʔ	8	~拳
□	huɑʔ	7	又大又空
灰	huei	1	
回	huei	2	
会	huei	5	
魂	huəŋ	2	
淮	huɛ	2	
坏	huɛ	5	
喝	huoʔ	7	
豁	huoʔ	7	~嘴
霍	huoʔ	7	~闪
搳	huoʔ	7	手执鞭类猛抽
下	iɑ	5	底~
牙	iɑ	2	文
哑	iɑ	3	
爷	iɑ	2	白，~娘
野	iɑ	3	
夜	iɑ	1	
眼	iæɳ	3	文
雁	iæɳ	5	文
□	iɑŋ	1	ŋæɳ5 ~：订婚
让	iɑŋ	5	
秧	iɑŋ	1	
阳	iɑŋ	2	
炀	iɑŋ	2	融化，开~：化冰
洋	iɑŋ	2	
痒	iɑŋ	3	
药	iɑʔ	8	
约	iɑʔ	7	
腰	iɔ	1	
舀	iɔ	3	
要	iɔ	1	
