#ɿ
ts[1]滋□{撕}知支之枝芝资[3]纸指止子紫姊[5]治1志制智痣窒字自
tsʰ[1]□{喷射，～水}□{短暂快速燃烧，～火花}[2]疵嗤慈辞迟词池治{～鱼：杀鱼}[5]翅次刺
s[1]丝思私撕饲师施狮[2]时[3]死屎史使[5]是四视士似巳伺寺事市试世势誓逝世柿

#i
p[1]屄[3]比彼[5]币毙闭璧避蔽蓖陛弼篦
pʰ[1]批劈□{完了，～掉了}[2]皮啤琵疲[3]痞脾[5]屁僻譬
t[1]爹{爷爷}[2]敌迪[3]抵氐[5]递弟帝第地
tʰ[1]梯[2]提啼蹄[3]体题屉[5]替剃倜嚏
n[2]妮拟尼霓[3]你[5]逆腻匿溺
l[2]犁离黎梨[3]里李理礼璃[5]丽利例历莉励吏厉
m[1]眯[2]谜咪迷靡糜泥泥{粉刷}[3]米[5]秘泌□{菜煮得太烂}
tɕ[1]基鸡妓机[3]己几挤[5]既记计继季剂技际寄纪祭脊忌迹嫉
tɕʰ[1]期妻欺[2]其奇齐骑旗棋祈脐畦[3]起启企戚[5]气器弃汽契
ɕ[1]西希稀犀[2]溪夕[3]洗[5]系细嬉戏
∅[1]衣医倚[2]姨伊移疑已遗谊[3]咦椅[5]忆亿翼易意毅刈缢

#u
p[3]补捕[5]部布步埠怖
pʰ[1]铺扑[2]蒲葡菩[3]普谱浦脯[5]瀑曝
m[2]牡[3]姆母拇亩[5]幕穆墓慕募牧暮沐睦
f[1]麸呼乎[2]胡扶湖壶糊符浮狐弧[3]肤辅府抚腐唬虎[5]副户互护付负夫幅富父妇负
t[1]督都笃[3]睹赌堵肚2{猪～子}[5]度杜渡肚1妒涂糊涂
tʰ[2]图突途徒屠塗[3]土[5]吐兔
n[2]奴努弩驽[5]怒
l[1]噜[2]炉庐[3]芦鲁卢卤撸橹[5]路露鹿禄鹭璐
ts[1]租猪朱珠[3]组祖主煮[5]住祝驻注助柱
tsʰ[1]粗[2]除储厨滁[3]楚础[5]促醋处触
s[1]苏酥书淑殊舒疏[3]蜀薯暑[5]素速宿诉塑肃溯树涑署竖束墅
z[1]输[3]儒如辱茹乳[5]褥蓐
k[1]姑辜孤[3]古股谷鼓贾估[5]故顾固雇
kʰ[1]骷[3]苦[5]库裤
∅[1]污坞巫侮[2]吴无[3]吾五午武[5]误悟务雾

#y
l[1]捋2{身体某处被利物划伤的过程}[2]驴[3]缕吕侣铝旅屡捋1[5]率虑律滤履
n[3]女
tɕ[1]拘居[3]举[5]句聚距具据
tɕʰ[1]蛆区[3]娶[5]去趣
ɕ[1]需嘘[2]徐[3]许[5]旭叙胥
∅[1]□{形容话多}[2]于鱼余宇羽渔娱愚盂[3]与雨语[5]欲玉遇预喻寓狱豫驭

#a
p[1]疤笆巴扒[2]八捌[3]把1{火把}[5]吧把2{铁锹}把罢霸坝
pʰ[1]趴啪[2]爬[5]怕琶葩杷
m[1]妈[2]麻蚂[3]犸码马[5]骂
f[2]花划华[5]画
t[1]瘩耷嗒[3]打[5]大1哒大2{父亲或母亲}
n[2]拿[3]哪[5]纳娜呐衲
l[1]拉垃[5]旯
ts[1]□{张开，腿～开}[2]□{菜坏掉了，菜～掉了}[3]□{形容腿脚不便的人走路的样子}[5]炸
tsʰ[1]叉差[2]查茶察茬[3]□{穿鞋在泥地里走，把鞋弄坏了}[5]岔
s[1]沙纱砂鲨[3]洒撒傻[5]厦
k[1]嘎{鹅的叫声}
kʰ[3]卡
x[1]哈□{挠痒痒}[2]蛤[5]还{再一次}
∅[2]啊阿[5]二

#ia
tɕ[1]家加[3]假真假[5]假放假嫁价
tɕʰ[1]掐[3]卡{～住}[5]洽恰□{跨}
ɕ[1]虾□{拨开}[2]侠[5]下夏
∅[1]呀丫□{刀的切法的一种}[2]蚜牙芽崖[3]雅哑[5]亚

#ua
ts[1]抓[3]爪
s[3]耍□{发脾气}
k[1]瓜呱[3]寡□{反复的做或说}[5]挂褂
kʰ[1]夸[3]侉垮[5]跨
∅[1]挖蛙洼[2]娃[3]瓦搲{舀东西}[5]哇

#ə
t[2]了{作轻声词尾时发此音}
tʰ[3]他
n[5]□{答语，表示肯定}
l[2]了
tsʰ[1]车[3]扯
s[1]佘[2]蛇[3]使{使用}
k[1]哥□{～捞：搅拌}[5]个
kʰ[2]可1科
x[1]□{拍马屁}[2]和河菏蛤{～蟆：青蛙}

#iə
p[1]标膘[3]表婊[5]□{厚脸皮占别人便宜}
pʰ[1]飘漂[2]瓢嫖[5]票
m[1]秒[2]苗1描瞄[3]苗2{干枯的高粱，用来做扫帚的部分}[5]庙
t[1]叼□{形容人聪明}[3]屌[5]掉调吊钓
tʰ[1]调挑[2]条□{扫帚}[5]跳
n[3]鸟□{女儿，“女儿”一词的急读}[5]尿1{动词}
l[2]聊辽疗[3]□{惹，欺负}[5]料撂{扔掉}
tɕ[1]交教胶[2]较1[5]叫觉较2{测量}
tɕʰ[1]敲锹[2]桥瞧{看病}[3]巧□{便宜}[5]翘
ɕ[1]宵削{为牲口摘除睾丸}[3]晓小
∅[5]校笑

#yə
tɕ[1]撅噘[5]倔
tɕʰ[1]□{管孩子，～性子}[3]□{折弯或折断}
ɕ[1]靴
∅[3]□{想吐，犯恶心}

#ɛ
p[3]拜摆
pʰ[1]□{用屁股快速的坐}[2]牌排□{漂亮}[3]□{瘸腿的动物}
m[2]埋[3]买[5]卖
f[2]怀槐[5]坏
t[1]待呆[3]逮[5]黛带代戴袋贷
tʰ[1]胎[2]抬台苔[5]太泰态汰
n[3]奶[5]耐奈
l[2]来[3]□{用手拔}[5]赖□{～尿2，尿床}
k[1]该[3]改[5]盖钙概溉
kʰ[1]揩开[3]凯慨
x[2]孩骸[3]海[5]害
∅[1]唉哀埃[2]癌霭[3]矮[5]爱哎碍隘暧

#uε
ts[1]□{冻的失去知觉}[3]□{很骄横}[5]拽
tsʰ[1]揣{使劲揉}[5]踹
s[1]衰摔[3]甩[5]帅
k[1]乖[3]柺拐□{心坏}[5]怪
kʰ[3]□{挎着}[5]快块筷会

#ɔ
p[1]包[3]饱宝[5]抱鲍菢{孵，母鸡～窝}
pʰ[1]抛□{软}[2]□{人或动物用工具或爪子挖}[3]跑[5]泡炮
m[1]猫[2]毛[3]□{弄丢了}□{打麻将时三张相连为一～}[5]帽冒
t[1]刀掇{夹菜}□{咬，鹅～人}[3]岛导[5]到道稻铸{～铝锅}
tʰ[1]掏涛[2]逃淘[3]讨[5]套
n[2]挠[3]恼[1]孬[5]闹□{腻，肉～人}
l[1]捞[2]牢[3]老[5]落{厉害，～害}□{拽，～绳子}□{串门，～门的}
ts[1]招糟[3]找早[5]照赵燥□{行}
tsʰ[1]超操□{翻，用炊具翻锅里的食物}[2]巢潮槽[3]草吵[5]□{训斥}
s[1]稍骚□{炫耀}[3]扫少嫂[5]邵□{非常快}
z[2]饶[3]扰[5]绕
k[1]高膏[3]搞稿[5]告
kʰ[1]尻{避讳词}□{敲}□{戏弄，玩弄}[3]烤[5]靠拷
x[1]蒿{草本植物}□{刮东西}[2]毫[3]好[5]号浩耗
∅[2]熬[3]袄[5]奥傲

#uɔ
p[1]波播
pʰ[2]颇坡婆[3]抹
m[1]摸末[2]磨魔模膜摩[5]莫
f[2]否
t[1]多[3]躲[5]剁踱
tʰ[1]拖[2]驼驮
n[1]糯□{用手使劲掐或攥}[2]挪[5]诺
l[1]摞{用手从地上捧}[2]罗螺锣[3]裸[5]洛骆
ts[2]左昨着{着火}[3]撮[5]做作
tsʰ[1]搓□{惹，捅娄子}[2]锄[5]错
s[1]梭梳[3]锁所[5]硕数
z[1]□{把东西攥在手里～}
k[1]锅[3]果[5]过
kʰ[1]□{用镰刀砍}
x[2]和[3]伙火□{把容器里的液体倒出}[5]货祸
∅[1]屙窝[2]□{扭伤}[3]我[5]卧饿

#ɪ
p[1]背杯[5]被贝辈□{关掉开关}
pʰ[2]赔培陪[5]配佩呸{骂人的话}
m[1]没[2]霉媒煤枚[3]美[5]□{炫耀}
f[1]灰[2]肥飞[3]□{解开绳}[5]会烩{把咸菜～～}
t[1]堆[3]□{债务的抵消}[5]对队兑
tʰ[1]推[3]腿[5]退蜕□{用橡皮～字}
n[1]那[5]内
l[1]□{人或物使劲撞}[2]雷[3]磊[5]累泪
ts[1]这[2]贼[3]嘴最醉罪
tsʰ[1]□{烧水的水壶}[2]□{随便}[5]脆□{逞能}
s[1]虽尿2{名词}[2]随谁[3]□{解开绳子}[5]岁碎
kʰ[1]可{疑问词}
x[1]嘿

#uɪ
ts[1]锥[3]嘴[5]坠
tsʰ[1]吹[2]捶垂
s[1]虽[3]水[5]睡税
z[5]锐瑞
k[1]归[2]龟[3]轨鬼[5]贵桂柜跪瑰{玫～}
kʰ[1]盔亏[2]奎魁葵[5]□{绳子的结}
∅[1]威□{精神萎靡不振}[2]围维[3]伟委[5]为位味

#ɤ
ɣ[3]鹅[5]饿
k[1]沟勾佝{弯腰}[3]狗枸[5]够
kʰ[1]抠[2][3]口[5]扣{盖住；扣押}
x[1]糇{太甜或太咸，～心咸}[2]侯喉猴[3]候[5]厚后

#iɤ
t[1]丢
n[1]□{掐，拧耳朵}[2]牛妞[3]扭1拧螺[5]扭2{～腰}
l[1]溜[2]留刘流琉[3]柳[5]六□{～猪窝，给母猪配种}
tɕ[1]揪纠灸阄究2{～竟}[2]韭究1{讲～}[3]九鸠玖酒[5]就旧救舅臼
tɕʰ[1]邱秋丘□{女性阴部}□{烟熏}[2]囚球求仇{地名}[5]□{往别人跟前凑}
ɕ[1]修休羞[3]朽[5]秀绣袖锈
∅[1]幽优[2]尤由邮游油[3]友有[5]又幼右柚呦

#ã
p[1]班扳般[3]版拌扔掉[5]办半扮拌
pʰ[1]攀潘□{用绳子绕东西}[2]盘[5]判盼叛
m[2]瞒蛮[3]满[5]慢漫
f[1]欢[2]还□{横在中间}[5]患饭贩[5]幻唤
t[1]耽单[3]胆掸[5]但蛋担
tʰ[1]贪摊[2]谈坛坦[3]毯[5]探炭
n[1]□{那时候}[2]难男南楠[5]难
l[2]蓝兰栏篮拦[3]懒揽漤{～柿子}[5]烂滥
ts[1]碾用刀剁[3]展斩[5]站占战栈
tsʰ[1]掺产餐[2]残惭馋禅蝉缠[3]惨[5]灿颤忏
s[1]三删山[3]闪伞陕[5]散善□{给公羊或牛摘除睾丸}
z[3]然染冉
k[1]甘肝干[3]感赶敢[5]干
kʰ[1]刊勘[3]砍坎□{无意的打饭了容器中的液体}[5]看
x[1]憨[2]韩涵含寒[3]喊□{形容婴儿很胖}[5]汗焊旱
∅[1]安鞍[5]按暗岸案[3]□{用舌头舔}

#iã
p[1]边鞭编[2]□{吃东西时不嚼}[3]扁贬[5]变便
pʰ[1]篇偏[2]便[5]片骗
m[2]棉眠[3]缅免腼[5]面
t[1]癫颠[3]典点碘[5]店电垫
tʰ[1]天[2]田填甜[3]舔
n[2]年捻鲇黏[3]撵[5]念
l[2]连联敛怜廉帘莲[3]脸[5]练恋链
tɕ[1]尖间监兼[3]茧检减[5]见件建
tɕʰ[1]千铅牵签[2]前钱[3]浅潜[5]欠谦嵌倩限2{门～，门槛}
ɕ[1]陷[2]贤闲嫌咸[3]显□{喊叫}[5]线现县献限1
∅[1]烟腌[2]言严颜沿研岩[3]盐演眼[5]燕厌

#uã
t[1]端[3]短断2{拦住}[5]段断1锻缎煅
tʰ[2]湍团□{圆形或球形}
n[3]暖
l[2]挛孪□{打人}[3]卵[5]乱
ts[1]钻专砖[3]□{动物用喙找东西吃；用拳头打人}[5]赚转撰篆攥
tsʰ[1]穿川[2]传船[3]喘[5]串窜
s[1]栓酸拴闩[5]算蒜涮
z[3]软阮
k[1]棺关官观[3]馆管[5]灌冠罐贯惯□{使劲摔}
kʰ[1]宽[3]款[5]□{使劲摔}
x[2]还横{老派口音}
∅[1]湾弯[2]玩顽完丸[3]晚皖碗挽[5]腕万

#yã
tɕ[1]捐鹃绢娟[3]卷[5]倦眷圏
tɕʰ[1]圈[2]全拳泉诠蜷[3]权犬[5]劝
ɕ[1]喧轩宣先鲜[2]玄旋悬[3]癣选[5]绚炫眩仙
∅[1]冤渊[2]原员援元袁缘源园[3]远[5]院

#ẽ
p[1]奔□{额头前凸明显}[3]本[5]笨
pʰ[2]盆[1]喷
m[1]闷[2]们门扪[5]闷焖
f[1]荤婚吩芬昏分纷[2]坟浑馄魂焚□{糊涂}[3]粉□{不学习，混日子}[5]份粪愤奋氛混
t[1]灯蹲登□{用脚踹}[3]等[5]邓瞪凳澄吨顿炖钝饨
tʰ[1]吞□{烘烤}[2]藤誊臀滕疼豚□{公猪}□{挪开}[5]□{脱掉}
n[2]能[5]嫰□{～子，草鱼}
l[1]楞愣[2]轮伦[3]冷[5]论棱
ts[1]真针征[3]枕诊筝[5]镇阵震振正证挣政
tsʰ[1]村称□{皮肤粗糙}[2]晨陈沉成臣程乘[3]存伸□{逞能}[5]秤寸忖
s[1]声生深申身孙[2]森神[3]损沈省笋[5]甚肾胜圣剩什
z[1]扔仍[2]人任[3]忍[5]认刃闰
k[1]耕跟根[3]埂耿[5]更亘
kʰ[1]坑吭[3]啃肯恳垦□{陷害}
x[1]哼[2]痕恒[3]很狠[5]恨
ɣ[5]硬
∅[1]恩[5]嗯

#ĩ
p[1]斌兵宾冰[3]饼丙[5]并病
pʰ[1]乒拼[2]频贫苹平评萍瓶屏[3]品[5]聘
m[2]民明名铭[3]敏冥鸣闽抿[5]命
t[1]丁钉盯叮[3]顶鼎[5]定订
tʰ[1]听厅[2]停庭亭廷婷[3]挺[5]□{长辈打晚辈}
n[2]宁凝狞咛[3]拧
l[1]拎[2]林临灵零玲龄邻淋[3]岭领[5]另令□{～锥，冬天在房檐上结的冰}
tɕ[1]精经京金斤[3]井仅景紧今[5]尽进近禁静竟劲
tɕʰ[1]氢清轻青亲侵[2]秦琴勤情擒晴[3]请[5]沁庆
ɕ[1]新心鑫星辛欣[2]行型形[3]醒[5]信性兴姓
∅[1]婴鹰音阴因隐英[2]银赢蝇营[3]引郢影饮1[5]应印饮2{～牛}

#uə̃
ts[1]肫尊遵[3]准
tsʰ[1]春[2]唇纯[3]蠢
s[5]顺舜
z[5]润熨
k[3]磙滚{打滚；水沸腾}[5]棍□{形容人威风}
kʰ[1]坤昆[3]捆[5]困
∅[1]温[2]文闻纹[3]稳吻[5]问

#yĩ
tɕ[1]君菌军均[5]俊骏
tɕʰ[2]群裙
ɕ[1]熏[2]寻循巡旬询[5]讯训逊迅汛
∅[1]晕[2]云匀□{～～把东西分平均}[5]运韵孕

#ɑŋ
p[1]帮浜邦[3]榜绑[5]棒傍
pʰ[1]乓[2]旁庞[5]胖
m[1]□{哭的～～叫}[2]忙盲茫芒[3]莽
f[1]方芳荒慌[2]皇黄房防凰[3]访坊晃{时间一～就过去了}[5]放晃{摇～}
t[1]当裆[3]挡党[5]荡宕
tʰ[1]汤□{试试}[2]唐堂塘[3]躺淌[5]烫趟
n[1]囔[2]囊[3]□{用到刺人}
l[1]□{一种动物}[2]狼郎[3]朗□{木条编的框子}[5]浪
ts[1]脏张章[3]涨掌[5]葬赃帐胀丈
tsʰ[1]仓苍舱[2]常偿尝[3]厂敞场[5]唱畅
s[1]桑伤商[3]赏晌裳嗓[5]丧上尚
z[2]瓤{软弱；瓜～子}[3]壤嚷[5]让
k[1]刚钢缸纲岗冈[3]港□{用头拱}[5]杠□{二八～，牌九的一种扛抬杠}□{步行走路，～家}
kʰ[1]康糠[2]扛{扛东西}[5]亢抗炕
x[1]□{开玩笑的挑衅}[2]航杭行{在行}[5]夯
∅[1]□{拟声词，小孩闹人}

#iɑŋ
tɕ[1]僵江姜将[3]奖讲蒋
tɕʰ[1]腔枪羌[2]强墙[3]抢[5]呛
ɕ[1]箱厢乡香[2]翔享[3]响想[5]象向相巷项
∅[1]央秧[2]阳扬洋杨羊[3]氧痒养[5]样漾

#uɑŋ
ts[1]装妆庄[3]□{整块的}[5]壮状撞幢
tsʰ[1]窗疮[2]床[3]闯[5]创□{撞击}
s[1]霜双[3]爽[5]双{双胞的}
k[1]光咣[3]广[5]逛□{用锋利的刀刃刮}
kʰ[1]筐框诓[2]狂[5]矿况旷
∅[1]汪枉[2]王亡[3]往网[5]忘旺望妄

#əŋ
t[1]东冬[3]董懂[5]动洞栋
tʰ[2]同铜童桐[3]筒统桶捅[1]通
n[1]□将就过日子[2]农浓脓[5]弄
l[2]龙聋隆笼[5]□{涵～的，涵洞}
p[1]崩绷[5]蹦泵蚌
pʰ[1]烹[2]彭鹏棚篷澎膨[3]朋捧[5]碰蓬
m[1]懵□{瞎猜}[2]蒙檬[3]盟猛[5]梦孟
f[1]风封峰丰疯[2]缝[3]哄[5]凤奉
x[2]横{新派口音}

#uəŋ
∅[1]翁[2]嗡[5]瓮□{拟声词，狗的叫声}

#uŋ
ts[1]中宗综忠棕钟[3]总肿[5]纵重
tsʰ[1]聪葱充冲[2]从虫[3]宠[5]冲{说话时候怒气比较大}
s[1]松嵩[2]耸[5]送宋颂诵
z[2]荣容融溶绒
k[1]工躬恭公功宫攻弓[3]巩拱[5]共供
kʰ[1]空[3]孔恐[5]控

#iuŋ
tɕʰ[2]穷琼
ɕ[1]胸凶匈兄[2]熊□{也～，算了}[3]雄
∅[1]庸勇拥涌[3]永咏[5]用佣

#aʔ
p[7]百白爸拔柏北□{日～，完蛋了；扯谎}
pʰ[7]拍帕泼魄扑
m[7]抹麦脉□{打}
f[7]发罚阀活滑
t[7]答搭达沓德得嗒
tʰ[7]踏塔塌特□{用手褪}
n[7]纳捺□{用针～鞋底（布鞋）}
l[7]辣蜡勒
ts[7]砸杂
tsʰ[7]插□{用铁锨铲}
s[7]杀舌色塞涩
z[7]热
k[7]格隔葛割鸽各搁角1{牛角}
kʰ[7]渴克客□{捣，～蒜}
x[7]喝合盒核吓黑
∅[7]□{用木棍挑起来}

#iaʔ
p[7]别鳖瘪
pʰ[7]撇□{从水的表层舀出脏物}□{学其他口音，但学的不像}
m[7]灭篾
t[7]跌碟叠蝶
tʰ[7]铁贴帖
n[7]捏聂孽
l[7]裂列猎劣□{形容人厉害}
tɕ[7]节接结杰洁劫
tɕʰ[7]且切
ɕ[7]血歇协
∅[7]鸭压页

#uaʔ
t[7]夺□{使劲砸}
tʰ[7]脱拓托□{制作某种模型的模具}
n[7]□{用手紧紧握住}
l[7]落络
ts[7]桌捉作□{使劲用毛刷刷东西}
tsʰ[7]戳□{形容人比较赚钱，能力比较强}
s[7]说刷□{吸吮}□{用棍子或鞭子打人}
z[7]弱若□{～作，舒服}
k[7]国刮□{舀水往外倒}□{聊天}
kʰ[7]扩阔括
∅[7]挖

#yaʔ
n[7]虐
l[7]略掠□{用火燎}
tɕ[7]脚觉绝决爵掘角{～度}□{骂人}
tɕʰ[7]却缺确雀鹊□{奇怪；好笑}
ɕ[7]学血雪薛穴
∅[7]药月越约乐岳阅

#ə
p[7]不叭巴{哑～}
m[7]么
n[7]那□{肯定答语}
f[7]佛服腐福□{水果的核}
ts[7]遮值这
tsʰ[7]吃
s[7]射社写
z[7]日
kʰ[7]可2{疑问助词}

#iəʔ
p[7]笔鼻憋避
pʰ[7]□{折断}
m[7]蜜密
t[7]滴□{拔}
tʰ[7]踢
n[7]□{捡东西}
l[7]历力立粒
tɕ[7]急集级积
tɕʰ[7]七起
ɕ[7]习鞋些□{傻子}
k[7]给□{吃东西}

#uəʔ
t[7]读独毒□{把菜放锅里煮烂}
tʰ[7]秃
l[7]绿录陆鹿
ts[7]祝粥足卒竹□{堵上，把洞～上}
tsʰ[7]出畜□{看着}
s[7]缩术熟
z[7]入褥
k[7]骨
kʰ[7]哭枯窟
x[7]福□{水果的核}

#yəʔ
tɕ[7]菊局
tɕʰ[7]曲屈茄□{～溜个头看，偷偷摸摸的看}
ɕ[7]斜蓄邪
∅[7]□{用热水晤伤处}□{一种烹饪方法}
