#参考资料 《宣州片吴语音韵研究》
#调值 [1]阴平53 [2]阳平31 [3]上声55 [5]去声35 [7]入声214

#ɿ
ts [1]知支资脂滋辎之 [3]挤紫纸姊指子滓止 [5]制智致至置治志
tsʰ [1]妻雌差痴嗤 [3]此侈耻齿 [5]刺赐次
s [1]西撕施私师尸丝诗 [3]死屎史始 [5]世誓四伺试 [7]式
ɦz [2]疵池匙瓷迟慈词持时 [3]是 [5]自示视字祀寺痔柿事市侍 [7]习

#i
p [3]彼比 [5]蔽闭臂 [7]笔逼碧璧壁
pʰ [1]批披丕 [5]譬庇屁 [7]匹僻
m [2]迷弥眉 [3]米靡 [5]谜秘 [7]蜜
ɦv [2]皮枇 [5]币避鼻篦 [7]别
t [1]低 [3]底 [5]帝
tʰ [3]体 [5]替
l [2]犁篱尼梨狸 [3]礼李 [5]例丽离利吏 [7]粒栗律力历
ɦɾ [2]题 [5]弟第地 [7]笛
tɕ [1]鸡肌基机 [3]几纪几 [5]祭济计寄冀记既季 [7]集急及吉鲫织极积绩击
tɕʰ [1]欺 [3]启企起岂 [5]去砌契器气 [7]七戚吃
ȵ [2]泥宜疑 [3]拟 [5]义 [7]日
ɕ [1]溪牺熙稀 [3]洗喜晓 [5]细戏 [7]吸膝媳
ɦʑ [2]齐骑祁期祈 [5]荠剂系技忌 [7]籍席
Ø [1]伊医衣 [2]移姨饴遗 [3]椅矣以 [5]艺易肄意异毅 [7]揖一逸忆益译

#u
p [3]补 [5]布 [7]不卜
pʰ [1]铺 [3]普 [5]铺 [7]朴扑
m [2]模 [3]某亩母 [5]墓 [7]木目
f [1]夫敷 [3]斧抚 [5]付赴富副 [7]福覆
v [1]乌 [2]吴 [3]五舞 [5]误雾
ɦv [2]菩符浮 [5]部步父附妇复 [7]佛服
t [1]都 [3]赌 [7]督
tʰ [3]土 [5]兔 [7]秃
l [2]奴芦庐 [3]努鲁 [5]怒路滤 [7]鹿绿
ɦɾ [2]图 [5]肚度 [7]独
ts [1]租 [3]祖阻 [5]做 [7]竹粥足烛
tsʰ [1]粗初 [3]楚 [5]醋 [7]出族畜促触
s [1]苏梳 [3]所数 [5]素疏数漱 [7]速宿缩叔粟束
ɦz [2]锄 [5]助 [7]术镯熟俗
k [1]姑 [3]古 [5]固 [7]骨谷
kʰ [1]枯 [3]苦 [5]库 [7]窟哭
x [1]呼 [3]虎 [5]戽
ɣ [2]胡 [5]户护 [7]核{果子核}
Ø [7]物握屋

#y
l [2]驴 [7]六
tɕ [1]猪居蛛朱拘 [3]举拄主矩 [5]著锯拒驻蛀句具 [7]剧
tɕʰ [1]蛆趋区 [3]杵鼠取 [5]处趣
ȵ [3]女吕语
ɕ [1]书虚须输 [3]暑 [5]絮恕输
ɦʑ [2]徐除厨殊 [3]竖 [5]绪柱住树
Ø [1]於迂 [2]蜈如鱼余愚于榆 [3]与雨愈 [5]预遇芋裕 [7]玉

#o
p [1]波 [3]跛 [7]拨博泊剥
pʰ [5]破 [7]泼拍
m [2]磨 [7]抹摸
ɦv [2]婆
t [1]多 [3]朵
tʰ [1]妥 [7]托
