漢字	IPA	注释
哑	a³⁵	
氩	a⁴⁴³	
亚	a⁴⁴³	
鸦	a⁴⁵	
丫	a⁴⁵	
啊	a⁴⁵	
矮	ai³⁵	
隘	ai⁴⁴³	
哎	ai⁴⁵	
握	ak⁴⁵	
扼	ak⁴⁵	
厄	ak⁴⁵	
黯	ɐm³⁵	
暗	ɐm⁴⁴³	
庵	ɐm⁴⁵	
晏	an⁴⁴³	
恩	ɐn⁴⁵	
莺	ɐŋ⁴⁵	
鸭	ap⁴	
罯	ɐp⁴⁵	
押	at⁴	
压	at⁴	
益	ɐt⁴⁵	
忆	ɐt⁴⁵	
亿	ɐt⁴⁵	
拗	au³⁵	
呕	ɐu³⁵	
詏	au⁴⁴³	
坳	au⁴⁴³	
澳	ɐu⁴⁴³	
奥	ɐu⁴⁴³	
袄	ɐu⁴⁴³	
欧	ɐu⁴⁵	
瓯	ɐu⁴⁵	
噢	ɐu⁵²	
垩	ɔk⁴	白～
蕹	ɔŋ⁴⁴³	
盎	ɔŋ⁴⁵	
肮	ɔŋ⁴⁵	
化	fa⁴⁴³	
花	fa⁴⁵	
筷	fai⁴⁴³	
快	fai⁴⁴³	
块	fai⁴⁴³	
栜	fɐi⁴⁴³	
费	fɐi⁴⁴³	
沸	fɐi⁴⁴³	
废	fɐi⁴⁴³	
肺	fɐi⁴⁴³	
吠	fɐi⁵²	
梵	fan²¹	
繁	fan²¹	
烦	fan²¹	
矾	fan²¹	
凡	fan²¹	
藩	fan²¹	
帆	fan²¹	
愤	fɐn²¹	
奋	fɐn²¹	
焚	fɐn²¹	
坟	fɐn²¹	
反	fan³⁵	
粉	fɐn³⁵	
贩	fan⁴⁴³	
泛	fan⁴⁴³	
训	fɐn⁴⁴³	
粪	fɐn⁴⁴³	
返	fan⁴⁵	
翻	fan⁴⁵	
幡	fan⁴⁵	
番	fan⁴⁵	
薰	fɐn⁴⁵	
勋	fɐn⁴⁵	
婚	fɐn⁴⁵	
荤	fɐn⁴⁵	
纷	fɐn⁴⁵	
芬	fɐn⁴⁵	
范	fan⁵²	
饭	fan⁵²	
犯	fan⁵²	
樊	fan⁵²	
忿	fɐn⁵²	
份	fɐn⁵²	
珐	fat⁴	
砝	fat⁴	
拂	fɐt⁴⁵	
弗	fɐt⁴⁵	
狒	fɐt⁴⁵	
筏	fɐt⁵²	
阀	fɐt⁵²	
罚	fɐt⁵²	
伐	fɐt⁵²	
乏	fɐt⁵²	
浮	fɐu²¹	
否	fɐu³⁵	
缶	fɐu³⁵	
阜	fɐu⁵²	
霍	fɔk⁴	
房	fɔŋ²¹	
妨	fɔŋ²¹	
防	fɔŋ²¹	
幌	fɔŋ³⁵	
晃	fɔŋ³⁵	
纺	fɔŋ³⁵	
访	fɔŋ³⁵	
仿	fɔŋ³⁵	
放	fɔŋ⁴⁴³	
谎	fɔŋ⁴⁵	
慌	fɔŋ⁴⁵	
荒	fɔŋ⁴⁵	
肓	fɔŋ⁴⁵	
肪	fɔŋ⁴⁵	
芳	fɔŋ⁴⁵	
坊	fɔŋ⁴⁵	
方	fɔŋ⁴⁵	
淝	fi²¹	
肥	fi²¹	
翡	fi³⁵	
榧	fi³⁵	
斐	fi³⁵	
诽	fi³⁵	
匪	fi³⁵	
绯	fi³⁵	
徽	fi⁴⁵	
麾	fi⁴⁵	
蜚	fi⁴⁵	
扉	fi⁴⁵	
菲	fi⁴⁵	
非	fi⁴⁵	
妃	fi⁴⁵	
飞	fi⁴⁵	
夥	fo³⁵	
钬	fo³⁵	
伙	fo³⁵	
火	fo³⁵	
骒	fo⁴⁴³	
课	fo⁴⁴³	
货	fo⁴⁴³	
蝌	fo⁴⁵	
稞	fo⁴⁵	
科	fo⁴⁵	
喙	foi⁴⁴³	
晦	foi⁴⁴³	
悔	foi⁴⁴³	
魁	foi⁴⁵	
奎	foi⁴⁵	
恢	foi⁴⁵	
诙	foi⁴⁵	
灰	foi⁴⁵	
馥	fok⁴⁵	
覆	fok⁴⁵	
腹	fok⁴⁵	
蝠	fok⁴⁵	
福	fok⁴⁵	
辐	fok⁴⁵	
幅	fok⁴⁵	
斛	fok⁵²	
袱	fok⁵²	
茯	fok⁵²	
服	fok⁵²	
桓	fɵn²¹	
款	fɵn³⁵	
髋	fɵn⁴⁵	
宽	fɵn⁴⁵	
獾	fɵn⁴⁵	
欢	fɵn⁴⁵	
缝	foŋ²¹	
逢	foŋ²¹	
冯	foŋ²¹	
俸	foŋ³⁵	
讽	foŋ⁴⁴³	
蜂	foŋ⁴⁵	
锋	foŋ⁴⁵	
烽	foŋ⁴⁵	
峰	foŋ⁴⁵	
疯	foŋ⁴⁵	
封	foŋ⁴⁵	
枫	foŋ⁴⁵	
风	foŋ⁴⁵	
丰	foŋ⁴⁵	
奉	foŋ⁵²	
凤	foŋ⁵²	
阔	fɵt⁴	
妇	fu²¹	
符	fu²¹	
芙	fu²¹	
扶	fu²¹	
苦	fu³⁵	
虎	fu³⁵	
腑	fu³⁵	
釜	fu³⁵	
俯	fu³⁵	
府	fu³⁵	
斧	fu³⁵	
抚	fu³⁵	
裤	fu⁴⁴³	
库	fu⁴⁴³	
戽	fu⁴⁴³	
富	fu⁴⁴³	
赋	fu⁴⁴³	
副	fu⁴⁴³	
咐	fu⁴⁴³	
讣	fu⁴⁴³	
枯	fu⁴⁵	
呼	fu⁴⁵	
乎	fu⁴⁵	
俘	fu⁴⁵	
敷	fu⁴⁵	
肤	fu⁴⁵	
夫	fu⁴⁵	
傅	fu⁵²	
赴	fu⁵²	
附	fu⁵²	
负	fu⁵²	
付	fu⁵²	
父	fu⁵²	
腐	fu⁵²	
辅	fu⁵²	
霞	ha²¹	
暇	ha²¹	
瑕	ha²¹	
遐	ha²¹	
虾	ha⁴⁵	
哈	ha⁴⁵	
夏	ha⁵²	
下	ha⁵²	
厦	ha⁵²	
蟹	hai²¹	
邂	hai²¹	
鞋	hai²¹	
谐	hai²¹	
偕	hai²¹	
骸	hai²¹	
孩	hai²¹	
奚	hɐi²¹	
兮	hɐi²¹	
揩	hai⁴⁵	
嗨	hai⁴⁵	
瀣	hai⁵²	
懈	hai⁵²	
廨	hai⁵²	
械	hai⁵²	
系	hɐi⁵²	
吓	hak⁴⁵	
客	hak⁴⁵	
刻	hak⁴⁵	
克	hak⁴⁵	
黑	hak⁴⁵	
赫	hak⁴⁵	
咸	ham²¹	
衔	hɐm²¹	
涵	hɐm²¹	
函	hɐm²¹	
含	hɐm²¹	
扻	hɐm³⁵	
砍	hɐm³⁵	
喊	ham⁴⁴³	
嵌	hɐm⁴⁴³	
堪	hɐm⁴⁴³	
鑫	hɐm⁴⁵	
钦	hɐm⁴⁵	
龛	hɐm⁴⁵	
勘	hɐm⁴⁵	
憨	hɐm⁴⁵	
酣	hɐm⁴⁵	
馅	ham⁵²	
陷	ham⁵²	
阚	hɐm⁵²	
憾	hɐm⁵²	
撼	hɐm⁵²	
鹇	han²¹	
娴	han²¹	
闲	han²¹	
痕	hɐn²¹	
恳	hɐn³⁵	
垦	hɐn³⁵	
狠	hɐn³⁵	
很	hɐn³⁵	
庆	hɐn⁴⁴³	
悭	han⁴⁵	
兄	hɐn⁴⁵	
馨	hɐn⁴⁵	
罄	hɐn⁴⁵	
卿	hɐn⁴⁵	
氢	hɐn⁴⁵	
轻	hɐn⁴⁵	
限	han⁵²	
恨	hɐn⁵²	
衡	hɐŋ²¹	
桁	hɐŋ²¹	
恒	hɐŋ²¹	
啃	hɐŋ³⁵	
肯	hɐŋ³⁵	
铿	hɐŋ⁴⁵	
坑	hɐŋ⁴⁵	
哼	hɐŋ⁴⁵	
亨	hɐŋ⁴⁵	
悻	hɐŋ⁵²	
幸	hɐŋ⁵²	
杏	hɐŋ⁵²	
洽	hɐp⁴⁵	
狭	hap⁵²	
峡	hap⁵²	
侠	hap⁵²	
阖	hɐp⁵²	
颌	hɐp⁵²	
盒	hɐp⁵²	
瞎	hat⁴	
乞	hɐt⁴⁵	
吃	hɐt⁴⁵	
辖	hɐt⁵²	
迄	hɐt⁵²	
姣	hau²¹	
厚	hɐu²¹	
吼	hɐu²¹	
猴	hɐu²¹	
喉	hɐu²¹	
侯	hɐu²¹	
嚎	hɐu²¹	
壕	hɐu²¹	
豪	hɐu²¹	
毫	hɐu²¹	
蚝	hɐu²¹	
巧	hau³⁵	
考	hau³⁵	
口	hɐu³⁵	
孝	hau⁴⁴³	
敲	hau⁴⁵	
烤	hau⁴⁵	
酵	hau⁴⁵	
效	hau⁵²	
候	hɐu⁵²	
后	hɐu⁵²	
浩	hɐu⁵²	
号	hɐu⁵²	
壳	hɔk⁴	
学	hɔk⁵²	
鹤	hɔk⁵²	
行	hɔŋ²¹	
降	hɔŋ²¹	
航	hɔŋ²¹	
杭	hɔŋ²¹	
腔	hɔŋ⁴⁵	
眶	hɔŋ⁴⁵	
筐	hɔŋ⁴⁵	
匡	hɔŋ⁴⁵	
糠	hɔŋ⁴⁵	
康	hɔŋ⁴⁵	
巷	hɔŋ⁵²	
项	hɔŋ⁵²	
喜	hi³⁵	
起	hi³⁵	
岂	hi³⁵	
戏	hi⁴⁴³	
器	hi⁴⁴³	
汽	hi⁴⁴³	
弃	hi⁴⁴³	
气	hi⁴⁴³	
禧	hi⁴⁵	
曦	hi⁴⁵	
羲	hi⁴⁵	
