			單字	原註	
			東		ɗʊŋ453
			凍		ɗʊŋ523
			鶇		ɗʊŋ453
			通		tʰʊŋ453
			俑		jʊŋ44
			桐		tʊŋ231
			洞		tʊŋ212
			筒		tʊŋ231
			銅		tʊŋ231
			僮	書僮	tʊŋ231
			僮	僮族	tʃœŋ523
			童		tʊŋ231
			同		tʊŋ231
			仝		tʊŋ231
			聾		lʊŋ231
			朧		lʊŋ231
			嚨		lʊŋ231
			瓏		lʊŋ231
			籠		lʊŋ231
			隆		lʊŋ231
			窿		lʊŋ453
			聰		tʰʊŋ453
			囪		tʰʊŋ453
			蔥		tʰʊŋ453
			叢		ɬʊŋ231
			嵩		ɬʊŋ453
			衷		tʃʊŋ453
			忠		tʃʊŋ453
			中	中間	tʃʊŋ453
			中	中獎	tʃʊŋ523
			忡		tʃʰʊŋ453
			蟲		ʃʊŋ231
			沖		tʃʰʊŋ453
			崇		ʃʊŋ231
			眾		tʃʊŋ523
			螽		tʃʊŋ453
			終		tʃʊŋ453
			充		tʃʰʊŋ453
			絨		jʊŋ231
			功		kʊŋ453
			工		kʊŋ453
			蚣		kʊŋ453
			公		kʊŋ453
			攻		kʊŋ453
			躬		kʊŋ453
			宮		kʊŋ453
			弓		kʊŋ453
			空		hʊŋ453
			穹		kʊŋ231
			訌		ʔʊŋ231
			洪		ʔʊŋ231
			虹		ʔʊŋ231
			烘		ʔʊŋ453
			紅		ʔʊŋ231
			紅		kʊŋ453
			鴻		ʔʊŋ231
			翁		ʔʊŋ453
			蓊		ʔʊŋ453
			雄		ʔʊŋ231
			熊		jʊŋ231
			融		jʊŋ231
			楓		fʊŋ453
			風		fʊŋ453
			蓬		pʊŋ231
			篷		pʊŋ231
			蜂		fʊŋ453
			梵		fan231
			馮	馮姓	fʊŋ231
			馮	暴虎馮河	pɐŋ231
			矇		mʊŋ231
			濛		mʊŋ231
			朦		mʊŋ231
			檬		mʊŋ231
			蒙		mʊŋ231
			夢		mʊŋ212
			豐		fʊŋ453
			窮		tʃʊŋ231
			董		ɗʊŋ44
			桶		tʰʊŋ44
			動		tʊŋ24
			攏		lʊŋ24
			總		tʊŋ44
			孔		hʊŋ44
			俸		fʊŋ212
			懵		mʊŋ44
			棟		tʊŋ212
			痛		tʰʊŋ523
			弄		lʊŋ212
			粽		tʊŋ523
			送		ɬʊŋ523
			仲		tʃʊŋ212
			銃		tʃʰʊŋ523
			貢		kʊŋ212
			哄	哄騙	hʊŋ44
			哄	亂哄哄	hʊŋ453
			甕		ʊŋ523
			諷		fʊŋ44
			鳳		fʊŋ212
			啄		ɗiɐk45
			竺		tʃʊk45
			禿		tʰʊk45
			犢		tʊk212
			獨		tʊk212
			瀆		tʊk212
			讀	朗讀	tʊk212
			讀	句讀	tɐɔ212
			麓		lʊk212
			鹿		lʊk212
			漉		lʊk212
			碌		lʊk45
			角		kœk523
			祿		lʊk212
			陸		lʊk212
			六		lʊk212
			蹙		tʰʊk45
			簇		tʰʊk45
			蹴		tʰʊk45
			族		ɬʊk212
			鑿		ɬœk212
			速		tʰʊk45
			肅		ɬʊk45
			夙		ɬʊk45
			竹		tʃʊk45
			築		tʃʰʊk45
			逐		tʃʊk212
			軸		tʃʊk212
			筑		tʃʰʊk45
			矗		tʃʰʊk45
			縮		ʃʊk45
			淑		ʃʊk212
			熟		ʃʊk212
			塾		ʃʊk212
			孰		ʃʊk212
			倏		ʃʊk45
			叔		ʃʊk45
			肉		ȵʊk212
			穀		kʊk45
			谷	山谷	kʊk45
			谷	吐谷渾	jy212
			掬		kʊk45
			鞠		kʊk45
			菊		kʊk45
			哭		hʊk45
			麴		kʰʊk45
			蓄		tʃʰʊk45
			斛		ʔʊk212
			屋		ʔʊk45
			郁		jʊk45
			粥		tʃʊk45
			鬻		jʊk212
			育		jʊk212
			昱		jʊk45
			蹼		ɓʊk45
			卜		ɓʊk45
			腹		fʊk45
			蝠		fʊk45
			福		fʊk45
			幅		fʊk45
			僕		pʰʊk45
			服		fʊk212
			匐		fʊk212
			馥		fʊk45
			木		mʊk212
			沐		mʊk212
			睦		mʊk212
			穆		mʊk212
			目		mʊk212
			牧		mʊk212
			撲		pʰʊk45
			冬		ɗʊŋ453
			疼	疼痛	tʰʊŋ523
			彤		tʊŋ231
			鼕		ɗʊŋ453
			農		nʊŋ231
			膿		nʊŋ231
			宗		tʊŋ453
			淙		tʊŋ453
			鬃		tʊŋ453
			鬆		ɬʊŋ453
			統		tʰʊŋ44
			綜		tʊŋ453
			宋		ɬʊŋ523
			篤		ɗʊk45
			督		ɗʊk45
			毒		tʊk212
			褥		ȵʊk212
			酷		kʊk212
			沃		jʊk45
			濃		nʊŋ231
			龍		lʊŋ231
			縱	縱橫	tʊŋ523
			蹤		tʊŋ453
			樅		tʊŋ453
			從	跟從	ɬʊŋ231
			從	從容	
			松		ɬʊŋ231
			訟		ɬʊŋ212
			重	重新	ʃʊŋ231
			重	重量	ʃʊŋ24
			重	重要	ʃʊŋ24
			鐘		tʃʊŋ453
			忪	怔忪	tʃʊŋ453
			忪	惺忪	ɬʊŋ453
			鍾		tʃʊŋ453
			憧		tʃʰʊŋ453
			衝	衝鋒	tʃʰʊŋ453
			衝	衝勁	tʃʰʊŋ523
			舂		tʃʊŋ453
			茸		ȵʊŋ231
			共		kʊŋ212
			恭		kʊŋ453
			供	提供	kʊŋ453
			供	供奉	kʊŋ523
			凶		hʊŋ453
			洶		hʊŋ453
			兇		hʊŋ453
			匈		hʊŋ453
			雍		jʊŋ453
			蓉		jʊŋ231
			溶		jʊŋ231
			容		jʊŋ231
			傭		jʊŋ231
			鎔		jʊŋ231
			頌		ɬʊŋ212
			庸		jʊŋ453
			封		fʊŋ453
			逢		pʊŋ231
			縫	裁縫	fʊŋ231
			縫	裂縫	fʊŋ212
			鋒		fʊŋ453
			烽		fʊŋ453
			丰		fʊŋ453
			隴		lʊŋ24
			聳		ɬʊŋ44
			悚		ɬʊŋ44
			慫		ɬʊŋ44
			冢		tʃʊŋ44
			塚		tʃʊŋ44
			寵		tʃʰʊŋ44
			踵		tʃʊŋ44
			腫		tʃʊŋ44
			種	種子	tʃʊŋ44
			種	種植	tʃʊŋ523
			鞏		kʊŋ44
			拱		kʊŋ44
			恐		hʊŋ44
			擁		jʊŋ44
			恿		jʊŋ44
			蛹		jʊŋ44
			勇		jʊŋ44
			奉		pʊŋ212
			捧		ɓʊŋ44
			誦		ɬʊŋ212
			用		jʊŋ212
			綠		lʊk212
			錄		lʊk212
			促		tʰʊk45
			粟		ɬʊk45
			續		ɬʊk212
			俗		ɬʊk212
			燭		tʃʊk45
			囑		tʃʊk45
			矚		tʃʊk45
			屬	屬文	tʃʊk45
			屬	屬於	ʃʊk212
			觸		tʃʊk45
			鐲		tʃʊk212
			蜀		tʃʊk45
			束		tʃʰʊk45
			贖		ʃʊk212
			辱		ȵʊk212
			曲		kʰʊk45
			獄		ȵʊk212
			玉		ȵʊk212
			旭		jʊk45
			浴		jʊk212
			慾		jʊk212
			欲		jʊk212
			局		kʊk212
			樁		tʃœŋ453
			撞		tʃœŋ212
			幢	幡幢	
			幢	一幢樓	
			幢	海幢寺	
			雙		ʃœŋ453
			江		kœŋ453
