"繁体字"	"简体字"	"新晃凳寨"	"国际音标"	"说明"	
"吧"	"吧"	"ba1"	"pa13"		
"巴"	"巴"	"ba1"	"pa13"		
"疤"	"疤"	"ba1"	"pa13"		
"笆"	"笆"	"ba1"	"pa13"		
"粑"	"粑"	"ba1"	"pa13"		
"芭"	"芭"	"ba1"	"pa13"		
"鈀"	"钯"	"ba1"	"pa13"		
"八"	"八"	"ba2"	"pa11"		
"拔"	"拔"	"ba2"	"pa11"		
"捌"	"捌"	"ba2"	"pa11"		
"撥"	"拨"	"ba2"	"pa11"	"开拔"	
"魃"	"魃"	"ba2"	"pa11"		
"鮁"	"鲅"	"ba2"	"pa11"		
"把"	"把"	"ba3"	"pa21"		
"靶"	"靶"	"ba3"	"pa21"		
"壩"	"坝"	"ba5"	"pa45"		
"柄"	"柄"	"ba5"	"pa45"	"白读"	
"灞"	"灞"	"ba5"	"pa45"		
"罷"	"罢"	"ba5"	"pa45"		
"霸"	"霸"	"ba5"	"pa45"		
"捭"	"捭"	"bai3"	"pai21"		
"擺"	"摆"	"bai3"	"pai21"	"显摆"	
"拜"	"拜"	"bai5"	"pai45"		
"敗"	"败"	"bai5"	"pai45"		
"稗"	"稗"	"bai5"	"pai45"		
"扳"	"扳"	"ban1"	"pan13"		
"斑"	"斑"	"ban1"	"pan13"		
"班"	"班"	"ban1"	"pan13"		
"癍"	"癍"	"ban1"	"pan13"		
"頒"	"颁"	"ban1"	"pan13"		
"板"	"板"	"ban3"	"pan21"		
"版"	"版"	"ban3"	"pan21"		
"舨"	"舨"	"ban3"	"pan21"		
"鈑"	"钣"	"ban3"	"pan21"		
"闆"	"板"	"ban3"	"pan21"		
"辦"	"办"	"ban5"	"pan45"		
"幫"	"帮"	"bang1"	"paŋ13"		
"梆"	"梆"	"bang1"	"paŋ13"		
"浜"	"浜"	"bang1"	"paŋ13"		
"邦"	"邦"	"bang1"	"paŋ13"		
"榜"	"榜"	"bang3"	"paŋ21"		
"綁"	"绑"	"bang3"	"paŋ21"		
"蒡"	"蒡"	"bang3"	"paŋ21"		
"傍"	"傍"	"bang5"	"paŋ45"		
"棒"	"棒"	"bang5"	"paŋ45"		
"蚌"	"蚌"	"bang5"	"paŋ45"		
"謗"	"谤"	"bang5"	"paŋ45"		
"包"	"包"	"bao1"	"pau13"		
"孢"	"孢"	"bao1"	"pau13"		
"胞"	"胞"	"bao1"	"pau13"		
"苞"	"苞"	"bao1"	"pau13"		
"褒"	"褒"	"bao1"	"pau13"		
"保"	"保"	"bao3"	"pau21"		
"堡"	"堡"	"bao3"	"pau21"		
"寶"	"宝"	"bao3"	"pau21"		
"煲"	"煲"	"bao3"	"pau21"		
"葆"	"葆"	"bao3"	"pau21"		
"褓"	"褓"	"bao3"	"pau21"		
"飽"	"饱"	"bao3"	"pau21"		
"鴇"	"鸨"	"bao3"	"pau21"		
"報"	"报"	"bao5"	"pau45"		
"抱"	"抱"	"bao5"	"pau45"		
"暴"	"暴"	"bao5"	"pau45"		
"曝"	"曝"	"bao5"	"pau45"		
"爆"	"爆"	"bao5"	"pau45"		
"爆"	"爆"	"bao5"	"pau45"		
"豹"	"豹"	"bao5"	"pau45"		
"趵"	"趵"	"bao5"	"pau45"		
"鉋"	"刨"	"bao5"	"pau45"		
"鮑"	"鲍"	"bao5"	"pau45"		
"齙"	"龅"	"bao5"	"pau45"		
"伯"	"伯"	"be2"	"pe11"		
"佰"	"佰"	"be2"	"pe11"		
"北"	"北"	"be2"	"pe11"		
"柏"	"柏"	"be2"	"pe11"		
"白"	"白"	"be2"	"pe11"		
"百"	"百"	"be2"	"pe11"		
"舶"	"舶"	"be2"	"pe11"		
"卑"	"卑"	"bei1"	"pəi13"		
"悲"	"悲"	"bei1"	"pəi13"		
"杯"	"杯"	"bei1"	"pəi13"		
"盃"	"杯"	"bei1"	"pəi13"		
"碑"	"碑"	"bei1"	"pəi13"		
"陂"	"陂"	"bei1"	"pəi13"		
"鵯"	"鹎"	"bei1"	"pəi13"		
"擺"	"摆"	"bei3"	"pəi21"	"白读，做"	
"倍"	"倍"	"bei5"	"pəi45"		
"備"	"备"	"bei5"	"pəi45"		
"唄"	"呗"	"bei5"	"pəi45"		
"悖"	"悖"	"bei5"	"pəi45"		
"憊"	"惫"	"bei5"	"pəi45"		
"揹"	"背"	"bei5"	"pəi45"		
"焙"	"焙"	"bei5"	"pəi45"		
"狽"	"狈"	"bei5"	"pəi45"		
"碚"	"碚"	"bei5"	"pəi45"		
"背"	"背"	"bei5"	"pəi45"		
"背"	"背"	"bei5"	"pəi45"		
"蓓"	"蓓"	"bei5"	"pəi45"		
"被"	"被"	"bei5"	"pəi45"		
"褙"	"褙"	"bei5"	"pəi45"		
"貝"	"贝"	"bei5"	"pəi45"		
"輩"	"辈"	"bei5"	"pəi45"		
"邶"	"邶"	"bei5"	"pəi45"		
"鋇"	"钡"	"bei5"	"pəi45"		
"韝"	"鞴"	"bei5"	"pəi45"		
"奔"	"奔"	"ben1"	"pən13"		
"賁"	"贲"	"ben1"	"pən13"		
"錛"	"锛"	"ben1"	"pən13"		
"本"	"本"	"ben3"	"pən21"		
"畚"	"畚"	"ben3"	"pən21"		
"苯"	"苯"	"ben3"	"pən21"		
"憑"	"凭"	"ben4"	"pən45"	"白，依靠"	
"坌"	"坌"	"ben5"	"pən45"		
"奔"	"奔"	"ben5"	"pən45"		
"笨"	"笨"	"ben5"	"pən45"		
"篦"	"篦"	"bi1"	"pi13"		
"蓖"	"蓖"	"bi1"	"pi13"		
"壁"	"壁"	"bi2"	"pi11"	"壁头"	
"弼"	"弼"	"bi2"	"pi11"		
"必"	"必"	"bi2"	"pi11"		
"畢"	"毕"	"bi2"	"pi11"		
"筆"	"笔"	"bi2"	"pi11"		
