tsɿ³³租知{知识}蜘{文读}踟支枝肢资姿咨痴之芝嗤膣置
tsɿ³¹祖组阻紫纸只旨指子梓蛆栀脂
tsɿ⁵³志誌痣智稚至
tsʰɿ³³粗初雌疵
tsʰɿ²¹³锄池驰匙瓷迟兹滋慈磁辞词祠持雉嗣饲
tsʰɿ³¹楚础此侈耻止趾址始齿助疵茨自寺治
tsʰɿ⁵³醋刺赐次厕
sɿ³³苏酥梳疏蔬斯撕施私师狮蛳尸司丝思诗
sɿ²¹³匙时鲥
sɿ³¹豕是{文读}氏屎祀痔士仕柿俟史驶使恃誓豉视嗜字事使侍
sɿ⁵³素诉数{(数目)}世逝示伺试漱蒔市数{(数一数)}
ɿ³³医衣依
ɿ²¹³倪霓儿移夷姨
ɿ³¹椅以易{(容易)}异
ɿ⁵³意亿
pi³³蓖碑卑篦婢
pi³¹比鄙秕髀臂
pi⁵³蔽敝毙闭篦秘泌庇痹畀陛
pʰi³³稗披纰彼被{(被子)}
pʰi²¹³皮疲脾琵枇
pʰi³¹痞弊币被{(被动)}避备鼻
pʰi⁵³屁譬
mi³³美
mi²¹³迷糜弥眉楣微谜{~语，破~}靡媚
mi³¹米
ti³³知
ti⁵³帝蒂嚏翅
tʰi²¹³堤题提
tʰi³¹体地递逮涕第
li³³礼里理鲤
li²¹³篱璃离{(离开)}梨厘狸谊宜离{(离别)}
li³¹履裹脷{舌头}李吏厉励丽隶荔蜊利痢
tsi³³姊帜
tsʰi⁵³剂挤祭济际
tsʰi³³妻凄淒
tsʰi²¹³脐荠糍
tsʰi⁵³似致牸
si³³西栖奚兮撕藉
si³¹死巳
si⁵³四肆肄
ȵi³³汝尔你
ȵi²¹³仪疑凝
ȵi³¹耳饵义腻二贰
ȵi⁵³议拟
ki³³饥肌麂几{(几乎)}基机饑几{(茶几)}
ki²¹³佢
ki³¹己杞秸几{(几个)}
ki⁵³继髻寄冀纪记忌既己
kʰi³³牺欺熙希稀崎{很陡}企岐歧技妓倚徛
kʰi²¹³奇{~数，~怪}骑祁其棋期旗麒祈沂蜞
kʰi³¹起喜岂嬉
kʰi⁵³去{来~}戏器弃气汽去{除~}
i³¹矣缢瞖
pa³³巴芭疤笆爸
pa³¹把
pa⁵³霸壩坝欛
pʰa²¹³爬琶杷耙
pʰa³¹罢
pʰa⁵³怕帕
ma³³妈马码
ma²¹³麻痳蟆
ma⁵³骂
fa³³花
fa²¹³华{(中华、姓)}桦铧
fa³¹画
fa⁵³化
va³³蛙洼畦蛙划
va³¹话
tʰa³³他它
la³³挪拿
la²¹³□{~kʰia213:蜘蛛}
la³¹哪那
la⁵³罅{沟，缝隙}
tsa³³渣楂搓渣{~滓}
tsa⁵³诈榨炸乍
tsʰa³³叉汊杈差{(差别、差错、出差)}
tsʰa²¹³查茶搽
tsʰa³¹髽
tsʰa⁵³岔
sa³³沙纱
sa³¹洒耍
ʧa³³遮
ʧa⁵³蔗鹧
ʧʰa³³车奢赊
ʧʰa³¹扯
ʃa²¹³佘蛇
ʃa³¹射麝
ʃa⁵³舍捨赦
ka³³家加痂傢嘉佳
ka³¹假{(非真)}贾{(假期)}
ka⁵³架驾嫁稼价
kʰa³¹揢
kʰa⁵³卡
ŋa²¹³牙芽衙砑
ŋa³¹雅瓦{名词：砖~，动词:施~于屋}
ha³³哈
ha²¹³虾霞遐暇蝦
ha³¹厦{高楼大~，~门}下{底~}夏{姓，春~}吓
a³³阿鸦丫桠亚
a³¹哑
pu³³晡□{(蹲下去)}
pu³¹补斧
pu⁵³布佈怖
pʰu³³铺浦普
pʰu²¹³蒲菩葡扶符{咒~}脯
pʰu³¹谱圃部簿甫孵菢步捕
pʰu⁵³铺{店~}
mu³³母
mu²¹³模巫诬
mu³¹拇
mu⁵³暮慕墓募
fu³³呼乎夫肤敷俘麸
fu²¹³胡湖狐壶葫鬍蝴糊瓠符{~号}芙
fu³¹虎浒户沪府腑俯父釜腐辅妇负互护附
fu⁵³戽付赋傅咐赴讣驸富副
vu³¹戊抚
tu³³都{~是，~城}
tu³¹堵赌肚{腹~，胃}
tu⁵³妒
tʰu²¹³徒屠途涂图
tʰu³¹土渡镀度
tʰu⁵³吐{呕~，~痰}兔杜
lu³³鲁橹虏卤黸{铁生锈}
lu²¹³奴卢炉芦鸬庐驴
lu³¹路赂怒
lu⁵³露{~出来}鹭
ku³³姑孤鸪辜估
ku³¹古牯股鼓
ku⁵³故固锢雇顾
kʰu³³箍枯
kʰu³¹苦
kʰu⁵³库裤
vu³³乌污坞侮
vu²¹³无娱
vu³¹武舞鹉务雾
vu⁵³恶{厌恶}
ly³³吕旅
ly³¹虑滤
tsʰy³³趋
tsʰy²¹³徐
tsʰy³¹取娶
tsʰy⁵³趣
sy³³须鬚需
sy³¹序叙绪絮
ʧy³³猪诸居诛蛛株朱殊珠
ʧy³¹煮拄主
ʧy⁵³著褚驻註注蛀铸
ʧʰy³³苧柱箸
ʧʰy²¹³除储渠厨橱雏
ʧʰy³¹杵鼠住黍
ʧʰy⁵³处{相~，~所}
ȵy²¹³盂
ȵy³¹女遇
ʃy³³书舒墟虚嘘输{~贏，運~}
ʃy²¹³殊薯
ʃy³¹暑许竖树{~木，~立}庶恕署
ʃy⁵³戍
ky³³拘驹車{~馬炮}
ky³¹举矩
ky⁵³据锯句
kʰy³³区驱拒距俱樞
kʰy²¹³巨
kʰy³¹瞿具惧
ŋy³³语
ŋy²¹³魚漁
y²¹³余馀儒愚虞于榆逾如於淤擩而
y³¹与寓宇禹羽愈雨誉预豫愉喻裕
y⁵³芋
tʰia³³爹
tsia³¹姐
tsia⁵³借
tsʰia³³褯
tsʰia²¹³斜□{~日：昨天}
tsʰia³¹且谢
sia³³些
sia²¹³邪
sia³¹写
sia⁵³泻卸
ȵia³³惹
kia³³跒{(~手~腳：手脚不灵便)}
kʰia³¹跒{(叉开腿)}
ia³³野
ia²¹³椰爷
ia³¹夜搲
ia⁵³也
pai³¹摆
pai⁵³拜
pʰai²¹³排牌簰
pʰai³¹败
pʰai⁵³派
mai³³买
mai²¹³埋
mai⁵³卖迈
fai³¹坏
tai³¹大{~夫}
tai⁵³戴带
tʰai³³□{苗延伸過來}
tʰai³¹大{~小}
tʰai⁵³态泰太
lai³³奶□{排行最末的}
lai³¹赖乃奈
lai⁵³癞耐捺
tsai³³灾斋
tsai³¹宰
tsai⁵³再债
tsʰai³³猜钗差在
tsʰai²¹³柴
tsʰai⁵³蔡寨茬
sai²¹³豺
sai³¹徙璽
sai⁵³晒
kai³³皆阶谐街
kai³¹解{~開，押~，姓，曉也}
kai⁵³介界芥尬疥届戒□{個}
kʰai³¹楷
ŋai²¹³涯崖捱
ŋai³¹雁
hai³³揩
hai²¹³孩鞋還
hai³¹蟹械懈
ai³³埃挨
ai⁵³隘
pɔi⁵³背{腰~}
pʰɔi²¹³赔
pʰɔi³¹吠焙
pʰɔi⁵³背{(背诵)}
mɔi²¹³梅枚媒煤莓霉脢
mɔi⁵³妹
fɔi³³恢灰
fɔi²¹³怀槐淮
vɔi³³煨歪
tɔi⁵³碓
tʰɔi³³胎苔{舌~，青~}梯
tʰɔi²¹³台抬臺
tʰɔi³¹待怠殆贷
tʰɔi⁵³代袋
lɔi²¹³来
tsɔi³³载{(满载)}□{男陰}
tsɔi³¹裁
tsɔi⁵³载{(一年半载，~重)}
tsʰɔi²¹³才材财裁
tsʰɔi³¹彩采睬
tsʰɔi⁵³菜
sɔi³³腮鳃衰
sɔi³¹髓
ʧɔi⁵³嘴
ʃɔi³¹睡
ʃɔi⁵³賽税帅說{游~}
kɔi³³该乖
kɔi³¹改拐
kɔi⁵³盖怪
kʰɔi³³开
kʰɔi³¹凯刽桧侃
kʰɔi⁵³概丐溉慨块快筷
ŋɔi²¹³呆
ŋɔi³¹碍外
hɔi³¹海亥害骇
ɔi³³哀
ɔi³¹蔼
ɔi⁵³爱
pei³³胚坯跛{瘸}
pʰei³³批
mei³³姆{(阿~：母亲称呼)}
vei³³倭踒
vei³¹捶{(捶种子)}
tei³³低
tei³¹底抵
tʰei³³弟
tʰei²¹³蹄啼
tʰei⁵³替剃
lei²¹³泥{~土}犁黎雷擂尼
lei³¹例
tsʰei³³筛
tsʰei²¹³齐
sei³³犀荽
sei³¹洗
sei⁵³细婿
ʧei³¹滞
ʧei⁵³制製
ʧʰei⁵³砌
ʃei⁵³势
kei³³鸡擊
kei⁵³计
kʰei³³稽溪
kʰei³¹启□{累}
kʰei⁵³契
ŋei³¹艺
ŋei⁵³艾蚁
hei⁵³系係繫
ei³¹矮
pui³³杯悲
pui⁵³贝辈揹
pʰui²¹³培裴陪
pʰui⁵³沛配佩倍
mui³³每尾娓
mui³¹昧寐味
fui³³非飞妃挥辉徽匪榧翡䨾
fui²¹³回茴肥
