tsɿ[1]支枝知肢栀蜘龇姿资谘之芝孜兹孳滋辎吱隻{量词}
tsɿ[2]咫帜汁执侄质织直值职植殖隻{又}
tsɿ[3]紫祗脂旨指姊止址趾仔籽子梓芷祉只{～是}
tsɿ[5]制滞智至致稚雉自寺志治痣置字窒秩痔炙掷
tsʰɿ[1]疵痴
tsʰɿ[2]弛池驰匙迟茨瓷糍持词祠慈辞磁叱秩尺赤吃雌斥
tsʰɿ[3]侈此齿耻
tsʰɿ[5]翅赐次侍刺伺
sɿ[1]施斯撕尸师狮私蛳厮诗丝司思
sɿ[2]匙矢时埘湿十拾失实室识蚀食饰石适释
sɿ[3]屎死史使始驶什豕
sɿ[5]世势逝誓豉氏是示视嗜四肆士仕市事试柿巳似祀饲式适恃侍嗣
pi[1]屄{女阴}
pi[2]鼻笔必毕逼碧璧壁辟{复～}
pi[3]彼匕比妣譬
pi[5]惫币毙敝弊蔽鐾闭陛被避臂备秘滗痹蓖庇
pʰi[1]批砒披丕纰
pʰi[2]皮疲脾匹劈霹闢{开～}
pʰi[3]鄙痞
pʰi[5]屁癖
mi[1]咪眯
mi[2]迷弥猕縻靡麋密蜜醚祢眉
mi[3]米
mi[5]谜秘觅泌沕{潜水}
ti[1]低的{助词}
ti[2]滴敌涤荻笛嫡的{目～}
ti[3]底抵砥
ti[5]逮弟帝递第缔蒂隶地{大～}
tʰi[1]梯锑
tʰi[2]堤啼提题蹄屉踢
tʰi[3]体剔
tʰi[5]剃涕替嚏剔{又}
ni[2]泥倪霓宜谊呢尼疑匿逆溺
ni[3]你
ni[5]腻
li[2]犁黎离璃篱梨厘狸立笠粒栗力历沥
li[3]礼李里理鲤
li[5]厉励例丽荔利痢吏沥脷{～钱，指舌头}
ʨi[1]唧叽
ʨi[2]缉集辑疾即鲫迹积瘠籍脊绩寂
ʨi[3]挤
ʨi[5]际祭剂济
ʨʰi[1]妻凄栖
ʨʰi[2]齐脐荠七漆戚
ʨʰi[5]砌沏
ɕi[1]西犀曦熙熹汐蜥
ɕi[2]习袭悉蟋息熄媳夕昔惜席析晰锡
ɕi[3]洗玺徙使铣□{哄骗}
ɕi[5]细隙
ki[1]鸡饥肌姬基箕讥机稽几{茶～}叽{又}奇{～数}
ki[2]及汲级急吸吉极棘戟击激
ki[3]麂己纪杞幾几{～斤～两}
ki[5]计继髻妓技寄记忌既季悸嫉伎
kʰi[1]欺
kʰi[2]奇歧崎骑期其骐棋祺旗麒祈乞讫迄鳍
kʰi[3]启起岂
kʰi[5]契企器气汽弃泣系{～鞋带}
hi[1]稀溪嘻希牺嬉奚犀
hi[5]戏系{～统}
hi[3]喜禧囍
ŋi[2]疑{又}逆{又}遗{～留}
ŋi[3]蚁拟议{会～}
ŋi[5]议{～论}
i[1]裔倚伊医衣依揖
i[2]诣缢仪宜移谊夷姨彝懿怡胰颐邑日一壹乙逸溢抑液腋亦译驿益遗{～言}
i[3]椅已以矣
i[5]艺呓翳义冀骥肄异意亿忆翌翼易毅臆逸奕弈缢役
pu[2]不
pu[3]补辅{～导}
pu[5]布步怖部埠簿蔔{萝～}
pʰu[1]铺潽{水烧开溢出}
pʰu[2]脯匍菩葡蒲讣赴朴醭卜扑僕瀑仆
pʰu[3]哺捕圃浦普谱甫脯辅堡{地名，李家～}潽{～洱茶}
pʰu[5]舖
mu[1]巫诬
mu[2]模木沐目睦穆牧诬{～告}
mu[3]母姆拇
mu[5]募墓慕暮幕
fu[1]乎呼夫敷肤孵
fu[2]弧狐胡壶湖葫糊蝴凫扶芙俘符沸忽佛弗拂伏服茯匐幅福辐蝠复腹覆袱
fu[3]虎浒抚府斧俯釜腑腐{～烂}
fu[5]互户护沪戽父付附咐驸赋妇负阜副富赴缚腐{豆～}
tu[1]都嘟
tu[2]读牍独督毒
tu[3]堵赌肚
tu[5]妒杜肚度渡镀
tʰu[2]图徒涂途屠突秃凸
tʰu[3]土吐{～口水}
tʰu[5]兔吐{谈～}菟{～丝子}
nu[2]奴
nu[3]努弩
nu[5]怒
lu[1]噜撸漉{湿～～}
lu[2]卢芦炉鸬庐驴鹿禄碌六陆录绿颅
lu[3]卤虏掳鲁橹
lu[5]赂路鹭露{又}
tsu[1]租
tsu[2]卒浊族粥轴竹竺逐祝烛足筑瞩嘱
tsu[3]组祖阻
tsu[5]助
tsʰu[1]粗初
tsʰu[2]锄猝簇畜筑触促雏
tsʰu[3]础楚
tsʰu[5]醋
su[1]苏酥梳疏蔬
su[2]速叔淑塾熟夙肃宿缩赎蜀束俗粟续属
su[3]数
su[5]诉素塑漱数夙
ku[1]姑孤鸪辜箍估菇盬
ku[2]骨谷穀
ku[3]估沽古股牯蛊鼓
ku[5]固故顾雇
kʰu[1]枯麸箍
kʰu[2]窟哭
kʰu[3]苦
kʰu[5]库裤酷
u[1]乌污呜巫诬沃
u[2]吴吾梧蜈无芜勿物握屋
u[3]五午伍忤武侮鹉舞
u[5]恶误悟晤务雾鹜戊兀毋
ny[3]女
ly[2]驴律率
ly[3]闾吕侣旅履缕褛铝
ly[5]滤虑
ʨy[1]疽诸猪朱诛株珠蛛侏
ʨy[2]卒
ʨy[3]煮主
ʨy[5]著聚拄住注驻柱炷蛀铸
ʨʰy[1]蛆趋黢□{伸，如～头}□{眼睛～}
ʨʰy[2]除储厨贮出黜徐
ʨʰy[3]杵褚取娶处{～理}
ʨʰy[5]趣处{～长}
ɕy[1]书抒舒胥输须需戌殊枢
ɕy[2]薯殊术述恤续
ɕy[3]暑黍署鼠曙
ɕy[5]嗉恕庶墅序叙绪絮戍树竖婿旭酗蓄
ky[1]居车{～马炮}
ky[2]橘掬鞠菊局
ky[3]举矩
ky[5]巨拒炬倨据距锯句具俱惧剧
kʰy[1]拘驹区驱躯趋
kʰy[2]渠掘屈曲
kʰy[5]去
hy[1]虚嘘墟
hy[3]许
y[1]淤迂
y[2]如余於鱼馀渔舆儒濡于盂禺竽娱隅愚虞入域茹韦
y[3]汝与屿语乳宇羽雨禹予
y[5]驭预御誉豫俞愉逾芋喻寓遇愈尉玉域役疫裕浴郁
pa[1]巴芭疤笆爸粑扒{～开}
pa[2]八拔跋
pa[3]把靶爸{又}
pa[5]坝罢霸欛
pʰa[1]趴啪
pʰa[2]杷爬耙琶筢扒{～手}
pʰa[3]挀
pʰa[5]帕怕
ma[1]妈蟆
ma[2]麻抹蟆{又}
ma[3]马码蚂
ma[5]骂
fa[1]花
fa[2]发乏伐罚阀筏法滑猾华划{～船}
fa[5]话化画划{计～}
ta[2]搭达沓答
ta[3]打
ta[5]大
tʰa[1]他她它
tʰa[2]塌塔獭榻踏遢拓{～片}
na[2]拿纳钠捺娜
na[3]哪
na[5]那
la[1]拉剌垃
la[2]邋揦喇腊揧蜡辣擸
la[5]旯□{漫延}
tsa[1]渣楂扎蚱
tsa[2]杂砸扎札闸铡眨匝煠{油～,用水煮}厏{厊～:不讲理}□{投掷，扔}
tsa[5]乍诈栅榨柞炸{～弹}
tsʰa[1]叉杈衩差岔{三～，宜州一乡镇名}
tsʰa[2]擦插茶搽察查
tsʰa[5]岔
sa[1]萨沙纱砂痧裟鲨杉□{～勾，指小气}
sa[2]圾卅杀刹煞霎啥
sa[3]撒洒厦傻{文}
ka[2]旮
ka[3]嘎{肉～～，儿童用语}
kʰa[1]□{癞～，指疥疮}
kʰa[3]卡
kʰa[5]胯
ŋa[1]閕桠
ŋa[2]厊{～厏:不讲理，爱闹事}
ŋa[3]哑
ŋa[5]砑
ha[1]哈瘕吓
ha[2]蝦{癞～蟆}
ha[3]哈
ha[5]哈{疑问语气词}
a[1]阿啊
pʰia[3]啪{拟声词，枪声}
lia[2]苶
sia[2]斜揲{塞，垫}
ʨʰia[3]喫
kia[1]加佳枷家痂袈嘉
kia[2]夹岬荚铗甲胛钾颊
kia[3]贾假
kia[5]价驾架嫁稼
kʰia[2]掐恰洽
ŋia[2]□{～火，指生气}
hia[1]虾
hia[2]瞎匣侠峡狭暇辖霞
hia[5]下夏厦
ŋia[1]□{黏}
ŋia[2]□{表面粗糙}□{心情不好}
ia[1]丫鸦
ia[2]压呀押鸭牙芽崖涯衙蚜伢轧
ia[3]哑雅
ia[5]亚讶
lua[1]捋□{降落}
lua[2]捋{又}
tsua[1]抓
tsua[2]錣{啄}
tsua[3]爪
sua[2]刷涮{淘汰}□{用鞭子抽打}
sua[3]耍
kua[1]瓜
kua[2]括刮
kua[3]剐寡
kua[5]卦挂褂
kʰua[1]夸跨
kʰua[3]垮
kʰua[5]胯挎{～包}
ua[1]洼娲蛙挖哇
ua[2]袜娃
ua[3]瓦
po[1]波玻菠
po[2]拨钵钹泼勃渤博搏薄缚剥驳泊脖帛舶□{～子，指冰雹}
po[3]跛簸□{吹牛}
po[5]播
pʰo[1]坡□{量词，相当于ə丛ə或ə簇ə}
pʰo[2]婆泼
pʰo[3]颇□{拼命}
pʰo[5]破
mo[1]摹摩魔摸
mo[2]磨魔模末沫膜莫漠陌脉蘑抹{～黑}没{淹～}
mo[3]□{～公，指巫师}
mo[5]磨
to[1]多
to[2]夺铎踱剢{刺、戳}
to[3]朵躲
to[5]舵剁堕惰跺垛
tʰo[1]拖
tʰo[2]驮陀驼鸵脱托拓砣
tʰo[3]妥椭
tʰo[5]唾
no[1]捼{搓}
no[2]挪诺喏
no[3]□{ə哪个ə的合音}
no[5]懦糯□{ə那个ə的合音}
lo[1]啰{～嗦}
lo[2]萝逻锣箩骡螺烙酪洛络骆落掠略脶罗乐{快～}
lo[3]卵裸攞{惹}□{～水，指落迫或不整齐}
lo[5]摞
tso[2]祚嘬凿昨作芍灼酌着卓捉桌浊琢镯茁拙
tso[3]左佐
tso[5]坐座
tsʰo[1]搓磋
tsʰo[2]撮绰戳
tsʰo[3]嗾{～火，指唆使}
tsʰo[5]挫锉措错龊
so[1]唆梭蓑娑嗦
so[2]索芍烁朔硕缩塑说{文}嗍{用嘴吸，～奶}
so[3]琐锁所唢
so[5]傻{白}
ko[1]哥歌戈锅
ko[2]鸽蛤割葛搁阁各郭角国
ko[3]果裹
ko[5]个过
kʰo[1]坷苛柯科蝌磕颗{又}
kʰo[2]瞌渴阔郝扩廓壳确藿
kʰo[3]可颗棵
kʰo[5]课嗑{～瓜子}
ŋo[2]俄娥峨鹅蛾鄂愕萼腭鳄讹锷□{刀口不锋利}
ŋo[3]我
ŋo[5]饿卧
ho[1]喝呵荷{薄～}
ho[2]何河禾和合盒盍阖曷褐活或获貉豁鹤荷{～花}
ho[3]火伙夥
ho[5]贺货祸惑
o[1]倭涡莴窝蜗凹屙挝
o[2]恶
o[5]涴龌
lio[2]掠略
ʨio[2]爵嚼
ʨʰio[2]雀鹊
ɕio[2]屑削
kio[2]脚
kʰio[2]却觉{～得}
ŋio[2]疟虐弱
hio[2]学
io[2]若药约钥跃岳乐{音～}
pə[1]擘
pə[2]箔北白百柏伯帛舶泊
pə[5]伯
pʰə[2]拍迫魄帕
pʰə[3]□{大吃大喝}
mə[1]擘{又}
mə[2]没墨默陌麦脉
tə[2]得德
tʰə[2]特忑
lə[1]勒
lə[2]勒肋
lə[3]□{厌恶}
lə[5]□{得意忘形}
tsə[2]则贼仄择泽宅窄责摘翟
tsʰə[2]厕侧恻测拆册策
sə[2]涩瑟虱塞色啬穑骰□{重孙}
kə[2]胳格革隔膈搁{又}阁{又}
kʰə[2]克刻客咳剋
kʰə[5]竭去{口语}
ŋə[2]额扼轭
ŋə[5]□{杀}
hə[2]嚇核劾黑赫
ə[2]儿而
ə[3]尔迩耳饵
ə[5]二贰
pɛ[1]揹
pɛ[2]别憋鳖
pɛ[3]瘪蹩□{口语中的ə屎ə}
pʰɛ[1]□{指扑克牌}
pʰɛ[2]撇瞥
mɛ[1]□{用手剥开东西的表皮}
mɛ[2]灭篾蔑乜{～斜，指醉酒样}
