漢字	IPA	注释
哑	a3	
氩	a5	
亚	a5	
鸦	a1	
丫	a1	
啊	a1	
矮	ai3	
隘	ai5	
哎	ai1	
握	ak7a	
扼	ak7a	
厄	ak7a	
黯	ɐm3	
暗	ɐm5	
庵	ɐm1	
晏	an5	
恩	ɐn1	
莺	ɐŋ1	
鸭	ap7b	
罯	ɐp7a	
押	at7b	
压	at7b	
益	ɐt7a	
忆	ɐt7a	
亿	ɐt7a	
拗	au3	
呕	ɐu3	
詏	au5	
坳	au5	
澳	ɐu5	
奥	ɐu5	
袄	ɐu5	
欧	ɐu1	
瓯	ɐu1	
噢	ɐu6	
垩	ɔk7b	白～
蕹	ɔŋ5	
盎	ɔŋ1	
肮	ɔŋ1	
化	fa5	
花	fa1	
筷	fai5	
快	fai5	
块	fai5	
栜	fɐi5	
费	fɐi5	
沸	fɐi5	
废	fɐi5	
肺	fɐi5	
吠	fɐi6	
梵	fan2	
繁	fan2	
烦	fan2	
矾	fan2	
凡	fan2	
藩	fan2	
帆	fan2	
愤	fɐn2	
奋	fɐn2	
焚	fɐn2	
坟	fɐn2	
反	fan3	
粉	fɐn3	
贩	fan5	
泛	fan5	
训	fɐn5	
粪	fɐn5	
返	fan1	
翻	fan1	
幡	fan1	
番	fan1	
薰	fɐn1	
勋	fɐn1	
婚	fɐn1	
荤	fɐn1	
纷	fɐn1	
芬	fɐn1	
范	fan6	
饭	fan6	
犯	fan6	
樊	fan6	
忿	fɐn6	
份	fɐn6	
珐	fat7b	
砝	fat7b	
拂	fɐt7a	
弗	fɐt7a	
狒	fɐt7a	
筏	fɐt8	
阀	fɐt8	
罚	fɐt8	
伐	fɐt8	
乏	fɐt8	
浮	fɐu2	
否	fɐu3	
缶	fɐu3	
阜	fɐu6	
霍	fɔk7b	
房	fɔŋ2	
妨	fɔŋ2	
防	fɔŋ2	
幌	fɔŋ3	
晃	fɔŋ3	
纺	fɔŋ3	
访	fɔŋ3	
仿	fɔŋ3	
放	fɔŋ5	
谎	fɔŋ1	
慌	fɔŋ1	
荒	fɔŋ1	
肓	fɔŋ1	
肪	fɔŋ1	
芳	fɔŋ1	
坊	fɔŋ1	
方	fɔŋ1	
淝	fi2	
肥	fi2	
翡	fi3	
榧	fi3	
斐	fi3	
诽	fi3	
匪	fi3	
绯	fi3	
徽	fi1	
麾	fi1	
蜚	fi1	
扉	fi1	
菲	fi1	
非	fi1	
妃	fi1	
飞	fi1	
夥	fo3	
钬	fo3	
伙	fo3	
火	fo3	
骒	fo5	
课	fo5	
货	fo5	
蝌	fo1	
稞	fo1	
科	fo1	
喙	foi5	
晦	foi5	
悔	foi5	
魁	foi1	
奎	foi1	
恢	foi1	
诙	foi1	
灰	foi1	
馥	fok7a	
覆	fok7a	
腹	fok7a	
蝠	fok7a	
福	fok7a	
辐	fok7a	
幅	fok7a	
斛	fok8	
袱	fok8	
茯	fok8	
服	fok8	
桓	fɵn2	
款	fɵn3	
髋	fɵn1	
宽	fɵn1	
獾	fɵn1	
欢	fɵn1	
缝	foŋ2	
逢	foŋ2	
冯	foŋ2	
俸	foŋ3	
讽	foŋ5	
蜂	foŋ1	
锋	foŋ1	
烽	foŋ1	
峰	foŋ1	
疯	foŋ1	
封	foŋ1	
枫	foŋ1	
风	foŋ1	
丰	foŋ1	
奉	foŋ6	
凤	foŋ6	
阔	fɵt7b	
妇	fu2	
符	fu2	
芙	fu2	
扶	fu2	
苦	fu3	
虎	fu3	
腑	fu3	
釜	fu3	
俯	fu3	
府	fu3	
斧	fu3	
抚	fu3	
裤	fu5	
库	fu5	
戽	fu5	
富	fu5	
赋	fu5	
副	fu5	
咐	fu5	
讣	fu5	
枯	fu1	
呼	fu1	
乎	fu1	
俘	fu1	
敷	fu1	
肤	fu1	
夫	fu1	
傅	fu6	
赴	fu6	
附	fu6	
负	fu6	
付	fu6	
父	fu6	
腐	fu6	
辅	fu6	
霞	ha2	
暇	ha2	
瑕	ha2	
遐	ha2	
虾	ha1	
哈	ha1	
夏	ha6	
下	ha6	
厦	ha6	
蟹	hai2	
邂	hai2	
鞋	hai2	
谐	hai2	
偕	hai2	
骸	hai2	
孩	hai2	
奚	hɐi2	
兮	hɐi2	
揩	hai1	
嗨	hai1	
瀣	hai6	
懈	hai6	
廨	hai6	
械	hai6	
系	hɐi6	
吓	hak7a	
客	hak7a	
刻	hak7a	
克	hak7a	
黑	hak7a	
赫	hak7a	
咸	ham2	
衔	hɐm2	
涵	hɐm2	
函	hɐm2	
含	hɐm2	
扻	hɐm3	
砍	hɐm3	
喊	ham5	
嵌	hɐm5	
堪	hɐm5	
鑫	hɐm1	
钦	hɐm1	
龛	hɐm1	
勘	hɐm1	
憨	hɐm1	
酣	hɐm1	
