汉字	音标	注释
多	tɔu¹¹	
拖	tʰɔu¹¹	
驼	tʰɔu⁴²	
舵	tʰɔu¹¹	
大	tʰai¹¹	
罗	lɔu⁴²	
锣	lɔu⁴²	~鼓
锣	lɔu³³	打~
箩	lɔu⁴²	
左	tsɔu²⁴	
搓	tsʰai¹¹	
歌	kɔu¹¹	
哥	kɔu³³	
个	kai⁵⁵	
可	kʰɔu²⁴	
鹅	ŋɔu⁴²	天~
鹅	ŋɔu³³	
我	ŋɔu⁵⁵	
饿	ŋɔu¹¹	
河	hɔu⁴²	
何	hɔu⁴²	
荷	hɔu⁴²	~花
贺	hɔu¹¹	
茄	kʰiɔu³³	
波	pɔu¹¹	
菠	pɔu¹¹	
簸	pui⁵⁵	~箕，不符合古今语音演变的对应规律
坡	pɔu¹¹	不符合古今语音演变的对应规律
玻	pɔu¹¹	不符合古今语音演变的对应规律
破	pʰɔu⁵⁵	
婆	pʰɔu⁴²	姐~
婆	pʰɔu³³	两公~
魔	mɔu⁴²	
磨	mɔu⁴²	~刀
磨	mɔu¹¹	~石
朵	tɔu²⁴	
妥	tʰɔu⁵⁵	不符合古今语音演变的对应规律
糯	nɔu¹¹	
脶	lɔu⁴²	指纹
螺	lɔu⁴²	田~
螺	lɔu³³	石~
坐	tsʰɔu⁵⁵	
座	tsʰɔu¹¹	
蓑	sɔu¹¹	
锁	sɔu²⁴	
果	kɔu²⁴	
过	kɔu⁵⁵	
科	kʰɔu¹¹	
课	kʰɔu⁵⁵	
卧	ŋɔu¹¹	
火	fu²⁴	
货	kʰɔu⁵⁵	
和	hɔu⁴²	~气
禾	vɔu⁴²	
祸	vɔu¹¹	
窝	vɔu¹¹	
靴	ʃɔu¹¹	
巴	pa¹¹	
疤	pa³³	
把	pa²⁴	~握
霸	pa⁵⁵	
把	pa²⁴	柄，不符合古今语音演变的对应规律
坝	pa⁵⁵	
怕	pʰa⁵⁵	
帕	pʰa³³	
爬	pʰa⁴²	
麻	ma⁴²	~哩
麻	ma³³	~油
马	ma⁵⁵	
骂	ma⁵⁵	不符合古今语音演变的对应规律
拿	na²⁴	不符合古今语音演变的对应规律
茶	tsʰa⁴²	
搽	tsʰa⁴²	
渣	tsa³³	
榨	tsa⁵⁵	
叉	tsʰa¹¹	打~
叉	tsʰa³³	丫~
差	tsʰa¹¹	~别
查	tsʰa⁴²	调~
沙	sa¹¹	嗓子嘶哑
沙	sa³³	
纱	sa¹¹	
家	ka¹¹	亲~
家	ka³³	自~
加	ka¹¹	
假	ka²⁴	真~
架	ka³³	
嫁	ka⁵⁵	
价	ka⁵⁵	
牙	ŋa⁴²	
芽	ŋa³³	
雅	ŋa²⁴	
虾	ha⁴²	
虾	ha³³	~公
霞	ha⁴²	
下	ha¹¹	~背
下	ha³³	底~
下	ka³³	屋~
下	ha⁵⁵	~山，不符合古今语音演变的对应规律
哑	a²⁴	
亚	a¹¹	不符合古今语音演变的对应规律
姐	tsɛi²⁴	不符合古今语音演变的对应规律
借	tsia⁵⁵	
且	tsʰia²⁴	
写	sia²⁴	
泻	sia⁵⁵	
邪	tsʰia⁴²	
斜	tsʰia⁴²	
谢	tsʰia¹¹	
遮	tʃa¹¹	
者	tʃa²⁴	
蔗	tʃa³³	
车	tʃʰa¹¹	~马
扯	tʃʰa²⁴	
蛇	ʃa⁴²	
赊	tʃʰa¹¹	不符合古今语音演变的对应规律
舍	ʃa²⁴	~得
社	ʃa⁵⁵	
惹	ŋia⁵⁵	
爷	ia⁴²	姑~
爷	ia³³	两崽~
野	ia⁵⁵	
夜	ia¹¹	~晡
夜	ia³³	年三十晡~
瓜	ka¹¹	冬~
瓜	ka³³	黄~
寡	ka²⁴	
夸	kʰa¹¹	
垮	kʰa¹¹	不符合古今语音演变的对应规律
跨	kʰa¹¹	不符合古今语音演变的对应规律
瓦	ŋa⁵⁵	
花	fa¹¹	
化	fa⁵⁵	
华	fa⁴²	中~
划	va³	~船，字音，不符合古今语音演变的对应规律
蛙	va¹¹	
补	pu²⁴	
布	pu⁵⁵	
铺	pʰu¹¹	~设
普	pʰu²⁴	
铺	pʰu³³	店~
菩	pʰu⁴²	~萨
部	pʰu³³	
簿	pʰu³³	
步	pʰu¹¹	
模	mu⁴²	~子
墓	mu⁵⁵	不符合古今语音演变的对应规律
都	tu¹¹	首~
赌	tu²⁴	
肚	tu²⁴	猪~
土	tʰu²⁴	
兔	tʰu⁵⁵	
徒	tʰu⁴²	
涂	tʰu⁴²	
图	tʰu⁴²	
杜	tʰu⁵⁵	
肚	tu²⁴	腹~
度	tʰu¹¹	
奴	nu⁴²	
努	nu⁵⁵	
卢	lu⁴²	
炉	lu⁴²	
