汉字	注释	音标
多		to1
拖		tʰo1
驮		tʰo2
舵		tʰo5
大		tʰai5
哪		la5
锣		lo2
左		tso3
哥		ko1
个	~人	ko2
个	一~	ko2
个	我~	ko9
鹅		ŋo2
饿		ŋo5
河		ho2
贺		ho5
茄		tɕʰio2
波		po1
婆		pʰo2
磨	~刀	mo2
磨	石~	mo5
剁		to2
惰		tʰo5
糯		lo5
螺		lo2
坐		tsʰo5
座		tsʰo5
锉		tsʰo2
蓑		so1
果		kuo3
过		kuo2
课		kʰuo3
火		fo3
货		fo2
禾		uo2
祸		fo5
和	~气	ho2
瘸		tɕʰio2
靴		ɕio1
疤		pa1
怕		pʰa2
霸		pa2
爬		pʰa2
麻		ma2
马		ma3
骂		ma5
拿		la1
茶		tsʰa2
叉		tsʰa1
查		tsʰa1
家		ka1
假	真~	ka3
假	放~	ka3
嫁		ka2
牙		ŋa2
虾	鱼~	ha1
下	底~	ha5
下	~来	ha5
下	~面	ha5
亚		a2
爸		pa1
姐		tsɛ3
借		tɕia2
写		ɕia3
泻		ɕia2
邪		ɕia2
斜		ɕia2
谢	姓~	ha5
谢	凋~	ɕia5
爹		tia1
遮		tsa1
蔗		tsa2
车		tsʰa1
扯		tsʰa3
蛇		sa2
射		sa5
舍		sa3
社		sa5
惹		ȵia3
爷		ia2
也		ia3
野		ia3
夜		ia5
瓜		kua1
垮		kʰua3
瓦		ua3
花		fa1
化		fa5
补		pu3
簿		pʰu5
部		pʰu5
步		pʰu5
模	~子	mo2
墓		mu5
肚	腹	tu3
肚	鱼~	tu3
土		tʰu3
兔		tʰu2
度		tʰu5
炉		lu2
卤		lu3
橹		lu3
路		lu5
露		lu5
租		tsu1
做		tsu2
粗		tsʰu1
醋		tsʰu2
错		tsʰo2
鼓		ku3
苦	辛~	kʰu3
苦	~味	kʰu3
裤		kʰu2
吴		u2
五		ŋ̍3
午		u3
胡		fu2
户		fu5
乌		u1
女		ȵy3
吕		ly3
蛆		tɕʰy1
徐		ɕy2
绪		ɕy5
猪		ty1
除		tɕʰy2
苎		tɕʰy5
锄		tsʰu2
助		tsʰu5
梳		su1
煮		ty3
书		ɕy1
鼠		ɕy3
薯		ɕy2
车	~马炮	tɕy1
锯		tɕy2=/kiɛ2-
渠	他	kiɛ1
去		kʰiɛ2
鱼		ŋiɛ2
语		ȵy3
虚		ɕy1
许		ɕy3
余		y2
夫		fu1
预		y5
斧		fu3
符		fu2
甫		pʰu3
扶		fu2
雾		u5
娶		tɕʰy3
须		ɕy1
厨		tɕʰy2
柱		tsʰu5=/tɕʰy5-
住		tsʰu5=/tɕy5-
朱		tsu1=/tɕy1-
主		tsu3=/tɕy3-
输		ɕy1
树		ɕy5
乳		lu3
句		tɕy2
区		tɕʰy1
雨		y3
芋		y5
戴		tɔi2
台		tʰɔi2
待		tʰɔi5
袋		tʰɔi5
来		lɔi2
栽		tsɔi1
财		tsʰɔi2
在		tsʰɔi5
该		kɔi1
改		kɔi3
开		kʰɔi1
海		hɔi3
哀		ŋɔi1
爱		ŋɔi5
贝		pei1
带		tai2
太		tʰai2
蔡		tsʰai2
盖		kɔi1
害		hɔi5
拜		pai2
排		pʰai2
埋		mai2
阶		kai1
