ɑ
p[1]巴芭疤笆琶杷[2]爸八拔百[3]吧把罢[5]垻欛坝耙
pʰ[2]爬钯簰[5]怕帕
m[1]妈[2]麻痲抹抹[3]马码[5]骂
f[2]法乏发伐筏罚
t[2]搭答达[3]打[5]大
tʰ[1]他[2]踏搨沓塔榻遢溻塌獭
l[1]拉垃[2]拿纳腊蜡捺辣棘[3]哪那
ʦ[2]乍杂眨
ʦʰ[2]擦
s[2]洒涩啬虱[3]傻洒撒
tʂ[1]渣[2]查札闸煠札扎轧铡[5]诈榨炸
tʂʰ[1]叉杈差钗[2]茶搽查插察[5]岔
ʂ[1]沙纱痧砂騇牸[2]杀[3]晌
k[3]尬
kʰ[2]咳客
x[2]核[3]蛤
∅[1]阿

ai
p[3]摆[5]拜稗败
pʰ[2]排徘牌[5]派
m[2]埋[3]买[5]卖迈
t[1]獃呆[5]戴贷待怠代袋滞带
tʰ[1]胎掂[2]台苔抬[5]态太泰
l[2]来[3]奶乃[5]癞耐奈赖瘌
ʦ[1]灾栽[3]宰[5]载再在
ʦʰ[1]猜[2]豺纔才材财裁[3]彩采踩睬[5]蔡菜
s[1]腮鳃[5]赛
tʂ[1]斋[5]债寨
tʂʰ[1]差[2]柴
ʂ[1]筛[5]晒
k[1]该[3]改[5]盖丐
kʰ[1]揩开[3]楷凯[5]概溉慨
ŋ[1]挨唉[2]蔼崖捱埃巖[3]矮隘[5]艾爱碍
x[2]蟹孩还[3]海[5]害亥
∅[1]哀

an
p[1]班斑扳颁扳搬般[3]板版[5]扮办瓣半伴拌
pʰ[1]攀襻潘[2]盘[5]盼绊判畔叛
m[2]蛮瞒馒[3]满[5]慢蔓鳗漫幔
f[1]翻番藩[2]凡帆梵藩烦矾繁[3]反[5]泛范犯贩饭
t[1]耽担坍丹单[3]胆掸疸[5]淡旦诞但弹蛋
tʰ[1]贪探滩摊[2]潭谭壜谈痰檀坛弹[3]毯坦[5]叹炭
l[2]南男蓝篮难兰拦栏[3]览揽榄缆懒[5]滥难烂
ʦ[3]攒[5]蘸赞灒赞溅
ʦʰ[1]参渗餐[2]蚕惭馋谗残[3]惨[5]灿
s[1]三萨[3]散伞[5]散
tʂ[1]簪沾粘瞻毡黏砧簪[3]斩展盏[5]暂錾站站占战颤绽栈
tʂʰ[2]缠禅潺[3]産[5]忏
ʂ[1]杉搧衫珊山[2]蝉禅[3]陕闪[5]扇善膳单
ʐ[2]然燃[3]染冉
k[1]甘柑泔尴肝竿杆[2]感[3]撼敢橄秆擀赶[5]干
kʰ[1]堪龛勘刊[3]坎砍槛埂[5]看
ŋ[1]庵淹安鞍[5]揞暗岸按案
x[1]憨酣鼾[2]含函咸搀寒韩[3]憾喊罕[5]陷汉旱捍汗銲翰苋

aŋ
p[1]邦浜帮[3]畈缚绑榜[5]棒蚌
谤傍
pʰ[2]庞滂旁螃[5]胖
m[2]芒盲虻氓忙茫[3]莽蟒
f[1]方芳[2]肪妨房防[3]坊倣纺仿彷访[5]放
t[1]当裆[3]鲎党挡档[5]鐾铛圳当荡宕
tʰ[1]汤荡[2]堂棠螳唐糖塘[3]倘躺[5]烫趟
l[2]囊郎廊狼螂[3]朗[5]浪
ʦ[1]赃脏[5]葬藏脏
ʦʰ[1]仓苍舱[2]藏[5]畅
s[1]葚桑丧[3]磉嗓搡[5]丧
tʂ[1]张章樟蟑瘴[2]怅[3]长涨掌[5]帐胀账丈仗杖障
tʂʰ[1]昌菖娼[2]长肠场[3]厂[5]唱倡
ʂ[1]商伤[2]常尝裳[3]赏偿[5]上尚
ʐ[2]瓤[3]酿壤攘嚷[5]让
k[1]肛刚岗纲钢冈缸[3]港[5]虹杠
kʰ[1]康糠慷[2]扛[5]抗炕
ŋ[1]肮[2]昂
x[1]夯[2]行航杭[5]项巷

au
