#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]高阴入5 [8]阳入2 [7b]低阴入224
#ɿ	
ts	[1]姿之吱呲咨孜支枝栀滋知肢脂{~油}芝蜘咨赀资鲻龇{牙齿外张}胝{胼~}辎□{凑近}[2]□{物体滑动的拟声词}[3]仔址姊子指旨梓止沚滓籽纸紫耔芷趾只{~有}衹{~有}脂{～肪}[5]制帜志挚智痣置翅至致制志渍豸恣眦𧂐{草堆}□{卡住，堵塞}
tsʰ	[1]痴䟳眵蚩雌-魑䟳{脚下滑}[2]词祠嗣{承~}慈瓷餈池弛茨{~菰}迟治{~鱼}持饲{~料}驰磁辞糍{~粑}漦{~沫：口吐白沫}[3]此齿耻侈□{不正：~巴眼}[5]次刺炽厕{~缸}赐伺{~候}滞{剩}[6]字治自痔寺匙{钥~}稚{~嫩}巳{~蛇}士-柿{~子}事-仕-示-{告~}莳{~秧}
s	[1]师俬厮司嘶尸师思撕斯施狮私丝螄诗[2]时鲥弛{东西微微下陷}[3]使史始屎死矢驶[5]世势四思肆试驷逝=伺{~机}[6]事=仕=似侍士=市是氏示=祀视逝-视誓嗜
#i	
t	[5]啲[6]的
n	[3]你
tɕ	[3]姐=
ø	[2]爷=咦
#iᶨ	
p	[1]屄[3]匕彼比=秕鄙[5]毙=泌痹秘臂蔽闭币=裨俾陛庇
pʰ	[1]丕坯批披砒纰[2]啤琵疲皮脾赔-陪-貔[3]痞癖𤿎{形容物虽坏但尚未离析，看上去仍是好的}[5]屁媲譬配-背-{~后}[6]被{~子、~打}痱{~子}篦{~子}背-{~打}敝
m	[1]眯咪[2]棉{~花}弥猕眉-{细~细眼}糜谜迷煤-媒-霉-梅-薇{蔷~花}微-{一~~：一点点}[3]米女{~猫}芈蚁-{蚂~}眯{眼睛钻进异物}尾-{寻找：~花生}[5]渳{略喝一小口}[6]妹-{~子}昧-{~心}
t	[6]低[3]底抵砥[5]帝=蒂
tʰ	[1]梯{电~}[2]题提鹈堤{范公~}[3]体[5]剃=嚏替[6]地弟第递棣特{~为}
l	[2]篱犁狸璃厘喱离{~开}梨漓鹂骊黎罹[3]锂鲤李理里裏礼娌俚[6]隶利例厉吏俐励砺猁莉离{~远点}丽劙{被锐器划破}郦{姓}
ȵ	[2]泥倪妮尼霓鲵[3]拟[6]腻贰{~毛}
tɕ	[1]机叽基奇姬犄稽穄箕羁肌蜞觭鸡饥[3]几姐己挤济虮[5]冀剂=季寄既济祭纪继计记谛际
tɕʰ	[1]欺妻凄期栖凄溪萋溪蹊技{~术}[2]其啼埼奇奚{姓}岐崎提旗期棋歧淇琦琪畸祁祈脐蛴蹄隄题骑{~马}骐鳍麒齐=[3]企启启杞岂起[5]去-器嚏契弃气汽涕砌=[6]忌荠=骑{坐~}剂-{药~}
ɕ	[1]兮唏嘻嬉希曦栖樨熙犀牺稀羲西=[2]□{红~~：色鲜红}携-[3]喜徙洗玺禧蟢[5]细=戏婿-{妹~}[6]系
