汉字	音标
多	to44
拖	tʰo44
大	tʰai42
锣	lo13
左	tʃo42
歌	ko44
个	ko55
可	kʰo42
鹅	ŋo213
饿	ŋo42
河	ho213
茄	kʰe213
破	pʰo55
婆	pʰo213
磨	mo213
磨	mo42
躲	to42
螺	lo213
坐	tʃo44
锁	ɬo42
果	ko42
过	ko55
课	kʰo55
火	fo42
货	fo55
祸	fo55
靴	ɬo45
把	pa42
爬	pʰa213
马	ma44
骂	ma55
茶	tʃʰa213
沙	ɬa44
假	ka42
嫁	ka55
牙	ŋa213
虾	ha213
下	ha42
夏	ha42
哑	a42
姐	tʃia42
借	tʃia55
写	ɬia42
斜	ʃia213
谢	tʃʰia42
车	tʃʰa44
蛇	ʃa213
射	ʃa42
爷	ia213
野	ia44
夜	ia42
瓜	kua44
瓦	ŋa42
花	fa44
化	fa55
华	fa42
谱	pʰu44
布	pu55
铺	pʰu44
簿	pʰu42
步	pʰu42
赌	tu42
土	tʰu42
图	tʰu213
杜	tʰu55
奴	nu213
路	lu42
租	tʃu44
做	tʃo55
错	tʃʰo55
箍	kʰu44
古	ku42
苦	kʰu42
裤	kʰu55
吴	ŋ̍213
五	ŋ̍42
虎	fu42
壶	fu213
户	fu42
乌	u44
女	ŋ̍42
吕	li44
徐	tʃʰu213
猪	tʃu44
除	tʃʰu213
初	tʃʰo44
锄	tʃʰo213
所	ɬo42
书	ʃu44
鼠	tʃʰu42
如	i213
举	ki42
锯	ki55
去	kʰi55
渠	kʰi213
鱼	ŋ213
许	ʃu42
余	i213
府	fu42
付	fu55
父	fu42
武	u44
雾	mu55
取	tʃʰi42
柱	tʃʰu44
住	tʃʰu42
数	ɬu55
数	ɬu55
主	tʃu42
输	ʃu44
竖	ʃu42
树	ʃu42
句	ki55
区	kʰi44
遇	ȵi42
雨	i42
芋	u42
裕	i42
胎	tʰɔi44
台	tʰɔi213
袋	tʰɔi55
来	lɔi213
菜	tʃʰɔi55
财	tʃʰɔi213
该	kɔi44
改	kɔi42
开	kʰɔi44
海	hɔi42
爱	ɔi55
贝	pei44
带	tai55
盖	kɔi55
害	hɔi55
拜	pai55
排	pʰai213
埋	mai213
戒	kai55
摆	pai42
派	pʰai55
牌	pʰai213
买	mai44
卖	mai42
柴	tʃʰai213
晒	ɬai55
街	kai44
解	kai42
鞋	hai213
蟹	hai55
矮	e55
败	pʰai55
币	pi44
制	tʃi55
世	ʃi55
艺	ȵi42
米	mi42
低	te44
梯	tʰɔi44
剃	tʰe55
弟	tʰi42
递	tʰi42
泥	ne213
犁	le213
西	ɬi44
洗	ɬe42
鸡	ke44
溪	ʃi44
契	kʰe55
系	he44
杯	pei44
配	pʰei55
赔	pʰɔi213
背	pɔi55
煤	mɔi213
妹	mɔi55
对	tei55
雷	lei213
罪	tʃʰei42
碎	ʃei55
灰	fɔi44
回	fui213
外	ŋɔi55
会	fei42
怪	kuai55
块	kʰuai55
怀	fai213
坏	fai42
拐	kuai42
挂	kua44
歪	uai44
画	fua42
快	kʰuai55
话	ua42
岁	ɬɔi42
卫	ui42
肺	fei55
桂	kui55
碑	pei44
皮	pʰi213
被	pʰi44
紫	tʃɿ42
刺	tʃʰok3
知	tʃi44
池	tʃʰi213
纸	tʃi42
儿	lei213
寄	ki55
骑	kʰi213
蚁	ȵi44
义	ȵi42
戏	kʰi55
移	i213
比	pi42
屁	pʰi55
鼻	pʰi42
眉	mi213
地	tʰi42
梨	li213
资	tʃɿ44
死	ɬi42
四	ɬi55
迟	tʃʰi213
指	tʃi31
师	ɬu44
二	ȵi42
饥	ki44
器	kʰi55
姨	i213
李	li42
子	tʃɿ42
字	ɬu42
丝	ɬu44
祠	tʃʰɿ213
寺	tʃʰɿ213
治	tʃʰi42
柿	ʃai213
事	ɬu42
使	ɬu42
试	ʃi55
时	ʃi213
市	ʃi44
耳	ȵi42
记	ki55
棋	kʰi213
喜	kʰi42
意	i55
几	ki42
气	kʰi55
希	ʃi44
衣	i44
嘴	tʃɔi42
随	ʃei213
吹	tʃʰei44
垂	ʃei213
规	kʰui44
亏	kʰui44
跪	kʰui55
危	ui213
类	lei42
醉	tʃei55
追	tʃei44
锤	tʃʰei213
水	ʃei42
龟	kui44
季	ki55
柜	kʰui42
位	ui42
飞	fei44
费	fei55
肥	fei213
尾	mei44
味	mei42
鬼	kui42
贵	kui55
围	ui213
胃	ui42
宝	pau42
抱	pau213
毛	mau213
帽	mau42
刀	to44
讨	tʰau44
桃	tʰau213
道	tʰau42
脑	nau42
老	lo42
早	tʃo42
灶	tʃo55
草	tʃʰo42
糙	tʃʰau55
造	tʃʰau42
嫂	ɬo42
高	ko44
靠	kʰau55
熬	ŋau42
好	ho42
号	hau42
包	pau44
饱	pau42
炮	pʰau55
猫	miau55
闹	nau42
罩	tʃau55
抓	tʃa44
找	tʃau42
抄	tʃʰau44
交	kau44
敲	kʰau55
孝	hau55
校	kau42
表	piau42
票	pʰiau55
庙	miau42
焦	tʃiau44
小	ɬiau42
笑	ɬiau55
朝	tʃʰau213
照	tʃau55
烧	ʃau44
绕	iau213
桥	kʰiau213
轿	kʰiau42
腰	iau44
要	iau55
摇	iau213
鸟	tiau44
钓	tiau55
条	tʰiau213
料	kiau42
箫	ɬiau44
叫	kʰiau55
母	mu44
抖	teu42
偷	tʰeu44
头	tʰeu213
豆	tʰeu42
楼	leu213
走	tʃeu42
凑	tʃʰeu55
钩	keu44
狗	keu42
够	keu55
口	kʰeu42
藕	ŋeu42
后	heu42
厚	heu44
富	fu55
副	fu55
浮	feu213
妇	fu42
流	liu213
酒	tʃiu42
修	ɬiu44
袖	tʃʰiu42
抽	tʃʰou44
绸	tʃʰou213
愁	ɬeu213
瘦	ɬeu55
州	tʃou44
臭	tʃʰou55
手	ʃou42
寿	ʃou42
九	kiu42
球	kʰiu213
舅	kʰiu44
旧	kʰiu42
牛	ȵiu213
休	iu44
优	iu44
有	iu44
右	iu42
油	iu213
丢	tiu44
幼	iu55
贪	tʰam44
潭	tʰan213
南	nam213
蚕	tʃan213
感	kam42
含	ham213
暗	am55
搭	tap3
踏	tʰap5
拉	la44
杂	tʃʰap5
鸽	kap3
盒	hap5
胆	tam42
毯	tʰan42
淡	tʰam44
蓝	lam213
三	ɬam44
甘	kam44
敢	kan42
喊	han55
塔	tʰap3
蜡	lap5
赚	tʃʰan55
杉	ɬam44
减	kam42
咸	ham213
插	tʃʰap3
闸	tʃʰap5
夹	kʰiap5
衫	ɬam44
监	kam55
岩	ŋam213
甲	kap3
鸭	ap3
黏	ȵiam213
尖	tʃiam44
签	tʃʰiam44
占	tʃam55
染	ȵiam42
钳	kʰiam213
验	ȵiam42
险	ʃam42
厌	iam55
炎	iam213
盐	iam213
接	tʃiap3
折	tʃiap3
叶	iap5
剑	kiam55
欠	kʰiam55
严	ȵiam213
业	ȵiap5
点	tiam42
店	tiam55
添	tʰiam44
甜	tʰiam213
念	ȵiam42
嫌	ʃam213
跌	tʰiap3
贴	tʰiap3
碟	tʰiap5
协	ʃap5
犯	fam42
法	fat3
品	pʰin42
林	lin213
浸	tʃim55
心	ɬim44
寻	tʃʰim213
沉	tʃʰəm213
参	ʃɛm44
针	tʃəm44
深	tʃʰəm44
任	ȵiəm42
金	kiəm44
琴	kʰiəm213
音	iəm44
立	liəp5
集	ʃiəp5
习	ʃiəp5
汁	tʃəp3
十	ʃəp5
入	ȵiəp5
急	kəp3
及	kʰiəp5
吸	kʰiəp5
单	tan44
炭	tan55
弹	tʰan213
难	nan213
兰	lan213
懒	lan44
烂	lan42
伞	ɬan44
肝	kon44
看	hon55
岸	ŋon42
汉	hon55
汗	hon42
安	on44
达	tʰat5
辣	lat5
擦	tʃʰat3
割	kot3
渴	hot3
扮	pʰan42
办	pʰan42
铲	tʃʰan42
山	ɬan44
产	tʃʰan42
间	kan44
眼	ŋan42
限	han42
八	pat3
扎	tʃat3
杀	ɬat3
班	pan44
板	pan42
慢	man42
奸	kan44
颜	ŋan213
瞎	hat3
变	piɛn55
骗	pʰiɛn55
便	pʰiɛn42
棉	miɛn213
面	miɛn44
连	liɛn213
剪	tʃiɛn42
浅	tʃʰiɛn42
钱	tʃʰiɛn213
鲜	ɬiɛn44
线	ɬiɛn55
缠	tʃʰiɛn213
战	tʃiɛn55
扇	ʃiɛn44
善	ʃiɛn42
件	kʰiɛn42
延	iɛn213
别	pʰiɛt5
灭	miɛt5
列	liɛt5
撤	tʃʰɛt3
舌	ʃiɛt5
设	ʃiɛt3
热	ȵiɛt5
杰	kʰiɛt5
孽	ȵiɛt5
建	kiɛn42
健	kiɛn42
言	ȵiɛn213
歇	ʃiɛt3
扁	piɛn42
片	pʰiɛn55
面	miɛn55
典	tiɛn42
天	tiɛn44
田	tʰiɛn213
垫	tʰiam55
年	niɛn213
莲	liɛn213
前	tʃʰiɛn213
先	ɬiɛn44
肩	kiɛn44
见	kiɛn55
牵	kʰiɛn44
显	ʃiɛn55
现	ʃiɛn55
烟	iɛn44
憋	piɛt3
篾	miɛt5
铁	tʰiɛt3
捏	niɛt3
节	tʃiɛt3
切	tʃʰiɛt3
截	tʃiɛt3
结	kiɛt3
搬	pan44
半	pan55
判	pʰan55
盘	pʰan213
满	mon44
端	ton44
短	ton42
断	tʰon44
暖	non44
乱	lon42
酸	ɬon44
算	ɬon55
官	kon44
宽	kʰon44
欢	fon44
完	iɛn213
换	uon42
碗	uon42
拨	pot3
泼	pʰat3
末	mat5
脱	tʰot3
夺	tʰot5
阔	kuat3
活	fat5
顽	uan213
滑	uat5
挖	uet5
闩	tʃʰuan44
关	kuan44
惯	kuan55
还	uan213
还	uan213
弯	uan44
刷	ɬot3
刮	kuat3
全	tʃʰon213
选	ɬiɛn42
转	tʃon42
传	tʃʰon213
传	tʃʰon42
砖	tʃon44
船	ʃon213
软	ȵion44
卷	kiɛn42
圈	kʰiɛn44
权	kʰiɛn213
