cid	character	initial	final	tone	note
509	战	tʃ	in	54	
510	扇	ʃ	in	54	
511	善	ʃ	in	23	
512	件	k	in	23	
513	延	h	yn	231	
514	别	p	it	2	
515	灭	m	it	2	
516	列	l	it	2	
517	撤	tʃh	it	3	
518	舌	ʃ	it	2	
519	设	ʃ	ip	3	
520	热	ȵ	it	2	
521	杰	k	it	2	
522	孽	n	ip	2	
523	建	k	in	54	
524	健	k	in	32	
525	言	ȵ	yn	231	
526	歇	h	it	3	
527	扁	p	in	34	
528	片	ph	in	54	
529	面	m	in	32	
530	典	t	im	34	
531	天	th	in	453	
532	田	th	in	231	
533	垫	t	im	32	
534	年	n	in	231	
535	莲	l	in	231	
536	前	tʃh	in	231	
537	先	ɬ	in	453	
538	肩	k	in	453	
539	见	k	in	54	
540	牵	h	in	453	
541	显	h	in	34	
542	现	h	in	32	
543	烟	∅	in	453	
544	憋	p	it	3	
545	篾	m	it	2	
546	铁	th	it	3	
547	捏	n	it	3	
548	节	tʃ	it	3	
549	切	tʃh	it	3	
550	截	tʃ	it	2	
551	结	k	it	3	
552	搬	p	un	453	
553	半	p	un	54	
554	判	ph	un	54	
555	盘	ph	un	231	
556	满	m	un	23	
557	端	t	un	453	
558	短	t	un	34	
559	断	th	un	23	
560	暖	n	un	23	
561	乱	l	un	32	
562	酸	ɬ	un	453	
563	算	ɬ	un	54	
564	官	k	un	453	
565	宽	h	un	453	
566	欢	h	un	453	
567	完	h	yn	231	
568	换	h	un	32	
569	碗	∅	un	34	
570	拨	p	ut	2	
571	泼	ph	ut	3	
572	末	m	ut	2	
573	脱	th	ut	3	
574	夺	t	ut	2	
575	阔	h	ut	3	
576	活	h	ut	2	
577	顽	∅	uan	231	
578	滑	∅	uat	2	
579	挖	∅	uat	3	
580	闩	ʃ	an	453	
581	关	k	uan	453	
582	惯	k	uan	54	
583	还	∅	uan	231	
585	弯	∅	uan	453	
586	刷	tʃh	at	3	
587	刮	k	uat	3	
588	全	tʃh	yn	231	
589	选	ɬ	yn	34	
590	转	tʃ	yn	34	
591	传	tʃh	yn	231	
592	传	tʃ	yn	32	
593	砖	tʃ	yn	453	
594	船	ʃ	yn	231	
595	软	ȵ	yn	23	
596	卷	k	yn	34	
597	圈	h	yn	453	
598	权	kh	yn	231	
599	圆	h	yn	231	
600	院	h	yn	32	
601	铅	h	yn	231	
602	绝	tʃ	yt	2	
603	雪	ɬ	yt	3	
604	反	f	an	34	
605	翻	f	an	453	
606	饭	f	an	32	
607	晚	m	an	23	
608	万	m	an	32	
609	劝	h	yn	54	
610	原	ȵ	yn	231	
611	冤	∅	yn	453	
612	园	h	yn	231	
613	远	h	yn	23	
614	发	f	at	3	
615	罚	f	at	2	
616	袜	m	at	2	
617	月	ȵ	yt	2	
618	越	h	yt	2	
619	县	h	yn	32	
620	决	kh	yt	3	
621	缺	kh	yt	3	
622	血	h	yt	3	
623	吞	th	ɐn	453	
624	根	k	ɐn	453	
625	恨	h	ɐn	32	
626	恩	∅	ɐn	453	
627	贫	ph	ɐn	231	
628	民	m	ɐn	231	
629	邻	l	ɐn	231	
630	进	tʃ	ɐn	54	
631	亲	tʃh	ɐn	453	
632	新	ɬ	ɐn	453	
633	镇	tʃ	ɐn	54	
634	陈	tʃh	ɐn	231	
635	震	tʃ	ɐn	54	
636	神	ʃ	ɐn	231	
637	身	ʃ	ɐn	453	
638	辰	ʃ	ɐn	231	
639	人	ȵ	iɐn	231	
640	认	ȵ	iɐn	32	
641	紧	k	ɐn	34	
642	银	ŋ	ɐn	231	
643	印	∅	ɐn	54	
644	引	∅	ɐn	23	
645	笔	p	ɐt	5	
646	匹	ph	ɐt	5	
647	密	m	ɐt	2	
648	栗	l	ɐt	2	
649	七	tʃ	ɐt	5	
650	侄	tʃ	ɐt	2	
651	虱	ʃ	ɐt	5	
652	实	ʃ	ɐt	2	
653	失	ʃ	ɐt	5	
654	日	ȵ	iɐt	2	
655	吉	k	ɐt	5	
656	一	∅	ɐt	5	
657	筋	k	ɐn	453	
658	劲	k	ɛŋ	32	
659	勤	kh	ɐn	231	
660	近	kh	ɐn	23	
661	隐	∅	ɐn	34	
662	本	p	un	34	
663	盆	ph	un	231	
664	门	m	un	231	
665	墩	t	ɐn	453	
666	嫩	n	un	32	
667	村	tʃ	un	453	
668	寸	tʃh	un	54	
669	蹲	t	ɐn	453	
670	孙	ɬ	un	453	
671	滚	kh	uɐn	34	
672	困	kh	uɐn	54	
673	婚	ɬ	uɐn	453	
674	魂	∅	uɐn	231	
675	温	∅	uɐn	453	
676	卒	tʃ	ɐt	5	
677	骨	k	uɐt	5	
678	轮	l	ɐn	231	
679	俊	tʃ	ɐn	231	
680	笋	ɬ	ɐn	34	
681	准	tʃ	ɐn	34	
682	春	tʃh	ɐn	453	
683	唇	ʃ	ɐn	231	
684	顺	ʃ	ɐn	32	
685	纯	ʃ	ɐn	231	
686	闰	ȵ	iɐn	32	
687	均	kh	uɐn	453	
688	匀	∅	iɐn	231	
689	律	l	ɐt	2	
690	出	tʃh	ɐt	5	
691	橘	k	ɐt	5	
692	分	f	ɐn	453	
693	粉	f	ɐn	34	
694	粪	f	ɐn	54	
695	坟	f	ɐn	231	
696	蚊	m	ɐn	231	
697	问	m	ɐn	32	
698	军	k	uɐn	453	
699	裙	kh	uɐn	231	
700	熏	∅	uɐn	54	
701	云	∅	uɐn	231	
702	运	∅	uɐn	32	
703	佛	f	ɐt	2	
704	物	m	ɐt	2	
705	帮	p	ɔŋ	453	
706	忙	m	ɔŋ	231	
707	党	t	aŋ	34	
708	汤	th	aŋ	453	
709	糖	th	aŋ	231	
710	浪	l	aŋ	32	
711	仓	tʃh	aŋ	453	
712	钢	k	aŋ	453	
713	糠	h	aŋ	453	
714	薄	p	ɔk	2	
715	摸	m	ɔ	453	
716	托	th	ak	3	
717	落	l	ak	2	
718	作	tʃ	ak	3	
719	索	ɬ	ak	3	
720	各	k	ak	3	
721	鹤	h	ak	2	
722	恶	∅	ak	3	
723	娘	n	ɛŋ	231	
724	两	l	ɛŋ	23	
725	亮	l	ɛŋ	32	
726	浆	tʃ	ɛŋ	453	
727	抢	tʃh	ɛŋ	34	
728	匠	tʃ	ɛŋ	32	
729	想	ɬ	ɛŋ	34	
730	像	tʃ	ɛŋ	23	
731	张	tʃ	ɛŋ	453	
732	长	tʃh	ɛŋ	231	
733	装	tʃ	ɔŋ	453	
734	壮	tʃ	aŋ	54	
735	疮	tʃh	aŋ	453	
736	床	ʃ	aŋ	231	
737	霜	ʃ	ɔŋ	453	
738	章	tʃ	ɛŋ	453	
739	厂	tʃh	ɔŋ	34	
740	唱	tʃh	ɛŋ	54	
741	伤	ʃ	ɛŋ	453	
742	尝	ʃ	ɛŋ	231	
743	上	ʃ	ɐŋ	23	
744	让	ȵ	iɛŋ	32	
745	姜	k	ɛŋ	453	
746	响	h	ɛŋ	34	
747	向	h	ɛŋ	54	
748	秧	∅	ɛŋ	453	
749	痒	h	ɛŋ	23	
750	样	h	ɛŋ	32	
751	雀	tʃh	ɛk	3	
752	削	ɬ	ɛk	3	
753	着	tʃ	ɛk	2	
754	勺	ʃ	ɛk	2	
755	弱	ȵ	iɛk	2	
756	脚	k	ɛk	3	
757	约	∅	iɛk	3	
758	药	h	ɛk	2	
759	光	k	ɔŋ	453	
760	慌	∅	uɔŋ	453	
761	黄	∅	uɔŋ	231	
762	郭	kh	ɔk	3	
763	霍	kh	ɔk	3	
764	方	f	ɔŋ	453	
765	放	f	ɔŋ	54	
766	纺	f	ɔŋ	34	
767	房	f	ɔŋ	231	
768	防	f	ɔŋ	231	
769	网	m	ɔŋ	23	
770	筐	kh	ɔŋ	453	
771	狂	kh	ɔŋ	231	
772	王	∅	uɔŋ	231	
773	旺	∅	uɔŋ	32	
774	缚	f	ɔk	2	
775	绑	p	ɔŋ	34	
776	胖	ph	ɔŋ	23	
777	棒	ph	ɔŋ	23	
778	桩	tʃ	ɔŋ	453	
779	撞	tʃ	ɔŋ	32	
780	窗	tʃh	ɔŋ	453	
781	双	ʃ	ɔŋ	453	
782	江	k	aŋ	453	
783	讲	k	aŋ	34	
784	降	k	aŋ	54	
785	项	h	aŋ	23	
786	剥	p	ɔk	3	
787	桌	tʃh	ɔk	3	
788	镯	tʃ	ɔk	2	
789	角	k	ak	3	
790	壳	h	ak	3	
791	学	h	ak	2	
792	握	∅	ɐk	5	
793	朋	ph	ɐŋ	231	
794	灯	t	ɐŋ	453	
795	等	t	ɐŋ	34	
796	凳	t	ɐŋ	54	
797	藤	th	ɐŋ	231	
798	能	n	ɐŋ	231	
799	层	tʃh	ɐŋ	231	
800	僧	ɬ	ɐŋ	453	
801	肯	h	ɐŋ	34	
802	北	p	ɐk	5	
803	墨	m	ɐk	2	
804	得	t	ɐk	5	
805	特	t	ɐk	2	
806	贼	tʃ	ɐk	2	
807	塞	ɬ	ɐk	5	
808	刻	k	ɐk	5	
809	黑	h	ɐk	5	
810	冰	p	eŋ	453	
811	证	tʃ	eŋ	54	
812	秤	tʃh	eŋ	54	
813	绳	ʃ	eŋ	231	
814	剩	ʃ	eŋ	32	
815	升	ʃ	eŋ	453	
816	兴	h	eŋ	54	
817	蝇	l	eŋ	231	
818	逼	p	ek	5	
819	力	l	ek	2	
820	息	ɬ	ek	5	
821	直	tʃ	ek	2	
822	侧	tʃh	ɐk	5	
823	测	tʃh	ɐk	5	
824	色	ʃ	ek	5	
825	织	tʃ	ek	5	
826	食	ʃ	ek	2	
827	式	ʃ	ek	5	
828	极	k	ek	2	
829	国	k	ɔk	3	
830	或	∅	uak	2	
831	猛	m	aŋ	23	
832	打	t	a	34	
833	冷	l	aŋ	34	
834	生	ʃ	aŋ	453	
835	省	ʃ	aŋ	34	
836	更	k	aŋ	453	
837	梗	k	uaŋ	34	
838	坑	h	aŋ	453	
839	硬	ŋ	aŋ	32	
840	行	h	aŋ	231	
841	百	p	ak	3	
842	拍	ph	ak	3	
843	白	p	ak	2	
844	拆	tʃh	ak	3	
845	择	tʃ	ak	2	
846	窄	tʃ	ak	2	
847	格	k	ak	3	
848	客	h	ak	3	
849	额	ŋ	ak	2	
850	棚	ph	aŋ	231	
851	争	tʃ	aŋ	453	
852	耕	k	aŋ	453	
853	麦	m	ɐk	2	
854	摘	tʃ	ak	2	
855	策	tʃh	ak	3	
856	隔	k	ak	3	
857	兵	p	eŋ	453	
858	柄	p	eŋ	54	
859	平	ph	eŋ	231	
860	病	p	eŋ	32	
861	明	m	eŋ	231	
862	命	m	eŋ	32	
863	镜	k	eŋ	54	
864	庆	h	eŋ	54	
865	迎	ŋ	eŋ	231	
866	影	∅	eŋ	34	
867	剧	k	ek	2	
868	饼	p	eŋ	34	
869	名	m	eŋ	231	
870	领	l	eŋ	23	
871	井	tʃ	eŋ	34	
872	清	tʃh	eŋ	453	
873	静	tʃ	eŋ	23	
874	姓	ɬ	eŋ	54	
875	贞	tʃ	eŋ	453	
876	程	tʃh	eŋ	231	
877	整	tʃ	eŋ	34	
878	正	tʃ	eŋ	54	
879	声	ʃ	eŋ	453	
880	城	ʃ	eŋ	231	
881	轻	h	eŋ	453	
882	赢	h	eŋ	231	
883	积	tʃ	eŋ	5	
884	惜	ɬ	ek	5	
885	席	tʃ	ek	2	
886	尺	tʃh	ek	5	
887	石	ʃ	ek	2	
888	益	∅	ek	5	
889	瓶	ph	eŋ	231	
890	钉	t	eŋ	453	
891	顶	t	eŋ	34	
892	厅	th	eŋ	453	
893	听	th	eŋ	54	
894	停	th	eŋ	231	
895	挺	th	eŋ	34	
896	定	t	eŋ	32	
897	零	l	eŋ	231	
898	青	tʃh	eŋ	453	
899	星	ɬ	eŋ	453	
900	经	k	eŋ	453	
901	形	h	eŋ	231	
902	壁	p	ek	5	
903	劈	ph	ek	5	
904	踢	th	ek	5	
905	笛	t	ek	2	
906	历	l	ek	2	
907	锡	ɬ	ek	5	
908	击	k	ek	5	
909	吃	h	ek	5	
910	横	∅	uaŋ	231	
911	划	∅	uak	2	
912	兄	h	eŋ	453	
913	荣	∅	ueŋ	231	
914	永	∅	ueŋ	23	
915	营	∅	ieŋ	231	
916	蓬	ph	eŋ	231	
917	东	t	oŋ	453	
918	懂	t	oŋ	34	
919	冻	t	oŋ	54	
920	通	th	oŋ	453	
921	桶	th	oŋ	34	
922	痛	th	oŋ	54	
923	铜	t	oŋ	231	
924	动	t	oŋ	23	
925	洞	t	oŋ	32	
926	聋	l	oŋ	231	
927	弄	l	oŋ	32	
928	粽	tʃ	oŋ	54	
929	葱	tʃh	oŋ	453	
930	送	ɬ	oŋ	54	
931	公	k	oŋ	453	
932	孔	h	oŋ	34	
933	烘	h	oŋ	453	
934	红	h	oŋ	231	
935	翁	∅	ioŋ	453	
936	木	m	ok	2	
937	读	t	ok	2	
938	鹿	l	ok	2	
939	族	tʃ	ok	2	
940	谷	k	ok	5	
941	哭	h	ok	5	
942	屋	∅	ok	5	
943	冬	t	oŋ	453	
944	统	th	oŋ	34	
945	脓	n	oŋ	231	
