	注释：-白读，=文读
#a	
p	[1]巴疤爸芭粑[2]□{背，动词}[3]把[5]霸坝壩罢
pʰ	[1]葩[2]杷{枇～}爬琶钯{～子}[5]怕帕
m	[1]妈马码{～头}蚂[2]麻蟆{虾～}嫲[3]乜{～生样，怎样}[5]骂
f	[1]花[2]华{中～}桦划{～船}骅哗[3]画[5]化
t	[3]打沓{一沓纸}
n	[1]拿
ŋ	[2]牙芽衙蚜迓玡[3]雅伢讶[5]□{傻}
l	[1]啦邋垃{～圾}[2]蝲{～䗁，蜘蛛}[3]□{～蚶}垃{～sap1，垃圾}
k	[1]家加佳嘉傢橄袈迦咖伽枷[2]□{口气词，表示惊讶}[3]假{真～}假{放～}[5]架嫁驾稼价尬{尴尬}
kʰ	[2]卡{银行～}
h	[1]下{底～}夏{姓；春～}[2]虾霞瑕遐暇[3]厦{～门}下{～降}
ts	[1]喳馇楂渣揸抓[5]诈榨闸牐炸{用油～}栅
tsʰ	[1]叉杈差{～别}[2]茶搽查{调～}[3]□{～tʰaŋ35，凌乱、阻塞}[5]岔厕疝{～气}
s	[1]沙纱莎砂□{～vou35，傻瓜}铩鲨痧裟[2]□{lei35～，谁}[3]洒撒萨{比～}[5]萨{拉～}
tʃ	[1]遮[3]者褚赭[5]蔗鹧
tʃʰ	[1]车□{手提的动作}[3]扯
ʃ	[1]奢赊社摄涉[2]蛇佘[3]射麝{～香}捨[5]赦舍
ʒ	[1]也野[2]爷[3]冶野夜□{用手～}[5]□{～pʰou35，老鹰}
v	[1]蛙[3]话
∅	[1]阿{～胶}鸦桠{树～}亚娅丫[2]□{aŋ44～，婴儿}[3]阿{～婆}哑
#i	
p	[1]蓖碑卑陂[3]彼俾臂比髀匕[5]蔽敝弊幤毙闭秘庇痹泌币滗
pʰ	[1]披被[2]皮疲脾琵枇片{一～叶}[3]备鼻{嗅}貔[5]屁
m	[1]眯咪[2]迷谜弥眉楣媚靡醚糜麋猕汨[3]米沕{溺，～水}[5]觅幂
t	[1]知蜘里{～爿，里面}[2]笛[3]抵[5]帝递
tʰ	[1]黐{粘稠}[2]题提蹄堤{东～路}[3]体第地[5]屉剔
n	[2]尼妮你霓□{囊～，蜻蜓}[3]拟[5]腻匿溺
ŋ	[1]语议洱[2]仪谊疑[3]遇艺义毅耳饵二贰
l	[1]吕铝侣旅缕履理鲤鹂礼{～貌}[2]离篱璃梨厘狸[3]虑滤屡例厉励丽隶隸李里吏痢莉利荔俪俐礼{～物}脷戾
k	[1]居車拘驹俱支枝肢栀技饥肌几{茶～}基幾{～乎}机讥羁[2]渠{他}[3]举矩己杞幾脊[5]据锯句继繫{～鞋带}髻寄冀纪记忌既暨
kʰ	[1]巨拒距趋区驱徛{立}欺渠[2]瞿奇骑岐麒其棋期芪旗蜞{湖fu35～，水蛭}[3]具惧启企起岂祈飓[5]去器弃气汽
h	[1]墟虚嘘奚牺嬉熙希稀羲蹊唏犀兮夕熹[3]许喜禧[5]系{中文～}戏
ts	[2]□{缩水}□{tsoi35～，男阴}[3]姊挤[5]祭际济剂
tsʰ	[1]妻□{干净}凄[2]脐畦餈{餈巴}徐{又音}[3]取娶饲{～饭，喂饭}[5]趣聚
s	[1]须鬚需西栖犀夕[2]徐[3]序叙绪死玺[5]四
tʃ	[1]□{～pai35，女阴}[3]纸只{～有}脂旨指止趾址[5]制製智致至置治痔志誌痣
tʃʰ	[1]痴[2]池驰迟持治{～鸡，杀鸡}[3]侈稚耻齿[5]试
ʃ	[1]施尸屍诗[2]匙时[3]豉屎示视嗜始市莳□{斜眼看人}
ʒ	[1]瘀淤吁迂宇禹愈尔伊医衣依而于羽[2]余馀愚虞盂榆逾愉儿宜移夷姨如[3]预御予誉豫雨喻瑜愈裕寓椅易{难～}已以异浴怡[5]□{～～，肮脏，哄小孩时用}意薏臆亿
#ou	
p	[1]菠波褒煲玻[3]宝保堡[5]报□{象声词}
pʰ	[1]坡泡[2]婆浮{～起}□{～豆角}□{ʒa51～，老鹰}[5]破{单字音，～樵，砍柴}擘{用手擘开}
m	[1]毛[2]魔磨{～石}摩磨{～面}冇{没有}无摹{～仿}[3]帽□{碰擦}
f	[2]和{～气}[3]火夥[5]货
t	[1]多刀叨啁[2]□{～到，遇见}[3]朵躲祷岛倒导[5]到
tʰ	[1]拖[2]驮驼桃萄□{捆绑}[3]道{～歉}讨椭妥惰[5]□{一起}
n	[2]挪捼{两手相搓揉；～手；～碎}[3]糯脑恼
ŋ	[1]我=[2]蛾鹅俄娥峨[3]饿
l	[1]啰{～嗦}拉攞{～起来}[2]罗锣萝箩骡螺腡{手指纹}劳牢篓[3]老涝
k	[1]歌哥高篙羔糕篙□{发瘌～，感染麻风病}[3]果裹馃粿[5]过
kʰ	[1]科棵颗[3]可[5]课
h	[1]蒿[2]河何荷[3]贺好号郝
ts	[1]糟{酒～}遭[3]左佐早枣蚤[5]做灶
tsʰ	[1]坐[2]曹槽[3]座草□{选择}吵造{～话；～造}[5]错
s	[1]蓑{～衣}梭{织布～}嗦{啰～}□{～油，用手使药油渗透皮肤的动作}疏{～远}蔬骚臊[2]傻[3]锁琐{～碎}嫂所[5]扫{～帚}
v	[1]和{～面}窝{燕～}蜗[2]禾
∅	[1]屙[2]□{～mei35，指人做事没有章法}哦[3]袄懊[5]澳奥
#u	
p	[1]晡{暗～夜，晚上时间}埔俯[3]补斧脯{胸～}甫[5]布佈怖富{五经～，地名}
pʰ	[1]铺{～设}普簿扑[2]蒲菩脯{菜～}符烳扶仆{～人}□{做～介人，邻居}瓠[3]谱浦部步捕菢{菢小鸡}□{～目，瞎子}[5]铺{店～}曝瀑
m	[1]母拇[2]模{～子；～范}[3]□{～～taŋ44taŋ44，做事不停歇，总找事做弄}[5]慕墓募
f	[1]呼夫肤跗妇孵敷互[2]胡湖{单字音，～蜞kʰi35，水蛭}狐壶鬍{胡须}芙抚糊蝴瑚弧葫[3]虎浒户护沪府腑俯{～卧撑}父腐辅釜傅驸[5]□{～水}付赋赴附富负副咐负
t	[1]都{～城；～是}蛛睹嘟[2]堵{挡在人前}笃[3]堵赌肚{鱼～；腹～}睹[5]杜□{指菜味道不好，苦涩}
tʰ	[1]□{～～，食物煮熟的状态}[2]徒屠途涂图□{耽误}荼[3]土度渡镀妒[5]吐{～痰}兔
n	[2]奴[3]努弩[5]怒
ŋ	[2]娱捂[3]误悟晤
l	[1]鲁橹滷□{铁生锈}[2]盧炉芦沪庐驢卢颅鲈[3]路虏掳[5]露鹭璐赂
