正體	簡體	音標	調類	備註
知	知	tsɿ	①	
蛛	蛛	tsɿ	①	
支	支	tsɿ	①	
肢	肢	tsɿ	①	
資	资	tsɿ	①	
脂	脂	tsɿ	①	
滋	滋	tsɿ	①	
之	之	tsɿ	①	
芝	芝	tsɿ	①	
咨	咨	tsɿ	①	
姿	姿	tsɿ	①	
豬	猪	tsɿ	①	～玀
輜	辎	tsɿ	①	
㿳	㿳	tsɿ	①	
紫	紫	tsɿ	③ⓐ	
指	指	tsɿ	③ⓐ	～爪：指甲
子	子	tsɿ	③ⓐ	
止	止	tsɿ	③ⓐ	
姊	姊	tsɿ	③ⓐ	～妹
紙	纸	tsɿ	③ⓐ	字～｜～頭
址	址	tsɿ	③ⓐ	
旨	旨	tsɿ	③ⓐ	
梓	梓	tsɿ	③ⓐ	
滓	滓	tsɿ	③ⓐ	
嘴	嘴	tsɿ	③ⓐ	搶～：插嘴
趾	趾	tsɿ	③ⓐ	
至	至	tsɿ	⑤	
痣	痣	tsɿ	⑤	
製	制	tsɿ	⑤	
制	制	tsɿ	⑤	
智	智	tsɿ	⑤	
置	置	tsɿ	⑤	
志	志	tsɿ	⑤	
誌	志	tsɿ	⑤	
䭁	䭁	tsɿ	⑤	
雌	雌	tsʰɿ	①	
吹	吹	tsʰɿ	①	
差	差	tsʰɿ	①	參～
炊	炊	tsʰɿ	①	
痴	痴	tsʰɿ	①	
嗤	嗤	tsʰɿ	①	
褚	褚	tsʰɿ	③ⓑ	姓
此	此	tsʰɿ	③ⓑ	
侈	侈	tsʰɿ	③ⓑ	
恥	耻	tsʰɿ	③ⓑ	
齒	齿	tsʰɿ	③ⓑ	臼～
刺	刺	tsʰɿ	⑤	
賜	赐	tsʰɿ	⑤	
次	次	tsʰɿ	⑤	
廁	厕	tsʰɿ	⑤	
厠	厕	tsʰɿ	⑤	
翅	翅	tsʰɿ	⑤	
疵	疵	tsʰɿ	⑤	
絲	丝	sɿ	①	
詩	诗	sɿ	①	
斯	斯	sɿ	①	
撕	撕	sɿ	①	
施	施	sɿ	①	
私	私	sɿ	①	
師	师	sɿ	①	飯頭～傅：炊事員
屍	尸	sɿ	①	
尸	尸	sɿ	①	
司	司	sɿ	①	
思	思	sɿ	①	
獅	狮	sɿ	①	～子頭：肉丸
尿	尿	sɿ	①	白
死	死	sɿ	③ⓐ	文
水	水	sɿ	③ⓐ	
始	始	sɿ	③ⓐ	
世	世	sɿ	⑤	
四	四	sɿ	⑤	
勢	势	sɿ	⑤	好人～：厚道無爭
伺	伺	sɿ	⑤	
試	试	sɿ	⑤	
矢	矢	sɿ	⑤	
肆	肆	sɿ	⑤	
池	池	zɿ	②	
馳	驰	zɿ	②	
匙	匙	zɿ	②	
瓷	瓷	zɿ	②	
遲	迟	zɿ	②	
慈	慈	zɿ	②	
磁	磁	zɿ	②	
辭	辞	zɿ	②	
詞	词	zɿ	②	
祠	祠	zɿ	②	
時	时	zɿ	②	
持	持	zɿ	②	
鰣	鲥	zɿ	②	
是	是	zɿ	④	
氏	氏	zɿ	④	
自	自	zɿ	④	～家：自己
祀	祀	zɿ	④	
似	似	zɿ	④	
士	士	zɿ	④	
仕	仕	zɿ	④	
柿	柿	zɿ	④	
市	市	zɿ	④	
恃	恃	zɿ	④	
痔	痔	zɿ	④	
巳	巳	zɿ	④	
仔	仔	zɿ	④	吃～飯去
䊓	䊓	zɿ	④	
示	示	zɿ	⑥	
視	视	zɿ	⑥	
稚	稚	zɿ	⑥	
誓	誓	zɿ	⑥	
滯	滞	zɿ	⑥	
逝	逝	zɿ	⑥	
嗜	嗜	zɿ	⑥	
字	字	zɿ	⑥	
寺	寺	zɿ	⑥	
豉	豉	zɿ	⑥	
飼	饲	zɿ	⑥	
治	治	zɿ	⑥	
事	事	zɿ	⑥	～體
侍	侍	zɿ	⑥	服～
豬	猪	tsʮ	①	
蛛	蛛	tsʮ	①	
諸	诸	tsʮ	①	
朱	朱	tsʮ	①	
硃	朱	tsʮ	①	
珠	珠	tsʮ	①	
誅	诛	tsʮ	①	
株	株	tsʮ	①	一～樹
主	主	tsʮ	③ⓐ	～客：顧客
鑄	铸	tsʮ	⑤	
蛀	蛀	tsʮ	⑤	
注	注	tsʮ	⑤	
註	注	tsʮ	⑤	
著	著	tsʮ	⑤	顯～
駐	驻	tsʮ	⑤	
處	处	tsʰʮ	③ⓑ	相～
齒	齿	tsʰʮ	③ⓑ	牙～
處	处	tsʰʮ	⑤	管理～
書	书	sʮ	①	
舒	舒	sʮ	①	舒～：舒適整齊
輸	输	sʮ	①	
暑	暑	sʮ	③ⓐ	
鼠	鼠	sʮ	③ⓐ	
恕	恕	sʮ	⑤	
庶	庶	sʮ	⑤	
除	除	zʮ	②	
儲	储	zʮ	②	
如	如	zʮ	②	
殊	殊	zʮ	②	
儒	儒	zʮ	②	
厨	厨	zʮ	②	～郎師傅：廚師
廚	厨	zʮ	②	
苧	苎	zʮ	④	
汝	汝	zʮ	④	
豎	竖	zʮ	④	
乳	乳	zʮ	④	
柱	柱	zʮ	④	廊～｜～腳：柱子
樹	树	zʮ	⑥	
薯	薯	zʮ	⑥	山～：紅薯
住	住	zʮ	⑥	
比	比	pi	③ⓐ	
彼	彼	pi	③ⓐ	
閉	闭	pi	⑤	
臂	臂	pi	⑤	～膊
庇	庇	pi	⑤	
鄙	鄙	pi	⑤	
泌	泌	pi	⑤	
秘	秘	pi	⑤	
批	批	pʰi	①	
披	披	pʰi	①	
𠜱	𠜱	pʰi	①	
屁	屁	pʰi	⑤	～輕～輕：極輕
譬	譬	pʰi	⑤	
皮	皮	bi	②	
疲	疲	bi	②	
脾	脾	bi	②	
琵	琵	bi	②	
肥	肥	bi	②	(白)洋～皂
比	比	bi	②	
☐	☐	bi	②	～時間：故意拖延時間
被	被	bi	④	～封洞：被窩兒｜～頭：被子
婢	婢	bi	④	
陛	陛	bi	④	
痞	痞	bi	④	～塊：腹內硬塊
蔽	蔽	bi	⑥	
敝	敝	bi	⑥	
弊	弊	bi	⑥	
幣	币	bi	⑥	
避	避	bi	⑥	
斃	毙	bi	⑥	
鐾	鐾	bi	⑥	刀～兩～
微	微	ʔmi	①	～ 小：一丁點兒大｜～～：對小孩稱乳房
迷	迷	mi	②	
彌	弥	mi	②	
眉	眉	mi	②	
拇	拇	mi	②	大～節頭
謎	谜	mi	②	
瀰	弥	mi	③ⓐ	
米	米	mi	④	
靡	靡	mi	④	
尾	尾	mi	④	～巴
☐	☐	mi	④	吃去筷上粘的食物
味	味	mi	⑥	滋～
未	未	mi	⑥	～哩：還沒呢｜來～：來了沒有
非	非	fi	①	多來～凡：極多
飛	飞	fi	①	
妃	妃	fi	①	
匪	匪	fi	③ⓐ	
翡	翡	fi	③ⓐ	
榧	榧	fi	③ⓐ	
廢	废	fi	⑤	
肺	肺	fi	⑤	
痱	痱	fi	⑤	文
費	费	fi	⑤	
維	维	vi	②	
惟	惟	vi	②	
肥	肥	vi	②	文
微	微	vi	②	
吠	吠	vi	②	
唯	唯	vi	④	
尾	尾	vi	④	(文)結～
味	味	vi	⑥	(文)～精
未	未	vi	⑥	(文)～知數
低	低	ti	①	下～：下面
堤	堤	ti	①	
底	底	ti	③ⓐ	～浪：盛器底下
抵	抵	ti	③ⓐ	
帝	帝	ti	⑤	
蒂	蒂	ti	⑤	～頭
渧	渧	ti	⑤	
梯	梯	tʰi	①	胡～：樓梯或一般梯子
體	体	tʰi	③ⓑ	
躰	体	tʰi	③ⓑ	
替	替	tʰi	⑤	
涕	涕	tʰi	⑤	
剃	剃	tʰi	⑤	
☐	☐	tʰi	⑤	～淨：淨，指解大便
題	题	di	②	
提	提	di	②	～手勿起：下不了決心
啼	啼	di	②	
蹄	蹄	di	②	～膀：肘子
弟	弟	di	④	阿～
第	第	di	⑥	
遞	递	di	⑥	
隸	隶	di	⑥	
犁	犁	li	②	
黎	黎	li	②	
離	离	li	②	
璃	璃	li	②	
梨	梨	li	②	
釐	厘	li	②	
狸	狸	li	②	～貓：野貓
籬	篱	li	②	
禮	礼	li	④	
李	李	li	④	
裏	里	li	④	～向：裡面
里	里	li	④	
理	理	li	④	
鯉	鲤	li	④	
☐	☐	li	④	讓水滴落：籃頭～一～｜魚～一～
例	例	li	⑥	
厲	厉	li	⑥	
勵	励	li	⑥	
麗	丽	li	⑥	
荔	荔	li	⑥	
利	利	li	⑥	
痢	痢	li	⑥	
吏	吏	li	⑥	
淚	泪	li	⑥	眼～水
雞	鸡	ʨi	①	
饑	饥	ʨi	①	點點～：少食解飢
肌	肌	ʨi	①	
基	基	ʨi	①	
機	机	ʨi	①	
譏	讥	ʨi	①	
稽	稽	ʨi	①	
姐	姐	ʨi	③ⓐ	阿～：呼姐
幾	几	ʨi	③ⓐ	～何：多少
己	己	ʨi	③ⓐ	
際	际	ʨi	⑤	
濟	济	ʨi	⑤	～手：左手
劑	剂	ʨi	⑤	
計	计	ʨi	⑤	
繼	继	ʨi	⑤	
寄	寄	ʨi	⑤	文
冀	冀	ʨi	⑤	
既	既	ʨi	⑤	
季	季	ʨi	⑤	
紀	纪	ʨi	⑤	
記	记	ʨi	⑤	
繫	系	ʨi	⑤	～鞋帶
髻	髻	ʨi	⑤	
蘻	蘻	ʨi	⑤	
妻	妻	ʨʰi	①	
溪	溪	ʨʰi	①	
欺	欺	ʨʰi	①	
棲	栖	ʨʰi	①	
蛆	蛆	ʨʰi	①	～蟲：蛆
啓	启	ʨʰi	③ⓑ	
企	企	ʨʰi	③ⓑ	
豈	岂	ʨʰi	③ⓑ	
杞	杞	ʨʰi	③ⓑ	
起	起	ʨʰi	③ⓑ	走～：起床
氣	气	ʨʰi	⑤	
器	器	ʨʰi	⑤	
棄	弃	ʨʰi	⑤	
去	去	ʨʰi	⑤	來～
汽	汽	ʨʰi	⑤	
契	契	ʨʰi	⑤	
齊	齐	ʥi	②	～頭：正好｜勿～頭：不湊巧
徐	徐	ʥi	②	
臍	脐	ʥi	②	
薺	荠	ʥi	②	
奇	奇	ʥi	②	
騎	骑	ʥi	②	
祁	祁	ʥi	②	
鰭	鳍	ʥi	②	
其	其	ʥi	②	
棋	棋	ʥi	②	
旗	旗	ʥi	②	
期	期	ʥi	②	
蜞	蜞	ʥi	②	
☐	☐	ʥi	②	稱台階的量詞：一～｜兩～
技	技	ʥi	④	
妓	妓	ʥi	④	
忌	忌	ʥi	⑥	
些	些	ɕi	①	
西	西	ɕi	①	
奚	奚	ɕi	①	
犀	犀	ɕi	①	
犠	犠	ɕi	①	
嬉	嬉	ɕi	①	
熙	熙	ɕi	①	
希	希	ɕi	①	
稀	稀	ɕi	①	
徙	徙	ɕi	①	
洗	洗	ɕi	③ⓐ	
死	死	ɕi	③ⓐ	白
喜	喜	ɕi	③ⓐ	
細	细	ɕi	⑤	
壻	壻	ɕi	⑤	
系	系	ɕi	⑤	
係	系	ɕi	⑤	
繫	系	ɕi	⑤	聯～
戲	戏	ɕi	⑤	
圾	圾	ɕi	⑤	垃～：臟；垃圾
齊	齐	ʑi	②	～整：漂亮
泥	泥	ȵi	②	爛污～：泥巴
倪	倪	ȵi	②	
宜	宜	ȵi	②	
儀	仪	ȵi	②	
尼	尼	ȵi	②	
疑	疑	ȵi	②	
誼	谊	ȵi	②	
蟻	蚁	ȵi	④	
耳	耳	ȵi	④	白
議	议	ȵi	④	
義	义	ȵi	④	
擬	拟	ȵi	④	
膩	腻	ʔȵi	⑤	
藝	艺	ȵi	⑥	
二	二	ȵi	⑥	白
弍	弍	ȵi	⑥	
貳	贰	ȵi	⑥	
毅	毅	ȵi	⑥	
移	移	ɦi	②	
夷	夷	ɦi	②	
姨	姨	ɦi	②	～甥：稱女者之外甥或外甥
飴	饴	ɦi	②	
沂	沂	ɦi	②	
遺	遗	ɦi	②	
易	易	ɦi	⑥	容～
肄	肄	ɦi	⑥	
翼	翼	ɦi	⑥	又
勩	勚	ɦi	⑥	牙齒～脱｜刀～脱
兮	兮	i	①	
伊	伊	i	①	
醫	医	i	①	
衣	衣	i	①	
依	依	i	①	
倚	倚	i	③ⓐ	
以	以	i	③ⓐ	
已	已	i	③ⓐ	
意	意	i	⑤	寫～：舒服
異	异	i	⑤	差差～～：特別的，極端的
億	亿	i	⑤	
憶	忆	i	⑤	
易	易	i	⑤	交～
波	波	pu	①	
菠	菠	pu	①	
玻	玻	pu	①	
補	补	pu	③ⓐ	
譜	谱	pu	③ⓐ	又
布	布	pu	⑤	
怖	怖	pu	⑤	
頗	颇	pʰu	①	
坡	坡	pʰu	①	
鋪	铺	pʰu	①	動詞
潽	潽	pʰu	①	粥～出來了
普	普	pʰu	③ⓑ	
浦	浦	pʰu	③ⓑ	
譜	谱	pʰu	③ⓑ	
潽	潽	pʰu	③ⓑ	又
脯	脯	pʰu	③ⓑ	
鋪	铺	pʰu	⑤	名詞
破	破	pʰu	⑤	西瓜｜竹頭～開
婆	婆	bu	②	討家～：娶妻
菩	菩	bu	②	
蒲	蒲	bu	②	
☐	☐	bu	②	白～西瓜：未熟西瓜｜白～棗：棗
鵏	鵏	bu	②	
巴	巴	bu	②	嘴～
簿	簿	bu	④	
部	部	bu	④	
𥳖	𥳖	bu	④	
步	步	bu	⑥	踏～齊：台階
埠	埠	bu	⑥	
捕	捕	bu	⑥	
伏	伏	bu	⑥	
磨	磨	mu	②	
模	模	mu	②	
母	母	mu	④	
拇	拇	mu	④	～指
墓	墓	mu	⑥	
暮	暮	mu	⑥	
幕	幕	mu	⑥	
募	募	mu	⑥	
慕	慕	mu	⑥	
夫	夫	fu	①	
膚	肤	fu	①	
敷	敷	fu	①	
呼	呼	fu	①	捏牢酒瓶～～
府	府	fu	③ⓐ	
腑	腑	fu	③ⓐ	
俯	俯	fu	③ⓐ	
甫	甫	fu	③ⓐ	
斧	斧	fu	③ⓐ	
撫	抚	fu	③ⓐ	
輔	辅	fu	③ⓐ	
俘	俘	fu	③ⓐ	
付	付	fu	⑤	
賦	赋	fu	⑤	
傅	傅	fu	⑤	
赴	赴	fu	⑤	
訃	讣	fu	⑤	
富	富	fu	⑤	
副	副	fu	⑤	
符	符	vu	②	
扶	扶	vu	②	
芙	芙	vu	②	
無	无	vu	②	文
浮	浮	vu	②	
父	父	vu	④	
腐	腐	vu	④	
武	武	vu	④	
鵡	鹉	vu	④	
婦	妇	vu	④	
負	负	vu	④	
侮	侮	vu	④	
附	附	vu	⑥	
務	务	vu	⑥	
霧	雾	vu	⑥	
多	多	tᵊu	①	
都	都	tᵊu	①	
賭	赌	tᵊu	③ⓐ	
肚	肚	tᵊu	③ⓐ	羊～子
堵	堵	tᵊu	③ⓐ	牆隔～：牆中間空的部分
躲	躲	tᵊu	③ⓐ	
妬	妬	tᵊu	⑤	
拖	拖	tʰᵊu	①	
妥	妥	tʰᵊu	③ⓑ	
橢	椭	tʰᵊu	③ⓑ	
土	土	tʰᵊu	③ⓑ	
吐	吐	tʰᵊu	③ⓑ	～痰
唾	唾	tʰᵊu	⑤	饞～：唾液
