#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
s	［1］筛（动词）酾（~酒，斟酒）衰（~瘏，累）沙=纱=砂鲨裟痧□（~木头，锯开）三（~四个）［3］洒耍傻撒［5］啥閯煞（接~）
z	［2］豺-柴昨（~头，昨天）［4］惹［6］射（排泄，放屁）偌
k	［1］街-阶（~沿石）加-枷-（~锁）伽痂家-葭-傢-袈-嘉-胛咖（~喱）［3］假-（真~）芥贾-解-（~开）［5］嫁-稼架-□枷（上~）价-疥-假-（休~）芥-介-界-戒-届-尬解（~释）吤□（几~梁）庎
kʰ	［1］揩咖（~啡）［3］楷卡（~片）［5］看卡（嵌在两物之间）
g	［2］茄痂笳袈□（用盐腌，~落苏）□（搀扶）［4］解（~开，~纽子）懈（松懈，~门）澥（浆糊等失去黏性）□（~進去，擠入）鎅（锯；割；切；裁：～木）［6］骱懈□（硬挤进去）
ŋ	［1］□（硬挤进去）［2］牙-芽-蚜-衙-（~门）齖（啃）砑［4］□（~角秋千，仰面朝天）［6］外-捱（~辰光，拖延）□（~食，孩子看见别人吃东西，期待别人给一点吃）
h	［1］哈颬□（身傴貌）□（~目向，差不多某个时候）□（划）［3］蟹［5］解（姓）罅（髈~赖，腹股沟，~拉，缝儿）□（~目向，时间差不多）
ɦ	［2］何（~里，哪里）鞋蝦（~蟆，蝌蚪）［4］也-［6］外（~介，不然）解啊（疑问语气词）
ø	［1］阿（~姨）啊（惊讶语气词）挨□（~模样，差不多某个时候）［3］矮［5］□（~模样，时间差不多）
#ia	
ɗ	［1］爹［3］嗲
ʦ	［1］嗟□（用小火煎烤，用文火煮）［3］姐-［5］借藉（~故）
ʦʰ	［1］七（~八岁）［3］且（有~可，也就罢了）［5］笡（零头~角，碎布）
s	［3］写-［5］泻-卸㕐
z	［2］斜邪□（~来~去，跑来跑去）［6］藉（~口）谢榭塮（厩肥）
ʄ	［1］街=阶（~段）加=枷=茄（雪~）袈=葭=家=傢=嘉=皆佳今（~头，~夜头，今晚）［3］假=（真~）芥贾=解=（~决）［5］嫁=稼架=价=芥=疥=假=（休~）介=界=戒=届=驾=解=（押~）誡
ɟ	［2］茄（~克衫）笳□（健壮能干，强的音变）
ɲ	［2］鲶鲇（~鱼，鲶鱼）［4］惹-［6］廿（~五）
ç	［1］罅=□（~巴眼，斜白眼)奢（~遮，能干）［3］虾=夏=［5］下=（~面子，丢脸）
h	［1］罅奢（~遮，能干）［5］下
ɦ	［2］爷-崖=涯耶（感叹词）牙=芽=蚜=衙=暇瑕遐霞椰揶讶［4］野也（~妙ɦmau2弄）下=［6］夏=厦=下=也=夜
ø	［1］椰耶霞呀丫=鸭=鸦=鵶迓（躲藏，~皮，躲懒）桠［3］雅亚亞哑=［5］夜-娅-婭-
#ua	
k	［1］乖-瓜=［3］拐-寡=［5］怪-挂=卦=褂=剐=罣
kʰ	［1］夸=［3］垮筷会［5］快-蒯-跨=侉=绔（纨~）
h	［1］花=歪［5］化=
ɦ	［2］华=铧=桦=骅=［4］瓦=［6］话=画=
ø	［1］蛙=哇=娃=洼歪=
#ɛ	
ɓ	［1］般瘢螌班斑扳颁（~布）掰瓣［3］板版坂阪舨瓣摆［5］扮绊颁（~白）□（绊倒）畈□（用力摔东西）拜=
