#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
ɦ	［2］寒韩员圆园爰袁猿辕渊垣鸢缘橼悬玄元［4］远旱［6］汗悍捍焊眩县院翰瀚
ø	［1］安氨鹌鞍鸳冤缘=［3］媛援铵［5］案按鞍暗桉胺焊怨县（~隍庙）
#yø	
ʄ	［1］捐娟涓鹃绻［3］卷捲［5］绢眷狷见（勿看~）
cʰ	［1］圈埢（围墙）［3］犬券畎绻［5］劝
ɟ	［2］拳蜷鬈踡权颧䟒（走路身曲）䠰（背不直）［6］倦圈（猪~）
ɲ	［2］元（~旦）原源鼋袁缘［4］沅阮软［6］愿
ç	［1］靴喧萱揎貆㧦（重击）䚭（挥角~人）虾［5］楦
#ɔ	
ɓ	［1］包胞苞褒［3］宝饱保堡葆褓鸨［5］报豹爆（~炒米）趵□（~芽）
pʰ	［1］抛泡（水~）脬［5］炮泡（浸~）疱雹
b	［2］跑袍麅［4］抱鲍［6］鉋刨鲍咆庖菢爮暴瀑曝爆□（眼睛突出）
m	［2］猫锚毛髦蝥旄牦矛茅［4］卯泖昴铆［6］冒帽瑁耄貌贸茂
β	［2］□（语气词，征询口吻，叹词，相当于“对吧”）
ɗ	［1］刀叨（唠~）［3］捣岛倒（跌~）祷（~告）［5］到岛倒（颠~）
tʰ	［1］滔韬叨（~光）弢绦饕［3］讨［5］套
d	［2］桃逃哦咷洮淘萄陶啕涛焘［4］稻蹈道（~袍）［6］道导盗悼蹈掏
n	［1］呶（语气词，“给”）［2］挠铙［4］脑瑙淖［6］闹恼淖
l	［1］捞唠（~叨）涝［2］萝（~卜）劳痨牢醪□（~□zɔ，垃圾）［3］□（在脸上摸一把）□（草草的擦拭）［4］老佬姥栳［5］老=［6］憦（懊~）恅咾（语气词）
ʦ	［1］糟遭朝（~夕）抓（~痒）招昭钊找=（~寻）搔［3］早蚤枣澡藻爪沼找（~头）［5］灶噪躁诏照罩
ʦʰ	［1］操糙造（~次）抄（舀，勺子）超钞（~写）□（~脚炉，一种大的脚炉）［3］草吵炒钞（~票）［5］操糙□（~牌，洗牌）耖
s	［1］骚臊稍梢艄筲捎蛸烧少（~年）［3］扫瘙嫂少（多~）［5］肖（生~）潲燥哨□（快速）
z	［2］曹嘈漕槽潮朝（~代）嘲晁荛韶饶=□（~一把，扶）□（饿）□（lɔ~，垃圾）［4］造赵兆肇摷（提篮子）［6］皂兆召肇绍邵绕=扰=
k	［1］高篙羔糕膏皋睾交-跤-鲛-茭-胶-邀-缴-教-（邀请，叫）［3］杲搞缟稿镐槁搅-绞-铰-□［5］告诰觉-（睏~）叫-（~化子）校-（~场）教-窖-酵-珓垩（施肥）
kʰ	［1］敲-［3］可考栲犒巧（~果）［5］犒靠烤铐拷（~酒）洘（~浜頭）
g	［2］螯骹［4］搞（纠缠）［6］绞（打X）
ŋ	［2］熬鳌鏖嗷敖遨翱爊（煨：~猪油）［4］咬-瓦-□（仰起头）［6］咬傲鏊□（~好戏，自找苦吃）
h	［1］蒿薅𤐶（油变质）［3］好（~坏）晓-（~得）许（几~，多少）［5］耗好（爱~）孝-（戴~）哮-化-（叫~子）
ɦ	［2］豪毫嚎濠壕㩝（量米）号（呼~）嗥浩皓昊嚆［4］袄下-（~放）灏颢夏（姓）浩皓［6］华画号（挂~）夏（春~）厦（~门）㩝（估量）
ø	［1］丫-鸦-（老~）凹坳摮（用棍击）椏-亞掗-熝鏖（~糟）䫜搲［3］啞-奥澳懊媪袄［5］噢（应允）奥澳懊墺扷（灌药，注磨）拗（~春）
#iɔ	
ɓ	［1］标鑣镖膘彪飙表（钟~）婊滮（液体从小孔中射出）［3］表（~格）錶裱［5］□（~铜钿，分钱）
pʰ	［1］漂（~流）飘剽殍［3］漂 （~白）缥瞟［5］票剽朴（姓）
b	［2］嫖瓢鳔薸［4］殍
m	［1］瞄（偷窥）［2］猫苗描瞄（~准）［3］秒眇渺缈妙藐□（边斜视边转动眼珠）［6］庙妙缪（姓）
ɸ	［5］□（非要的合音）
β	［6］覅（勿要的合音）
ɗ	［1］刁叼貂凋雕碉□（~嘴，口齿不伶俐）［3］鸟-屌𧜣（补衣服）［5］吊铞弔銚钓窵（相距较远）𧜣（缝补）
tʰ	［1］挑祧佻□（挑）［5］跳眺粜
d	［2］条鲦笤苕迢髫蜩调（~和）窕跳（跺脚）䠷（长~子）趒（~龙灯）㨄（~米浆）［4］调（~换）［6］掉调（曲~）
l	［2］撩潦僚缭瞭燎䩍（面色苍白）嘹辽镣寥聊摷［4］了（一~百了，~结）蓼［6］疗瞭潦撩了（~结）廖（姓）料尥
ʦ	［1］焦蕉椒［5］剿礁醮
ʦʰ	［1］鍫锹悄鞘缲（~边）缫（卷起裤管）［3］钞（~票）［5］俏峭诮（打趣）瞧
s	［1］宵消逍硝销绡□（~地光，倒地）霄箫萧潇捎（~马桶，涮）［3］小筱［5］笑啸肖（不~）
z	［2］巢樵憔瞧谯［6］撨（骗钱）□（搅动，搅拌）㩭（瞎~，捣乱）
ʄ	［1］交=茭=跤=胶=鲛狡蛟姣郊娇骄骁浇侥缴［3］鸟绞=较铰=校（~对）饺佼皎缴矫（~正）搅=［5］叫教（~育）觉=（睡~）校（上~）窖
cʰ	［1］跷蹻（高~）橇（雪~）撬（挑拨）锹□（挑）敲=［3］巧［5］窍翘鞘
ɟ	［2］乔桥侨荞翘（七~八裂，不平整，木板变形）［4］撬挢（撬）［6］轿
ɲ	［2］饶-尧-桡蛲［3］袅鸟=尿嬲（纠缠）［4］嬲（瞎夹~，胡搅）绕［6］绕
ç	［1］枵鸮鴞枭□（掲开）嚣骁硗浇（~薄，刻薄）［3］晓［5］孝酵=哮□（休要的合音）
h	［1］□（揭开）［3］晓［5］□（休要的合音）
ɦ	［2］摇遥谣瑶徭傜窑肴姚珧吆杳爻尧淆滧［4］舀咬=［6］校（学~）效鹞耀曜□（~颠摆到，摇摆）□（又要的合音）
ø	［1］妖邀要（~求）腰幺（~二三）吆=夭窈闄（从中间折叠或隔开）［3］杳［5］要（重~）
#o	
ɓ	［1］巴-芭（~蕉）笆疤-把（~手，扶手）［3］把（~握）靶欛［5］霸坝灞欛壩
pʰ	［5］破怕
b	［2］扒爬琶杷耙钯吧毳（~手）［4］罢=（~工）［6］䶕（~牙齿，龅牙）耙
m	［1］磨（~夜作）［2］麻痲嘛（喇~）摩魔嬷（修女）磨（~刀）蘑摹蟆膜（~拜）模馍□（泡沫）［3］母拇嬷（~~，父之姐，伯母）姥（斗~宫）［4］马-蚂码玛吗（~啡）姥（老~，妻子）么蟆［6］骂墓幕暮慕募磨（石~）嬷（白头~~，旧时称“修女”）
ɗ	［1］□（~lo2,冷言讽刺）□（~六，挪愉）□（提起一条腿拍球）［3］朵=垛剁跺躲=［5］剁（~面，刀切面）跺□（~洞，锁扣洞）
n	［1］拿娜（婀~）［2］哪（~吒）挪
l	［2］□（ɗo1~,冷言讽刺）
ʦ	［1］査（姓）渣楂遮蔗揸摣（抓牌，抓取）［3］蔗柞（~树）赭［5］诈榨炸柘鹧吒痄（~腮）
ʦʰ	［1］叉杈钗汊差（~勿多）搓=车错（~误）磋瘥［3］诧岔［5］厝衩汊岔错
s	［1］沙痧砂纱鲨裟莎娑挲赊［3］捨舍（~弃）赦十（~五）［5］厍晒赦捨舍（~间，舍下）
z	［2］茶搽查（调~）佘蛇昨柞［4］社喏（唱~，作揖）［6］乍祚酢射麝
k	［1］瓜-娲［3］寡-剐［5］卦-挂-褂-罣-
kʰ	［1］□（把食品投入水中，放进，~到嘴里）夸-（~大）［3］垮-［5］跨-侉-夸（~口）
g	［4］□（身体衰老）□（松散）
ŋ	［4］瓦
h	［1］花-虾-华（龙~，地名）呵（~痒，~趣趣）哗［5］化-
ɦ	［2］霞-（朝~，晚~）华-铧骅桦劃（~饭，把饭粒拨入口中）［4］下-（~巴）夏-［6］华（姓）话-画-夏-
ø	［1］蛙喔丫-挜-桠-（强予）划（~船）阿（~弥托佛）鵶鸦-（老~）搲（~勿着，手不及物，用手抓）［3］哑-［5］□ (西瓜的一角，约1/12，量词，片，一~西瓜)
#io	
h	［1］靴
ɦ	［1］唷（叹词，表示惊讶，疼痛）
ø	［1］喲（叹词，表示惊讶）
#iu	
h	［1］靴
#ɯ	
ɓ	［1］褒
pʰ	［5］剖
m	［2］谋矛［4］亩=牡拇［6］茂贸懋牟眸侔某牡
ɸ	［1］否（是~）缶［5］否（是~）缶
β	［2］浮［6］阜=负=复（再次，无以~加）復（年~一年）
ɗ	［1］兜［3］斗（升~）抖蚪陡［5］鬥（~争）
tʰ	［1］偷□（~疹）［3］敨(~开)透（呼吸，~气）［5］透（渗~）
d	［2］头投骰［4］□（~五~六，忙乱）［6］豆逗痘荳脰窦骰读（句~）
n	［6］馁耨□（你）
l	［1］搂镂□（摳，挖）［2］瘤娄楼溇耧蝼喽髅偻（跔~，手指伸不直）［4］溇篓搂（撩拨，~火棒）□（开玩笑）［6］漏陋瘘熡（用少量油炒菜）謱
ʦ	［1］邹诌驺州洲舟周週［3］走帚肘煼（~油肉）［5］奏揍肘咒昼皱绉诌
ʦʰ	［1］抽惆［3］丑醜瞅［5］臭凑腠瘳
s	［1］收蒐搜馊飕溲漱□（~粉，和面）［3］守手首艘擞［5］狩叟瘦兽嗽漱
z	［2］酬愁绸稠啁仇（~恨）俦畴筹踌雠柔揉蹂揂（~藤）□（抽）［4］受寿（~头，呆瓜）□（聚钱）［6］售寿授绶骤宙纣胄袖就
k	［1］勾钩沟苟篝溝佝（偻~,手指伸不直）［3］狗枸（~杞）［5］个够购构媾彀垢诟
kʰ	［1］剾眍眗抠□［3］口［5］扣叩釦寇蔻□（勉强够）
g	［2］絿趜（脚~起仔，屈而不伸）跔 (~头颈，缩颈)佝（偻~,手指伸不直）
ŋ	［4］藕［6］偶耦
h	［1］呴（气恼）齁（过咸过甜引起的不适，喘）□（吸）佝［3］吼［5］吼鲎□（虹）
ɦ	［2］侯喉猴糇瘊篌［4］厚後（前~）［6］个（的）后（王~）候逅
ø	［1］欧鸥殴瓯伛（弯腰）讴区（姓）䉱䉩（~篮，摇篮）［3］呕［5］沤怄伛（弯腰）
#iɯ	
m	［2］缪（绸~）［6］谬
ɗ	［1］丢
l	［1］溜（~冰）蹓［2］刘浏留榴瘤馏遛流琉硫［4］柳绺力粒［5］溜（~~花）［6］溜（灵活）□（秀~，清秀）
ʦ	［1］揪啾［3］酒揫（量词，束）［5］绉-皱-
ʦʰ	［1］秋鳅鞦揪楸锹抽（鞭打）
s	［1］羞馐修［5］秀璓锈绣宿（星~）
z	［2］囚泅酋遒㥢（凶悍）［6］袖岫就鹫
ʄ	［1］纠（~缠）赳鸠樛阄厩揪［3］九久灸玖韭纠（~合）［5］救究灸疚
k	［3］九
cʰ	［1］尻（尾~骨，尾骨）丘邱蚯恘（坏，歹）［3］揪（抓出）□（干活，贬义）
ɟ	［2］巢（姓）求球裘逑俅仇（姓）虬桕勼㾭□（身体蜷缩）毬（一~花，量詞）［4］臼桕舅［6］旧柩咎□（晦气）
ɲ	［2］牛［3］扭纽钮沑（潮湿）［4］扭纽钮妞
ç	［1］休庥貅朽［3］咻□（~鬼，拖拉的人）［5］朽嗅臭（体~）溴□（诱使）
h	［1］休［3］咻［5］嗅
ɦ	［2］由油蚰铀邮尤疣猷犹鱿游蝣繇酉［4］有友柚［6］右祐佑又诱莠蜏宥囿侑柚釉鼬卣牖
ø	［1］忧优攸悠幽呦［3］［5］幼
#æ̃	
m	［2］蛮（蛮不讲理）［6］未（句末语气词）
n	［6］呐（语气词）
ɦ	［6］□（叹词，表赞同）□（反诘语气）
ø	［1］还（副词）欸（叹词，表应答）嗳（招呼声）□（应对语气，表同意，叹词，用于应答）
#ã	
ɓ	［1］浜绷崩□（勉强应对）絣［5］迸（裂开）泵
pʰ	［1］乓烹（放料酒）泙（雨~进来，~头酒，料酒）洴（潲雨）［3］□（~~千，小钹）□（蹒跚）［5］碰（~和，打麻将）閛（~门，关门）□（凑数，戳楚~齐头）□（重重的拍）掽（~檯子）
b	［2］朋-棚-硼-鹏-彭-膨-蟛-澎-砰□（积攒）［4］蚌［6］蚌碰（遇见，接触）甏嘭□（聋~，聋子）
m	［1］□（~酒，小口饮）［2］虻（~蝇）盲（~子，瞎子）［3］咩（羊叫声）马（~上）［4］蜢稝（密）猛［6］孟-猛-锰
ɸ	［1］□（蛮横无理，小孩行为粗鲁）［5］□（花钱超过计划）
β	［2］横（~竖）□（镰刀）［6］横（蛮横，凶狠）
ɗ	［1］□（天~，幼儿叫先生发音不准确）［5］打
tʰ	［1］铴（~锣，小锣）淌（~~渧，水下滴貌）
d	［6］荡-宕（悬挂）宕（~账，欠账）趤（逸游）
l	［4］冷-
ʦ	［1］章彰漳樟璋獐蟑张□争-睁-［3］涨长（~幼）掌障幛瘴［5］帐账胀仗□（刺入皮肤内的小刺，触~）障瘴
ʦʰ	［1］昌娼倡（~優）猖鲳菖阊撑瞠［3］厂敞氅伥昶（时间长，走~走~）［5］畅怅伥唱倡（提~）敞撑（勉力支撑）牚（天落~）
s	［1］生-牲-笙-甥-鉎声-商墒殇伤［3］省（节~）赏晌
z	［2］长苌场肠藏常嫦裳尝偿䂻（塞）穰澄（阳~湖）橙（~子）［4］丈杖锃（~亮）上［6］仗（炮~）攘让=嚷壤尚（时~）上剩-锃盛（姓）
k	［1］粳-更-庚-羹-耕-□（脾气犟）［3］哽-鲠-埂-耿-梗-骾-㾘（尿~）
kʰ	［1］坑-□（摩擦以止痒）□（蹭，鼻子）
g	［2］䢚（推挤）
ŋ	［6］硬-
h	［1］亨（~通）脝□（神气活现）［5］亨（大~）夯（打~）
ɦ	［2］洋（~钿）行（流行）桁扌行（搀扶，携手而行）
ø	［1］樱鹦罂［3］杏
#iã	
l	［2］良凉量（测~）粮梁粱踉［4］两俩辆魉［6］谅亮量（气~）晾两
ʦ	［1］将（~就）浆［3］桨蒋奖［5］酱将（武~）□（雀的儿化音）
ʦʰ	［1］枪锵羼跄□（~冷水，摻）［3］抢［5］呛□□（~虾，用酒或醋蘸渍）戧（斜椅）戗（用剪刀剖开）炝（~毛豆）
s	［1］相（~助）箱厢湘缃襄镶骧鲞［3］想鲞□（纸头~口是一地，纸屑撒得满地都是，~仙花，指把纸片碎屑抛向空中，散落开来）［5］相（宰~）
z	［2］详祥翔庠戕墙蔷樯嫱［4］象像（相似）橡［6］像（肖~）匠
ʄ	［1］江=姜疆僵缰薑礓鏹［3］讲=［5］降（~落）绛=
cʰ	［1］腔镪羌=［3］强（勉~）镪襁
ɟ	［2］强（~壮）□（便宜）［4］强（倔~）犟□（挣扎）
ɲ	［1］酿（~酒）［2］娘瓤（瓜果肉實）［3］仰孃［4］两［5］孃（阿~，姑母）醸酿（酝~）［6］让-讓譲嚷壤䖆
ç	［1］乡香［3］响晌［5］向享饷飨
h	［1］乡香［5］向
ɦ	［2］羊洋佯徉烊蛘（~子，米虫）阳扬杨炀疡飏旸［4］痒养氧［6］漾
ø	［1］央秧殃泱怏鞅鸯［3］漾巷［5］样漾=映恙
#uã	
k	［1］光（ ~火）奣(进食，~吃，詈语，《玄空经》作)□（~灰）［3］□(~灰，保干燥的石灰）□（~坼，裂开)
kʰ	［1］□（~~千，钹）［3］□ (锵锵~~，玩具铙钹)
g	［2］□（直桶~，笔直无遮拦）咣（锣声）
ø	［1］横（~堆，蛮不讲理）
#ɒ̃	
ɓ	［1］邦帮梆镑［3］榜镑膀（翅~）磅蒡绑［5］谤
pʰ	［1］滂［3］髈（脚~，大腿）［5］胖
b	［2］旁滂螃鳑膀（~胱）磅厐庞彷防-房（~间）［4］傍棒［6］傍
m	［2］忙盲=氓-邙芒茫铓-虻硭亡-（关~）罔（捏~）［4］芒莽蟒忘网-罔-魍-［6］梦望-忘-妄-
ɸ	［1］方芳枋坊肪荒慌肓况黄（蛋~）［3］妨访纺彷仿舫鲂谎恍幌［5］访放晃况
β	［2］王房皇蝗隍惶凰遑徨煌篁黄（~帝）簧潢磺璜蟥□（砖~，小瓦）亡罔（荒唐）衁（血）［4］妄忘网=罔辋魍［6］望=忘=妄=王（~天下）旺=晃（晃动）□（打赌）
ɗ	［1］端（~午）当（担~）裆铛珰档（软~）［3］党挡噹［5］挡（推~）当（典~）档
tʰ	［1］汤倘谠挡（挡住）□（~风牌）［3］淌倘躺帑踢（滑跌）［5］烫摥趟耥（~稻）傥□（斛上用来刮平货物的木片）
d	［2］唐塘搪糖溏螗堂樘膛螳棠镗［4］凼荡（户~）盪（洗涮）□（量词，一~毛巾）［6］荡（~湖船）宕趤（走良~，逸游）砀
n	［2］囊瓤攮馕［4］曩［5］儾（跳板等上下颤动）
l	［1］誏（~声，嘲讽）［2］狼琅稂郞榔螂廊［3］啷（马铃声，象声词）［4］朗琅（书声~~）［6］浪朗晾㫰（晒）走良（~趤，逸游）
ʦ	［1］庄装妆桩臧脏（肮~）赃章（姓）樟掌［3］掌（巴~）［5］葬壮焋奘障瘴
ʦʰ	［1］窗疮仓伧苍沧舱昌菖□（~忒，多余或浪费）［3］创［5］闯创怆唱倡
s	［1］双霜孀桑磉丧（奔~）泷伤商（~量）［3］爽嗓搡颡赏［5］丧（~失）□（吞下）漴（~缺，地名）
z	［2］藏（躲~）床裳尝偿［4］上（~山）绱鞝（~鞋子）［6］撞幢状壮（~族）藏（西~）脏（内~）尚上（~面）
k	［1］缸扛肛豇江-冈岡刚岗钢纲罡光［3］岗讲-港［5］□（摸）杠降（下~）绛-
kʰ	［1］康糠亢颃匡筐坑=［3］慷匟（床~）伉抗炕［5］抗亢炕囥（藏）
g	［4］戆（傻）［6］□(顶住，硌着小石子作痛，~痛；~臂膊，两臂撞击的游戏) □（硌脚）
ŋ	［3］昂［6］望□(~板，架在椽子间的薄砖)
h	［1］黄荒慌夯（气喘吁吁）［5］放（日~，太阳出来）
ɦ	［2］王黄-杭项（~目）航行（~列）桁绗（~针）沆吭（引~高歌）□（承受）降（投~）［4］下㽘项（~羽）巷（地名）［6］巷□（赌东道）
ø	［1］䱀肮盎□（~三，窝囊，糟糕）□（报以白眼）
#iɒ̃	
cʰ	［1］羌眶匡（姓）［3］眶
ɦ	［2］王（姓，地名）［5］旺王
#uɒ̃	
k	［1］光胱洸咣［3］广邝［5］逛□（晃动）□（皮肤上的爪痕）□（暗中摸索）
kʰ	［1］匡框筐［3］框诓眶桄［5］矿旷圹邝眶=
g	［2］狂诳
h	［1］荒
ɦ	［2］晃（晃动）皇簧
ø	［1］汪晃（晃眼）［3］往枉［5］枉
#əŋ	
ɓ	［1］奔锛贲畚崩=绷=痭［3］本苯□（给）［5］蹦
pʰ	［1］喷烹抨
b	［2］朋=棚=硼=鹏=膨=彭=蟛=澎=盆□（灵~，佩服）［6］笨坌（挖掘）
m	［1］焖闷（~声大发财）［2］门们萌盟明（~朝）闻（嗅）蚊氓=［3］扪［4］蜢=［6］问-（动词）璺闷（苦~）焖懑孟=猛=
ɸ	［1］分吩芬纷汾氛昏婚阍荤［3］粉［5］粪奋轰□
β	［2］分文蚊=纹坟闻=雯浑魂馄焚［4］紊混诨［6］吻刎问忿愤份
ɗ	［1］登灯蹬膯（~食）吨蹲敦墩惇礅驐蹭（磨~）戥（掂量）□（嗦囊）［3］等戥（~子）趸盹［5］登镫瞪磴憕（呆~~）膯顿炖吨扽□（~食，积食）
tʰ	［1］听？（闻）吞暾□（~头势，模样）［3］氽□（用大量的油煠）㶒（~發~發，蕩漾）
d	［2］藤滕謄誊腾臀屯饨豚疼［4］囤（草~）□（急匆匆走路）［6］盾遁钝沌邓囤屯钝瞪□（反唇相讥）
n	［2］能［5］□（脚尖踮起，身体上下颤抖）［6］嫩
l	［1］睖（眼珠一转，瞪眼）扔［2］疄（畦）仑崙轮纶抡伦沦囵论埨楞（瓦~）棱繗（缝，~被头）邻［4］冷=［5］愣［6］论
ʦ	［1］曾（姓）罾增憎甑缯徵（~求）珍疹针箴甄贞侦桢祯真槙（楔子）榛臻蓁斟椹枮砧征怔钲症正（~月）争=峥狰睁=筝诤挣烝蒸尊樽遵谆肫㲀（塞紧，投掷）捘（挤，按捏）黰（霉~气）今［3］准怎拯整侦疹撙凖［5］正（端~）政圳症证證振赈震枕鸩镇诊蹲=甄帧
ʦʰ	［1］琛称（~呼）嗔瞋春椿参（~差）村忖皴蛏撑=［3］蠢谶碜抻（抖动衣物）［5］逞骋秤趁乘（~船）榇衬称（~心）寸忖
s	［1］森僧孙荪狲申伸呻绅砷深娠参（人~）身生=笙=牲=甥=声=升［3］笋榫损巽审婶沈（姓）哂矢矧省=［5］胜圣舜瞬渗逊损
z	［2］人=壬=仁=仍=任=沉忱辰宸晨陈臣尘谌橙=成城诚盛（~饭）晟乘（~法）绳呈程裎塍承惩澄=丞唇存纯莼淳谆醇鹑曾（~经）层神呻岑涔［4］荏忍=葚稔肾吮［6］刃仞纫韧=认=任（责~）紝妊纴衽饪朕阵郑嵊乘（车~）剩=盛（茂~）顺娠赠甚葚蜃慎肾闰=润=
k	［1］根跟更=粳=庚=羹=耕=赓［3］耿=哽=梗=埂=鲠=骾=艮亘［5］更=（~加）艮亘
kʰ	［1］垦铿坑=吭（~声）掯（翻检，~抽斗）□（老~，积垢）［3］肯恳啃□（我~你，我和你）［5］睏困恳掯（勒~）
g	［2］□（用力，~仔~仔，形容努力的样子）［4］□（脾气执拗，倔强）
ŋ	［6］硬=
h	［1］亨=哼［3］狠很［5］擤（~鼻涕）
ɦ	［2］痕恒衡蘅［6］恨
ø	［1］恩嗯
#iŋ	
ɓ	［1］宾滨槟缤傧彬斌邠冰兵［3］殡鬓禀饼秉并併丙炳［5］鬓殡柄併迸=摒鈵（用力坚持）
pʰ	［1］拼姘乒［3］品聘牝
b	［2］贫频濒颦平苹评坪枰呯萍屏瓶凭［4］并並［6］病
m	［2］民旻明名铭茗鸣酩［3］岷珉泯抿呡敏鳘皿黾悯闽冥暝螟瞑溟［4］悯闵脗（~缝，合缝）抿［6］命
ɗ	［1］丁钉（名词）叮玎疔酊盯仃［3］顶鼎［5］订钉（动词）濎（~脚，使水中杂质沉淀）
tʰ	［1］听（~觉）厅汀艇梃［3］挺铤艇听（~便）［5］挺（剩下）听（~任）
d	［2］廷庭蜓霆亭停婷［4］碇锭（纸~）［6］定淀碇锭（量词）糽（缝）澱（~山湖）
l	［1］拎［2］林琳淋霖邻繗麟鳞磷粼辚临蔺躏凛廪零囹龄铃苓羚蛉玲聆伶泠翎瓴鸰凌菱绫陵灵棂［3］凛吝=［4］懔凛檩檁领岭聆另赁［6］吝蔺躏令伶另泠
ʦ	［1］津精晶精睛旌菁蜻=腈（~肉）［3］儘尽井阱［5］进晋搢-缙浸骏峻竣浚俊濬
ʦʰ	［1］侵亲青清氰鲭=蜻=［3］请抻（抖动）掅（抖动，拂落）［5］寝沁
s	［1］仙-（天~湖）心芯辛莘锌新薪鮏鉎星惺猩蜻虫星荀媳眚（生~，眼病，一点，一些，）［3］省（反~）醒腥询□（吃出~）［5］信姓性汛迅讯荀询殉徇囟
z	［2］循巡驯晴情寻浔鲟殉旬秦覃（姓）饧（~糖）［4］尽（穷~）静靖旬蕈［6］饧（~糖）净徇殉
#iəŋ	
k	［1］今
ʄ	［1］今君（灶~菩萨）金襟巾斤筋卺茎京惊荆泾经□（~韧，柔韧）［3］锦紧谨景警禁（不~）襟噤茎儆憬竟颈刭［5］禁（~绝）噤劲堇槿谨竟境镜景警敬径迳靳□（日照强烈）
cʰ	［1］钦衾轻氢罄磬顷倾卿［3］钦顷［5］揿庆沁搇
ɟ	［2］禽擒噙琴勤芹擎檠鲸矜兢亭［4］凚（发抖）近仅□（~头攋面）痉［6］竞痉馑瑾觐凚烬劲
ɲ	［1］□（稳住使不摔倒）［2］银垠龈吟狺宁（安~）咛柠泞狞凝人-仁-仍-迎壬任（姓）鄞［3］拧［4］忍-（~住）［6］宁（~可）佞壬-妊-任-认-闰-润-垽（茶~）涊（污~）赁䵑（韧性）韧-
ç	［1］欣馨昕鑫兴（~旺）臖（~阳核，淋巴结突出的核状物）妗（不庄重，轻浮）［5］衅兴（高~）兴（茂盛）臖
h	［1］欣馨昕鑫兴（~旺）臖（~阳核，淋巴结突出的核状物）妗（不庄重，轻浮）［5］衅兴（高~）兴（茂盛）臖
ɦ	［2］行=（~为）形型邢刑寅淫霪营嬴赢萤楹［4］引蚓尹［6］幸倖行=（品~）胤孕
ø	［1］音喑瘖阴荫因茵姻氤殷应（~当）鹰膺蝇莺婴缨嘤璎撄鹦=樱=英瑛盈罂=萦䁐（偷看）［3］隐（火灭）瘾引影颖颍［5］饮洇（渗水）窨印应（答~）映=瀴（水凉）
#uəŋ	
k	［3］滚磙绲棍鲧衮［5］□（~脓，溃疡，化脓）
kʰ	［1］昆崑琨锟鲲鹍焜坤髠壸［3］捆困阃［5］睏困
h	［1］昏
ɦ	［2］魂
ø	［1］温瘟蕰（~藻浜，地名）［3］稳
#yɐŋ	
ʄ	［1］均=钧=军=君=皲［3］窘=菌
cʰ	［3］菌=
ɟ	［2］群=裙=［6］郡=
ç	［1］熏=勋=［5］训=
h	［1］熏勋［5］训
ɦ	［2］匀=云=雲=芸=耘=［4］允［6］熨=韵=运=晕=孕
ø	［3］允
#ʊŋ	
ɓ	［1］蹦帮［5］蹦（往上跳）
pʰ	［3］捧
b	［2］篷蓬髼塳（~尘，灰尘）［4］埲（尘土飞扬）熢（量词，团）［6］凤（~仙花）
m	［2］蒙朦矇蠓檬濛懵梦［4］懵
ɸ	［1］风枫疯讽封丰酆峰锋蜂烽丰葑［3］俸捧［5］俸
β	［2］冯逢缝（裁缝）［6］凤（~凰）奉缝（一条~）
ɗ	［1］东冬咚［3］懂董栋［5］冻栋
tʰ	［1］通熥蓪［3］捅统□（移动位置）［5］痛恸
d	［2］同铜筒桐侗烔（暖热，热~~）挏仝侗峒童僮瞳曈潼彤佟□（嵌套）［4］动筒桶洞［6］洞恫侗胴恸
n	［1］弄（敷衍）□（将就）［2］农哝浓=脓齈［6］侬
l	［1］弄（敷衍）［2］龙聋笼砻垄咙胧眬珑隆窿栊陇［4］拢陇［6］弄
ʦ	［1］中（~央）忠盅衷终螽钟宗棕踪综鬃琮淙锺鐘纵（~横）枞（~阳，地名）翪（翅膀一~，聳翅上）［3］种（名词）肿踵冢纵（~横）偬总综［5］种（动词）中（射~）众纵（放~）粽
ʦʰ	［1］憧冲忡充囱匆葱聪从（~容）枞（~树）䐫(~胖，形容人胖)怂舂=［3］宠［5］铳□踵□蹱（走路不稳，朝前跌去）鍯（打洞）冲（凸出，~额角）□（扒窃）
s	［1］松忪淞嵩悚怂耸鬆舂摏（捶打）㩳（推，打，撞，捅）［3］耸悚十（~五）［5］送宋十（~五）
z	［2］戎茸从（跟~）丛重（~复）虫崇㞞（精液）［4］重（轻~）讼［6］讼诵颂仲
k	［1］工功攻肱公蚣弓躬供（~给）恭宫觥疘（洞~）［3］汞巩拱肱珙［5］供（~奉，上~）贡赣□（渗透，瓜果碰撞后腐烂的状态）汞□（~碗）□（酒~）
kʰ	［1］空（~空）崆箜倥［3］孔恐控［5］空（~闲）控
g	［2］□（童语，雷鸣）［6］共
h	［1］风枫讽疯丰封葑烽酆蜂峰锋烘哄（~堂大笑）揈（~出去）訇轰薨［3］哄（~骗）捧［5］嗅-（闻）俸讧鬨（起~）蕻（雪里~，雪菜）
ɦ	［2］弘泓宏红洪鸿冯逢缝（动词）虹鋐闳［6］□（伤口发炎化脓，创面溃疡而红肿）缝（名词）凤奉
ø	［1］翁聬嗡拥（人聚拢，聚集）齆（鼻塞）［3］瓮蕹（~菜）［5］齆慃（懊丧）䐥（~臭，形容抽）□（~中，受骗上当）
