#来源	由Pekkhak（啵啵）整理自《吴语处衢方言研究》
#符号说明	?待考
#调值	［1］³³［2］²⁴［3］⁴⁵［4］²²［5］⁵²［6］³¹［7］⁵［8］²³［0］⁰
#ɿ	
b	［2］赔裴［4］培陪倍［6］背{背诵}背{耳朵～}焙
m	［2］梅枚媒煤每霉［3］娒?{昵称小孩}□{昵称小孩}［4］未{1副词，没有}［6］妹昧
t	［3］□{接起来}［5］戴{动词；姓}
tʰ	［1］胎台{～州}苔［3］□{鸡用爪挖}［5］态替
d	［2］台{蜡烛～}抬迟{1}［4］□{着火}□{□dzəʔ2～：美丽}‖第{～八}［6］待怠贷代袋递待?{来弗～：来不及}□{来弗～：来不及}
n	［2］奶{2叔母}［4］奶{1舅～：舅母}［5］奶{3母亲}［6］耐奈
l	［1］裏{1□tsʰəʔ3～：哪里}［2］犁来{2将～}裏{2□ɡɐʔ2～：这里}□{反手～：左撇子}［3］裏{3□tsʰəʔ3～：哪里}［4］□{无～：不相干}［5］裏{4乡～：乡下}□{胡～：络腮胡子}［6］累{疲劳}滤?□{滤}
ts	［1］灾栽{2～树}滓［3］宰崽□{鸡公～：鸡冠}［5］再载{～重}祭{1吃，骂人话}磜{八～：地名。本字应是“漈”}
tsʰ	［3］彩采睬□{哪}□{打～：打喷嚏}［5］菜
s	［1］腮鳃西{1底～：什么}琐?{小}□{小}［5］西{2东～：物件}细{1粗～}婿□{鸡～：鸡窝}
z	［2］才{～能}材财裁齐{1做～：做完}［4］在{1自～：安静}‖□{～□ɕi52：鼻涕}［6］在{2～玉山}载?{一～雨：一阵雨}□{一～雨：一阵雨}
k	［1］该饑{1饿}［3］改幾{～时}虮［5］盖{2～滗碗：盖碗}丐钙寄{1～信}
kʰ	［1］开‖去{2～年}［5］概溉慨
ɡ	［4］徛{站；住}
ŋ	［2］呆［6］碍
x	［3］海［5］□{睡}
ɦ	［4］亥［6］害骇
∅	［1］哀衣{1～裳}［5］爱蔼
#uɐi	
t	［1］堆‖□{～走～讲：边走边说}［3］抵?{交换}［5］对碓
tʰ	［1］梯推［3］腿［5］退蜕
d	［2］颓?{阴茎}□{阴茎}［6］队兑
n	［3］内
l	［2］雷□{动词，刺}［4］儡□{虫子咬成的疙瘩}［6］𨀤{滚动}
tsʰ	［1］催
s	［3］碎［5］岁
z	［4］罪
k	［1］归{1去～：进去}［3］鬼［5］刽桧绘
kʰ	［1］盔魁奎
x	［1］灰恢［5］悔晦
∅	［2］回茴［6］会{开～}烩{加热}汇
#ə	
tʰ	［1］□{～□xo52：大便拉在裤子里}
d	［4］‖苎{～麻}
l	［0］了{够～}
ts	［1］资姿咨兹滋辎‖□{～牲：畜牲}［3］紫子{1瓜～}籽梓［5］子{2后缀}
tsʰ	［1］雌［3］齿［5］此刺{2}次
s	［1］斯私{2}司丝{1}思{心～}‖□{面～□kuə33：颊}［3］死［5］赐駟肆丝{2天罗～：油条}思{意～}□{脑～：囟门}‖鹚{鸬～}
z	［2］徐脐糍瓷慈辞词祠□{目～：眼泪}［4］祀巳嗣‖自{1～由}［6］似字寺饲莳
k	［5］锯［0］个{3□tsʰɐi45～农：谁}
kʰ	［5］去{1}
ɡ	［4］□{打～：打嗝}‖苣{莴～菜}
ŋ	［1］渠{1他}［2］鱼［4］‖蜈{～蚣}□{～鳅：泥鳅}［6］腻
x	［1］墟［3］许{1～愿}
#uə	
p	［3］补［5］布佈怖
pʰ	［1］铺{动词}［3］谱普浦捕甫脯辅阜{曲～}［5］铺{当～}埠{华～：地名}
b	［2］□{煨}匏{瓠子}［4］簿抱‖脯{～头：胸脯}葡{～萄}鹁{～鸪：一种鸟}□{～□tɕø52：蜻蜓}［6］部步伏{孵}□{测量}［0］蒲{菖～}
m	［2］模□{估计}［3］无{1没有}［4］舞{1～龙灯}‖□{～侬：戏弄人家}［6］暮慕墓募雾{1起～}
f	［1］夫肤敷麸［3］府腑［5］付赋傅赴讣富副［0］咐{吩～}
v	［2］符扶{2}巫诬戊浮［4］妇{3～女}负‖斧{～头}无{2～常鬼：一种鬼}抚{～州}腐{2～烂}［6］务雾{2}父{2}
t	［1］都{首～}‖□{猪～儿：小猪}［3］赌肚{猪～}［5］堵妒
tʰ	［1］土讨{1～饭侬：乞丐}［5］吐{呕吐}兔
d	［2］徒屠途涂图［4］杜［6］度渡镀毒?{2毒害}
n	［4］‖□{～儿□mɐɯ33：男孩}［6］怒
l	［2］卢炉芦庐［4］鲁橹虏卤{掬}‖鸬{～鹚}［6］路赂露鹭
ts	［1］租［3］祖组蚤
tsʰ	［1］粗初［3］楚础草{1单说}［5］醋措
s	［1］苏酥梳{2}蔬扫‖漱{～口}［3］所［5］素诉塑数{2～学}
z	［4］嫂［6］助
k	［1］姑孤菇鸪□{面□sə33～：颊}［3］古估牯股鼓□{车～：轮子}□{拳头～：拳头}［5］故固雇顾
kʰ	［1］枯箍［3］苦［4］‖傀{～儡}［6］库裤
ɡ	［2］糊{1贴}［6］糊{2面～：糨糊}
ŋ	［2］吴［4］五伍午‖梧{～桐树}忤{～逆}［6］误悟
x	［1］呼□{打巴掌}□{～田：耘田}［3］虎浒［5］戽
∅	［1］乌污父{1师～}妇{2新～：儿媳妇}［2］和{2～罢：和了}胡{姓}湖狐壶乎{几～}［3］坞□{遗失}□{～酒：酿酒}［4］户互妇{1弟～}‖鬍{～鬚}蝴{～蝶}［5］恶{可～}□{烧灰}［6］护腐{1豆～}
#e	
p	［1］□{牛□sã33～：牛虻}‖□{～里：怀里}［5］闭
pʰ	［1］𠜱{剥白菜}［5］胚
b	［4］□{女阴}［6］□{势均力敌}
m	［2］磨{1～刀}［4］□{雀～：阴茎}
f	［5］□{屁}□{无用的人}
t	［3］□{咬}［5］底{1～西：什么}□{犟}
n	［3］奶{4乳汁；乳房}［4］奶{5乳汁；乳房}‖男?{～儿：男人}□{～儿：男人}
l	［2］□{割}
ts	［1］姐{母亲}知{1蚊虫～：知了}［3］指{1戒～}‖□{～娘：纺织娘}［5］痣
tsʰ	［3］扯
dz	［2］□{拔}［4］‖雉{～鸡：野鸡}
s	［1］筛{名词}师狮蛳‖□{～周：一周岁}［3］使史驶［5］世{1过～：逝世}势试{1}［0］私{1家～：家具}
z	［2］时{1多～：很长时间}□{蚂～：蚂蝗}［4］柿市{1发利～：始时}‖□{2老～侬：老头子}［6］士仕事侍
k	［3］麂‖□{牛～儿：小牛}［5］记{1～账}［0］个{4的}
kʰ	［3］□{咳嗽}［5］契气{～息：气味}
ɡ	［2］□{～侬：杀价}
x	［1］□{不顾后果}□{水将开}
ɦ	［2］□{鸡、鸭身上的小虫子}□{～虫：孑孓}
#ie	
p	［3］把{1百～个}
b	［2］婆{1外～}爬{1～上}［6］耙鐾避
m	［1］摸{1}［2］磨{2～刀}［6］磨{名词}骂［0］嫲{猪～：母猪}
t	［1］爹［3］底{2碗～}［5］□{滴}
tʰ	［1］剃
d	［2］啼{1哭}［4］底{3下～：下面}弟{1}［6］地{1}
l	［4］鳢{乌～}裏{6夹～：里子}［6］离{～开}
tɕ	［1］遮栀［3］纸［5］借蔗□{苎～：苎麻的纤维}
tɕʰ	［1］车{骑～}且溪{1大～：河}□{旋开}［3］鼠［5］刺{1名词}
dʑ	［4］荠{1□koŋ33～：荠菜}舐{狗舔}［6］箸［0］𧄔{蕃～：白薯}薯{蕃～：白薯}
ȵ	［2］泥{1泥土}［4］惹
ɕ	［1］赊书［3］写［5］舍{～弗得}泻卸赦舍{宿～}细{2～麦：小麦}嗉?{～子}□{嗉子}‖豉{豆～}
ʑ	［2］邪斜畲匙［4］社［6］谢射麝
ɡ	［2］茄
x	［5］□{领子越穿越大}
∅	［2］耶爷{2老天～}［3］煮{1}［6］夜
#ye	
t	［3］□{动词，指}［5］拄{本字应是“柱”，《集韵》去声遇韵株遇切，“牚也。刺也”。本书中写作“拄”。}
l	［2］驴［4］吕旅［6］虑滤
tɕ	［1］诸诛蛛株朱硃珠［3］煮{2}主［5］著{显～}註注蛀铸
tɕʰ	［1］蛆［3］取{2}娶手{1单说}［5］处{相～；到～}
dʑ	［2］除储厨橱［4］柱［6］驻住
ȵ	［2］愚虞娱［4］女语［6］御遇寓
ɕ	［1］疏舒须{必～}鬚{2挂～：老生}需枢输{～赢；运～}尿［3］暑黍数{动词}［5］絮庶恕署数{1名词}□{厨～：厨房}
ʑ	［2］如汝殊儒□{用刀插}［4］绪竖乳［6］序叙聚树{2}
k	［1］居车{～马炮}拘驹［3］举矩
kʰ	［1］区驱
ɡ	［2］渠{2～道}巨拒距瞿［4］‖衢{～州}［6］据俱句具惧
x	［1］靴虚［3］许{2或～}
∅	［33］淤吁迂迁［2］爷{1老～：义父}於余{姓}餘{多～}俞［3］□{看守}［4］盂雨宇禹羽‖愉{～快}芋{～头}［6］誉预豫喻裕
#uei	
p	［1］卑悲
l	［4］屡蕊垒［6］累{积～}累{连～}类
ts	［1］追锥□{2□miɐʔ2水～：潜水}［5］最缀赘
tsʰ	［1］崔吹{2}炊{2}［5］趣脆翠
dz	［6］垂坠{2}
s	［1］虽［3］水{3～獭}［5］锐
z	［2］随隋髓谁［6］睡瑞遂隧
k	［1］圭闺规龟{2}轨归{2当～}［5］桂季贵
kʰ	［1］亏［3］跪
ɡ	［2］逵葵癸{2}□{□ɡɐʔ2～：傻瓜}［6］溃癸{1}愧柜
x	［1］挥辉徽［3］火{1单说}［5］贿毁讳
∅	［1］威‖熨?{～斗：熨斗}□{～斗：熨斗}［2］危为{行～}违围［3］委［4］伟苇煒［5］畏慰［6］卫惠慧伪为{介词}位纬魏胃谓猬
#ø	
t	［1］□{树墩}
tɕ	［5］醉□{□buə22～：蜻蜓}
dʑ	［2］蛇锤槌［6］□{尿床}□{不尖}
ɕ	［5］税
ʑ	［2］前{1～头}
k	［1］龟{1乌～}
kʰ	［5］块{1泥□boʔ2～：土块}
ɦ	［2］畦{乡下话}
∅	［1］歪
#o	
p	［1］波菠［3］‖玻{～璃}
pʰ	［1］颇坡［5］破{3～坏}
b	［2］婆{3}［4］婆{2妗～：父亲的舅母}‖薄{～荷}［0］罢{2助词，了。韵母有时还读作［ɐ］}
m	［1］摸{2}［2］魔磨{3}摩
t	［1］多［3］朵躲［5］剁
tʰ	［1］拖{2～把}［4］‖妥{～当}椭{～圆}
d	［2］驼驮舵［6］大{1}
n	［2］揉?［6］糯
l	［1］啰{～唆}‖萝{1天～丝：油条}［2］罗锣骡螺脶［4］‖老{2～鸦：乌鸦}
ts	［3］左［5］做
tsʰ	［1］搓［5］锉错{讲～}□{逗}莝{一～黄瓜：一根黄瓜}
s	［1］蓑梭唆［3］锁［5］□{无能}
z	［2］□{下沉}［6］座
k	［1］歌［3］哥
kʰ	［1］可
ɡ	［2］□{傻}［4］‖个{2～人}
ŋ	［2］蛾鹅俄讹［6］饿{2}卧
x	［1］□{打～：打鼾}［3］下{2～包粟：撒玉米的种子}［5］□{大便}
ɦ	［2］河何荷［4］下{1上～；～去}‖黄{2～昏：晚上}［6］贺
∅	［1］阿倭鸦{1老～：乌鸦}桠下{2厅～：堂屋}［3］哑{1}
#io	
∅	［1］□{～儿：现在}［5］□{1一下。“一下”的合音}［0］□{2一下。“一下”的合音}
#ɐɯ	
p	［1］包胞［3］褒保堡宝饱［5］报豹爆
pʰ	［1］抛脬□{大柚子}［3］泡{名词}跑［5］炮泡{动词}
b	［2］袍鉋{动词；名词}［6］暴鲍
m	［1］毛{2～～雨}猫{2揢乌鹰～：捉迷藏}□{□nuə22儿～：男孩}［2］毛{1～孔}茅猫{1}锚矛［4］卯［6］冒帽貌
t	［1］刀［3］岛倒{1打～；～水}［5］倒{2坐～：坐着}到
tʰ	［1］滔［3］讨{2～论}［5］套
d	［2］掏桃逃淘陶萄涛祷［4］道{味～}［6］道{2}盗导毒?{1毒害}
n	［4］脑恼［6］闹{2}
l	［1］捞□{掏}□{龌～：肮脏}［2］劳牢痨［3］佬{乡巴～}［4］老{1}乐?{1要}□{1要}‖□{～顶：上头}［5］□{2要}［6］涝
ts	［1］遭糟［3］早枣爪找□{卷袖口}［5］躁灶罩
tsʰ	［1］操抄钞［3］草{2甘～}炒吵［5］糙耖臭
dz	［6］造
s	［1］骚臊梢稍艄［3］燥{干}
z	［2］曹槽［4］皂
k	［1］高膏篙羔糕镐交郊胶蛟教{动词}‖茭{～笋：茭白}［3］稿搅搞□{手～：胳膊}［5］告教{儒～}较酵窖
kʰ	［1］烤敲骹{脚}‖铰?{～剪：剪刀}［3］考铐巧［5］靠□{龙头～：小鱼干}
ɡ	［6］□{混杂}［4］‖狡{～猾}校{～对}
ŋ	［2］熬鳌□{一种大粮柜}［6］傲鏊{～盆：平底锅}
x	［1］蒿［3］好{形容词}［5］好{爱～}孝
ɦ	［2］豪壕毫号{～哭}浩耗［6］号{几～}效校{学～}
∅	［1］坳凹［3］袄懊［5］奥□{往田里灌水}
#iɐɯ	
p	［1］标彪［3］表{～兄弟}錶
pʰ	［1］飘漂［3］票
b	［2］瓢嫖薸［4］‖婊{～子}
m	［2］苗描［4］藐渺秒杪{树梢}［6］庙妙
t	［1］刁貂雕［3］鸟{1～儿}［5］钓吊
tʰ	［1］挑［3］跳［5］粜
d	［2］条调{～和}［4］‖掉{～车：连枷}［6］调{音～}
l	［2］燎疗聊辽撩寥瞭□{缝衣}［4］了{1不得～}［6］料廖
tɕ	［1］焦蕉椒朝{回三～：回门}昭招沼召诏邹［3］剿［5］醮照皱
tɕʰ	［1］超‖□{～天：聊天}［3］悄俏［5］笑
dʑ	［2］朝{宋～}潮［4］赵兆
ȵ	［2］尧绕{围～}□{掐}［4］鸟{2}［5］‖饶{上～}
ɕ	［1］消宵霄硝销烧鞘萧箫馊［3］小少{多～}［5］瘦
ʑ	［2］韶愁［6］绍邵
k	［1］骄娇浇［3］绞搅缴饺□{擦}［5］叫{2}□{打霜起～：下霜结冰}
kʰ	［3］撬［5］翘窍
ɡ	［2］乔侨桥荞［4］□{有意为难}［6］轿
x	［1］嚣□{掀}［3］晓［5］□{水蒸气}
∅	［1］妖邀腰要{～求}叫?□{叫}‖要{～紧}［2］肴淆摇谣窑姚［3］□{折叠}［4］扰舀［5］叫{1动物叫}［6］耀鷂
#əɯ	
m	［2］谋某［4］亩牡［6］茂贸谬
f	［5］否
t	［1］兜篼{笊～：笊篱}丢‖昼{1～□pɑ33：下午}［3］抖陡肘{手腕～：肘}［5］斗{～争}
tʰ	［5］透
d	［2］头{3榔～：大铁锤}投［4］稻
l	［1］溜［2］楼流{2寒～}刘留榴硫琉［4］缕篓搂柳□{～谷鈀：鈀子}‖□{～梦：做梦}［6］漏{2～斗}陋
ts	［1］周舟州洲［3］走酒帚［5］奏昼{2}咒
tsʰ	［1］秋鳅抽［3］取{1索回}丑醜［5］凑
dz	［2］绸稠筹仇酬售［4］就{1副词；～业}［6］树{1单说}纣宙
s	［1］鬚{1鬍～}修羞搜收［3］手{2～巾}首守［5］叟嗽秀绣宿{星～}锈□{□pʰæ̃33：勤快}
z	［2］囚泅柔［4］受授［6］寿
k	［1］勾钩沟鸠阄纠{～正}‖枸{～杞子}［3］九久韭［5］够构购咎灸救究
kʰ	［1］抠丘邱□{□tsʰɪŋ33～：身体}［3］口{2人～}［5］叩扣寇
ɡ	［2］求球［4］臼舅{1～爸：舅舅}［6］旧柩
ŋ	［2］牛［4］藕偶纽{～子：纽扣}
x	［1］□{哈～：喘气}
ɦ	［2］侯喉{2}猴后{皇～}［6］候
∅	［1］欧呕［5］□{蹲}
#iəɯ	
ȵ	［4］扭
x	［1］休［5］朽嗅
∅	［1］忧优悠幽［2］尤邮由油游又［4］有友酉‖鱿{～鱼}［5］诱幼‖蚰{蜒～螺蛳：蜗牛}［6］右佑柚釉□{雪～：霰}
#ã	
p	［1］班斑颁扳般{2一～}□{弄直}［3］板版反{1～手：左手}［5］扮□{大舌～：大舌头}
pʰ	［1］攀［5］绊盼襻
b	［2］爿瓣{花～}［6］办
m	［2］蛮□{□ɡɐʔ2～：勉强}［6］慢漫幔
f	［1］翻番蕃［3］反{2～复}［5］泛
v	［2］凡帆范{姓}烦矾繁［4］犯［6］范{模～}饭万
t	［1］耽担{拿}当{1应～}冬{1～瓜}［3］胆党挡{1}‖裆{圆～裤：瞒裆裤}［5］担{名词}诞当{2担任}当{妥～；～铺}□{牚}
tʰ	［1］贪汤［5］探{2}叹烫趟
d	［2］谭谈痰檀壇堂棠螳唐糖塘虫{1单说}［4］淡荡{1逛}‖盪{～嘴：漱口}［6］但蛋荡{2摆动}
n	［2］南男侬{1人}农{1人}［3］侬{2底～：谁}农{2底～：谁}
l	［2］蓝篮郎廊螂［4］览揽缆懒狼{1黄鼠～}‖榔{～头：大铁锤}朗{～读}［6］滥烂浪
ts	［3］斩盏［5］蘸赞
tsʰ	［1］参{～加}惨搀餐［3］铲产［5］灿
dz	［2］残［4］赚［6］暂站{车～}绽栈
s	［1］三杉衫珊山删□{□iɐɯ33～：划拳}‖□{□□dɐʔ2moʔ2～子：突然}□{牛～□pe33：牛虻}［5］□{牛～：牛犊}［0］□{鸡～：未下过蛋的小母鸡}
z	［2］涎?{口水}□{口水}［4］□{陡}
k	［1］间{1房间}奸‖尴{～尬}监{～督}［3］减碱简裥柬拣{挑选}涧锏［5］鉴监{太～}干{～部}间{2春～：春天；～一日：隔一天}谏
kʰ	［1］嵌{1}刊侃铅{1金属之一}□{人坏，不听话}［5］嵌{2}舰看
ɡ	［6］□{跨}
ŋ	［2］岩颜［4］眼［6］雁
x	［1］酣鼾‖苋{～菜}蚬{～子}［3］喊罕□{动词，簸}□{里～：衣襟}□{～□xɒ̃52：那样}
ɦ	［2］函咸{～淡}衔闲［4］‖涵{～洞}［6］憾陷馅限
∅	［1］□{凹}
#iã	
p	［1］帮{1～工}
pʰ	［3］□{裂开}［5］□{枪声}
b	［4］‖□{～滚：趁热}
m	［2］忙{1}［4］望{1动词。向远处看；希望}
f	［1］坊{童～：地名}
v	［2］防
t	［1］张{1量词}［5］帐账
l	［2］良凉量{2}粮梁粱［4］两{斤～}辆［6］亮谅量{质～}
tɕ	［1］将{～来}浆张{2姓}章樟［3］蒋桨长{船家～：船老大}涨掌［5］奖仗酱将{大～}胀障瘴‖尚{和～}
tɕʰ	［1］枪昌菖{2～蒲：一种药}畅{2}［3］抢厂［5］畅{1}唱倡
dʑ	［2］长{2～江}肠场［4］丈{一～}上{动词；1～下}
ȵ	［1］央{1中～：中间}［2］娘样{3作好～：好好儿地}［4］仰［6］壤让{1}
ɕ	［1］相{互～}箱厢湘襄镶商伤［3］想鲞赏［5］相{照～}
ʑ	［2］墙详祥常尝偿［4］象像橡‖上{2～饶：地名}［31］匠让{3}
k	［1］疆僵薑{生～}缰姜{姓}［5］犟
kʰ	［1］羌腔［3］强{勉～}
ɡ	［2］强{国富民～}
x	［1］香乡［3］享响□{□lɐʔ2lɐʔ2～：赶快}［5］向□{一～屋：一所房子}
∅	［1］央{2}秧殃［2］羊洋烊杨阳扬疡［3］□{1这么}［4］养{2培～}样{2别～：别的}‖□{～肠：香肠}□{～□ɦɐʔ23：瘰疬}［5］□{2这么}［6］样{1}［0］裳{衣～}
#uã	
k	［1］官棺观{参～}冠{鸡～花}鳏关{2～键}［3］管{2～理}馆［5］贯灌罐观{道士的住所}惯
kʰ	［1］宽［3］款
x	［1］欢［5］唤焕□{突然想起}□{牛～：牛鼻桊儿}
∅	［1］弯湾［2］桓完玩顽还{动词}环［3］碗腕晚畹［4］皖‖挽{～留}［6］换幻患宦
#ɒ̃	
p	［1］帮{2～助}邦崩冰{1～～：冻冰}绷□{鞋～：鞋面}［3］榜膀绑［5］谤傍柄{1雨伞～}□{鞋～：鞋面}
pʰ	［1］烹［5］胖
b	［2］旁螃庞彭膨棚{1瓜～}［4］蚌‖棒{～冰：冰棍儿}［6］病{1生～}
m	［1］蒙?{捂眼睛}□{捂眼睛}［2］忙{2}芒{读字}茫盲虻蜢萌［4］莽蟒网{2飞丝～：蜘蛛网}猛暝{2昨～：昨天}［6］孟暝{1夜晚}
f	［1］方枋肪芳风{1起～}蜂［3］纺仿访‖枫{～树}［5］放{2解～}‖缝{裁～}
v	［2］妨房亡忘{2}妄［6］望{2希～}
t	［1］丹单端［3］短{2打～命：小孩死}挡{2}［5］旦断{决～}
tʰ	［1］滩摊［3］毯［5］炭
d	［2］弹{～琴}团［6］弹{炸～}段锻
n	［2］难{形容词}［4］‖闹{1～热：热闹}［6］难{灾～}
