#ɿ
p [1]屄鄙 [3]彼比蔽 [5]闭弊毙
pʰ [1]批 [3]披匹☐{把东西掰断}避 [5]屁庇
fʰ [1]被{~褥}[2]皮脾啤疲琵枇 [5]币
m [2]弥迷谜猕 [3]米 [5]秘
t [1]低 [3]底抵
tʰ [3]体 [5]替屉剃嚏
ɾʰ [2]题提蹄啼 [3]弟第 [5]递
ts [1]知支枝芝汁栀资姿之脂 [3]紫纸姊旨指子籽只止址 [5]至治自{文读}制翅志痣置智
tsʰ [1]痴 [3]此耻齿 [5]刺赐次
s [1]丝斯撕司私思蛳鸶施诗师狮 [3]死屎使史始词祠 [5]世势四肆试似誓视士
z [1]柿是 [2]池瓷糍迟慈辞持时 [3]市匙寺侍 [5]自{白读}氏字饲痔仕事
tɕ [1]鸡饥肌几机☐{攥紧拳头}[3]挤己 [5]记纪既季寄继系计剂济际祭
tɕʰ [1]蛆妻溪欺取{白读} [3]启企起祈杞娶{白读} [5]去{白读}契器气泣汽
ɕ [1]西些嬉熙希稀 [3]写洗喜 [5]序絮细婿系戏
h [2]齐脐
∅ [1]医衣依 [2]移姨遗疑 [3]倚椅已蚁以 [5]艺易意异毅液

#i
n [2]尼泥倪 [3]你
l [1]犁黎梨离篱璃狸 [3]狸礼李里理鲤驴 [5]丽例厉{文读}

#u
p [1]补 [3]捕 [5]布部簿怖埠
pʰ [1]甫铺浦 [3]普谱 [5]铺
f [1]夫肤敷 [3]俯抚赴附符{文读}复 [5]付赋傅负父
ɸ [2]菩葡扶蒲浮胡狐壶 [3]附辅釜互符{白读}复瓠浒 [5]妇步富副埠阜 [5]户
n [2]鹿
t [5]杜镀
k [1]箍姑菇孤咕估 [3]古估股鼓故 [5]固雇顾
kʰ [1]枯窟 [3]苦 [5]裤库
x [1]护呼 [3]虎唬火府斧 [5]乎
∅ [1]巫诬侮鹉污 [2]腐葫胡吴梧湖芜无戊 [3]五午武舞务 [5]乌雾悟恶瓠

#y
n [1]捋 [3]女旅律滤
l [3]吕铝
tɕ [1]猪诸诛蛛株朱珠居车拘 [3]煮拄主举矩嘱 [5]著驻注蛀铸据锯巨拒距聚句剧助
tɕʰ [1]区曲鼠 瞿{姓氏}取{文读}娶{文读}处 [3]楚 [5]去{文读}处
ɕ [1]书舒输虚须梳 [2]渠 [3]暑署许 [5]庶续
ɕʰ [2]殊锄 [5]树
∅ [2]余愚虞于榆俞 [3]语乳雨宇禹渝羽 [5]遇誉预育御寓芋浴裕玉

#ᴇ
∅ [2]儿 [5]二而

#a
p [1]巴粑笆芭疤吧扒 [3]把 [5]把霸坝罢
pʰ [1]趴☐{软：熟~了} [5]怕
fʰ [2]爬杷扒
m [1]妈码巴{泥土} [2]麻 [3]马 [5]骂
t [1]☐{人称代词复数：我☐}[2]打
tʰ [1]他她它 [5]☐{一窝糟，形容很糟糕}
l [1]拉垃 [2]拿 [3]哪[5]那
ts [1]渣遮 [3]咋 [5]诈榨炸
tsʰ [1]差叉车 [5]诧岔杈
s [1]沙纱砂痧赊 [3]洒傻舍
sʰ [2]蛇
k [1]家 [5]架驾嫁稼价{白读}
kʰ [1]☐{将东西放进一些空间很小的地方，往往需要费力。}[3]卡
h [2]哈下蛤
ŋ [2]芽牙 [3]哑{白读}
x [1]虾
∅ [1]丫阿还 [3]哑{文读}

#ia
t [1]爹
n [3]惹
tɕ [1]加佳袈 [3]贾嘉 [5]假姐价{文读} [5]界{文读}借
tɕʰ [1]☐{凭借自己的权威恐吓别人。}
ɕ [3]写{白读}[5]泻
h [2]邪{白读}斜
∅ [1]鸦 [2]衙蚜 [3]雅野也{白读}讶 [5]夜亚

#ua
ts [1]抓 [3]爪
s [3]耍
k [1]瓜呱 [3]寡剐 [5]挂卦褂
kʰ [1]夸 [3]垮挎侉 [5]跨
x [1]花 [5]化
h [2]华
∅ [1]蛙挖 [3]瓦搲 [5]话划画

#ɛ
p [1]掰 [3]摆 [5]拜败
pʰ [5]派
fʰ [2]牌排
m [2]埋 [3]买 [5]卖
t [1]呆待{文读} [3]逮歹 [5]带戴怠待代
tʰ [1]胎☐{烙饼：~粑粑吃}[5]太泰态
ɾʰ [2]台抬苔 [5]贷袋
n [2]奶乃 [3]奶 [5]耐奈
l [2]来 [3]☐{笨蛋的意思}[5]赖癞
ts [1]栽灾斋宅 [3]仔载崽宰 [5]再债寨载
tsʰ [1]猜钗差 [3]彩采踩睬豺 [5]菜蔡
s [1]腮鳃筛☐{捶人一拳头}[5]赛晒
sʰ [2]才财裁柴 [3]在
k [1]该秸街皆阶 [3]改解 [5]盖溉介界{白读}届戒械
kʰ [1]开揩 [3]楷凯铠 [5]概
h [2]孩鞋
ŋ [1]挨 [3]矮 [5]爱艾
x [2]亥 [3]海蟹 [5]害

#uɛ
ts [5]拽
tsʰ [1]揣 [5]踹
s [1]摔衰甩 [5]帅率
k [1]乖 [3]拐 [5]怪
kʰ [5]会快块筷
h [2]怀槐淮
∅ [1]歪 [3]崴 [5]外

#o
p [1]波菠玻 [3]跛
pʰ [1]坡泼颇 [5]破魄迫剖
m [1]摸牡 [2]暮慕募模魔蘑摩馍膜磨 [3]抹母拇 [5]莫磨
t [1]多朵 [3]躲 [5]剁垛跺
tʰ [1]拖 [3]椭妥 [5]唾
ɾʰ [2]鸵驮
n [1]努 [2]挪奴 [5]怒
l [1]罗锣箩啰螺脶鲁虏 [2]录 [5]摞
ts [3]左佐 [5]做
tsʰ [1]搓 [5]错措锉
s [1]蓑唆梭莎 [3]锁唢所
sʰ [3]坐座
k [1]歌哥锅 [3]果裹 [5]个过
kʰ [1]科窠棵颗 [3]可
h [2]河何荷 [5]和
ŋ [2]鹅蛾 [3]我 [5]饿{白读}
x [5]货
∅ [1]阿窝莴蜗屙☐{把东西放在一起，最后分不清谁是谁的了} [5]饿{文读}俄

#ø
∅ [3]呕 [5]耳

#ɔ
p [1]褒包苞胞保堡宝 [3]饱 [5]报豹龅爆
pʰ [1]泡抛 [5]炮泡☐{烫}
fʰ [2]跑 [3]抱 [5]刨暴鲍
m [1]猫 [2]矛茅锚毛 [3]卯 [5]冒帽貌贸
t [1]刀叨 [3]导捣倒岛 [5]道到倒
tʰ [1]滔掏涛 [3]讨 [5]套
ɾʰ [2]桃逃淘陶萄 [3]稻盗
