					註釋	字表
				阿	阿膠	ʔɔ53
				阿	阿伯	ʔa33
				啊		ʔa53
				啊		ʔɐ53
				啊		ʔa33
				哀		ʔɔi53
				挨	倚靠,挨近	ʔai53
				𠊎	客家	ŋai53
				捱	捱苦	ŋai21
				啀	咀嚼	ȵai33
				癌		ŋam21
				矮		ʔai35
				艾		ŋai31
				隘		ʔai33
				愛		ʔɔi33
				礙		ŋɔi31
				安		ʔɔn53
				桉	桉樹	ʔɔn53
				鞍		ʔɔn53
				鵪		ʔom53
				唵	（餵童時）喫	ʔom21
				揞	掩也	ʔɐm35
				揞		ʔom35
				罯		ʔɐp55
				岸		ŋɔn31
				按		ʔɔn33
				案		ʔɔn33
				暗		ʔom33
				黯		ʔom33
				昂		ŋɔŋ21
				昂	疑似“仰”	ŋɔŋ23
				盎	裝食物的器具	ŋɔŋ35
				凹		nop33
				凹		nɐp55
				敖		ŋɔu21
				遨		ŋɔu21
				獒		ŋɔu21
				摮		ŋɔu21
				熬		ŋɔu21
				翱		ŋɔu21
				拗		ʔiɐu35
				傲		ŋɔu31
				奧		ʔɔu33
				澳		ʔɔu33
				懊	懊惱	ʔɔu33
				八		pæt33
				巴		pa53
				巴		pʰa21
				扒		pʰa21
				叭		pa53
				芭		pa53
				疤		pa53
				捌		pæt33
				笆		pa53
				粑		pa53
				坺	軟糊狀物	piɐt21
				拔		pæt21
				把		pa35
				爸		pa53
				耙		pʰa21
				霸		pa33
				壩		pa33
				吧	語末助詞	pa53
				白		pak21
				百		pak33
				柏		pak33
				擺		pai35
				拜		pai33
				敗		pai31
				稗		pai31
				班		pæn53
				般		pun53
				斑		pæn53
				搬		pun53
				頒		pæn53
				板		pæn35
				版		pæn35
				闆		pæn35
				半		pun33
				扮		pæn31
				伴	伴侶,夥伴	pʰun23
				湴	爛泥	pæn31
				辦		pæn31
				瓣		pæn31
				邦		pɔŋ53
				幫		pɔŋ53
				綁		pɔŋ35
				榜		pɔŋ35
				膀	膀胱	pʰɔŋ21
				膀	臂膀	pɔŋ35
				蚌		pʰɔŋ23
				棒		pʰaŋ23
				傍		pɔŋ31
				磅	磅礴	pʰɔŋ21
				磅	石落聲,磅秤	pɔŋ31
				謗		pɔŋ31
				包		pau53
				苞		pau53
				孢		pau53
				胞		pau53
				煲		pɔu53
				褒		pɔu53
				薄	薄荷	pɔk21
				保		pɔu35
				葆		pɔu35
				堡		pɔu35
				飽		pau35
				褓		pɔu35
				寶		pɔu35
				抱		pʰɔu23
				豹		pau33
				菢		pɔu31
				報		pɔu33
				暴		pɔu31
				鮑		pau53
				爆		pau33
				杯		pɵy53
				卑		pi53
				盃		pɵy53
				悲		pi53
				碑		pi53
				北		pɐk55
				貝		pɵy33
				背		pɵy31
				背	背誦	pɵy33
				倍		pʰɵy23
				狽		pɵy33
				被		pʰi23
				被		pi31
				備		pi31
				輩		pɵy33
				奔		pɐn53
				錛	平木器	pɐn53
				本		pun35
				笨		pɐn31
				崩		pɐŋ53
				泵		pom53
				甏		pʰaŋ53
				䨻		paŋ21
				逼		pɪk55
				鼻		pi31
				比	比較	pi35
				彼		pʰi35
				筆		pɐt55
				鄙		pʰi35
				必		pit55
				庇		pi33
				畀	給與	pi35
				陛		pɐi31
				畢		pɐt55
				閉		pɐi33
				婢		pʰi23
				蓖	蓖麻	pi53
				痹		pi33
				痺		pi33
				碧		pɪk55
				蔽		pɐi31
				弊		pɐi31
				幣		pɐi31
				觱		piɐt55
				壁		pɪk55
				避		pi31
				髀		pi35
				斃		pɐi31
				臂		pi33
				璧		pɪk55
				鞭		pin53
				邊		pin53
				扁	不圓	pin35
				匾		pin35
				便	便利	pin31
				便	大腹便便	pʰin21
				遍	一遍	pʰin33
				辨		pin31
				辮		pin53
				辯		pin31
				變		pin33
				彪		piu53
				猋		piu53
				滮		piu53
				標		piu53
				熛		piu53
				䅺		piu53
				鏢		piu53
				飆		piu53
				飈		piu53
				表		piu35
				婊		piu35
				裱		piu35
				錶		piu53
				鰾	浮子，魚鰾	pʰɐu53
				鱉		pit33
				別	別離	pit21
				彬		pɐn53
				斌		pɐn53
				賓		pɐn53
				濱		pɐn53
				檳		pɐn53
				殯		pɐn33
				鬢		pɐn33
				冰		pɪŋ53
				兵		pɪŋ53
				丙		pɪŋ35
				秉		pɪŋ35
				柄		pɪŋ33
				炳		pɪŋ35
				餅		pɪŋ35
				餠		pɪŋ35
				併	合併	pɪŋ33
				並		pʰɪŋ23
				病		pɪŋ31
				摒		pɪŋ33
				摒		pɪŋ35
				靐		pɪŋ31
				靐		pɪŋ21
				波		pɔ53
				玻		pɔ53
				菠		pɔ53
				缽		put33
				鉢		put33
				播		pɔ33
				撥		put33
				撥	用扇子搧	pʰut33
