#ɿ
ts[33]姿咨
tsʰ[31]瓷糍=慈磁词嗣饲[54]尺

#i
ɓ[31]肥皮疲脾纰琵枇匹[43]比秕[33]滗毙臂[35]被{~子}[24]被{~打}备避庇痹鼻篦
p[51]碧[31]必[35]婢[24]蔽蔽弊币蓖闭箅陛毕[54]逼璧鳖
pʰ[51]披霹[43]坯彼鄙痞[33]屁[54]辟{复~}僻闢壁劈撇
m[31]谜眉楣迷糜弥[33]尾[24]秘泌觅味
f[51]非飞恢挥辉徽[33]废肺吠费
θ[51]飕斯撕私俬蛳司丝思狮诗[31]辞祠糍-[43]死[33]四肆[24]自字牸巳[54]习-膝息熄惜夕锡
ɗ[54]的{目~}
t[51]资[31]堤的{~确}滴嫡敌狄涤[43]挤姐紫姊子梓滓[24]递地[54]脊接捷节
tʰ[33]砌剔刺赐次[54]踢惕戚帖贴铁切{~开}
n[43]拟[35]你[24]溺
l[31]离篱璃梨厘狸历=[35]礼李里裹理鲤[24]例厉励丽隶荔利痢吏[54]结{打~}
tɕ[51]支枝芝职[31]技疾藉=执秩质=殖[43]纸只脂旨指止趾址隻[33]祭际济{~南}稽妓制製知蜘智肢栀致稚至置痔治之志志痣帜[54]褶哲辙折{~断}浙-缉集辑即鲫积迹籍藉-绩截汁质-织植
tɕʰ[43]此耻齿始[33]淒=栖翅[54]撤赤
ɕ[51]习=析师尸[31]席=池驰匙迟持时什[43]矢屎使史驶[35]是[33]熙世势逝施示试市式[24]似寺誓氏鼓视士仕柿事特侍[54]色蚀适释
ȵ[31]倪霓宜仪谊疑[43]耳蚁[35]议[24]二贰热艺义
k[51]机饑及箕[31]奇{~怪}骑岐歧祁其棋期旗麒祈沂乞=极戟击激[43]几麂已纪杞[35]徛[33]计奇{~数}寄饥肌基记既季[54]急{新读}级吸吉劫杰揭结{~实}洁
kʰ[51]欺-[31]乞-[43]启企[33]欺=
x[51]溪希稀[43]徙起喜[33]契奚系繫係戏器弃嬉气汽[54]歇=穴
∅[51]医衣依[31]移夷姨遗乙=逸亦译疫役液[43]倚椅已以[33]意异忆亿[24]易肄翼易[54]腌

#u
ɓ[31]浮[43]褒保堡煲宝补[35]抱[33]报播{~种}布佈[24]菢
