"#来源：湖南冷水江（锡矿山）方言语音研究，作者：姜安，福建师范大学硕士论文，2014年6月，导师：陈泽平 教授"	""	""	""	""	""
"#转录者：DaiDzao"	""	""	""	""	""
"IPA"	"調號"	"調值"	"單字"	""	""
"tsɿ"	"1"	"44"	"知资姿咨脂滋之芝汁栀枝肢支织=只=[量词]"	""	""
"tsɿ"	"3"	"21"	"紫纸姊旨指子止址梓趾滓"	""	""
"tsɿ"	"5"	"51"	"智只[~有]致稚[幼~]至志誌制製置痣滞炙=[快~人口]"	""	""
"sɿ"	"7"	"224"	"侄织-蜘执质职蛰[惊~]"	""	""
"tsʰɿ"	"1"	"44"	"痴吃=差[参~]摛[伸;~手~脚[动手动脚]:《广韵》平声支韵丑知切:舒也]"	""	""
"tsʰɿ"	"3"	"21"	"此耻齿侈嗤[~笑]尺=眦[不~:不理睬]"	""	""
"tsʰɿ"	"5"	"51"	"刺赐翅次伺直-值-赤=斥秩"	""	""
"tsʰɿ"	"7"	"224"	"植殖直=值="	""	""
"sɿ"	"1"	"44"	"斯撕施丝私师狮尸司思诗湿"	""	""
"sɿ"	"3"	"21"	"死屎使史始驶"	""	""
"sɿ"	"5"	"51"	"匙[钥~]四肆示视士柿事市试室食-识式饰释适祀世誓似氏寺嗣逝仕似嗜"	""	""
"sɿ"	"7"	"224"	"食=石=十实失拾"	""	""
"zɿ"	"1"	"44"	"自-字-痔-"	""	""
"zɿ"	"2"	"213"	"池慈时驰鹚[鸬~]磁迟糍餈词祠辞瓷饲持雌"	""	""
"zɿ"	"3"	"21"	"是豉[豆~]侍[服~]呲[拟声词，形容燃烧的声音]"	""	""
"zɿ"	"5"	"51"	"治巳[~时]自=字=痔="	""	""
"zɿ"	"7"	"224"	"日=[~子，~期]"	""	""
"pi"	"1"	"44"	"憋[~气]逼="	""	""
"pi"	"3"	"21"	"比[~较]"	""	""
"pi"	"5"	"51"	"闭臂碧毙=滗[~米汤,《广韵》入声韵，鄙密切:去滓]"	""	""
"pi"	"7"	"224"	"笔逼-毕鼻="	""	""
"pʰi"	"1"	"44"	"批匹劈=披"	""	""
"pʰi"	"3"	"21"	"彼痞鄙"	""	""
"pʰi"	"5"	"51"	"屁僻辟"	""	""
"ɓi"	"1"	"44"	"鼻-"	""	""
"ɓi"	"2"	"213"	"皮疲脾琵枇肥-[~肉]"	""	""
"ɓi"	"3"	"21"	"被[~子]"	""	""
"ɓi"	"5"	"51"	"泌必避闭庇弊蓖[~麻]婢陛[~下]臂璧譬[~喻]壁=备-毙-被-[~迫]币痹[麻~]"	""	""
"ɓi"	"7"	"224"	"坒[表片状的量词,《广韵》去声至毗切;地相次也]□[~上：表面]"	""	""
"mi"	"2"	"213"	"迷=眉-"	""	""
"mi"	"3"	"21"	"米="	""	""
"mi"	"5"	"51"	"秘密=蜜="	""	""
"mi"	"7"	"224"	"谜="	""	""
"ti"	"1"	"44"	"爹低滴=[量词]"	""	""
"ti"	"3"	"21"	"抵底="	""	""
"ti"	"5"	"51"	"帝"	""	""
"ti"	"7"	"224"	"底-敌嫡狄的[~确]"	""	""
"tʰi"	"1"	"44"	"踢=铁-梯"	""	""
"tʰi"	"3"	"21"	"体"	""	""
"tʰi"	"5"	"51"	"递屉替剔剃"	""	""
"tʰi"	"7"	"224"	"笛"	""	""
"ɗi"	"1"	"44"	"地-"	""	""
"ɗi"	"2"	"213"	"题啼蹄提=离-"	""	""
"ɗi"	"5"	"51"	"第隶的[目~]地=弟="	""	""
"li"	"1"	"44"	"璃粒-藜[棘上的刺]俚[我~:我们]"	""	""
"li"	"2"	"213"	"黎犁离=泥=厘梨篱狸"	""	""
"li"	"3"	"21"	"礼李里理鲤你弟-拟"	""	""
"li"	"5"	"51"	"例丽粒=立力历曆励厉栗荔笠利泪-"	""	""
"ʨi"	"1"	"44"	"鸡稽纪-接-肌基辑饥几[茶~]几[~乎]机讥激击惜-[伤心]"	""	""
"ʨi"	"3"	"21"	"几[~个]挤已杞济[~南]渠[第三人称他她]"	""	""
"ʨi"	"5"	"51"	"荠济[数~]继计剂[一~药]髻系[~鞋带]寄冀记忌既季迹绩祭际锯-[~子]纪="	""	""
