"tʃ"	"［1］猪诸诛株蛛朱珠殊周舟洲州鸠纠［3］煮主肘帚九久韭［5］著注驻註蛀昼咒救究铸"	""	""	""	""	""	""
"tʃʰ"	"［1］丘抽［2］除储厨球求绸筹酬［3］杵{拄：～拐杖}处丑醜［5］处{～所}臭{香～}［6］住柱旧纣咎售宙臼舅"	""	""	""	""	""	""
"ʃ"	"［1］书舒输收休枢［2］殊仇薯［3］暑鼠黍署手首守朽［5］庶恕兽［6］树竖受授寿"	""	""	""	""	""	""
"k"	"［1］姑孤枯［3］古估牯䀇{～子}股鼓［5］顾雇故固［6］跍?{～到}"	""	""	""	""	""	""
"kʰ"	"［1］箍𣗺{茶～：茶籽榨油后的残渣，可洗涤衣物}枯{又}［2］葫-{～芦，原文作“瓠”}［3］苦［5］库裤"	""	""	""	""	""	""
"∅"	"［1］乌污［2］无狐{～狸}［3］武舞［5］恶{可～}［6］戊务婺"	""	""	""	""	""	""
"#a"	""	""	""	""	""	""	""
"p"	"［1］巴芭疤□{比比～～：东西混杂的样子}［3］把{～守；一～}靶{打～}［5］霸坝爸把{车～}"	""	""	""	""	""	""
"pʰ"	"［1］趴{两腿分开}［2］爬琶杷耙{铁～}［3］瓣*{一～柑子}［5］怕［6］罢"	""	""	""	""	""	""
"m"	"［1］马{～虎}□{五指抓取}妈{～～：伯母}［2］麻蔴痳［3］马码［5］妈{姆～ ：母亲}［6］骂"	""	""	""	""	""	""
"t"	"［1］打［5］□{蒂蒂～～：吊下的长条物摆动的样子}"	""	""	""	""	""	""
"tʰ"	"［1］他"	""	""	""	""	""	""
"l"	"［1］拉［2］拿［3］哪□{发～：骄傲自大}［5］那"	""	""	""	""	""	""
"ts"	"［1］查{姓}楂渣抓㪥{～牌}□{～账：欠账}［3］□{～鱼: 一种生吃的上等佳肴} □{～博哩眼：一种眼病}［5］榨窄诈炸{～弹}𢕮{挣扎着不肯走：莫～到，快回屋里去}"	""	""	""	""	""	""
"tsʰ"	"［1］叉权差钗𠞊{一双筷子分开刺进： 一～薯吃}［2］查{调～}茶搽{～粉}［3］钗□{指甲划破：～到脸}［5］岔［6］杈{～哩：小树枝}"	""	""	""	""	""	""
"s"	"［1］沙纱杉挱{～开，～手～脚}［3］傻耍厦{～哩，～屋：偏屋}［5］晒"	""	""	""	""	""	""
"tʃ"	"［1］遮［3］者［5］蔗柘{～林渡：地名}"	""	""	""	""	""	""
"tʃʰ"	"［1］车［2］茄{～哩病：子宫下垂}［3］扯［5］□{～戏：从中捣乱}"	""	""	""	""	""	""
"ʃ"	"［1］奢赊靴［2］蛇佘{姓}□{偷看}［3］捨［5］舍{宿～}赦［6］社"	""	""	""	""	""	""
"k"	"［1］家加嘉傢佳［3］假贾{姓}［5］架驾价嫁□{使出：～力，～劲}"	""	""	""	""	""	""
"kʰ"	"［1］揢［2］跨［3］卡［5］胯"	""	""	""	""	""	""
"ŋ"	"［1］丫鸦椏我-［2］牙芽衙伢［3］哑雅瓦［5］亚［6］□{拖动：～一下}砑{碾，压：～碎}"	""	""	""	""	""	""
"h"	"［1］虾{虾公}哈{～腰}［2］霞暇虾{～蟆}□{～姑：父之妹}［3］下?{卸：～货}［6］下夏厦{～门}"	""	""	""	""	""	""
"#ia"	""	""	""	""	""	""	""
"∅"	"［2］爷［3］也［6］夜"	""	""	""	""	""	""
"#ua"	""	""	""	""	""	""	""
"ɸ"	"［1］花［2］华哗划{～船}［5］化［6］画话"	""	""	""	""	""	""
"k"	"［1］瓜［2］呱{～～叫：好样的}［3］寡剐［5］挂卦褂"	""	""	""	""	""	""
"kʰ"	"［1］夸［2］□{～子：罗圈腿}［3］垮［5］挎{～包}"	""	""	""	""	""	""
"∅"	"［1］蛙窟窪挖［2］娃［3］□{剜：心头肉}［6］话-"	""	""	""	""	""	""
"#ɔ"	""	""	""	""	""	""	""
