鴉a44/ŋa44
亞a33
阿{~哥}a33
衙a21
花fa44
化fa33
厦ha21
厦{～门}ha21
蝦ha44
遐ha21
瑕ha21
暇ha21
霞ha21
下ha21
夏ha21
也ja24
加ka44
家ka44
傢ka44
嘉ka44
假{真~}ka24
賈ka24
假{放~}ka33
架ka33
嫁ka33
稼ka33
價ka33
駕ka33
痂la44
拿la21
哪la21
那la21
挪la21
媽ma44
麻ma21
痲ma21
駡ma21
馬ma24
碼ma24
杈ŋa44
丫ŋa44
椏ŋa44
牙ŋa21
芽ŋa21
瓦ŋa24
啞ŋa24
雅ŋa24
巴pa44
芭pa44
疤pa44
笆pa44
吧pa44
爸pa44/pa21
罷pa21
把pa24
把{～柄}pa24
垻pa33
壩pa33
霸pa33
杷pʰa21
爬pʰa21
耙pʰa21
琶pʰa21
鈀pʰa21
怕pʰa33
沙sa44
砂sa44
紗sa44
痧sa44
莎sa44
灑sa24
耍sa24
打ta24
他tʰa44
楂ʦa44
渣ʦa44
抓ʦa44
炸ʦa33
炸ʦa33
詐ʦa33
榨ʦa33
叉ʦʰa44
岔ʦʰa44
差ʦʰa44
釵ʦʰa44
茶ʦʰa21
查ʦʰa21
搽ʦʰa21
蛙wa44
窪wa44
娃wa44
華wa21
話wa21
畫wa24
瓜kwa44
剮kwa24
寡kwa24
卦kwa33
掛kwa33
褂kwa33
誇kwʰa44
垮kwʰa44
跨kwʰa44
阿{～胶}ɔ44
鵝ɔ44
蛾ɔ21
俄ɔ24/ɔ21
科fɔ44
火fɔ24
伙fɔ24
夥fɔ24
貨fɔ33
課fɔ33
何hɔ21
河hɔ21
荷{~花}hɔ21
荷{薄~}hɔ21
荷{负~}hɔ21
賀hɔ21
可hɔ24
哥kɔ44
歌kɔ44
果kɔ24
裹kɔ24
個kɔ33
過kɔ33
戈kʰɔ44
棵kʰɔ44
顆kʰɔ44
囉{~唆}lɔ44
螺lɔ21
羅lɔ21
騾lɔ21
蘿lɔ21
籮lɔ21
鑼lɔ21
糯lɔ21
腡lɔ21
裸lɔ24
摸mɔ44
摩mɔ44
魔mɔ44
磨{石~}mɔ21
磨{研~}mɔ21
餓ŋɔ21
卧ŋɔ21
我ŋɔ24
波pɔ44
玻pɔ44
菠pɔ44
孵pɔ21
播pɔ33
簸pɔ33
坡pʰɔ44
婆pʰɔ21
菩pʰɔ21
破pʰɔ33
梳sɔ44
疏sɔ44
蔬sɔ44
唆sɔ44
梭sɔ44
蓑sɔ44
傻sɔ21
所sɔ24
瑣sɔ24
鎖sɔ24
惰tɔ21
多tɔ44
朵tɔ24
躲tɔ24
剁tɔ33
馱tʰɔ21
駝tʰɔ21
妥tʰɔ21
舵tʰɔ21/tʰai24
橢tʰɔ24
拖tʰɔ44
助ʦɔ21
座ʦɔ21
阻ʦɔ24
左ʦɔ24
佐ʦɔ24
初ʦʰɔ44
鋤ʦʰɔ21
坐ʦʰɔ24
楚ʦʰɔ24/ʦʰu21
銼ʦʰɔ33
錯ʦʰɔ33
鍋wɔ44
倭wɔ44
窩wɔ44
