	注释：-白读；=文读
#i	
ts	[1]资滋姿咨知支之芝脂[3]子纸止趾址旨指紫姊只{～有}[5]志痣置至致挚[6]自字治寺痔饲稚
tsʰ	[1]雌疵痴[2]词辞瓷慈迟池驰持脐[3]此始耻齿[4]似[5]次翅赐刺厕
s	[1]司思丝私斯撕师诗尸施[2]时匙{锁～}[3]史使屎[4]市[5]试[6]事是视士示侍氏豉
j	[1]衣依医[2]儿而疑移姨怡宜谊仪颐拟[3]椅倚[4]耳已以拟又音议矣[5]意[6]义易{容～}异二贰
#u	
f	[1]夫肤呼敷俘孵枯[2]扶符芙乎[3]苦虎琥府腑俯斧釜抚[4]妇[5]富副赋库裤戽{～水}[6]父负赴付附腐辅傅
k	[1]姑菇沽孤辜[3]古股鼓蛊贾{大腹～}[5]故固雇顾
w	[1]乌污[2]胡湖狐壶[3]浒[5]恶{可～}[6]户沪护互芋
#y	
ts	[1]朱珠蛛猪诸[4]主煮[5]注蛀驻铸著[6]住箸
tsʰ	[2]厨[3]处{～理}[4]柱储[5]处{～所}
s	[1]书舒抒输枢[2]薯殊[3]鼠暑[5]恕庶[6]树竖
j	[1]於于迂[2]如余儒孺鱼渔愉娱愚虞盂[3]淤[4]雨语与予{给～}羽宇乳汝禹[6]遇寓预喻愈御驭裕
#a	
p	[1]巴芭笆疤爸叭[3]抱靶[5]霸坝[6]罢吧
pʰ	[1]趴[2]爬琶杷粑扒[5]怕
m	[1]妈吗[2]麻麻蟆[4]马码蚂玛[6]骂
f	[1]花[5]化
t	[1]打{一～，十二个}[3]打{～人}
tʰ	[1]他它
n	[1]拿[3]乸{雌性、母}[4]那哪
l	[1]啦喇{～叭}[5]罅{训读，缝}
ts	[1]渣咱[5]乍诈炸蚱榨痄
tsʰ	[1]叉差{～别}[2]茶搽查
s	[1]沙纱莎裟鲨[3]洒耍
j	[4]也[6]廿{二十}
k	[1]家稼加袈嘉[3]假{真～}[5]价嫁驾架咖假{～期}
kʰ	[1]卡
ŋ	[2]牙芽衙[4]雅瓦
h	[1]虾哈[2]霞瑕遐[4]下{一～}[6]下夏厦暇
kʷ	[1]瓜[3]寡[5]挂卦
kʷʰ	[1]夸垮[3]褂{马～}[5]胯跨
w	[1]蛙娃洼哇哗{喧～}[2]华桦[3]画{图～}
∅	[1]鸦桠丫[3]哑[5]亚呀阿
#ɛ	
p	[1]啤{～酒}
pʰ	[1]啤{双、对}
