漢字	雲陽話	訪仙話	河陽話	埤城話
多	tɤ33	tɘu55	tɤ33	tou51
拖	tʰɤ33	tʰɘu55	tʰɤ33	tʰou51
他	tʰɑ33	tᴀ35白讀、tʰᴀ55文讀	tʰɑ33	tʰʊ51
駝	tʰɤ25	tɘu31	tɤ24	tou25
馱(拿,馱起來)	tʰɤ25	tɘu31	tɤ24	tʰou25
挪	nɤ25	nəʔ31	nɤ51	ȵou25
羅	lɤ25	lɘu55	lɤ33	lou25
鑼	lɤ25	lɘu55	lɤ33	lou25
籮	lɤ31	lɘu55	lɤ33	lou51
搓	ʦʰɤ33	ʦʰɘu55	ʦʰɤ33	ʦʰou51
歌	kɤ33	kɘu55	kɤ33	kou51
哥	kɤ33	kɘu55	kɤ33	kou51
蛾	ŋə33	ŋɘu31	ŋɤ24	ŋou25
鵝	ŋə33	ŋɘu55	ŋɤ24	ŋou51
俄	ŋə25	ŋɘu325	ɤ24	ŋou25
河	xɤ25	xɘu31	xɤ24	xou25
何	xɤ25	xɘu31	xɤ24	xou25
荷(荷花)	xɤ25	xɘu31	xɤ24	xou25
阿(阿膠,阿哥)	ɑʔ44	ᴀʔ44	ɑʔ33	ᴀʔ44
舵	tʰɤ25	tɘu325	tɤ24	tou25
哪(哪箇?)	∅ʊ55	lʊ434	u55	lᴀ33
左	ʦɤ55	ʦɘu55、ʨɿ55	ʨɿ55	ʦou33
可	kʰɤ25	kʰɘu434	kʰɤ24	kʰou25
我	ŋɤ25	ŋɘu325	ŋɤ24	ŋou25
大	tɤ31	tɘu325	tɤ31	tou41
馱（馱子）		tɘu325	tɤ24	tou25
那	lɑʔ31	lᴀʔ31	ɤ31	lᴀ33
佐	ʦɤ15	ʦɘu55	ʦɤ55	ʦou33
箇(箇人,一箇)	kəʔ44	kɘu434	kəʔ33	kou33
餓	kɤ31？	ŋəu325	ŋɤ31	ŋou41
荷（薄荷）	ŋɤ31？	xɘu31	xɤ24	xou25
賀	xɤ25	xɘu434	xɤ31	xou41
茄(茄子)	ʨiɑ31	ʨiᴀ31	ʨiɑ31	ʨiᴀ25
波	pɤ33	pɘu55	pɤ33	pou51
菠(菠菜)	pɤ33	pu41	pɤ33	pou51
坡	pɤ33	pʰɘu55	pɤ33	pʰou51
玻（玻璃)	pɤ33	pu55	pɤ33	pou51
婆	pɤ25	pɘu31	pɤ24	pou25
魔	mɤ25	mɘu31	mɤ24	mou51
磨(磨刀)	mɤ33	mɘu55	mɤ33	mou51
摩	mɤ33	mɘu31	mɤ33	mou51
騾	lɤ31	lɘu31	lɤ24	lou25
螺（螺螄）	lɤ33	lɘu31	lɤ24	lou25
腡(手指文)	lɤ31	lɘu55	lɤ33	lou51
羅(羅嗦)	lɤ33	lɘu55	lɤ33	lou51
蓑		sɘu55	sɤ33	sou51
梭(織布梭)	sɤ33	sɘu55	sɤ33	sou51
嗦(羅嗦)	sɤ33	sɘu55	sɤ33	sou51
莎(莎草)	su33	su31	sou33	su51
過（～了他家了）	kɤ31	kɘu434	kɤ31	kou51
鍋	kɤ33	kɘu55	kɤ33	kou51
戈	kɤ33	kɘu55	kəʔ55	kou51
科	kʰɤ33	kʰɘu55	kʰɤ33	kʰə51
窠	kʰɤ33	kʰɘu55	kʰɤ33	kʰou51
棵(科)	kʰɤ33	kʰɘu55	kʰɤ33	kʰou51
譌	ŋɤ25	ə325	ɤ24	ou25
和（和氣）	xɤ25	xɘu31	xɤ24	xou25
窩		uᴀ55		uʔ33
跛（跛足）	pɤ55	pɘu41	pɤ55	
簸（簸一簸）	pɤ55	pu434	pɤ55	pou33
朵(躲)	tɤ55	tɘu41	tɤ55	tʰuo33
妥	tʰɤ25	tʰɘu434		tʰou25
橢（橢圓）	tɤ25	tʰɘu434	tɤ31	tou25
惰		tɘu325	tɤ24	tou51
坐	ʦɤ25	tsɘu325	ʦɤ24	ʦou25
鎖	sɤ55	sɘu41	sɤ55	sou33
瑣(瑣碎)	sɤ55	sɘu41		sou51
果	kɤ55	kɘu55	kɤ55	kou33
果	kɤ55	ku55		kou33
顆（一顆珠)	kʰɤ55	kʰɘu55	kʰɤ55	kʰou51
火	xɤ55	xɘu41	xɤ55	xou33
夥(火)	xɤ55	xɘu41	xɤ31	xou33
禍	xə25	xɘu325	xɤ24	xou51
破	pʰɤ424	pʰu434	pʰɤ31	pʰou41
薄(薄荷)	pɔʔ44	pɔʔ31	pɔʔ33	pou41
磨(磨麪,石磨)	mɤ424	mɘu325	mɤ31	mou41
剁	təu424	tɘu434		tou41
唾（唾液,唾沫）	tʰu424	tʰɘu41	tʰu31	tʰu25
