"来源："	" 乔全生 陈丽 1999《平遥话音档》；侯精一 1999《现代晋语的研究》；Skanda & Sun 增补修订"
"说明："	"代表城关音系。主体为《音档》同音字表，并区分阴阳平，尽量保存原有字基础上采用OpenCC进行简繁转换。依《研究》所做增补标绿，修订标黄；个人增补标蓝，修订及存疑标红。"
"#符号说明：-白=文*俗?待考"	""
"#调值"	"［1］22［2］22［3］512［5］24［7］22［8］512"
"#ɑ"	""
"p"	"［1a］芭{～蕉}巴{～黎}疤{～子}趴-{～下}八{～叉：兩腿分開}［2］鈀琶杷爬-［3］把{～握}㞎{～屎}靶［5］霸壩把{刀～兒}耙罷爸"
"pʰ"	"［1］扒趴=葩［2］爬=［5］怕帕"
"m"	"［2］蟆麻{～繩-。～毬：女陰}痲{～瘋病}［3］馬碼蕒{～苣菜：邊緣呈鋸齒狀的野菜，可食用。}［5］罵"
"t"	"［3］打［5］大"
"tʰ"	"［1］他{～房：他家}"
"n"	"［1］拿"
"l"	"［1］拉哪*{～廂}［2］旯"
"ts"	"［1］臢{腌～}渣{～～：渣子}□{“子家”的合音}［2］茶-{～盅}搽［3］咋斬-［5］詐奓{～開}榨炸{～彈}站-{～馬道}挓"
"tsʰ"	"［1］叉{～～}差{～不多-}［2］查楂茶={～盅}［3］拃［5］岔差{～錯}"
"s"	"［1］沙{～羅-：網眼最大的羅}紗{～廠}杈{～子}砂{～子}杉{～木}鯊{～魚}痧［2］茬{～子：麥子高粱等作物收割後留在地裏的根}［3］灑□{～子：鐵或陶製的粗盆}撒［5］廈{歇～}乍*{～冷}□{～子：大盆}沙{挑揀}"
"tʂ"	"［1］爭-{～氣}"
"tʂʰ"	"［3］敞*{～架開：攤開}"
"ɳ"	"［1］□{“人家”的合音}"
"ʂ"	"［3］傻"
"k"	"［1］哥*{大-～：妻兄}［3］玍{～榨?子：賴子}［5］□{～住：攔住無法進行}"
"kʰ"	"［3］卡"
"ŋ"	"［1］腌{～臢}［3］啞{～子}□{“我家”的合音}"
"x"	"［1］哈［5］下夏-{～景天：夏天}嚇"
"#iɑ"	""
"m"	"［1］□{“們家”的合音}［3］猛-{發～財：得了意外之財}"
"l"	"［3］兩*{幾斤幾～}了冷-{～的利害}□{跌～：撒嬌}［5］□{～下：扔下不管}"
"tɕ"	"［1］傢{～俱}家{～兒/ʐʌʔ/}加{～減}痂{～～}佳{～人}嘉［3］假{真～}賈{姓}家{孃～}解{介詞}［5］假{放～}架嫁駕稼價"
"tɕʰ"	"［1］抲{抱}［3］卡{～住}［5］揢?{用手卡住脖子}"
"ȵ"	"［1］娘*{～～：祖母}［2］牙{～花子：牙齦，～羊-：公羊。}芽{～～：芽兒}衙{～門}［5］砑{～平}壓="
"ɕ"	"［1］蝦{～～，～米}［2］行-{～人：厲害人}霞遐{～角：村名}［5］夏={姓}廈{～門}"
"Ø"	"［1］鴉丫{～鬟}［3］亞雅"
"#uɑ"	""
"ts"	"［1］抓［3］爪"
"tsʰ"	"［1］欻{水流得～～底}"
"s"	"［3］耍"
"k"	"［1］刮{～鬍子}瓜{～兒/ʐʌʔ/}［3］寡剮［5］掛=卦褂"
"kʰ"	"［1］誇{～撇：炫耀}［3］垮胯{腿～}［5］跨掛-{～幌-子：比喻事情還沒做就已經顯露}"
"x"	"［1］花{～～：花兒}［2］華{～僑}鏵{～子}划{～船}劃{～了兩道}譁［5］化華{～山}樺{～樹}畫話劃{計～}
"
"Ø"	"［1］挖蛙窪蝸*{～牛}［2］娃［3］瓦{（名詞）}搲{～上圪搭肉}［5］瓦{（動詞）～瓦：蓋瓦}□{沉：沙糖～到碗底子兒啦}"
"#yɑ"	""
"tɕ"	"［3］獷-{～巴巴底：喻人生硬}"
"tɕʰ"	"［1］□{“誰家”的合音}"
"Ø"	"［1］曰{孔子～}［3］噦"
"#ʅᴇ"	""
"tʂ"	"［1］睜-遮{～瞞：掩蓋}［3］□{～子：藉口}"
"tʂʰ"	"［1］車{～子：自行車}［1］蛇{～皮=}［3］扯［5］撤"
"ʂ"	"［1a］賒生-{～日}甥-{外～子}［3］捨{～不得}［5］社舍{宿～}射"
