繁體	简体	=_xlfn.CONCAT(E1,F1,G1)	註釋	聲	韻	調			
灋	法	=_xlfn.CONCAT(E2,F2,G2)		f	a	214			
乏	乏	=_xlfn.CONCAT(E3,F3,G3)		f	a	214			
冹	冹	=_xlfn.CONCAT(E4,F4,G4)		f	a	214			
颰	颰	=_xlfn.CONCAT(E5,F5,G5)		f	a	214			
髮	发	=_xlfn.CONCAT(E6,F6,G6)		f	a	214			
發	发	=_xlfn.CONCAT(E7,F7,G7)		f	a	214			
伐	伐	=_xlfn.CONCAT(E8,F8,G8)		f	a	214			
筏	筏	=_xlfn.CONCAT(E9,F9,G9)		f	a	214			
罰	罚	=_xlfn.CONCAT(E10,F10,G10)		f	a	214或45			
閥	阀	=_xlfn.CONCAT(E11,F11,G11)		f	a	214			
拔	拔	=_xlfn.CONCAT(E12,F12,G12)		p	a	214			
朒	朒	=_xlfn.CONCAT(E13,F13,G13)	一般写作嘎	k	a	42			
家	家	=_xlfn.CONCAT(E14,F14,G14)	家婆，家家	k	a	45			
跨	跨	=_xlfn.CONCAT(E15,F15,G15)	白讀，可能不是本字	kʰ	a	21			
卡	卡	=_xlfn.CONCAT(E16,F16,G16)	卡么四	kʰ	a	45			
卡	卡	=_xlfn.CONCAT(E17,F17,G17)		kʰ	a	42			
胩	胩	=_xlfn.CONCAT(E18,F18,G18)	胯部	kʰ	a	214			
他	他	=_xlfn.CONCAT(E19,F19,G19)	白读，他的，他们	l	a	45			
臘	腊	=_xlfn.CONCAT(E20,F20,G20)		l	a	214			
蠟	蜡	=_xlfn.CONCAT(E21,F21,G21)		l	a	214			
邋	邋	=_xlfn.CONCAT(E22,F22,G22)		l	a	214			
䏧	䏧	=_xlfn.CONCAT(E23,F23,G23)		l	a	214			
衲	衲	=_xlfn.CONCAT(E24,F24,G24)		n	a	214			
納	纳	=_xlfn.CONCAT(E25,F25,G25)		n	a	214			
拉	拉	=_xlfn.CONCAT(E26,F26,G26)		l	a	45			
臘	腊	=_xlfn.CONCAT(E27,F27,G27)		l	a	214			
蠟	蜡	=_xlfn.CONCAT(E28,F28,G28)		l	a	214			
捺	捺	=_xlfn.CONCAT(E29,F29,G29)		n	a	214			
剌	剌	=_xlfn.CONCAT(E30,F30,G30)		l	a	214			
辢	辣	=_xlfn.CONCAT(E31,F31,G31)		l	a	214			
麻	麻	=_xlfn.CONCAT(E32,F32,G32)		m	a	21			
蟆	蟆	=_xlfn.CONCAT(E33,F33,G33)		m	a	45			
媽	妈	=_xlfn.CONCAT(E34,F34,G34)		m	a	45			
嗎	嗎	=_xlfn.CONCAT(E35,F35,G35)	表疑問	m	a	45			
馬	马	=_xlfn.CONCAT(E36,F36,G36)		m	a	42			
碼	码	=_xlfn.CONCAT(E37,F37,G37)		m	a	42			
罵	骂	=_xlfn.CONCAT(E38,F38,G38)		m	a	214			
帓	帓	=_xlfn.CONCAT(E39,F39,G39)	表示擦，如：～桌子	m	a	214			
抹	抹	=_xlfn.CONCAT(E40,F40,G40)		m	a	214			
拿	拿	=_xlfn.CONCAT(E41,F41,G41)		n	a	21			
牙	牙	=_xlfn.CONCAT(E42,F42,G42)	仅用于词组“牙巴”	ŋ	a	21			
衙	衙	=_xlfn.CONCAT(E43,F43,G43)		ŋ	a	21			
軋	轧	=_xlfn.CONCAT(E44,F44,G44)	白讀，作動詞	ŋ	a	45			
阿	阿	=_xlfn.CONCAT(E45,F45,G45)	疑問	ø	a	45			
阿	阿	=_xlfn.CONCAT(E46,F46,G46)	應答	Ø	a	21			
𠇕	𠇕	=_xlfn.CONCAT(E47,F47,G47)	鄰近	p	a	45			
𧵅	𧵅	=_xlfn.CONCAT(E48,F48,G48)	張貼	p	a	45			
巴	巴	=_xlfn.CONCAT(E49,F49,G49)		p	a	45			
疤	疤	=_xlfn.CONCAT(E50,F50,G50)		p	a	45			
芭	芭	=_xlfn.CONCAT(E51,F51,G51)		p	a	45			
把	把	=_xlfn.CONCAT(E52,F52,G52)		p	a	42			
爸	爸	=_xlfn.CONCAT(E53,F53,G53)		p	a	214或45			
欛	欛	=_xlfn.CONCAT(E54,F54,G54)		p	a	214			
壩	坝	=_xlfn.CONCAT(E55,F55,G55)		p	a	214			
𢺞	𢺞	=_xlfn.CONCAT(E56,F56,G56)	鋪床铺	p	a	214			
霸	霸	=_xlfn.CONCAT(E57,F57,G57)		p	a	214			
八	八	=_xlfn.CONCAT(E58,F58,G58)		p	a	214			
𤆵	𤆵	=_xlfn.CONCAT(E59,F59,G59)	1.使~變軟2.形容人軟弱	pʰ	a	45			
𤆵	𤆵	=_xlfn.CONCAT(E60,F60,G60)		pʰ	a	45			
怕	怕	=_xlfn.CONCAT(E61,F61,G61)		pʰ	a	214			
爬	爬	=_xlfn.CONCAT(E62,F62,G62)		pʰ	a	21			
扒	扒	=_xlfn.CONCAT(E63,F63,G63)	扒手	pʰ	a	21			
拔	拔	=_xlfn.CONCAT(E64,F64,G64)		pʰ	a	214			
跋	跋	=_xlfn.CONCAT(E65,F65,G65)		pʰ	a	214			
娑	娑	=_xlfn.CONCAT(E66,F66,G66)	仅用于词组“婆娑”	s	a	45			
沙	沙	=_xlfn.CONCAT(E67,F67,G67)		s	a	45			
紗	纱	=_xlfn.CONCAT(E68,F68,G68)		s	a	45			
灑	洒	=_xlfn.CONCAT(E69,F69,G69)		s	a	42			
趿	趿	=_xlfn.CONCAT(E70,F70,G70)		s	a	214			
歃	歃	=_xlfn.CONCAT(E71,F71,G71)		s	a	214			
撒	撒	=_xlfn.CONCAT(E72,F72,G72)	白讀，表示水漏出	s	a	214			
撒	撒	=_xlfn.CONCAT(E73,F73,G73)	噴撒	s	a	42			
薩	萨	=_xlfn.CONCAT(E74,F74,G74)		s	a	42			
薩	萨	=_xlfn.CONCAT(E75,F75,G75)	菩萨，拉萨	s	a	45			
薩	萨	=_xlfn.CONCAT(E76,F76,G76)		s	a	214			
煞	煞	=_xlfn.CONCAT(E77,F77,G77)		s	a	214			
鎩	铩	=_xlfn.CONCAT(E78,F78,G78)		s	a	214			
蔱	蔱	=_xlfn.CONCAT(E79,F79,G79)		s	a	214			
榝	榝	=_xlfn.CONCAT(E80,F80,G80)		s	a	214			
殺	杀	=_xlfn.CONCAT(E81,F81,G81)		s	a	214			
剎	刹	=_xlfn.CONCAT(E82,F82,G82)	剎車	s	a	214			
大	大	=_xlfn.CONCAT(E83,F83,G83)		t	a	214或45			
答	答	=_xlfn.CONCAT(E84,F84,G84)		t	a	214			
搭	搭	=_xlfn.CONCAT(E85,F85,G85)		t	a	214			
𩭆	𩭆	=_xlfn.CONCAT(E86,F86,G86)	表示女生下垂的編好的頭髮，同（耷）	t	a	214			
耷	耷	=_xlfn.CONCAT(E87,F87,G87)	可表示女生下垂的編好的頭髮，同（𩭆）	t	a	214			
矺	矺	=_xlfn.CONCAT(E88,F88,G88)		t	a	214			
笚	笚	=_xlfn.CONCAT(E89,F89,G89)		t	a	214			
䓠	䓠	=_xlfn.CONCAT(E90,F90,G90)		t	a	214			
褡	褡	=_xlfn.CONCAT(E91,F91,G91)		t	a	214			
䪚	䪚	=_xlfn.CONCAT(E92,F92,G92)		t	a	214			
躂	躂	=_xlfn.CONCAT(E93,F93,G93)	動詞，表示跌倒	t	a	214			
怛	怛	=_xlfn.CONCAT(E94,F94,G94)		t	a	214			
妲	妲	=_xlfn.CONCAT(E95,F95,G95)		t	a	214			
達	达	=_xlfn.CONCAT(E96,F96,G96)		t	a	214			
打	打	=_xlfn.CONCAT(E97,F97,G97)		t	a	42			
他	他	=_xlfn.CONCAT(E98,F98,G98)		tʰ	a	45			
踏	踏	=_xlfn.CONCAT(E99,F99,G99)		tʰ	a	214或45			
沓	沓	=_xlfn.CONCAT(E100,F100,G100)		tʰ	a	214			
誻	誻	=_xlfn.CONCAT(E101,F101,G101)		tʰ	a	214			
遝	遝	=_xlfn.CONCAT(E102,F102,G102)		tʰ	a	214			
㧺	㧺	=_xlfn.CONCAT(E103,F103,G103)		tʰ	a	214			
㭼	㭼	=_xlfn.CONCAT(E104,F104,G104)		tʰ	a	214			
龖	龖	=_xlfn.CONCAT(E105,F105,G105)		tʰ	a	214			
涾	涾	=_xlfn.CONCAT(E106,F106,G106)		tʰ	a	214			
譶	譶	=_xlfn.CONCAT(E107,F107,G107)		tʰ	a	214			
蹹	蹹	=_xlfn.CONCAT(E108,F108,G108)		tʰ	a	214			
䂿	䂿	=_xlfn.CONCAT(E109,F109,G109)		tʰ	a	214			
眔	眔	=_xlfn.CONCAT(E110,F110,G110)		tʰ	a	214			
龘	龘	=_xlfn.CONCAT(E111,F111,G111)		tʰ	a	214			
䜚	䜚	=_xlfn.CONCAT(E112,F112,G112)		tʰ	a	214			
㯓	㯓	=_xlfn.CONCAT(E113,F113,G113)		tʰ	a	214			
遢	遢	=_xlfn.CONCAT(E114,F114,G114)		tʰ	a	214			
榻	榻	=_xlfn.CONCAT(E115,F115,G115)		tʰ	a	214			
塔	塔	=_xlfn.CONCAT(E116,F116,G116)		tʰ	a	214			
