pi33不{又}
pi53贝倍辈背{脊~}焙{~干}
pi31背{背诵}
pi55鳖
pʰi35坯
pʰi13陪赔别{~着}
pʰi33篇遍{一~}屁{~股。又}
pʰi53配遍{~地}
pʰi55撇{~开}僻
mi13媒煤篾梅霉
mi33□{凹陷的}
fi35灰
fi33悔
fi31会{开~；~不~}绘汇
ti33的{结构助词}
ti53递
tʰi13蝶碟
tʰi33贴
tʰi55帖{请~}铁{老}
li33哩{结构助词，相当于北京话的“的”、“地”}
tɕi33纸指趾紫
tɕi53翅痔至
tɕi55节接摺{折叠，打褶子}
tɕʰi33齿
tɕʰi55撤切
ɕi35尸什
ɕi13时舌匙
ɕi33是屎
ɕi53细
ɕi31豉{豆~}
ki35基箕饥几{茶~}
ki33纪{年~}几{~个}
ki53寄记季
ki55结揭□{生涩}
kʰi13奇棋旗骑
ŋi35□{一点，一会儿，少量}
ŋi13儿热
ŋi33蚁耳□{羞}
ŋi31额二
hi35稀
hi33起喜歇启
hi53戏气{生~}汽弃
i35衣依
i13移叶姨
i33以椅
i53意
i31易{难~}
pu35煲{煮、熬}
pu33不补保宝簸{~一~}
pu53布簸{~箕}讣报
pu31部步玻菠埠荸{~荠}
pu55钵拨
pʰu35铺{~设}
pʰu13袍蒲
pʰu33抱谱
pʰu53铺{店~}剖
pʰu31葡
pʰu55泼
mu35摸
mu13毛
mu33母
mu31模{~子}磨{~刀；石~}帽
fu35麸户{窗~}夫呼
fu13胡湖狐壶扶符浮{漂~}蝴糊服{~气}
fu33斧苦虎妇戽{~斗}
fu53裤付戽{~水}副
fu31腐{豆~}父
fu55阔{宽}
vu35乌熬
vu13吴蜈
vu33武舞捂
vu53雾扷{量度，比较}
tu35刀
tu33赌肚{猪~}肚{~腹}朵躲嘟都
tu53剁到
tu31度渡镀垛道
tʰu13䀇驼坨砣桃淘萄绹{栓，系，捆}
tʰu33土倒{~水}肚{里面，如：江~}
tʰu53吐{~痰，呕~}兔套
tʰu31逃徒
tʰu55脱
nu35捼{搓}
nu13挪
nu33怒脑恼
nu31奴糯
lu35芦
lu13牢炉痨劳
lu33老辣{又}佬
lu53□{疮}
lu31路露鸬{~鹚}
tsu35租糟
tsu33祖组早枣蚤
tsu53灶
tsu31座造
tsu55□{~日：明天}
tsʰu35粗搓楚
tsʰu13槽绝朝~代潮
tsʰu33草坐
tsʰu53醋糙
tsʰu31初
tsʰu55撮
su35苏骚梳酥臊
su33蓑锁嫂扫{~帚}
su53素数{~目}扫{~地}漱{~口}
su55雪
ku35高篙糕姑咕{小孩称鸡为~~}鸪{鹧~}
ku33牯股鼓故□{烹饪用具，周围陡直的深锅}
ku53告{~状}
ŋu33我
hu35蒿
hu13毫
hu33好{副词}
hu31号{~数}壕
ty35堆
ty53对兑碓
ty31队
tʰy35推
tʰy13槌锤捶
tʰy33腿
tʰy53退
ly35□{钻、穿}
ly13驴雷累{疲劳}
tɕy35追锥珠
tɕy33煮主嘴
tɕy53柱{新}蛀最醉
tɕy31卒{~子}
tɕʰy35催吹
tɕʰy13除徐橱□{熄灭}
tɕʰy33罪
tɕʰy53处
tɕʰy31厨{~师}
ɕy35书输
ɕy13薯
ɕy33鼠水
ɕy53碎
ɕy31树
ky35车{~马炮}
ky33举
ky53据锯句
ky31□{回去}
ky55□{打}
kʰy55缺菊
ŋy13鱼渔月{又}
ŋy55月
hy35墟虚
hy53去{~皮}
hy55血
y13于越
y33雨乳{腐~}
y53淤
y31芋
pa35疤巴粑{糍~}
pa33八靶把{一~}□{开口，开裂}
pa53欛{~手}
pa31罢坝
pʰa13爬耙扒琶杷{枇~}
pʰa33□{手脚伸张的动作}
pʰa53怕
ma35蛙
ma13麻抹
ma33马码□{张大}
ma53揹
ma31骂袜
fa35花
fa33法發{~财}
fa53□{面，红薯等质松柔软的□感}
fa31画罚划
va33瓦{新}
va31话滑
ta33搭打答
tʰa35他{新}
tʰa13□{擦除、涂抹}
tʰa33塌趿{~拉}
na35乸{祖母}
na33纳{~鞋底}
na53哪{~个？}
na31那
la35拉
la33□{路面上的坡}
la31蜡腊□{凉，冷}
tsa35渣
tsa33眨{~眼}闸铡{~刀}扎
tsa53榨{~油}炸{爆~}□{拳头紧握}
tsa31杂
tsʰa35查叉差
tsʰa13茶搽
tsʰa33插擦
tsʰa53岔
sa35纱痧
sa33撒洒杀
sa53沙{~子}砂
sa31杉
ka35家加
ka33假{真~}贾{姓}夹嘏挟{~菜}甲枷
ka53架嫁价假{放~}
ka31嘎{小孩称鸭为~~}
kʰa33掐
ŋa35□{说瞎话}
ŋa13芽牙
ŋa31吖{~喔：二胡}
ha35虾{鱼~}他{老}
ha33下{~降}瞎
ha31夏{姓}狭下{底~}
a35鸦岈{山~：山坳}
a33哑鸭押压轧{被车~}
a31丫{~头}
pia35□{粘}
pʰia33□{摸}□{嘴没味儿}
ŋia35□{钉耙类农具}
ŋia53□{嚼}
ia33雅{~座}也野
ia53夜{又}
ia31夜
tsua35抓
sua33耍
sua53厦{偏~：住宅中主要用于堆放杂物的偏房}□{抽打}
sua55刷
kua35瓜
kua33寡刮聒{声音杂乱；唠叨}
kua53挂卦褂
kʰua33抓□{吹牛}
ŋua33瓦{老}
po31□{狠踢}
