#i
p[2]皮疲脾琵枇肥[4]被{~子,~窝}婢[6]被{~打,~迫}避备鼻
pʰ[1]披[5]譬屁
ɓ[1]碑卑悲[3]彼俾鄙比[5]臂秘泌庇痹
m[2]糜弥眉楣媚微[4]靡美尾[5]眯□{没入（水中）}[6]寐未味
f[1]斯厮撕私司丝思[2]瓷糍慈磁辞词祠[3]死[4]似祀巳[5]四肆[6]自字牸寺嗣饲
t[1]资姿咨兹滋[3]紫姊子梓[6]地
tʰ[3]此[5]刺赐次厕
ɗ[1]哋
n[1]黏□{粘住}[2]尼[3]拟[4]你[6]腻
l[1]璃[2]篱离梨厘狸[3]□{撕；拔}[4]李里{一~路}理鲤[6]利痢
ts[1]知蜘支枝肢栀脂之芝[3]纸只{~有}旨指止趾址[5]智致稚至痔置誌志痣[6]治
tsʰ[1]差{参~}眵痴嗤[3]侈耻齿始[5]翅
ȵ[1]儿[2]倪而疑[3]议[4]尔耳[6]谊二贰饵
s[1]施师狮尸诗[2]池驰匙迟持时[3]矢屎使史驶[4]是氏士仕柿俟市恃[5]试[6]豉示视嗜事侍
k[1]饥肌几{茶~}基几{~乎}机讥[2]奇骑岐其棋期旗祈[3]己纪杞几{~个}[4]企徛[5]寄冀记既[6]技妓鳍忌
h[1]牺欺嬉熙希稀[3]起喜岂[5]戏器弃气汽
∅[1]伊姨医衣依[2]宜仪移夷姨[3]倚椅[4]已以[5]意[6]义易{难~}异

#u
p[2]蒲菩脯{胸~}符扶芙袍[4]簿抱□{粥面上飘的气泡}[5]斧[6]部步孵暴抱{孵,~小鸡}曝瀑腐{豆~，~乳}
pʰ[1]铺{~设}[3]谱普浦捕甫脯{杏~}[5]铺{店~}
ɓ[1]煲[3]补保堡宝[5]布佈怖报
m[1]蟆模{~子}模{~范}摹[2]无毛[3]舞{动词}[4]武舞侮鹉母拇[6]暮慕墓募务雾冒帽戊
f[1]苏酥敷俘骚臊[2]乎符曹[3]抚辅嫂[4]父釜傅造妇[5]素诉塑库扫[6]腐{~败}付赋赴讣附负副
t[1]租遭糟[2]徒屠途涂图桃逃淘陶萄涛[3]祖组早枣蚤[4]肚{腹~}导[5]做(作)灶[6]杜妒度渡镀道稻盗
tʰ[1]粗吐{~痰}滔掏操糙[3]土讨草[5]吐{呕~}兔醋措套躁
ɗ[1]都{~城}都{~是}刀叨[3]堵赌肚{牛~}祷岛倒{打~,颠~}倒{~水}[5]到
n[2]奴[3]□{哪里}[4]努[5]□{哪里}[6]怒
