#ɿ
tsɿ ①之芝猪诸朱诛蛛珠株支枝肢知蜘栀资咨姿兹孶滋脂辎鲻智{新}子{~弹}锥{~钻}孜 ③子只{~有}旨指梓滓籽仔主拄{~臂}煮址趾嘴姊紫纸 ⑤注蛀驻制至致志痣疰帜质{人~}智挚恣铸翅{又音}著止
tsʰɿ ①雌痴枢吹眵{眼~}侈{差~}鸱嗤疵 ③此耻鼠褚处{~理} ⑤次翅处{~所}齿刺厕伺{~奉}炽
dzɿ ②厨橱蹰池驰弛{新}兹{又音}慈磁瓷词祠嗣饲除蜍持迟殊辞稚 ⑥住柱治雉滞苎痔
sɿ ①斯撕厮师狮蛳思书输诗梳尿司丝尸施私舒伺 ③史使驶始暑黍豕矢死水 ⑤世势恕戍庶赐四肆试思{意~}
zɿ ②儒懦{软弱无能}时鲥垂{耳朵~}锤{线~}捶{□（石啇）~：捣衣棒}如匙锄{~头} ④市柿是似竖乳 ⑥树汝誓逝市{又音}柿{又音}氏自视示嗜士仕事字乳{又音}寺巳祀恃侍墅莳牸

#i
pi ①屄 ③比鄙匕 ⑤闭秘泌臂庇痹蔽
pʰi ①批砒披□{（卑刂）左右合并为一个字，把肉切成薄片的刀法}匕{旧}痞纰{~点} ③妣 ⑤屁庇{旧}譬
bi ②皮疲脾琵纰{纰漏} ④被{~子}坒{依次堆叠}□{生活潦倒} ⑥敝蔽{又音}弊毙币避鐾婢陛痹{又音}
mi ①咪眯 ②迷谜糜弥眉媚猕棉{~花}靡 ④米 ⑥味
fi ①飞非绯匪菲翡斐扉妃 ⑤肺费{~用}䕠{芦~}吠沸废
fvi ②维惟肥唯{~一}微 ④□{象声词} ⑥未味尼费{姓}
ti ①低 ③底抵砥诋帝 ⑤缔渧{~水}
tʰi ①梯绨{~线} ③体 ⑤替屉{抽~}剃涕嚏
di ②啼蹄提堤题 ④弟 ⑥地第递弟{又音}
li ①捚{提} ③屡 ②厘狸梨犁黎离篱璃驴鲡 ④李吕礼里{~面}理鲤 ⑥厉励丽利痢虑滤隶□{（氵土示土示）组成一个字，沥、滴}里{~程}旅吏履缕泪荔莉屡{又音}
tɕi ①几{茶~}肌讥机饥鸡奇{~数}基箕稽姊{阿~}䇫{编~}期{~过：周岁}车{~马炮}龟拘驹居俱齑{盐~}□{（尸虘）合并成一个字，这} ③几鬼虮{虱卵}姊{又音}矩 ⑤举祭穄际记纪季寄继计济既句冀系{~鞋带}鯚{~鲈鱼}左贵据己挤
tɕʰi ①区驱趋妻凄栖溪欺觑{近~眼}蛆 ③启企取娶起杞岂砌 ⑤去气器汽趣憩{~响}弃契砌{又音}
dʑi ②奇骑齐脐荠祁祈岐其期棋旗崎瞿蕲{香~：艾}鳍渠 ④序聚荠{茡~}叙跽跪 ⑥巨拒柜距炬忌技伎妓署薯具惧绪叙{又音}醵{合钱饮酒}
ȵi ①泥{拘~} ③拟 ②泥尼倪虞愚疑宜呢娱儿{猫~} ④女你 ⑥遇寓语艺义议蚁谊腻毅芋耳二尾
ɕi ①西牺粞{小粞}羲曦徙熹嬉熙犀希稀靴须需些虚墟嘘吁{~叹}荠{~~}□{（门奇）合并成一个字，~缝} ③死许喜玺髓洗{新} ⑤戏婿细絮
ʑi ②徐齐脐荠 ④聚
ki ①□{（尸虘）合并成一个字}□{又音，~个：这个}
kʰi ⑤去
gi ②渠{他}
i ①衣依迂兮医於淤 ③已以 ⑤意忆亿臆椅喂{~饭}与{连}
ɦi ②余于盂圩鱼渔俞瑜榆愉逾夷姨伊仪怡贻移遗迷围迂{~回}纡{俗写字。~子}携奚 ④雨羽又 ⑥易{难~}宇系禹御誉预羽{又音}豫喻裕纬芋愈吁{呼~}异勘{器物磨损}与{参~}矣谕

#ʋ
pʋ ①波菠玻 ③补谱{旧} ⑤布怖播簸
pʰʋ ①坡铺{~设}潽{溢}谱{~子}颇 ③普浦谱圃 ⑤破□{遍：一~}铺{店~}
bʋ ②婆菩脯{胸~}蒲捕葡 ④□{无力支撑而瘫下或坍塌}篰{酒~} ⑥部步埠孵簿薄{~荷}捕{逮~}
mʋ ③母拇姆 ②魔摩磨{动}模膜谟沫 ④□{没有牙齿而慢慢咀嚼的样子} ⑥暮幕墓慕磨{名}
fʋ ①夫伕肤麸俘孚敷 ③抚甫辅斧府俯腑副{量} ⑤仆{前~后继}赴讣付副{形}傅孵富赋咐
fvʋ ②无扶芙浮巫诬符 ④武鹉舞 ⑥父妇负侮附戊腐务雾
tʋ ①多都□{~~：姑母的旧称} ③朵躲睹堵赌肚{~肺}妒 ⑤蠹
tʰʋ ①拖兔 ③土吐妥椭堍 ⑤唾蜕{~皮}毻{~毛}
dʋ ②驼陀砣鸵跎驮途涂图屠徒轪{车轮} ④杜舵 ⑥大度渡镀惰堕肚{~皮}
nʋ ③努 ②奴挼{揉搓} ⑥糯怒懦胬{~肉}
lʋ ①撸噜虏掳 ③鲁 ②罗锣萝箩螺骡卢炉芦庐颅鲈鸬脶如{新。~皋} ④橹卤 ⑥路赂露卵裸
tsʋ ①租 ③组祖阻 ⑤左佐做诅
tsʰʋ ①粗搓初 ③楚础□{便劲干} ⑤挫锉措醋错磋□{把液体从低向高引：龙~水}
dzʋ ②锄刍雏矬 ④坐 ⑥座助
