调值	[1]21(阴平阳去   [2]45 阳平   [3]213 上声  [5]44 阴去  [7]4 阴入  [8]45 阳入  [0]0 轻声)		
□	ɤɯ	5	说话蛮缠蛮扯不讲道理
预	ʮ	1	
芋	ʮ	1	
雨	ʮ	3	
俞	ʮ	2	
鱼	ʮ	2	
余	ʮ	2	
淤	ʮ	1	
餧	ʮ	5	~奶
围	ʮ	2	~巾，~裙
夜	ia	1	
野	ia	3	
也	ia	3	
样	iɑŋ	1	
痒	iɑŋ	3	
养	iɑŋ	3	
洋	iɑŋ	2	
阳	iɑŋ	2	
羊	iɑŋ	2	
秧	iɑŋ	1	
□	iɑŋ	2	陡
约	iɑʔ	7	
药	iɑʔ	8	
鹞	iɔ	2	~子：风筝
要	iɔ	5	
舀	iɔ	3	
摇	iɔ	2	
窑	iɔ	2	
腰	iɔ	1	
用	iɔŋ	1	
佣	iɔŋ	1	
雄	iɔŋ	2	白，~鸡
容	iɔŋ	2	
欲	iɔʔ	8	白，~不着：不必，不用
欲	iɔʔ	7	文
玉	iɔʔ	7	
右	iɤɯ	1	
又	iɤɯ	1	
酉	iɤɯ	3	
有	iɤɯ	3	
游	iɤɯ	2	
油	iɤɯ	2	
□	iɤɯ	3	秤~子：秤纽
蝇	iɪ̃	0	另读，苍~
引	iɪ̃	3	另读，~线
䞁	iɪ̃	5	比长短
燕	iɪ̃	5	
宴	iɪ̃	5	
咽	iɪ̃	1	~喉
厌	iɪ̃	5	
檐	iɪ̃	2	
阎	iɪ̃	2	
盐	iɪ̃	2	
炎	iɪ̃	2	
腌	iɪ̃	1	
烟	iɪ̃	1	
染	iɪ̃	3	
月	iɪʔ	8	凉~子：月亮
乙	iɪʔ	7	
一	iɪʔ	7	
叶	iɪʔ	8	
噎	iɪʔ	7	
咽	iɪʔ	7	~下去
日	iɪʔ	8	
热	iɪʔ	8	
□	iɪʔ	8	打~kɤɯ3：打噎
影	iŋ	3	
赢	iŋ	2	
蝇	iŋ	1	
萤	iŋ	2	
瀴	iŋ	5	~凉：凉爽
鹰	iŋ	1	
樱	iŋ	1	
缨	iŋ	1	
英	iŋ	1	
应	iŋ	5	
印	iŋ	5	
瘾	iŋ	3	
饮	iŋ	3	
引	iŋ	3	
寅	iŋ	2	
银	iŋ	2	
洇	iŋ	5	
音	iŋ	1	
阴	iŋ	1	
茄	ka	1	
嫁	ka	5	白
架	ka	5	白
傢	ka	1	白
袈	ka	1	
家	ka	1	白
加	ka	1	白
扛	kɑŋ	5	硌
降	kɑŋ	5	白，霜~
讲	kɑŋ	3	白，~经
豇	kɑŋ	1	
江	kɑŋ	1	长~
虹	kɑŋ	5	
缸	kɑŋ	1	
钢	kɑŋ	1	
㧏	kɑŋ	1	用肩扛
觉	kɑʔ	7	白
角	kɑʔ	7	
搁	kɑʔ	7	
觉	kɔ	5	白
酵	kɔ	5	
窖	kɔ	5	
教	kɔ	1	白
教	kɔ	5	白
搅	kɔ	3	白
㽱	kɔ	3	~人：胃里不舒服
茭	kɔ	1	
告	kɔ	5	
搞	kɔ	3	
糕	kɔ	1	
膏	kɔ	1	
高	kɔ	1	
躬	kɔŋ	1	
供	kɔŋ	1	
供	kɔŋ	5	
功	kɔŋ	1	
公	kɔŋ	1	
弓	kɔŋ	1	
工	kɔŋ	1	
□	kɔŋ	5	~脓：化脓
国	kɔʔ	7	
穀	kɔʔ	7	~子
谷	kɔʔ	7	
够	kəi	5	
狗	kəi	3	
钩	kəi	1	
沟	kəi	1	
勾	kəi	1	
今	kəŋ	1	白，~朝
更	kəŋ	1	
更	kəŋ	5	~加
梗	kəŋ	3	
耕	kəŋ	1	
庚	kəŋ	1	
跟	kəŋ	1	
根	kəŋ	1	
箇	kəʔ	7	这
虼	kəʔ	7	
隔	kəʔ	7	文
格	kəʔ	7	
过	kɤɯ	5	~年
过	kɤɯ	1	~期
裹	kɤɯ	3	
果	kɤɯ	3	
锅	kɤɯ	1	
股	kɤɯ	0	另读，屁~
个	kɤɯ	5	
歌	kɤɯ	1	
哥	kɤɯ	1	
□	kɤɯ	3	打iɪʔ8~：打噎
抲	kʰa	1	硬塞
项	kʰɑŋ	1	白，颈~
囥	kʰɑŋ	5	
扛	kʰɑŋ	2	
糠	kʰɑŋ	1	
壳	kʰɑʔ	7	
敲	kʰɔ	1	白，~背
靠	kʰɔ	5	
烤	kʰɔ	3	
孔	kʰɔŋ	3	
空	kʰɔŋ	1	
空	kʰɔŋ	5	
共	kʰɔŋ	1	
哭	kʰɔʔ	7	
扣	kʰəi	1	
扣	kʰəi	5	
口	kʰəi	3	
硍	kʰəŋ	5	污垢
掯	kʰəŋ	5	按
啃	kʰəŋ	3	
肯	kʰəŋ	3	
客	kʰəʔ	7	
刻	kʰəʔ	8	白
刻	kʰəʔ	7	文
咳	kʰəʔ	7	
隔	kʰəʔ	8	白
咯	kʰəʔ	7	
窠	kʰɤɯ	1	
棵	kʰɤɯ	1	
轧	kʰiæʔ	8	~米
狭	kʰiæʔ	7	促~
掐	kʰiæʔ	7	
甲	kʰiæʔ	7	白，指~
块	kʰʲɛ	5	哪~
揩	kʰʲɛ	1	
开	kʰʲɛ	1	
䬵	kʰʲɛ	2	打饱嗝
隑	kʰʲɛ	5	靠
□	kʰʲɛ	1	tʰəʔ7 ~子：脱臼
鹐	kʰʲɛ̃	1	鸟禽啄食
铅	kʰʲɛ̃	1	
槛	kʰʲɛ̃	3	
环	kʰʲɛ̃	2	
裤	kʰɯ	5	
苦	kʰɯ	3	
瞌	kʰʊ̃	7	
看	kʰʊ̃	1	
看	kʰʊ̃	5	
砍	kʰʊ̃	3	~树
冚	kʰʊ̃	3	罩
堪	kʰʊ̃	1	难~：尴尬
跨	kʰua	5	
侉	kʰua	3	
框	kʰuɑŋ	1	
睏	kʰuəŋ	5	
困	kʰuəŋ	5	
捆	kʰuəŋ	3	
裈	kʰuəŋ	1	~裤
滚	kʰuəŋ	3	存疑，水~了
快	kʰuɛ	5	
块	kʰuɛ	5	
亏	kʰui	1	
癸	kʰui	2	
阔	kʰʊʔ	7	
瞌	kʰʊʔ	7	
磕	kʰʊʔ	7	
甲	kiæʔ	7	白
荚	kiæʔ	7	
夹	kiæʔ	7	
疙	kiæʔ	7	
居	kʲɛ	1	白，拥有
疥	kʲɛ	5	
芥	kʲɛ	5	
戒	kʲɛ	5	
解	kʲɛ	3	白
稭	kʲɛ	1	
街	kʲɛ	1	
秸	kʲɛ	1	
碱	kʲɛ	3	白
赅	kʲɛ	1	
该	kʲɛ	1	
减	kʲɛ̃	3	白，~饭：拨饭
拣	kʲɛ̃	3	
监	kʲɛ̃	1	白，~牢
间	kʲɛ̃	1	白
间	kʲɛ̃	5	白
盖	kʲɛ̃	5	
鼓	kɯ	3	
股	kɯ	3	
箍	kɯ	1	
菇	kɯ	1	
姑	kɯ	1	
咕	kɯ	1	
乾	kʊ̃	5	
罐	kʊ̃	5	
灌	kʊ̃	5	
棺	kʊ̃	1	
冠	kʊ̃	1	
冠	kʊ̃	5	
官	kʊ̃	1	
幹	kʊ̃	5	
干	kʊ̃	1	
擀	kʊ̃	3	
敢	kʊ̃	3	
赶	kʊ̃	3	
杆	kʊ̃	1	
褂	kua	5	
挂	kua	5	
寡	kua	3	
瓜	kua	1	
刮	kuæʔ	7	
逛	kuɑŋ	5	
光	kuɑŋ	1	
郭	kuɑʔ	7	
鸹	kuɑʔ	7	老~：乌鸦
滚	kuəŋ	3	
骨	kuəʔ	7	
怪	kuɛ	5	
拐	kuɛ	3	
乖	kuɛ	1	香~：亲嘴
惯	kuɛ̃	5	
关	kuɛ̃	1	
桂	kui	5	
贵	kui	5	
鬼	kui	3	
龟	kui	1	
颌	kʊʔ	7	~腮：腮帮子
合	kʊʔ	7	
佮	kʊʔ	7	共用、合伙、配合
鸽	kʊʔ	7	
哪	la	3	~个
漓	la	2	拉
拉	la	1	
㫰	lɑŋ	1	晾晒
朗	lɑŋ	3	
螂	lɑŋ	2	
榔	lɑŋ	2	
狼	lɑŋ	2	
郎	lɑŋ	2	
□	lɑŋ	3	稀
笿	lɑʔ	8	~子：篮子
落	lɑʔ	8	
络	lɑʔ	8	
糯	lɔ	1	~米
萝	lɔ	2	另读，~卜
罗	lɔ	2	阎~王
了	lɔ	0	助词
佬	lɔ	3	
老	lɔ	3	
牢	lɔ	2	
捞	lɔ	2	
咯	lɔ	0	助词
弄	lɔŋ	1	白
垄	lɔŋ	3	
笼	lɔŋ	2	
聋	lɔŋ	2	
咙	lɔŋ	2	
龙	lɔŋ	2	
绿	lɔʔ	8	
六	lɔʔ	8	
滤	ləi	1	
铝	ləi	3	
漏	ləi	1	
楼	ləi	2	
瘤	ləi	2	
流	ləi	2	
留	ləi	2	
刘	ləi	2	
溜	ləi	1	
裏	ləi	3	
娌	ləi	1	妯~
里	ləi	0	日~家：白天
篱	ləi	0	笊~
累	ləi	2	~赘
累	ləi	1	
累	ləi	3	
雷	ləi	2	
冷	ləŋ	3	
楞	ləŋ	1	
肋	ləʔ	8	
那	lɤɯ	1	~个
螺	lɤɯ	1	~~：螺蛳
箩	lɤɯ	2	
脶	lɤɯ	2	指纹
萝	lɤɯ	2	
罗	lɤɯ	2	
啰	lɤɯ	1	
䗜	lɤɯ	2	
癞	liæʔ	8	
辣	liæʔ	8	
蜡	liæʔ	8	
腊	liæʔ	8	
邋	liæʔ	8	~遢
量	liɑŋ	1	
量	liɑŋ	2	
亮	liɑŋ	1	
两	liɑŋ	3	
粱	liɑŋ	2	
梁	liɑŋ	2	
凉	liɑŋ	2	
撂	liɔ	1	扔
料	liɔ	5	文
料	liɔ	1	白
了	liɔ	3	
裂	liəʔ	8	
立	liəʔ	8	~秋
链	liɪ̃	1	
脸	liɪ̃	3	
连	liɪ̃	2	
曆	liɪʔ	8	
歴	liɪʔ	8	
粒	liɪʔ	8	
栗	liɪʔ	8	
力	liɪʔ	8	
领	liŋ	3	
龄	liŋ	2	
零	liŋ	2	
菱	liŋ	2	
凌	liŋ	2	
鳞	liŋ	2	
疄	liŋ	2	菜畦
林	liŋ	2	
邻	liŋ	2	
拎	liŋ	2	
癞	lʲɛ	1	
来	lʲɛ	2	
两	lʲɛ̃	3	~个
烂	lʲɛ̃	1	
懒	lʲɛ̃	3	
罱	lʲɛ̃	3	~泥
蓝	lʲɛ̃	2	
拦	lʲɛ̃	2	
乳	lɯ	3	豆腐~
如	lɯ	2	
露	lɯ	1	
路	lɯ	1	
炉	lɯ	2	
芦	lɯ	2	
噜	lɯ	1	
乱	lʊ̃	1	
卵	lʊ̃	3	
漤	lʊ̃	3	把水吸干
捋	lʊʔ	8	
骂	ma	1	
蚂	ma	3	
马	ma	3	
蟆	ma	2	
嫲	ma	3	~~儿：妻子、女人
麻	ma	2	
妈	ma	1	
硭	mɑŋ	2	~子：纸煤
茫	mɑŋ	2	
忙	mɑŋ	2	
芒	mɑŋ	2	
膜	mɑʔ	8	
摸	mɑʔ	8	白
貌	mɔ	1	
毷	mɔ	1	霉菌
帽	mɔ	1	
冒	mɔ	1	
卯	mɔ	3	
茅	mɔ	2	
毛	mɔ	2	
猫	mɔ	2	
梦	mɔŋ	1	
猛	mɔŋ	3	
幪	mɔŋ	3	稠
虻	mɔŋ	2	
目	mɔʔ	8	
木	mɔʔ	8	
