调值	[1]21(阴平阳去   [2]45 阳平   [3]213 上声  [5]44 阴去  [7]4 阴入  [8]45 阳入  [0]0 轻声)		
漺	suɑŋ	3	滴水
爽	suɑŋ	3	
霜	suɑŋ	1	
双	suɑŋ	1	
嗍	suɑʔ	7	
榫	suəŋ	3	存疑
笋	suəŋ	3	存疑
孙	suəŋ	1	
髓	suəŋ	3	
顺	suəŋ	1	
顺	suəŋ	2	整理
甥	suəŋ	1	外~
絮	sui	5	棉~
碎	sui	5	
岁	sui	5	
睡	sui	5	
水	sui	3	
尿	sui	1	
垂	sui	2	
𢶍	sʊʔ	7	搕~：垃圾
说	sʊʔ	7	
她	ta	1	
它	ta	1	
他	ta	1	
大	ta	1	文
大	ta	5	白，~~：伯父
打	ta	3	
挡	tɑŋ	3	
当	tɑŋ	1	
当	tɑŋ	5	
𠹥	tɑʔ	7	闲谈
朵	tɔ	0	耳~，本字为“刀”
倒	tɔ	3	
倒	tɔ	5	
到	tɔ	5	
刀	tɔ	1	
谢	tɕʰia	1	
斜	tɕʰia	2	
详	tɕʰia	2	~意：当、以为
茄	tɕʰia	2	
嚼	tɕʰia	8	
察	tɕʰiæʔ	7	
插	tɕʰiæʔ	7	
擦	tɕʰiæʔ	7	
橡	tɕʰiɑŋ	1	~皮
像	tɕʰiɑŋ	1	
详	tɕʰiɑŋ	2	
抢	tɕʰiɑŋ	3	
蔷	tɕʰiɑŋ	2	
墙	tɕʰiɑŋ	2	
强	tɕʰiɑŋ	2	
强	tɕʰiɑŋ	3	
腔	tɕʰiɑŋ	1	
戗	tɕʰiɑŋ	5	支撑、斜靠
枪	tɕʰiɑŋ	1	
呛	tɕʰiɑŋ	5	
犟	tɕʰiɑŋ	1	白
匠	tɕʰiɑŋ	1	
皵	tɕʰiɑʔ	7	
鹊	tɕʰiɑʔ	7	
撬	tɕʰiɔ	1	
翘	tɕʰiɔ	2	
翘	tɕʰiɔ	5	
瞧	tɕʰiɔ	2	
桥	tɕʰiɔ	2	
缲	tɕʰiɔ	1	~边：将衣裤毛边缝起
敲	tɕʰiɔ	1	文
轿	tɕʰiɔ	1	
浇	tɕʰiɔ	1	
穷	tɕʰiɔŋ	2	
漆	tɕʰiəʔ	7	
喫	tɕʰiəʔ	7	
在	tɕʰiɛ	1	
柴	tɕʰiɛ	2	
差	tɕʰiɛ	1	~事
蔡	tɕʰiɛ	5	
睬	tɕʰiɛ	3	
裁	tɕʰiɛ	2	
材	tɕʰiɛ	2	
才	tɕʰiɛ	2	
猜	tɕʰiɛ	1	
铲	tɕʰiɛ̃	3	
产	tɕʰiɛ̃	3	
搀	tɕʰiɛ̃	1	
菜	tɕʰiɛ̃	5	
袖	tɕʰiɤɯ	1	衣~
搝	tɕʰiɤɯ	3	捉弄
球	tɕʰiɤɯ	2	
鳅	tɕʰiɤɯ	1	
秋	tɕʰiɤɯ	1	
舅	tɕʰiɤɯ	1	
就	tɕʰiɤɯ	1	
旧	tɕʰiɤɯ	1	
臭	tɕʰiɤɯ	5	
醜	tɕʰiɤɯ	3	
丑	tɕʰiɤɯ	3	
䌷	tɕʰiɤɯ	2	吸
抽	tɕʰiɤɯ	1	
旋	tɕʰiɪ̃	1	白，~儿：头旋；~风
纤	tɕʰiɪ̃	1	
纤	tɕʰiɪ̃	5	背~
欠	tɕʰiɪ̃	5	
浅	tɕʰiɪ̃	3	
乾	tɕʰiɪ̃	2	
钳	tɕʰiɪ̃	2	
钱	tɕʰiɪ̃	2	
前	tɕʰiɪ̃	2	
牵	tɕʰiɪ̃	1	
千	tɕʰiɪ̃	1	
侄	tɕʰiɪʔ	8	
席	tɕʰiɪʔ	8	~子
切	tɕʰiɪʔ	7	
集	tɕʰiɪʔ	8	
裙	tɕʰyəŋ	2	
踩	tɕʰyɛ	3	
劝	tɕʰyʊ̃	5	
颧	tɕʰyʊ̃	2	
拳	tɕʰyʊ̃	2	
缺	tɕʰyʊʔ	7	
绝	tɕʰyʊʔ	8	
借	tɕia	5	
姐	tɕia	3	
蠽	tɕia	3	~蝼：知了
嫁	tɕia	5	文
架	tɕia	5	文
价	tɕia	5	
假	tɕia	3	
傢	tɕia	1	文
家	tɕia	1	文
加	tɕia	1	文
杂	tɕiæʔ	7	
甲	tɕiæʔ	7	
糨	tɕiɑŋ	5	~子：将旧、碎布用薄浆糊糊几层，晒干后的成品，做布鞋用
犟	tɕiɑŋ	5	文
酱	tɕiɑŋ	5	
降	tɕiɑŋ	5	文
桨	tɕiɑŋ	3	
讲	tɕiɑŋ	3	文
礓	tɕiɑŋ	1	~踏子：台阶
姜	tɕiɑŋ	1	
将	tɕiɑŋ	5	
扎	tɕiɑʔ	7	
雀	tɕiɑʔ	7	
觉	tɕiɑʔ	7	文
脚	tɕiɑʔ	7	
觉	tɕiɔ	5	文
教	tɕiɔ	1	文
教	tɕiɔ	5	文
叫	tɕiɔ	5	
𢄺	tɕiɔ	3	~布：抹布
搅	tɕiɔ	3	文
焦	tɕiɔ	1	
椒	tɕiɔ	1	
浇	tɕiɔ	1	
□	tɕiɔ	0	人称复数
䗇	tɕiɔʔ	7	蚂~子：蚂蟥
菊	tɕiɔʔ	7	
即	tɕiəʔ	7	
债	tɕiɛ	5	
再	tɕiɛ	5	
栽	tɕiɛ	1	
解	tɕiɛ	3	文
碱	tɕiɛ	3	文
劗	tɕiɛ̃	1	剁
站	tɕiɛ̃	5	
减	tɕiɛ̃	3	文
监	tɕiɛ̃	1	文
间	tɕiɛ̃	1	文
间	tɕiɛ̃	5	文
奸	tɕiɛ̃	1	
㾭	tɕiɤɯ	5	~筋
皱	tɕiɤɯ	5	~眉毛
酒	tɕiɤɯ	3	
韭	tɕiɤɯ	3	
九	tɕiɤɯ	3	
阄	tɕiɤɯ	1	
□	tɕiɤɯ	5	夹~：腋下
战	tɕiɪ̃	5	
搌	tɕiɪ̃	3	
箭	tɕiɪ̃	5	
溅	tɕiɪ̃	5	
毽	tɕiɪ̃	5	
见	tɕiɪ̃	5	
剪	tɕiɪ̃	3	
茧	tɕiɪ̃	3	
煎	tɕiɪ̃	1	
搛	tɕiɪ̃	1	~菜
肩	tɕiɪ̃	1	
尖	tɕiɪ̃	1	
褶	tɕiɪʔ	7	
折	tɕiɪʔ	7	
结	tɕiɪʔ	7	
节	tɕiɪʔ	7	
接	tɕiɪʔ	7	
脊	tɕiɪʔ	7	
冻	tɔŋ	5	
懂	tɔŋ	3	
冬	tɔŋ	1	
东	tɔŋ	1	
蹫	tɕyəʔ	7	液体溅起
橘	tɕyəʔ	7	
赚	tɕyɛ̃	5	
跧	tɕyɛ̃	1	~腰：弯腰
眷	tɕyʊ̃	5	
卷	tɕyʊ̃	3	
撧	tɕyʊʔ	7	折断
笃	tɔʔ	7	
碓	təi	3	舂~:石臼
对	təi	2	
堆	təi	1	
斗	təi	3	
斗	təi	5	
的	təi	0	
地	təi	0	助词
掷	təŋ	1	
顿	təŋ	5	
蹲	təŋ	1	文
凳	təŋ	5	
等	təŋ	3	
灯	təŋ	1	
𪐏	təʔ	7	粘
𨁽	təʔ	7	~脚：跺脚
得	təʔ	7	
躲	tɤɯ	3	
朵	tɤɯ	3	
多	tɤɯ	1	
趟	tʰɑŋ	5	
烫	tʰɑŋ	5	
躺	tʰɑŋ	3	
糖	tʰɑŋ	2	
塘	tʰɑŋ	2	
堂	tʰɑŋ	2	
汤	tʰɑŋ	1	
沰	tʰɑʔ	7	淋雨
托	tʰɑʔ	7	
凙	tʰɑʔ	8	凌~：冰锥
套	tʰɔ	5	
讨	tʰɔ	3	
淘	tʰɔ	2	
萄	tʰɔ	2	
桃	tʰɔ	2	
掏	tʰɔ	1	
掉	tʰɔ	0	坏~
稻	tʰɔ	1	
道	tʰɔ	1	
盗	tʰɔ	1	
蘣	tʰɔŋ	5	可爱、俊美
筒	tʰɔŋ	3	
捅	tʰɔŋ	3	
统	tʰɔŋ	3	
铜	tʰɔŋ	2	
茼	tʰɔŋ	2	
同	tʰɔŋ	2	
通	tʰɔŋ	1	
洞	tʰɔŋ	1	
动	tʰɔŋ	1	
幢	tʰɔŋ	1	
秃	tʰɔʔ	7	
读	tʰɔʔ	8	
毒	tʰɔʔ	8	
褪	tʰəi	5	~色
退	tʰəi	5	
腿	tʰəi	3	
推	tʰəi	1	
透	tʰəi	5	沸腾
头	tʰəi	2	
偷	tʰəi	1	
特	tʰəi	2	~为
豆	tʰəi	1	
吞	tʰəŋ	1	
藤	tʰəŋ	2	
疼	tʰəŋ	2	
钝	tʰəŋ	1	
凸	tʰəʔ	7	
特	tʰəʔ	8	
□	tʰəʔ	8	掉；丢
妥	tʰɤɯ	3	
驼	tʰɤɯ	2	
驮	tʰɤɯ	2	背
拖	tʰɤɯ	1	
蜕	tʰɤɯ	5	~皮
大	tʰɤɯ	1	白，~家：正妻
屉	tʰiæʔ	7	
踏	tʰiæʔ	7	
搨	tʰiæʔ	7	
塔	tʰiæʔ	7	
遢	tʰiæʔ	8	邋~
塌	tʰiæʔ	8	
銚	tʰiɔ	1	~子：水壶
跳	tʰiɔ	5	
笤	tʰiɔ	2	
条	tʰiɔ	2	
挑	tʰiɔ	1	
挑	tʰiɔ	3	
掉	tʰiɔ	1	
舔	tʰiɪ̃	3	
填	tʰiɪ̃	2	
甜	tʰiɪ̃	2	
田	tʰiɪ̃	2	
添	tʰiɪ̃	1	
天	tʰiɪ̃	1	
垫	tʰiɪ̃	1	
铁	tʰiɪʔ	7	
铁	tʰiɪʔ	7	
贴	tʰiɪʔ	7	
踢	tʰiɪʔ	7	
蝶	tʰiɪʔ	8	
叠	tʰiɪʔ	8	白
听	tʰiŋ	5	
听	tʰiŋ	1	
厅	tʰiŋ	1	
定	tʰiŋ	1	白
太	tʰʲɛ	5	
苔	tʰʲɛ	1	青~
抬	tʰʲɛ	2	
台	tʰʲɛ	2	
胎	tʰʲɛ	1	
袋	tʰʲɛ	1	
代	tʰʲɛ	1	
汏	tʰʲɛ	1	漂洗
大	tʰʲɛ	1	白，~家、~斧
大	tʰʲɛ	3	白，大
𨂞	tʰʲɛ̃	5	下滑
碳	tʰʲɛ̃	5	
炭	tʰʲɛ̃	5	
毯	tʰʲɛ̃	3	
袒	tʰʲɛ̃	3	秤不足
痰	tʰʲɛ̃	2	
瘫	tʰʲɛ̃	1	
摊	tʰʲɛ̃	1	
坍	tʰʲɛ̃	1	
坍	tʰʲɛ̃	5	~下来了
蛋	tʰʲɛ̃	1	
弹	tʰʲɛ̃	2	
弹	tʰʲɛ̃	1	
淡	tʰʲɛ̃	1	
但	tʰʲɛ̃	1	白，~要：偏要
担	tʰʲɛ̃	0	白，扁~
兔	tʰɯ	5	
吐	tʰɯ	3	
吐	tʰɯ	5	
涂	tʰɯ	2	
徒	tʰɯ	2	
肚	tʰɯ	1	~子：馅心
杜	tʰɯ	1	
探	tʰʊ̃	5	脱下
罈	tʰʊ̃	2	
坛	tʰʊ̃	2	
断	tʰʊ̃	1	
段	tʰʊ̃	1	
脱	tʰʊʔ	7	
爹	tia	1	
瘩	tiæʔ	7	
答	tiæʔ	7	
搭	tiæʔ	7	
吊	tiɔ	5	
弔	tiɔ	5	
屌	tiɔ	3	
叼	tiɔ	1	
店	tiɪ̃	5	
电	tiɪ̃	5	
踮	tiɪ̃	5	
点	tiɪ̃	3	
摘	tiɪʔ	7	
叠	tiɪʔ	7	文
跌	tiɪʔ	7	
扚	tiɪʔ	7	摘
的	tiɪʔ	7	目~
定	tiŋ	5	文
顶	tiŋ	3	
钉	tiŋ	5	打
钉	tiŋ	1	~子
丁	tiŋ	1	
瓞	tiŋ	5	瓜格~：瓜蒂
澄	tiŋ	5	沉淀
□	tiŋ	1	粘
戴	tʲɛ	5	
带	tʲɛ	5	
歹	tʲɛ	3	
呆	tʲɛ	1	傻；~~：常常
但	tʲɛ̃	5	文
胆	tʲɛ̃	3	
担	tʲɛ̃	1	
担	tʲɛ̃	5	
肚	tɯ	3	~子：腹部
赌	tɯ	3	
榨	tʂa	5	
炸	tʂa	5	
砟	tʂa	3	
渣	tʂa	1	
车	tʂa	1	
差	tʂa	1	~不多
胀	tʂɑŋ	5	
账	tʂɑŋ	5	
帐	tʂɑŋ	5	
仗	tʂɑŋ	5	文
涨	tʂɑŋ	3	
长	tʂɑŋ	3	
蟑	tʂɑŋ	1	
樟	tʂɑŋ	1	
章	tʂɑŋ	1	
张	tʂɑŋ	1	
怎	tʂɑŋ	3	~啊
奘	tʂɑŋ	5	
尚	tʂɑŋ	0	和~
苍	tʂɑŋ	1	
作	tʂɑʔ	7	
着	tʂɑʔ	7	文
罩	tʂɔ	5	
照	tʂɔ	5	
笊	tʂɔ	5	~篱
找	tʂɔ	3	
招	tʂɔ	1	
躁	tʂɔ	5	
灶	tʂɔ	5	
澡	tʂɔ	3	
枣	tʂɔ	3	
早	tʂɔ	3	
朝	tʂɔ	1	
粽	tʂɔŋ	5	
总	tʂɔŋ	3	
种	tʂɔŋ	3	
种	tʂɔŋ	5	
肿	tʂɔŋ	3	
肿	tʂɔŋ	3	
钟	tʂɔŋ	1	
终	tʂɔŋ	1	
忠	tʂɔŋ	1	
中	tʂɔŋ	1	
𥅻	tʂɔŋ	5	瞌~：瞌睡
竹	tʂɔʔ	7	
粥	tʂɔʔ	7	
走	tsəi	3	存疑
整	tʂəŋ	3	
揁	tʂəŋ	1	装
睁	tʂəŋ	1	
争	tʂəŋ	1	
枕	tʂəŋ	3	
砧	tʂəŋ	1	
真	tʂəŋ	1	
针	tʂəŋ	1	
絾	tʂəŋ	2	缝
曾	tʂəŋ	1	
鲫	tsəʔ	7	
窒	tʂəʔ	7	
只	tʂəʔ	7	
织	tʂəʔ	7	
汁	tʂəʔ	7	
摘	tʂəʔ	7	
迮	tʂəʔ	7	塞
赤	tʂəʔ	7	
尺	tʂəʔ	7	
拆	tʂəʔ	7	
做	tʂɤɯ	5	
左	tʂɤɯ	3	
走	tʂɤɯ	3	
搽	tʂʰa	2	
茶	tʂʰa	2	
茬	tʂʰa	2	
䞗	tʂʰa	1	升起
嶂	tʂʰɑŋ	5	篱笆~：篱笆
仗	tʂʰɑŋ	1	白
丈	tʂʰɑŋ	1	
长	tʂʰɑŋ	2	
唱	tʂʰɑŋ	5	
场	tʂʰɑŋ	2	
肠	tʂʰɑŋ	2	
斫	tʂʰɑʔ	7	
着	tʂʰɑʔ	8	白，~火
凿	tʂʰɑʔ	8	
妯	tʂʰɔ	8	~娌
赵	tʂʰɔ	1	
召	tʂʰɔ	1	大喊大叫
蚤	tʂʰɔ	3	
炒	tʂʰɔ	3	
潮	tʂʰɔ	2	
嘲	tʂʰɔ	2	
朝	tʂʰɔ	2	
抄	tʂʰɔ	1	
抄	tʂʰɔ	5	
草	tʂʰɔ	3	
槽	tʂʰɔ	2	
嘈	tʂʰɔ	2	
重	tʂʰɔŋ	2	
重	tʂʰɔŋ	1	
从	tʂʰɔŋ	2	
聪	tʂʰɔŋ	1	
葱	tʂʰɔŋ	1	
铳	tʂʰɔŋ	5	
虫	tʂʰɔŋ	2	
冲	tʂʰɔŋ	1	
烛	tʂʰɔʔ	7	
促	tʂʰɔʔ	7	
畜	tʂʰɔʔ	7	
郑	tʂʰəŋ	1	
正	tʂʰəŋ	1	
正	tʂʰəŋ	5	
阵	tʂʰəŋ	1	
盛	tʂʰəŋ	2	
蹲	tʂʰəŋ	2	白
𨀛	tʂʰəŋ	2	蹲
秤	tʂʰəŋ	5	
澄	tʂʰəŋ	2	
程	tʂʰəŋ	2	
乘	tʂʰəŋ	2	
撑	tʂʰəŋ	1	
称	tʂʰəŋ	1	
称	tʂʰəŋ	5	
趁	tʂʰəŋ	5	
陈	tʂʰəŋ	2	
沉	tʂʰəŋ	2	
辰	tʂʰəŋ	2	文
曾	tʂʰəŋ	2	
曾	tʂʰəŋ	1	不曾，通过变调表示否定
层	tʂʰəŋ	2	
七	tsʰəʔ	7	
喫	tsʰəʔ	7	
昨	tʂʰəʔ	7	
值	tʂʰəʔ	7	
直	tʂʰəʔ	7	
宅	tʂʰəʔ	8	
贼	tʂʰəʔ	8	
择	tʂʰəʔ	8	
坐	tʂʰɤɯ	1	
住	tʂʰɤɯ	1	
错	tʂʰɤɯ	5	
穗	tsʰʮ	1	存疑，~子
去	tsʰʮ	5	
渠	tsʰʮ	3	~道
寻	tsʰiŋ	2	
清	tsʰiŋ	1	
轻	tsʰiŋ	1	
青	tsʰiŋ	1	
勤	tsʰiŋ	2	
琴	tsʰiŋ	2	
芹	tsʰiŋ	2	
亲	tsʰiŋ	1	
亲	tsʰiŋ	5	~家
静	tsʰiŋ	1	
近	tsʰiŋ	1	
尽	tsʰiŋ	1	
箸	tʂʰɯ	1	~笼：筷笼
暑	tʂʰɯ	3	
醋	tʂʰɯ	5	
橱	tʂʰɯ	2	
初	tʂʰɯ	1	
滞	tʂʰʅ	5	白，剩
嚏	tsʰɿ	5	
替	tsʰɿ	5	
剃	tsʰɿ	5	
梯	tsʰɿ	1	
气	tsʰɿ	5	
起	tsʰɿ	3	
旗	tsʰɿ	2	
棋	tsʰɿ	2	
骑	tsʰɿ	2	
脐	tsʰɿ	2	
奇	tsʰɿ	2	
齐	tsʰɿ	2	
欺	tsʰɿ	1	
妻	tsʰɿ	1	
洎	tsʰɿ	1	来不~：来不及
技	tsʰɿ	1	
第	tsʰɿ	1	
弟	tsʰɿ	1	
地	tsʰɿ	1	
□	tsʰɿ	1	~爽：清楚
字	tʂʰʅ	1	
自	tʂʰʅ	1	
紫	tʂʰʅ	3	
治	tʂʰʅ	1	白
治	tʂʰʅ	2	~鱼
纸	tʂʰʅ	3	
只	tʂʰʅ	3	~有
蛰	tʂʰʅ	0	惊~
匙	tʂʰʅ	2	~子
匙	tʂʰʅ	1	钥~
刺	tʂʰʅ	5	
差	tʂʰʅ	1	参~
□	tʂʰʅ	1	不正：~巴眼
传	tʂʰʊ̃	2	
穿	tʂʰʊ̃	1	
蚕	tʂʰʊ̃	2	
撞	tʂʰuɑŋ	1	
桩	tʂʰuɑŋ	1	
庄	tʂʰuɑŋ	1	
床	tʂʰuɑŋ	1	
窗	tʂʰuɑŋ	1	
疮	tʂʰuɑŋ	1	
春	tʂʰuəŋ	1	
出	tʂʰuəʔ	7	
罪	tʂʰui	1	
徐	tʂʰui	2	
穗	tʂʰui	1	
娶	tʂʰui	3	
蛆	tʂʰui	1	
脆	tʂʰui	5	
催	tʂʰui	1	
锤	tʂʰui	2	
捶	tʂʰui	2	
吹	tʂʰui	1	
锯	tsʮ	5	
举	tsʮ	3	
居	tsʮ	1	文
镜	tsiŋ	5	
颈	tsiŋ	3	
井	tsiŋ	3	
精	tsiŋ	1	
睛	tsiŋ	1	
惊	tsiŋ	1	
经	tsiŋ	1	
劲	tsiŋ	5	
紧	tsiŋ	3	
尽	tsiŋ	3	
襟	tsiŋ	1	
筋	tsiŋ	1	
金	tsiŋ	1	
今	tsiŋ	1	文
斤	tsiŋ	1	
巾	tsiŋ	1	
阻	tʂɯ	3	
租	tʂɯ	1	
𣥼	tʂɯ	5	置物于器
煮	tʂɯ	3	
猪	tʂɯ	1	
珠	tʂɯ	1	
朱	tʂɯ	1	
鼠	tʂɯ	3	
滞	tʂʅ	5	文
繫	tsɿ	5	~带子
穄	tsɿ	1	芦~
寄	tsɿ	5	
济	tsɿ	5	
荠	tsɿ	1	荸~
纪	tsɿ	5	
纪	tsɿ	3	
记	tsɿ	5	
计	tsɿ	5	
挤	tsɿ	3	
虮	tsɿ	3	蚂~：蚂蟥
己	tsɿ	3	
几	tsɿ	1	
几	tsɿ	3	~个
稽	tsɿ	1	
箕	tsɿ	1	粪~
鸡	tsɿ	1	
机	tsɿ	1	
底	tsɿ	3	
嘀	tsɿ	1	
□	tsɿ	1	讹人、敲竹杠
籽	tʂʅ	3	
子	tʂʅ	3	
痣	tʂʅ	5	
治	tʂʅ	5	
至	tʂʅ	5	
指	tʂʅ	3	
止	tʂʅ	3	
芝	tʂʅ	1	
翅	tʂʅ	5	
转	tʂʊ̃	3	
转	tʂʊ̃	5	
砖	tʂʊ̃	1	
串	tʂʊ̃	5	
喘	tʂʊ̃	3	
椽	tʂʊ̃	2	
船	tʂʊ̃	2	
传	tʂʊ̃	5	
抓	tʂua	1	
爪	tʂua	3	
奘	tʂuɑŋ	3	粗大
捉	tʂuɑʔ	7	
戳	tʂuɑʔ	7	
胗	tʂuəŋ	1	
醉	tʂui	5	
最	tʂui	5	
嘴	tʂui	3	
赘	tʂui	5	
锥	tʂui	1	
短	tʊ̃	3	
端	tʊ̃	1	
端	tʊ̃	1	
㴷	tʊ̃	1	蘸
掇	tʊʔ	7	
碗	ʊ̃	3	
丸	ʊ̃	2	
豌	ʊ̃	1	
暗	ʊ̃	5	
岸	ʊ̃	1	
揞	ʊ̃	3	以手覆盖
安	ʊ̃	1	
瓦	ua	3	
画	ua	1	白
凹	ua	5	
忘	uɑŋ	5	
网	uɑŋ	3	
王	uɑŋ	2	
汪	uɑŋ	1	
晃	uɑŋ	5	白
黄	uɑŋ	2	白
握	uɑʔ	7	
嗀	uɑʔ	7	呕吐
搕	ʊʔ	7	~𢶍：垃圾
活	ʊʔ	8	白
𤎣	ʊʔ	7	煮
划	va	2	白
猬	vəi	5	
味	vəi	1	
味	vəi	5	
未	vəi	5	
为	vəi	1	
卫	vəi	1	
尾	vəi	3	
薇	vəi	2	
微	vəi	2	
问	vəŋ	1	
稳	vəŋ	3	
蚊	vəŋ	2	
闻	vəŋ	2	
温	vəŋ	1	文
袜	viæʔ	8	
挖	viæʔ	7	
滑	viæʔ	8	白
外	vʲɛ	1	
万	vʲɛ̃	1	
晚	vʲɛ̃	3	
弯	vʲɛ̃	1	
外	vʲɛ̃	1	另读，~后朝：大后天
雾	vɯ	5	起~
焐	vɯ	5	
戊	vɯ	1	
午	vɯ	3	
五	vɯ	3	
吴	vɯ	2	
乌	vɯ	1	
乌	vɯ	1	
瓠	vɯ	1	
胡	vɯ	2	白，~萝卜
恶	vɯ	5	~嫌
下	xa	1	白
下	xa	2	一~子
颬	xa	1	~气：呵气
还	xa	2	~在
蛤	xa	2	
哈	xa	1	
行	xɑŋ	2	
巷	xɑŋ	1	
项	xɑŋ	1	白
学	xɑʔ	8	白，~生
蠚	xɑʔ	7	紧靠
好	xɔ	3	
薅	xɔ	1	~草：锄草
蒿	xɔ	1	油质食品变质
虹	xɔŋ	2	
红	xɔŋ	2	
烘	xɔŋ	1	
烘	xɔŋ	1	
候	xəi	1	
後	xəi	5	
厚	xəi	1	
后	xəi	5	
猴	xəi	2	
喉	xəi	2	
齁	xəi	1	
齁	xəi	1	气喘
𨂸	xəi	2	争吵
横	xəŋ	5	文
横	xəŋ	2	文
吓	xəʔ	7	
黑	xəʔ	7	
核	xəʔ	8	
和	xɤ	2	另读，和~
伙	xɤɯ	3	
火	xɤɯ	3	
欢	xɤɯ	1	~喜
烀	xɤɯ	1	蒸
荷	xɤɯ	2	
河	xɤɯ	2	
和	xɤɯ	2	连词；掺（水）
和	xɤɯ	5	附~
和	xɤɯ	0	暖~
何	xɤɯ	2	
呵	xɤɯ	1	
䗙	xɤɯ	2	~䘆：蚯蚓
狭	xiæʔ	8	
匣	xiæʔ	8	
瞎	xiæʔ	7	
笑	xiɔ	5	
许	xʲɛ	3	白，地方、处所
蟹	xʲɛ	3	
鞋	xʲɛ	2	
苋	xʲɛ	1	
衔	xʲɛ	2	
亥	xʲɛ	1	
海	xʲɛ	3	
咸	xʲɛ̃	2	
喊	xʲɛ̃	3	
换	xʊ̃	1	
欢	xʊ̃	1	
旱	xʊ̃	1	
汗	xʊ̃	1	
寒	xʊ̃	2	
含	xʊ̃	2	
话	xua	1	
画	xua	1	文
划	xua	2	文
花	xua	1	
滑	xuæʔ	8	文
谎	xuɑŋ	3	
晃	xuɑŋ	5	文
惶	xuɑŋ	2	
黄	xuɑŋ	2	文
霍	xuɑʔ	7	
霍	xuɑʔ	8	~闪
攉	xuɑʔ	7	用巴掌打
劐	xuɑʔ	7	裂开
浑	xuəŋ	2	
婚	xuəŋ	2	
荤	xuəŋ	1	
昏	xuəŋ	1	
㩓	xuɛ	3	甩手；大口吃
坏	xuɛ	1	
还	xuɛ̃	2	
惠	xui	1	
会	xui	1	白
会	xui	5	文
悔	xui	3	
蛔	xui	2	
回	xui	2	
灰	xui	1	
活	xʊʔ	8	文
豁	xʊʔ	7	~子：兔唇
合	xʊʔ	8	
旺	yɑŋ	5	存疑，火旺
熨	yəŋ	5	
匀	yəŋ	2	
云	yəŋ	2	
愿	yʊ̃	1	
远	yʊ̃	3	
圆	yʊ̃	2	
园	yʊ̃	2	
越	yʊʔ	8	
月	yʊʔ	8	
惹	ʐa	3	
让	ʐɑŋ	1	
瓤	ʐɑŋ	2	
绕	ʐɔ	1	
绒	ʐɔŋ	2	
肉	ʐɔʔ	8	
闰	ʐəŋ	1	~月
韧	ʐəŋ	1	
认	ʐəŋ	1	
忍	ʐəŋ	3	
仁	ʐəŋ	2	
壬	ʐəŋ	2	
人	ʐəŋ	2	
入	ʐəʔ	8	
软	ʐʊ̃	3	
