字	音	注
巴	pa[1]	
疤	pa[1]	
芭	pa[1]	
笆	pa[1]	
拔	pa[9]	
琶	pa[9]	
爬	pa[2]	
扒	pa[2]	
耙	pa[2]	
叭	pa[2]	
把	pa[3]	
靶	pa[3]	
霸	pa[5]	
灞	pa[5]	
白	pa[6]	
爸	pa[6]	
柏	pa[7]	
陌	pa[7]	
百	pa[7]	
扒	pʰa[1]	～饭
葩	pʰa[1]	
怕	pʰa[5]	
帕	pʰa[5]	
脬	pʰa[5]	阴囊
□	pʰa[6]	物丢了
拍	pʰa[7]	打～子
蟆	ma[9]	蛤～
嫲	ma[9]	妻
麻	ma[9]	～姑
妈	ma[2]	
马	ma[3]	
码	ma[3]	
麦	ma[5]	
𢫦	ma[5]	打
爹	ta[1]	白读
茶	ta[2]	
打	ta[3]	一～铅笔
踏	ta[6]	
答	ta[7]	
搭	ta[7]	
鞑	ta[7]	
妲	ta[7]	
䋎	ta[7]	缝联
他	tʰa[1]	
她	tʰa[1]	
它	tʰa[1]	
遢	tʰa[5]	
差	tʰa[5]	
塔	tʰa[7]	
塌	tʰa[7]	
榻	tʰa[7]	
贴	tʰa[7]	～鱼煎鱼
□	na[2]	拇指中指叉开量物
□	na[2]	<尸妥>
拿	na[5]	
呐	na[5]	
钠	na[5]	
纳	na[5]	
那	na[7]	
哪	na[7]	
喇	la[9]	
拉	la[2]	
蜡	la[5]	
腊	la[5]	
猎	la[5]	
煠	la[5]	食物放在滚汤里烫熟
瘌	la[7]	
辣	la[7]	
家	ka[1]	
傢	ka[1]	
加	ka[1]	
枷	ka[1]	
豭	ka[1]	公牲
嘉	ka[1]	
佳	ka[1]	
假	ka[9]	
峡	ka[9]	
袈	ka[9]	
贾	ka[9]	
嘎	ka[2]	
假	ka[5]	暑～
嫁	ka[5]	
贾	ka[5]	文读
稼	ka[5]	
架	ka[5]	
驾	ka[5]	
甲	ka[7]	
夹	ka[7]	挑柴用的竹器，～子
觉	ka[7]	
隔	ka[7]	
胛	ka[7]	
卡	kʰa[9]	
掐	kʰa[6]	
客	kʰa[7]	
喀	kʰa[7]	
卡	kʰa[7]	文读，～片
迓	ŋa[1]	
岳	ŋa[9]	～帝
衙	ŋa[2]	
牙	ŋa[2]	
芽	ŋa[2]	
蚜	ŋa[2]	
雅	ŋa[3]	
岳	ŋa[5]	文读，岳父
乐	ŋa[5]	音乐
砑	ŋa[6]	
迓	ŋa[7]	文读
哈	xa[1]	
□	xa[1]	<酉合>，太咸或变味，～人
夏	xa[9]	
厦	xa[9]	
蛤	xa[9]	～蟆
下	xa[9]	白读，减少了
霞	xa[2]	
遐	xa[2]	
虾	xa[2]	
下	xa[5]	休妻、～老婆
下	xa[6]	
学	xa[6]	～宫
学	xa[7]	
盒	xa[7]	
狭	xa[7]	
侠	xa[7]	
挟	xa[7]	
匣	xa[7]	
査	tsa[1]	
渣	tsa[1]	
炸	tsa[5]	
做	tsa[5]	
榨	tsa[5]	
诈	tsa[5]	
铡	tsa[5]	
闸	tsa[5]	
昨	tsa[5]	
扎	tsa[7]	
札	tsa[7]	
眨	tsa[7]	
轧	tsa[7]	
差	tsʰa[1]	
叉	tsʰa[1]	
岔	tsʰa[1]	
□	tsʰa[9]	用五指抓东西
蜇	tsʰa[5]	训读海蜇皮
册	tsʰa[7]	
插	tsʰa[7]	
沙	sa[1]	
裟	sa[1]	
痧	sa[1]	
□	sa[1]	瓜熟过了
傻	sa[9]	
撒	sa[9]	～赖
霎	sa[7]	
撒	sa[7]	白读
萨	sa[7]	
飒	sa[7]	
鸦	∅a[1]	
啊	∅a[2]	
阿	∅a[2]	
哑	∅a[3]	
亚	∅a[5]	
轭	∅a[7]	
押	∅a[7]	
压	∅a[7]	
□	pai[1]	竹片，篾～
排	pai[9]	
牌	pai[9]	白读，纸～
排	pai[9]	
牌	pai[2]	招～
摆	pai[2]	
拜	pai[5]	
湃	pai[5]	
败	pai[5]	
罢	pai[6]	
八	pai[7]	
捌	pai[7]	
□	pʰai[1]	～花
摆	pʰai[3]	文读，～手
派	pʰai[5]	
稗	pʰai[6]	
埋	mai[9]	
霾	mai[9]	
买	mai[3]	
𣍐	mai[5]	
卖	mai[6]	
迈	mai[6]	
歹	tai[1]	
台	tai[9]	
抬	tai[9]	
呆	tai[2]	
蹄	tai[2]	
抵	tai[3]	遮挡
底	tai[3]	
贷	tai[5]	
代	tai[5]	
怠	tai[5]	
殆	tai[5]	
碟	tai[6]	
逐	tai[6]	跟也，～我去
逮	tai[7]	
苔	tʰai[1]	
胎	tʰai[1]	
颱	tʰai[1]	
替	tʰai[5]	
□	tʰai[6]	叠上去
贴	tʰai[7]	
泥	nai[2]	
□	nai[2]	打也，～一拳头
奶	nai[3]	
乃	nai[3]	
氖	nai[3]	
纳	nai[5]	白读
衲	nai[5]	
奈	nai[6]	
耐	nai[6]	
鼐	nai[6]	
凹	nai[7]	
来	lai[9]	
梨	lai[2]	
□	lai[5]	诅咒
赖	lai[6]	
狧	lai[7]	用舌头舔
鸡	kai[1]	
街	kai[1]	
皆	kai[1]	
阶	kai[1]	
该	kai[1]	
鲯	kai[9]	
□	kai[2]	鹅叫声
解	kai[3]	
界	kai[5]	
介	kai[5]	
疥	kai[5]	
盖	kai[5]	
诫	kai[5]	
戒	kai[5]	
丐	kai[5]	
尬	kai[5]	
解	kai[5]	起～
届	kai[5]	
芥	kai[5]	
繫	kai[5]	
概	kai[5]	
割	kai[7]	鑢～子，镰刀
溪	kʰai[1]	
凯	kʰai[3]	
楷	kʰai[3]	
恺	kʰai[3]	
揩	kʰai[3]	
概	kʰai[5]	
慨	kʰai[5]	
溉	kʰai[5]	
给	kʰai[7]	
□	ŋai[1]	倔犟固执
颜	ŋai[9]	
涯	ŋai[9]	
捱	ŋai[9]	
呆	ŋai[9]	～板
崖	ŋai[9]	
倪	ŋai[2]	
艾	ŋai[6]	姓
碍	ŋai[6]	
□	xai[1]	很贵，真～
鞋	xai[9]	
孩	xai[9]	
骸	xai[9]	
谐	xai[9]	
唉	xai[5]	
蟹	xai[6]	
械	xai[6]	
懈	xai[6]	
瞎	xai[7]	
斋	tsai[1]	
寨	tsai[9]	
砦	tsai[9]	
豺	tsai[9]	
□	tsai[9]	<禾齐>，多
杂	tsai[5]	
在	tsai[5]	
债	tsai[5]	
截	tsai[6]	
节	tsai[7]	冬～
钗	tsʰai[1]	
差	tsʰai[1]	
才	tsʰai[9]	～来
猜	tsʰai[3]	
□	tsʰai[5]	<米齐>，米～米碎
□	tsʰai[7]	～力，用力
西	sai[1]	
筛	sai[1]	
洗	sai[3]	
赛	sai[5]	
细	sai[5]	
晒	sai[5]	
洒	sai[5]	
塞	sai[7]	
挨	∅ai[1]	
埃	∅ai[1]	
矮	∅ai[3]	
隘	∅ai[5]	
唉	∅ai[5]	
䰲	∅ai[7]	
包	pau[1]	
胞	pau[1]	
苞	pau[1]	
褒	pau[1]	
雹	pau[1]	
袍	pau[9]	
煲	pau[9]	
饱	pau[3]	
鲍	pau[5]	
爆	pau[5]	
暴	pau[5]	
豹	pau[5]	
瀑	pau[5]	
跑	pʰau[1]	
抛	pʰau[1]	文读，让的意思
炮	pʰau[5]	
泡	pʰau[5]	
抱	pʰau[6]	
抛	pʰau[6]	
耄	mau[1]	
矛	mau[9]	
茅	mau[9]	
蟊	mau[9]	
眊	mau[9]	近视
卯	mau[5]	
铆	mau[5]	
昂	mau[5]	
冒	mau[6]	
瑁	mau[6]	
貌	mau[6]	
祷	tau[9]	
逃	tau[9]	
涛	tau[9]	
淘	tau[9]	
掏	tau[9]	
捣	tau[3]	
道	tau[5]	
盗	tau[5]	
叨	tau[6]	
滔	tʰau[1]	
稻	tʰau[6]	
导	tʰau[6]	
蹈	tʰau[6]	
孬	nau[2]	
懦	nau[2]	呆笨
恼	nau[3]	
脑	nau[3]	
闹	nau[6]	
劳	lau[9]	
痨	lau[9]	
牢	lau[9]	～固
捞	lau[2]	
了	lau[5]	～了，坏掉
交	kau[1]	
郊	kau[1]	
胶	kau[1]	
皋	kau[1]	
绞	kau[9]	
蛟	kau[3]	
搅	kau[3]	
狡	kau[3]	
搞	kau[3]	
稿	kau[3]	
咬	kau[5]	
铰	kau[5]	
较	kau[5]	
校	kau[5]	～对
骹	kʰau[1]	
考	kʰau[3]	
巧	kʰau[3]	
拷	kʰau[3]	
磕	kʰau[5]	
□	ŋau[9]	<目肴>，瞪斜视
鳌	ŋau[9]	
肴	ŋau[9]	
淆	ŋau[9]	
熬	ŋau[9]	
遨	ŋau[9]	
拗	ŋau[2]	不～，意见不合
傲	ŋau[6]	
耗	xau[9]	
毫	xau[9]	
孝	xau[5]	
酵	xau[5]	
哮	xau[5]	
校	xau[6]	
效	xau[6]	
灏	xau[6]	
皓	xau[6]	
浩	xau[6]	
笊	tsau[1]	～篱
澡	tsau[9]	
藻	tsau[9]	
糟	tsau[2]	～糕
找	tsau[3]	
爪	tsau[3]	
罩	tsau[6]	
抄	tsʰau[1]	
操	tsʰau[1]	
柴	tsʰau[2]	
炒	tsʰau[3]	
糙	tsʰau[5]	
