tsɿ[1]姿资支={~持}肢[3]紫纸阻[5]知={~识}智志置齿{牙~}
tsʰɿ[1]粗初稚[2]迟池雉持[3]耻治楚助滞[5]刺赐醋试-{~一下子}
sɿ[1]苏絮梳须西[2]匙时[3]豉屎示柿所[5]素数世势试-{考~}
pi[1]碑杯悲飞-{动词，~起来}[3]比□{腿，如：大脚~，~子肉}[5]闭贝拜辈{热~}背{~人}
pʰi[1]婢丕被批披[2]皮脾牌肥培陪[3]倍鼻备[5]配佩沛屁
mi[1]买尾每[2]迷谜眉弥埋[3]米媚卖味[5]眯寐=
fi[1]非匪挥徽飞={~机}[2]回[3]水-汇会={开~}[5]肺费悔贿废毁
vi[1]微威[2]违围为遗={~嘱}[3]胃位[5]慰卫伟委畏
ti[1]鲤里{几多~}知{~得}[2]梨狸[3]李抵底[5]帝对队
tʰi[1]弟{老~}[2]提堤啼蹄[3]递第地[5]剃退替体={~育}
ni[1]宜=[2]尼泥蕊{花~子}[3]腻内={~杂}哪{~个}
li[1]吕铝[2]来雷犁[3]礼利累儡理里{肚~}
tsi[1]饥居={~民}拘={~束}支{一~花；雪~}[3]姐{老~}举拒纪={年~}[5]锔髻句纪={~律}挤={排~}
tsʰi[1]欺区鳍倚{站}[2]齐奇骑棋糍{~巴}[3]技起具取许-{姓，~愿}[5]气汽器戏趣=
si[1]希稀虚墟{集市，~场}[3]许={允~}[5]去
i[1]衣依医[2]移姨如余于[3]雨预誉芋易[5]以意
pu[1]□{蹲}[3]补[5]布
pʰu[1]普={~通}铺{~路}[2]菩符-{画~，~号}扶-{~起来}[3]斧部步捕孵甫{姓}[5]铺{一~路(十里)}
mu[2]模巫诬=[3]母=[5]募=墓=墓=
fu[1]书输呼夫=舒{姓}[2]壶薯殊胡狐[3]负苦树户傅{师~}[5]竖赴裤应富傅{姓}
vu[1]乌污[3]舞武[5]雾
tu[1]蛛株珠都猪[3]主煮堵赌肚[5]铸著注蛀驻
tʰu[1]苎柱[2]徒属储除厨[3]土度渡住[5]杜吐兔处
nu[2]奴=努=[3]怒
lu[1]卤虏=[2]庐炉[3]路[5]鲁露务鹭
ku[1]姑孤[3]古估股鼓[5]故固顾雇
kʰu[1]箍枯[5]库
tse[1]追[3]这={~个三，那个四}[5]最嘴醉
tsʰe[1]催吹[2]槌锤[3]罪坠[5]脆
se[1]舐[2]随[3]洗睡[5]脆
ke[1]街鸡系{~裤头}[2]渠{他}[3]解{~开来}
kʰe[1]溪{用于地名，文~村}[2]□{累，疲劳}[5]契=
xe[1]系{判断词}
ŋe[2]鱼[5]蚁艾{~草}
kui[1]归规=龟[3]轨诡鬼[5]贵季
kʰui[1]亏[2]葵[3]跪柜[5]愧
ŋui[2]危[3]魏伪=
fɛ[2]浮={轻~}
mɛ[1]某=[2]谋=贸=[3]亩牡茂
tɛ[1]兜[3]陡抖斗{一~米}[5]斗{牛~角}
tʰ[1]偷[2]头投[3]豆[5]透逗={~号}
nɛ[1]□{稠，粥极~}[3]纽{~子}
lɛ[2]楼[3]漏陋篓[5]□{诱逗：~人}
ts[1]邹周舟州洲[3]走[5]昼咒皱奏
