#a									
p	[44]巴芭疤笆[54]把饱[31]霸壩[22]罢		阴平	阳平	上声	阴去	阳去	阴入	阳入
pʰ	[23]杷琶[31]泡[22]疱		44	23	54	31	22	5	34
m	[23]麻痳[54]妈{祖母}								
t	[44]担{挑}焦中{中央}[54]胆打{量词}[31]罩{原文记作帐}担{担子}								
tʰ	[44]他[31]吵								
n	[44]□{粘贴}[23]拿篮{篮子}[54]□{铁~:四齿锄}								
l	[44]拉喇{喇叭花}[23]蟧{~䗁:蜘蛛}								
ɬ	[44]三衫								
tɕ	[44]正{~月}昨[23]情{1.人~2.亲戚,原文训做戚}成{~家}[54]早姐{~夫}䭕飷[31]诈榨炸蔗正政证[22]谢{姓氏}								
tɕʰ	[44]差车钗[23]柴{本字樵}樵[54]炒请								
k	[44]家{~己:自己}膠{黏物}鉸{剪}[54]搅搞校{学~}敢饺绞{动词}[31]教{教书}教{教育}[22]咬								
kʰ	[44]骹尻[31]靠								
ŋ	[31]訝{原文记作憨}								
h	[44]□{~起:明天}[31]孝								
Ø	[44]阿鸦丫{脚丫}亚[31]坳[22]馅								
#o									
p	[44]波菠玻[23]婆[54]保堡宝[31]报播[22]薄{~荷}								
pʰ	[44]坡[23]菩{~萨}[22]抱								
m	[44]魔毛{松柏~:松针}[23]毛{头~}无[22]磨{石~}帽								
t	[44]刀[31]倒{~水}到{睇~}[22]道								
tʰ	[44]拖[23]驮桃{桃子}[54]妥[31]锉{又}								
n	[22]两{数量词,一~三}								
l	[44]啰[23]罗锣醪{浑浊}								
ɬ	[44]梭唆蔬[54]锁琐所嫂								
tɕ	[44]蕉{~子}椒招浆[23]锉{又}[54]阻枣少{不多}蒋左佐掌{手掌}[31]做照{执~}酱[22]助上座{量词}								
tɕʰ	[44]初{~中}枪臊{腥臊}[23]墙祥[54]楚础抢[31]错笑唱糙{~米}								
k	[44]哥锅{锑~:铝锅}戈高膏{~药}篙[54]果裹稿[31]告								
kʰ	[44]科熇{煮}[54]考可[31]课								
ŋ	[23]鹅蛾								
h	[23]何河[54]好[31]荷{薄~}[22]贺号								
Ø	[54]袄								
#e									
p	[23]巴{下~}爬钯{钯子}耙{犁耙}平{挺~}坪评{批~}[54]把{1.百~个2.阻拦}[31]柄[22]爸病								
pʰ	[23]庞彭棚								
m	[44]咩□{抓}[23]盲冥{夜晚}暝[54]马码蚂{草~:蝗虫}[22]骂								
t	[44]□{挤:~牙膏}[23]茶[54]短{训}[22]袋代{后~}								
tʰ	[44]胎撑[23]邪斜								
n	[44]呢{一点,一些}[23]晾								
l	[44]腡[23]螺[22]脷								
ɬ	[44]纱生{~日}牲商{~业}[54]省{~长}[31]锈姓								
tɕ	[44]渣争{相~}斋[23]晴静[54]姐{阿~}井[31]债[22]坐座{座位}寨								
tɕʰ	[44]叉杈星{天~}初{~五}青生{生熟}[23]查{调~}[54]醒[31]岔								
ȵ	[22]嬭{原文记作惹}								
j	[23]椰{~菜:圆白菜}[22]也								
k	[44]家{亲~,外~}加嘉更{五更}耕羹庚[23]□{颔~:围嘴儿}[54]假{不真}哽{哽咽}[31]贾{姓氏}架驾嫁价假{请~}稼								
kʰ	[23]茄{番~}								
ŋ	[23]牙芽衙蜈{~蚣}[22]硬								
h	[44]靴欺瘕{~痀:咳嗽}[23]虾{鱼虾}[22]下{放置}								
Ø	[54]哑[22]下{下面}夏{1.姓氏,2.夏天}								
#i									
p	[44]碑卑悲鞭边篦[23]脾[54]比扁彼[31]臂庇痹变蔽[22]毙被{~逼}避备篦辫弊币								
pʰ	[44]披丕[23]疲枇[54]鄙疕{饭~:锅巴}[22]鼻								
m	[44]眯[23]眉楣棉冥{又}暝{又}[54]米[31]秘[22]未味麵								
t	[44]猪朱硃资姿咨滋[23]除[31]戴[22]弟{兄~}箸己{原文记作自}								
tʰ	[44]天[23]瓷辞巳啼锄[54]此取[31]剃刺次[22]饲{~料}䋎{针缝,原文记作糹屖}								
n	[23]尼{~龙}年[54]女染								
l	[44]璃梨{青~}□{撕}[23]离篱厘狸{野猫}[54]李里{里程}裏理鲤你吕旅[22]里{用于代词}虑滤利{利益}痢{痢~头}								
ɬ	[44]斯厮私尸司丝思施[23]时匙{锁~}[54]死[31]世势四肆{放~}试扇{扇子}[22]事{~故}是氏示士柿市豉誓								
tɕ	[44]支{~持}枝肢脂之芝知{~识}[23]薯钱鹚{鸬~}蜍{蟾~}[54]姊指子{日~}止址处{~暑}只{~顾}[31]智致志至置誌痔痣[22]治舐{舔}								
tɕʰ	[44]凄[23]持池迟徐[54]暑鼠始[22]饲{喂}								
ȵ	[54]议								
j	[23]余馀移姨宜仪[54]已以[22]易{容~}字牸肄义预誉二遇								
k	[44]居饥{~寒}饑{~荒}基机箕拘支{量词}[54]举纪{年~}矩己據[31]寄锯纪{~念}记既髻{鸡冠}[22]具拒忌								
kʰ	[44]区[23]企奇鳍其棋期旗蜞{蜈~:水蛭}岐麒[54]起齿[31]气{清~:干净}去[22]技								
ŋ	[23]疑								
h	[44]墟虚嘘嬉熙希稀[23]鱼渔[54]喜许[31]戏器汽{~车}[22]耳{耳朵}								
Ø	[44]于伊医衣依[23]丸圆[54]乳椅耳{木~}雨{谷~}[31]意谊								
#u									
p	[23]蒲匏{~𣟵:水瓢}炰{炙烤}[22]妇伏{孵}								
pʰ	[23]浮								
m	[44]模{1.模子,2.模范}巫诬[54]武母{寡~婆}[22]暮务雾戊								
f	[23]符{~号}扶芙舞{跳~,玉林话影响}[31]富副付咐[22]附辅								
t	[44]都								
tʰ	[23]塗{涂改}								
ɬ	[44]书输需舒师{~范}[23]祠[22]事{大~}视								
tɕ	[44]珠{珍~}[54]组子{~时}主[31]注								
