cid	character	initial	final	tone	note
198	皮	ph	i	44	调～，文
199	被	ph	uoi	42	
200	紫	ts	ie	31	
201	刺	tsh	ia	21	～羊毛裤
201	刺	tsh	ie	21	单用，动词
202	知	t	i	51	
203	池	t	ie	44	
204	纸	ts	ai	31	单用，名词
204	纸	ts	ia	31	～鹞
205	儿	l	i	44	～囝：小孩，白
205	儿	∅	i	44	～童，文
206	寄	k	ia	21	
207	骑	kh	ia	44	
208	蚁	ŋ	ia	42	
209	义	ŋ	ie	42	
210	戏	x	ie	21	
211	移	∅	ie	44	
212	比	p	i	31	
213	屁	ph	uoi	21	
214	鼻	ph	ɪ	21	名词
214	鼻	p	ɪ	42	动词，嗅
215	眉	m	i	44	
216	地	t	ɪ	42	
217	梨	l	i	44	
218	资	ts	y	51	
219	死	θ	i	31	
220	四	θ	ɪ	21	
221	迟	t	i	44	
222	师	θ	a	51	～傅
222	师	θ	y	51	～范
223	指	ts	ai	31	手～，名词
223	指	ts	i	31	～挥，动词
224	二	l	ɪ	42	
225	饥	k	i	51	
226	器	kh	ɪ	21	
227	姨	∅	i	44	
228	李	l	i	31	
229	子	ts	i	31	果～：旧时用于送礼或供奉的小点心
229	子	ts	y	31	～女
230	字	ts	ɪ	42	
231	丝	θ	i	51	
232	祠	θ	y	44	
233	寺	θ	ɪ	42	
234	治	t	ɪ	42	
235	柿	kh	ɪ	42	
236	事	t	ai	42	做～
236	事	θ	ʏ	42	～业
237	使	θ	ai	31	～用
237	使	θ	y	31	假～
237	使	θ	ai	21	大～
238	试	tsh	ɪ	21	～验
238	试	θ	ɪ	42	面～
239	时	θ	i	44	
240	市	tsh	ɪ	42	
241	耳	ŋ	ɪ	42	
242	记	k	ɪ	21	
243	棋	k	i	44	
244	喜	x	i	31	
245	意	∅	ɪ	21	
246	几	k	ui	31	
247	气	kh	uoi	21	断～：断气
247	气	kh	ɪ	21	～球
248	希	x	i	51	
249	衣	∅	i	51	
251	随	θ	ui	44	
252	吹	tsh	oy	51	
253	垂	θ	ui	44	
254	规	k	ie	51	
255	亏	kh	ui	51	
256	跪	k	uoi	42	
257	危	ŋ	ui	44	
258	类	l	uoi	42	
259	醉	ts	uoi	21	
260	追	t	ui	51	～求
261	锤	th	ui	44	
262	水	ts	ui	31	
263	龟	k	ui	51	
264	季	k	ie	21	
265	柜	k	uoi	42	
266	位	∅	uoi	42	
267	飞	p	ui	51	～船：飞机
267	飞	x	i	51	～机
268	费	x	ie	21	
269	肥	p	ui	44	
270	尾	m	ui	31	
271	味	∅	ɪ	42	有～：味道好
271	味	m	ɪ	42	有～：有趣
272	鬼	k	ui	31	
273	贵	k	uoi	21	
274	围	∅	ui	44	
275	胃	∅	uoi	42	
276	宝	p	o	31	
277	抱	p	ɔ	42	单用，动词
