
ɿ
pʰ	□{(饭肉等煮得过熟的一种烹调方法)}□{(~开：松开、张开)}		□{(胀破：气球～了)}	怕帕	拍={(~子)} □{(~酒：酿酒)}愊{(~实：很严实)}
m	妈吗{(~咯：什么)}马{(～～虎虎)}□{(~~:婶婶)}	麻蟆抹□{(两脚叉开)}	马蚂摸-码晚{(~~:叔叔)}		骂
f	花发{(头~)}哗	华桦乏伐筏罚袜□{(~得来:合得来)}		化华{(姓)}	画适划法发□{(用力甩、挥动)}
t		达□{(~水：用脚踩水车引水的一种方法)}□{(~起：物体往上重叠放置)}	打		答搭□{(绵软地下垂)}䵣{(不同之物相参杂)}大={(~蒜)}□{(~味：八角)}
tʰ	他它她遢				塔踏拓{(~木)}沓塌榻褡{(~扣)}□{(没赶上或遗漏做某事)}
l	拉啦垃□{(~开：割开)}	□{(爬)}辣腊蜡邋	哪=喇		纳落{(~下)}娜□{(缝隙)}□{(刮：～锅子)}腊=那□{(擦：～屁股)}
ʦ	渣楂喳遮=□{(调皮)}咂	杂茶查搽察炸{(食物放入热油中，片刻焦脆后取出)}铡	匝{(~丝)}扎={(捆缚)}	炸{(爆～)}榨诈栅{(~栏)}灒{(液体溅出)}	摘眨槎{(用竹枝捆扎成的扫帚：～扫把)}扎-{(卷起来)}啄闸□{(~断：断开电源)}□{(~额头：额头很凸)}□{(用牙齿咬断)}□{(点头)}□{(~园门：用荆条等遮拦菜园周围)}
ʦʰ	叉杈差{(~别)}			茬岔衩	插擦坼{(一条~)}
s	沙痧纱莎挱{(张开手)}杉鲨		傻耍撒洒	萨	杀煞刹芟{(割草)}□{(~胳滴：故意搔人痒)}
k	家{(行~:走亲戚)}圿{(人体表面汇集的污垢)}枷痂夹-{(~脚)}□{(吗~:什么)}□{(~戏：吵架)}甲{(指~子：指甲)}	□{(~~:小女孩外阴)}□{(~滴咕：本地人形容说外地话的人)}□{(~啦咕：鲇鱼)}	嘎{(鸭叫声)}	架-嫁-	□{(~白：苍白)}隔夹-{(~子)}□{(~色：①特殊②行为出格)}
kʰ	咖揢{(①两手虎口合拢用力②量词，两手虎口合拢所表示的量：一~)}		卡	胯=	恰掐客-{(供~)}
ŋ	□{(~开：裂开)} □{(种：～菜)}□{(~尿布)}腌{(~臜：另生事端)}	牙鸭芽砑□{(门窗等不关严，留下条缝)}	哑	轧	□{(用指甲钳住物体的一点点)}
x	虾她-他-它哈𱃕{(张口吐气)}歞{(哮喘病)}□{(~哩婆婆；蝴蝶)}	匣蛤□{(扯～嗒：不正经)}	□{(~拢：把分散的东西集中)}□{(应答声“什么”)}	胯-	下-吓瞎□{(全部)}
Ǿ	阿啊		哪-

ia
阴平55	阳平22	上声33	阴去24	阳去213
p					壁{(～头)}
pʰ	□{(～耳巴子：打耳光)}		□{(模拟打枪的声音)}		劈{(~柴)}煏{(太阳辐射使人难受：外面太阳～人)}□{(~嗒：呛住)}
t	爹{(~~:爸爸)}嗲{(放～:撒娇)}□{(~几：一点点)}	□{(稍微抬起：～起脚)}提{(~东西)}□{(把、拿：～他没办法)}□{(一~土:一畦土)}□{(捉住：～甲贼)}	□{(滑、斜：~起甲肩头)}□{(~鞋子：半穿着鞋走路)}□{(~口：讲话结巴的人)}		跕{(物体落下)}□{(~坏：弄脏)}
tʰ					□{(吊、捆：~颈)}
n	黏□{(~边：沾边)}	肏{(与女人发生性关系)}	惹	□{(用脚来回踩)}
ʨ	家=加珈佳嘉遮-□{(~湿：很湿)}	邪茄笡{(斜着)}席{(~子：草席)} □{(~步：跨步)}□{(将人或物置于胯下)}□{(见~:见怪)}	假贾姐	借价架=驾嫁稼=	甲只-□{(涩味)}钾□{(性子倔强、固执)}炙{(~火：烤火)}喫{(~生：故意刁难人)}□{(匀~:均匀)}
ʨʰ	喫{(~生：故意欺负生人)}□{(转圈)}车{(~子)}		扯{(①拉出②购买：～匹布③发作：~疯)}□{(~婆：风流的女性)}	洽	吃{(①吃东西②欺负)}赤-尺-
ɕ	赊虾	蛇石霞峡侠暇瑕	写舍	泻□{(~死：耍无赖)}	射-夏厦下=
Ǿ	鸦鸭=呀丫=	爷-衙涯	野也雅	亚讶	压={(~力)}夜押□{(~叉子：赤身裸体)}

ua
阴平55	阳平22	上声33	阴去24	阳去213
k	瓜呱刮={(~~纸：小孩玩的贴画)}	聒{(多嘴)}佮{(聊得来处得来,①结交②合拢)}□{(倒掉：～屑子)}□{(~起：形容人没精神，不清爽)}	寡剐□{(~甜：很甜)}	挂褂卦	刮-{(~红片了：做红薯干的一种方法括)}□{(~起眼珠：翻白眼)}
kʰ	夸□{(摊：一~水)}		跨胯{(~骨)}□{(~枝：主干外的树枝)}□{(打~:一种打纸板的游戏)}	跨
Ǿ	哇蛙洼娲轭鸹{(乌鸦：老~)}挖{(~土机)}	袜娃滑猾	瓦挖搲{(用瓢、勺或直接用手掏)}		话-挖{(～耳子：挖耳勺)}

ya
阴平55	阳平22	上声33	阴去24	阳去213
ʨ	抓=爪笊{(~子)}	瘸-{(手指伸展不自如)}
ɕ	靴			□{(鸡用爪子抓、抖物体)}
Ǿ	□{(~苦：很苦)}	□{(~子：一种用小石子做道具的游戏)}□{(~火虫：萤火虫)}□{(挥动)}□{(~雷火：闪电)}	□{(~:满手抓东西)}	□{(大声喊叫)}


o
阴平55	阳平22	上声33	阴去24	阳去213
p	波菠玻播□{(~罗：木鱼)}拨=	婆薄帛博=搏勃脖□{(~~:鸡蛋,小儿语)}		簸{(～箕)}啵{(打~:接吻)}	薄{(～荷)}拨{(～款)}剥卜博-{(~士)}
pʰ	坡拨泼		扑{(~克)}	破剖{(~鱼)}
m	摸=	模魔磨{(动词)}摩莫膜	摸-	末=	沫末=漠陌磨{(名词)}
t	多哆	陀驼夺砣鸵□{施肥料或土在植物的根部}	朵=躲垛{~子：墙壁}	剁堕斲{用刀砍}	舵驮惰拸{动词，指把锅、壶等器皿放到炉子上的动作}蹠{跳跃：～步}□({~栗：一种圆形的小板栗)}
tʰ	拖朵{(耳~)}		妥椭	吐唾	托脱=拓□{草木皮叶落地}□{断开，~开}
l	嚧{嚧～:呼猪声}□{几种东西相互混合拌匀}□{~tei213:结伴}啰螺{田~}攎{两手合抱物品}	罗锣萝箩螺{踝子骨}脶捋{揉搓}□{~ɕio55鬼：水鬼}落{~雨}	裸卵-{~巢}□{~叶虫}	□{~子：篮子}□{一~:一串}	螺{~陀}乐{快~}洛骆落=痨{(饿~:饥饿抢食的人)}
ʦ		昨浊镯凿	左佐	左	坐桌捉作座琢卓啄
ʦʰ	搓磋			错措挫锉	戳{~棍兜：拄拐杖}
s	梭嗦蓑唆=睃{很快地瞟视}嗾{①用口作声指挥狗②引中指教唆人做坏事}趖{疾速走动}嗍{用力吸气或把面条之类食物用力吸进嘴里}□{鱼蛇等在水中游}		锁所唆锁{~边：用针线把衣服等的边角缝好}		索塑速
k	锅哥歌戈		果□{(相当于“这”)}□{(吗～:什么)}	个过=	角-各鸽郭搁□{(碰撞、摩擦使损坏)}
kʰ	科苛稞蝌		颗棵可渴	课	壳磕嗑阔叩{(用手指弯曲打人)}霍确-阔蠚{(①指(蜂、虫等)蜇人②蜇人的毛虫：～螺咕)}
ŋ		俄娥鹅蛾	我		饿鳄
x	呵窠□{(~子：混在谷粒中的禾穗的茎叶)}□{(~嗒：用好言哄人)}	和{(连词)}盒合河荷何	火伙	货	祸获和{(~起：混杂拌匀)}喝鹤□{(~嗒：任意，无顾忌)}
Ǿ	阿{(～胶)}蜗涡莴窝□{(中间下陷，用作形容词)}	禾	哦		恶龌{(~龊)}

io
阴平55	阳平22	上声33	阴去24	阳去213
t			□{逗狗声}
n					虐弱
ʨ	□{呼鸡声}	嚼着{睡~}□{丢失昨}	□{语气词，提起注意}		脚角={~色}觉{感~}
ʨʰ			□{呸~:语气词表不满或鄙视}		却确=雀鹊谑{戏弄、哄骗}焯{用开水焯菜}
ɕ	□{lo22~鬼:水鬼}	学□{~筒：木或竹制舀水的厨具}□{丢失}		□{形容人品性不太好或东西质量差}	若硕削
Ǿ	哟	药钥			跃约岳乐{音~}

e
阴平55	阳平22	上声33	阴去24	阳去213
p		白铂□{(拉、拔：~嗒他)}			百伯钵柏北佰
pʰ			呸		拍{(~照)}迫魄=泼-{(~水)}□{(扇扇子或禽兽扇动翅膀)}
m	墨={(~黑)}	麦-脉-□{(~起：①想起②以为)}□{(有~子：容貌好)}	哞{(呼牛声)}	末	墨={(~笔)}默
f		或活			□大声呵斥
t	咄{(犁田时吆喝牛)}	特			德得□{(给)} □{(因气愤而跺脚)}在□{(~火：往灶里添柴)}
tʰ					脱{~衣，断}
n			奶{(~~:奶奶)}
l		肋捋{(~起)}□{(不光滑、粗糙：～手)}	□{(语气助词)}		□{(~子：个子最小的动物)}
ʦ	□{(嬉戏)}	贼			窄则责泽侧□{(打~:用手势打比较)}
ʦʰ					册测策厕拆择撮{(~灰：把垃圾扫进粪箕)}
s	□{(张开、松开：嘴巴～起)}		色(角~:人才{,称赞语)}□{(~田：用犁耕田)}□{(~嗝子：打干嗝)}		色{(①颜~②出~③角~)}虱塞-啬
k		嗝{(拟声词，模仿雄鸡叫)}□{(打~哩：本地人形容外地口音)}		割=嗝{(~子)}	格=隔=革结-{(~头：打结)}
kʰ				去	克客=刻
ŋ		咬-		□{(形容人不爽快)}
x	嘿哈{(~起：开玩笑，不严肃)}许{(很)}	核许{(很)}			黑
Ǿ	欸{(表意外)}呃{(应答声)}				呃{表赞同}


ie
阴平55	阳平22	上声33	阴去24	阳去213
p	□{(副词：～淡的,很淡)}	别{(~个：别人)}	瘪	别{(~扭)}	憋鳖蹩=便-{(~宜)}
pʰ			苯蹩{(~脚：扭伤脚)}		撇𢳂 {(~绚：扯牛绳，叫牛快速向右走)}避{(躲~)}
m	搣{(剥、掰)}咩	棉篾	□{(凹下去)}		灭
t	爹	叠谍牒□{(整理)}田-{(~螺)}	䑜{(舔食)}	捩{(扯伤)}戾{(①物体歪斜②故意歪曲事实)}	跌{(~价)}例{(举~子)}
tʰ	□{(~紧：很紧)}				铁贴帖
n					业聂孽宜-{(便~)}□{(形容很费劲吃进或拉出东西)}镊捏{(~怪：说谎)}□{(凹下去)}
ʨ	街=皆=阶=□{(~湿：很湿)}	前-{(~日：前天)}□{(腋下或双腿夹物)}	姐=者	借{(~口)}界=介=戒=届=	揭接节洁结杰捷截哲折浙疖{(~子：身上长的肿起的包)}吃{(~子：口吃的人)}
ʨʰ	车{(火~)}			去	切撤彻妾确杰
ɕ	奢	胁谐舌热-{(发～:发烧)}折{(~本：亏本)}协邪携	写	泻{(~药)}泄卸	社谢歇设摄射=屑涉赦舍={(宿~)}
Ǿ	椰耶	爷=叶页□{(吃~:吸毒)}	冶		噎乙夜=液=业=腋□{(~要：霸蛮)}𱶂{ (~秕子：空心的谷粒凹①地面下陷②物体变扁)}

ue
阴平55	阳平22	上声33	阴去24	阳去213
k					国-帼-佮{(交往)}割-郭-
kʰ			□{(~断：折断)}	□{(~子：一种相互.撞击发出声音的乐器)}	㗘{(鱼在水中开合吐纳)}
Ǿ		□{(拦住)}	喂{(打招呼)}		哕{(打~:欲吐而不吐)}热-□{(~田：而耙将田梳平)}罯{(①严密地覆盖或封闭起来。～酒：酿酒②水适量，不米汤煮饭：～饭)}


ye
阴平55	阳平22	上声33	阴去24	阳去213
ʨ		绝		倔	决蕨诀绝-撧{(～脱:用手指掐断)}
ʨʰ			捲{(拗而使弯、折)}		缺={(~点)} □{(打~子：快跑)}
ɕ	靴				血雪说-
Ǿ		月越-□{(东西不完整)}□{(~拐：爱哭或爱乱说话的人)}	抈{(折断)}		越=粤阅悦

ɚ
阴平55	阳平22	上声33	阴去24	阳去213
Ǿ		而儿	耳饵尔洱迩		二贰


ai
阴平55	阳平22	上声33	阴去24	阳去213
p	跛{(~子：脚瘸)}	排牌□{(用棍子等抽打)}	摆□{(~衣服：用清水过衣服)}	拜	败稗□{(~要：①特意②故意)}
pʰ			捭{(左右手平伸后的长度)}□{(身上或挂或背东西)}□{(猪用嘴拱其他物体)}迫{(~击炮)}	派
m		埋明-{(~日：明天)}	买		卖迈麦脉
f		淮怀槐	甩-		坏
t	呆=	台抬=	歹诒{(哄骗)}逮={(~捕)}	带戴	大袋代待贷黛
tʰ	胎苔		奤{(走路很慢)}	太泰态
l	疓{(形容人没精神)}□{(~子：黏性的水或体液)}□{(~嫩：很嫩)}	来□{(~田：拣去田里的杂草)}□{(人不清爽)}	奶{(牛~)}俫{(小男孩)}	奶{(吃~)}㸊(烫，可作{动词}和形容词。)	奈耐赖癞
ʦ	灾栽哉斋菑{(①农作物因病虫害而死：茄子树～死哒②畜禽瘟死：~猪。)}	才财材裁柴豺	逮仔宰崽载{(十年八~)}	再载{(超~)}债寨	在□{(~雨：淋雨)}
ʦʰ	猜钗差{(出~)}		彩采踩睬	菜蔡
s	筛腮鳃衰酾{(～酒)}	□{(用手打人)}	甩{(理睬)}□{(~饭：比喻吃得多)}	晒赛塞{(~外)}帅率
k	该阶-街-皆-		改解	盖钙介-戒-届界械解{(~子：锯子)}	裌{(~衣:棉衣)}
kʰ	开揩概{(大~)}		凯楷铠
ŋ	哀挨{(~近)}	捱崖呆岩癌挨{(~打)}	矮蔼	爱	雁艾碍隘捱{(拖延)}
x	嗨	还孩鞋	海	□{(身体与别物摩擦)}	害□{(垫：～尿布)}
Ǿ	唉哎		欸{表不同意}

uai
阴平55	阳平22	上声33	阴去24	阳去213
k	乖		拐蝈{(蟆~:蛙的别名)}□{(~场：事情弄砸了)}□{(女阴)}□{(~灰：傻瓜)}	怪
kʰ	□{(圆的空心的物体)}		擓{(~嗒：抓住)}块{(~钱：元钱)}	快块筷会{(~计)}
Ǿ	歪挖-{(~土)}□{(踢)}		□{(摇晃的样子)}	外{(~后日：大后天)}	外

ei
阴平55	阳平22	上声33	阴去24	阳去213
p	杯碑悲背卑	陪培赔裴		背{(~后)}贝辈	备=背{(~书)}倍
pʰ	胚坯		呸	配佩沛
m		霉媒梅枚煤眉=酶玫莓	每美镁		妹媚昧
f	灰挥辉徽晖恢韭飞菲妃匪扉绯恛{(愚蠢,糊涂)}□{(毛~子：毛毛雨)}	肥回维-唯-蛔	诽悔毁斐□{(食物因消化不良而从食道返回嘴：～奶)}□{(~开：解开)}	费肺废沸晦诲	味会汇绘荟慧惠贿奔讳
t	堆□{(事物的整体)}	颓	堵□)相当于“整个”)	对队兑	队{(打~:做伴)}
tʰ	推		腿	退褪
l	㔣{(圆形物体自行滚动)}□{(人或动物的肥壮)}	擂雷□{(描快速跑)}累{(~赘)}	垒磊屡吕铝	瑞锐睿	类累泪耒内滤虑
ʦ	追锥椎	垂锤=捶=随-谁-	嘴{(亲~)}	最醉赘	罪□{(把物体用力往里塞)}
ʦʰ	崔催摧炊吹=			翠脆萃粹	□{(手~子：手肘)}□{(走路不稳的样子)}□{(~死：送死)}
s	虽	随=谁=髓=	水={(①形容人洋气②水果)}	碎岁税睡遂	□{(做事缓慢、拖拉)}

uei
阴平55	阳平22	上声33	阴去24	阳去213
k	归龟闺皈规瑰	葵魁逵□{(果实的核)}	鬼诡轨	贵桂瑰	跪柜骨
kʰ	亏窥盔			愧溃	□{(~断：折断)}
Ǿ	煨危威薇巍微	为{(作~;出息)}危围违维=唯=	委伟尾=苇纬萎	慰	胃位卫为尉魏耒谓□{(~弯：折而不断)}

au
阴平55	阳平22	上声33	阴去24	阳去213
p	包胞	浮袍咆庖雹	宝保饱堡	报爆{(~炸)}暴豹曝齙{(~牙齿)}	抱泡{(~子：泡沫)}暴{(}下～雨)刨{(～子)}菢{(~鸡婆：孵小鸡的鸡婆)}
pʰ	抛脬藨{(山中的一种野莓)}泡{(~松：很松散)}苞{(花~子)}□{(开水翻滚的样子~)}		跑□{(好~:路不平整，上下颠簸)}	炮泡爆{(~子：鞭炮)}
m	猫	毛茅矛髦锚	卯		帽贸=冒貌冇{(没有)}
t	刀叨	逃桃淘陶萄啕綯	倒{(~下)}岛捣导蹈祷	到倒{(反过来)}	道盗稻悼□{(因人追而快跑的样子)}
tʰ	涛韬焘滔绦祧{(~屋：堂屋)}		讨	套
l	捞□{(臊气)}搦{(拿)}□{(~巴：锅吧)}□{(~松：很松散)}□{(~疮子：疥疮)}	捞劳牢涝痨□{(~咯：一共)}捋{(~起：卷上去)}□{(糜~:蔫、干枯)}	老姥脑恼	□{(交叉)}	闹痨(毒，做{动词)}□{(开错)}□{(~鸡婆：赶家禽的棍子)}□{(行动迅速)}□{(火烧毛发)}
ʦ	遭糟蚤□{(脾气暴躁)}□{(①易折易碎(与韧相对)。②食物的松脆)}	曹槽嘈巢□{(~麻旦：人来人往很吵)}	早=枣澡找爪=□{(没一~狗：没点出息)}	燥罩灶噪□{(动物蹦跳)}	造皂□{(山间的低地、沟壑)}濯{(用水冲)}
ʦʰ	操抄钞秒耖{(耕地)}		吵炒草騲{(雌性的猪、狗、猫等畜禽)}	糙躁
