V1	V2	V2	
pa	2	21	排牌
pʰa	5	45	派
fa	6	33	發
ta	6	33	大
tsa	2	21	財柴
sa	7	55	殺
tsʰa	5	45	菜
ka	1	213	街
xa	2	21	鞋還
ma	2	21	埋
ŋa	3	42	矮
la	2	21	來
Ǿa	2	21	岩
pa	6	33	敗撥
ta	5	45	帶
tsa	7	55	紮
tsʰa	7	55	擦
ka	3	42	解
xa	3	42	蟹
ma	6	33	賣
la	7	55	辣
pa	3	42	擺
ka	5	45	戒
xa	7	55	瞎
ma	3	42	買
pa	5	45	拜
pa	7	55	八
pu	2	21	婆
pʰu	1	213	鋪
fu	2	21	壺
ku	1	213	箍
kʰu	3	42	苦
mu	6	33	木目
Ǿu	2	21	吳
pu	6	33	簿步
pʰu	3	42	譜
fu	6	33	戶父婦佛縛服
ku	3	42	古
kʰu	5	45	褲
mu	3	42	母
Ǿu	1	213	烏
pu	5	45	布
fu	3	42	虎府
ku	7	55	骨穀
kʰu	7	55	哭
Ǿu	6	33	霧
fu	5	45	付富副
Ǿu	3	42	五武褥
fu	7	55	付福
Ǿu	7	55	物惡屋
pi	6	33	別
pʰi	7	55	匹
ti	6	33	碟
tʰi	7	55	貼鐵
tsi	6	33	絕
si	6	33	謝
tsʰi	7	55	切
tçi	2	21	茄騎棋
çi	1	213	希
tçʰi	1	213	溪
mi	6	33	滅篾
ȵi	2	21	泥
li	6	33	列
Ǿi	2	21	移姨
pi	5	45	別
ti	7	55	跌
tsi	3	42	姐
si	3	42	寫
tçi	1	213	雞饑
çi	6	33	系協
tçʰi	5	45	契器氣
ȵi	6	33	藝義業
Ǿi	1	213	衣
tsi	7	55	接節
si	7	55	雪
tçi	6	33	及傑極
çi	3	42	喜
ȵi	3	42	蟻
Ǿi	6	33	葉
tçi	3	42	幾
çi	5	45	戲
ȵi	7	55	孽捏
Ǿi	5	45	意
tçi	5	45	寄記季
çi	7	55	吸歇血
Ǿi	7	55	一益
tçi	7	55	急截結吉擊
tɕy	2	21	除
ɕy	2	21	徐
tɕʰy	7	55	出
tçy	2	21	渠
tçʰy	1	213	區
ȵy	2	21	魚
Ǿy	2	21	如余芋
tɕy	1	213	豬
ɕy	1	213	書輸
tçy	3	42	舉
ȵy	6	33	遇
Ǿy	6	33	裕玉
tɕy	6	33	柱住
ɕy	6	33	豎樹
tçy	5	45	句劇
ȵy	3	42	女
Ǿy	3	42	呂雨
tɕy	3	42	主
ɕy	3	42	鼠許
tçy	7	55	局
tɕy	7	55	橘
kei	5	45	鋸
poʊ	2	21	婆
pʰoʊ	5	45	破
toʊ	1	213	多
tʰoʊ	1	213	拖
tsoʊ	6	33	坐著鐲
soʊ	3	42	鎖所
zoʊ	6	33	弱
tsʰoʊ	5	45	錯
koʊ	1	213	歌
kʰoʊ	3	42	可
xoʊ	2	21	河
moʊ	1	213	摸
noʊ	2	21	鑼
ŋoʊ	2	21	鵝
loʊ	2	21	螺
poʊ	6	33	薄
toʊ	3	42	躲
tʰoʊ	7	55	托
tsoʊ	3	42	左
soʊ	7	55	索縮
koʊ	3	42	果
kʰoʊ	5	45	課
xoʊ	6	33	禍盒鶴
moʊ	6	33	磨
ŋoʊ	6	33	餓
loʊ	6	33	落
poʊ	7	55	剝
tsoʊ	5	45	左
koʊ	5	45	個過
kʰoʊ	7	55	殼
xoʊ	3	42	火
moʊ	7	55	摸
ŋoʊ	5	45	握
tsoʊ	7	55	作桌
koʊ	7	55	鴿各郭角
xoʊ	5	45	貨
ŋoʊ	7	55	惡
xoʊ	7	55	霍
pæ	2	21	賠皮
pʰæ	5	45	配屁
fæ	1	213	飛
tæ	1	213	低
tʰæ	1	213	梯
tsæ	2	21	徐
sæ	2	21	徐隨
tsʰæ	3	42	取
mæ	2	21	煤眉
læ	2	21	犁雷梨
Ǿæ	3	42	尾
pæ	1	213	杯碑
fæ	5	45	肺費
tæ	6	33	弟遞地笛
tʰæ	5	45	剃
tsæ	6	33	罪集
sæ	1	213	西
tsʰæ	5	45	碎
mæ	6	33	妹
læ	6	33	類立栗律力曆
pæ	6	33	幣背被鼻
tæ	5	45	對
tʰæ	7	55	踢
tsæ	3	42	嘴
sæ	6	33	習席
tsʰæ	7	55	七
mæ	3	42	米尾
læ	3	42	李
pæ	3	42	比
tsæ	5	45	醉
sæ	3	42	洗
mæ	7	55	密
pæ	5	45	憋
tsæ	7	55	卒積
sæ	5	45	碎歲
pæ	7	55	貝筆逼
sæ	7	55	息惜錫
pœ	7	55	潑
tœ	2	21	台
tʰœ	1	213	胎貪
sœ	7	55	刷
kœ	1	213	該肝
kʰœ	1	213	開
xœ	6	33	害汗
mœ	7	55	末
ŋœ	5	45	愛
tœ	6	33	袋奪
tʰœ	7	55	脫
kœ	3	42	改
kʰœ	5	45	看
xœ	3	42	海
kœ	5	45	蓋
kʰœ	7	55	渴
xœ	5	45	漢
kœ	7	55	割
pɑu	1	213	包
pʰɑu	5	45	炮
tɑu	2	21	圖桃
tʰɑu	3	42	土討
tsɑu	2	21	鋤綢
sɑu	6	33	壽熟屬
zɑu	6	33	肉
tsʰɑu	1	213	初抄抽
kɑu	1	213	高
