#a
p[1]巴芭疤[2]爬琶杷爸[3]把[5]霸坝
pʰ[2]耙[3]怕[5]罢
m[2]麻妈[3]马码[5]骂
t[3]打
tʰ[1]他
n[1]那[5]哪
l[3]拿
ts[1]渣楂抓[3]诈榨炸{~弹}炸{用油~}
tsʰ[1]叉差{~不多}杈差{参~}岔[2]茶搽查
s[1]沙纱梳[2]莎[3]洒耍傻
k[1]家加痂嘉[3]架驾嫁稼价假{真~}贾{姓}假{放~}
kʷ[1]瓜[3]寡剐[5]挂卦
kʰʷ[1]夸跨[3]垮括{包~}聒{~耳朵}
ŋ[2]牙芽衙伢[3]我雅瓦[5]饿
h[1]虾哈{~腰}[2]霞暇遐[5]厦{偏~}下{底~}下{~降~}夏暇厦{~门}
w[1]花蛙洼挖[2]华划{~船}[3]化[5]话
∅[1]阿鸦丫桠[3]哑亚

#ɛ
t[2]爹
ts[1]遮[2]姐[3]者借蔗
tsʰ[1]车{马~}[2]邪斜笡[3]且[5]谢
s[1]奢赊[2]蛇佘赦舍[3]捨赦舍[5]社射麝
ɬ[1]些[3]写[5]泻卸
kʰ[2]茄{~子}
h[1]靴
j[2]爷耶[3]也野[5]夜液腋

#o
p[1]波菠玻[2]簸{~一~}簸{~箕}
pʰ[1]坡颇铺{~设}[2]婆蒲菩[5]破
m[1]魔摩模{~范}摸[2]蟆[5]磨{石~}磨{~刀}
t[1]多[3]朵躲剁
tʰ[1]拖[2]驼驮[3]妥[5]舵惰椭
n[2]挪[5]糯
l[1]啰[2]罗锣箩骡螺
ts[3]左阻
tsʰ[1]搓初雏[2]锄[3]措错昨[5]佐坐座助锉
s[1]疏
ɬ[1]蓑梭唆[3]锁琐所
k[1]歌哥锅戈[3]果过[5]个
kʰ[1]裸科棵颗[2]课[3]可
ŋ[2]鹅[5]蛾饿卧
h[2]河何荷{~花}[5]荷{薄~}贺
w[1]窝蜗[3]火伙货[5]和{~气}和{~面}祸

#i
p[1]蓖碑卑脾俾婢篦[3]譬比枇
pʰ[1]披[2]皮疲琵枇[3]彼丕鄙庇屁[5]弊币斃被{~子}被{~打}避备
m[2]靡眉楣媚寐微[3]尾[5]未味
f[1]非飞妃疿翡挥辉徽[2]肥[3]肺
tʰ[5]地
n[3]弥
l[1]璃[2]离{~别}离{~开半寸}篱厘狸[3]李里理鲤[5]利痢
ts[1]知蜘支枝肢栀只{~有}资姿咨脂兹滋之芝[3]箸紫智纸姊致稚旨指至子置止志誌
tsʰ[1]雌雉痴嗤疵撕[2]瓷餈辞词祠持[3]扯取娶趣疵此刺池驰侈翅糍次迟齿趾址耻似祀巳[5]自慈磁字寺嗣饲痔治侍
s[1]戍输{运~}斯厮撕施师尸司伺诗[2]时[3]玺徙矢屎史始市试[5]殊匙豉是氏示视嗜士仕柿事恃
ɬ[1]私狮思丝[3]死[5]四
