语素	音标	注释
栀	ʦɿ1	~子花33-44-44
资	ʦɿ1	工~；~产阶级；~庆坞：西山地名
姿	ʦɿ1	~势
咨	ʦɿ1	~询
滋	ʦɿ1	~味：口味；冒出，油~出来
枝	ʦɿ1	树桠~：树枝
脂	ʦɿ1	~油：猪油；桃~：桃胶；油~气：油质食品的气味
辎	ʦɿ1	~重
淄	ʦɿ1	~博
□	ʦɿ1	（头）低下去、沉下去
紫	ʦɿ3	~角叶：落葵
子	ʦɿ3	天干第一；构词词尾
梓	ʦɿ3	~树44-44
仔	ʦɿ3	~葱：小葱；~排：小排
籽	ʦɿ3	种子；菜~：油菜的种子
纸	ʦɿ3	~头：纸；草~：卫生纸；烟~店：烟杂店
□	ʦɿ3	~嫌：嫌弃
□	ʦɿ1/3	~进去：用尖锐的物体戳进硬的平面
痣	ʦɿ5	一粒~
雌	ʦʰɿ1	雌性动物，如：~鸡/~猪/~牛/~猫/~狗
□	ʦʰɿ1	~蛉：蜻蜓
疵	ʦʰɿ1	吹毛求~
恣	ʦʰɿ1	~意
鼠	ʦʰɿ3h	黄~狼
齿	ʦʰɿ3h	钉~/竹爿~：铁耙（耕地农具）的两种齿形
□	ʦʰɿ3h	~便：随便
刺	ʦʰɿ5	~猬
蛓	ʦʰɿ5	~毛：一种有毒的毛虫
次	ʦʰɿ5	
厕	ʦʰɿ5	~所<读字>
眵	ʦʰɿ5	眼~：眼屎
此	ʦʰɿ5	从~以后；弗在乎~：不在乎
梳	sɿ1	木~：梳子；~头
舒	sɿ1	宽~：宽敞（本字待确认）
嘶	sɿ1	（声音）嘶哑
厮	sɿ1	~杀
私	sɿ1	~囡：私生子
师	sɿ1	老~；~父：师傅
狮	sɿ1	~子
蛳	sɿ1	~螺：螺蛳
尸	sɿ1	死~；浮~
司	sɿ1	官~；官~草：车前草
丝	sɿ1	~瓜；银鱼~/盐鱼~：银鱼；松毛~：松针；萝卜~饼
思	sɿ1	沉~湾：西山地名
斯	sɿ1	俄罗~；~大林
鸶	sɿ1	长脚鹭~：鹭鸶
□	sɿ1	毛~骨：鱼身上细小的刺
史	sɿ1	历~2-44
使	sɿ1	倘~/假~：假如；~用价值；天使33-55
驶	sɿ1	驾~员：司机
死	sɿ3	拚~吃河豚
屎	sɿ3	大便；~眼/~孔：肛门；~坑（棚）：厕所
矢	sɿ3	~口否认
赐	sɿ5	
四	sɿ5	数字；~脚蛇：蜥蜴；~爿头草：四叶草
肆	sɿ5	放~(肄误读成此字)
□	sɿ5	~门：囟门，婴儿顶骨未合拢的地方
□	sɿ9	iã22~tʰɑ22：蜩
锄	zɿ2	~头；~地；削~：农具
匙	zɿ2	钥~
瓷	zɿ2	搪~；~器
飺	zɿ2	~巴
茨	zɿ2	~菇
慈	zɿ2	~里：西山地名
辞	zɿ2	夸大其~
祠	zɿ2	~堂
词	zɿ2	新名~
莳	zɿ2	“头~让，二~抢，三~三种，底田白种”（农谚）
磁	zɿ2	电~炉
祀	zɿ2	祭~
饲	zɿ2	饲料22-22
墅	zɿ4	别~；浒~关、蠡~：原吴县地名
是	zɿ4	肯定词，弗~/就~/再~（<zəʔ）：不是/就是/再是
士	zɿ4	道~
仕	zɿ4	~途
柿	zɿ4	~子
市	zɿ4	~镇
似	zɿ4	相~；一~一样：一模一样
氏	zɿ4	秦~/陆~/韩~/邓~：西山的几个姓氏
自	zɿ6	~家：自己；~来火：火柴
伺	zɿ6	~机
字	zɿ6	名~；数~；拆~：测字
寺	zɿ6	寺庙；西山有包山~、罗汉~、法华~、实际~等
嗣	zɿ6	谭~同
事	zɿ6	~体：事情；来~：有本领；物~：东西；本~；怕~
侍	zɿ6	服~：伺候、侍候
时	zɿ9	几~：什么时候
兹	zɿ2	
猪	ʧʮ1	~圈/槽；~血/舌头/肝；雄~/雌~/小~
株	ʧʮ1	守~待兔
蛛	ʧʮ1	蟢~/结~：蜘蛛；结~荡网/结~梁网：蜘蛛网
株	ʧʮ1	~洲
朱	ʧʮ1	~橘；~砂
珠	ʧʮ1	雪~：霰子；眼乌~：眼珠
茱	ʧʮ1	~萸（又读ʧʰʮ1）
知	ʧʮ1	
支	ʧʮ1	笔的量词，一~毛笔；~罗湾：西山地名；地~
枝	ʧʮ1	<读字>
肢	ʧʮ1	~体
之	ʧʮ1	~后：以后
芝	ʧʮ1	~麻
锥	ʧʮ1	捩~：锥子；~鞋子：做鞋子
□	ʧʮ1	~~：蟪蛄
□	ʧʮ1	肉~~：形容肉多的样子
诸	ʧʮ1	~侯王
脂	ʧʮ1	~肪
驻	ʧʮ1	驻扎33-41
志	ʧʮ1	地方~
铸	ʧʮ1	~铁；~造33-41
注	ʧʮ1	~重
注	ʧʮ1	~解
智	ʧʮ1	~慧；急中生~
志	ʧʮ1	~愿；~气；~向
煮	ʧʮ1	~熟33-41<读字>；烧茶~饭
渚	ʧʮ1	渡~：西山地名；东~：原吴县地名
址	ʧʮ1	地~
趾	ʧʮ1	麟~呈祥
褚	ʧʮ1	
殊	ʧʮ1	特~
制	ʧʮ3	~度；体~
主	ʧʮ3	作~人：主人；真~：主要；~义
指	ʧʮ3	食~/~名节头：食指；戒~
旨	ʧʮ3	圣~
止	ʧʮ3	~血；~痛片；弗~：不止
嘴	ʧʮ3	夺~：结巴；豁~：兔唇；瘪~团：本地食物
著	ʧʮ5	显~
蛀	ʧʮ5	~牙
疰	ʧʮ5	厌恶、嫌弃；~夏：不适应夏天的气候；~车/~船：晕车/晕船
制	ʧʮ5	~造
制	ʧʮ5	~度
致	ʧʮ5	~命伤；一~；
致	ʧʮ5	细~
至	ʧʮ5	夏~/冬~；冬~团
置	ʧʮ5	
□	ʧʮ3/5	一~生意/铜钱
痴	ʧʰʮ1	发~：发疯；~子：疯子
嗤	ʧʰʮ1	~笑
吹	ʧʰʮ1	叫：哨子
粢	ʧʰʮ1	~饭糰/~毛糰/~饭糕：本地食物（又读ʦʰɿ1
暑	ʧʰʮ1	小~/大~/处~
侈	ʧʰʮ1	奢~
处	ʧʰʮ3h	到~；~女
鼠	ʧʰʮ3h	
齿	ʧʰʮ3h	（读字，~轮/~科）
翅	ʧʰʮ5	（读字，鱼~）
处	ʧʰʮ5	好~；各荡各~：四面八方
耻	ʧʰʮ5	~辱；可耻
嗜	ʧʰʮ1	~好33-41
除	ʤʮ2	
储	ʤʮ2	~蓄
厨	ʤʮ2	~子师父：厨师；~房
橱	ʤʮ2	橱柜，如：碗~、纱~
