罗马字	IPA	汉字
pa	pa	摆拜簸{1}
p'a	pʰa	派
ba	ba	排簰败稗
ma	ma	妈埋卖买
ta	ta	歹带戴
t'a	tʰa	他{1}泰太拖
da	da	汏大{1，文读}
na	na	拿{1}挪乃奶奈那捺
la	la	拉癞赖□{～鸦：乌鸦}
tsa	tsa	斋债咋
ts'a	tsʰa	搓蔡差
sa	sa	洒驶
za	za	柴豺㾹
ka	ka	阶皆街解介尬戒界疥芥价诫
k'a	kʰa	卡{1}揩
nga	ŋa	外{1}涯睚骇讶捱
ha	ha	哈蟹□{～堆。人～，沙～}
a	ɦa	鞋懈
kwa	kua	瓜乖寡拐怪挂柺罣
kw'a	kʰua	夸蒯快
gwa	gua	怀{～里}
hwa	hua	化花华{1}
wa	ua	娃怀划{1}华{2}话坏槐孬画
a	a	挨
pe	pe	碑杯卑狈簸{2}背贝辈悲
p'e	pʰe	沛配
be	be	培陪赔裴倍备孛悖焙珮佩蓓掊背
me	me	每妹媒煤梅枚昧呆{1}
fe	fe	𣍐
te	te	戴堆□{才；刚}𠡒{拉，扯}对
t'e	tʰe	推台胎腿退□{量词，旧时院落，类似于“排进”或“座”，全～屋宇}
de	de	台抬苔待代兑埭怠岱殆玳袋逮队黛
ne	ne	馁耐
le	le	雷来儡擂累泪{1}类礌{滚动}𨂐{～倒：摔倒；翻倒}
tse	tse	灾宰哉最载醉再
ts'e	tsʰe	催摧猜彩采睬翠菜扯
dze	dze	纔
se	se	衰赛帅碎
ze	ze	裁才材财在罪锐
ke	ke	该改丐概盖个
k'e	kʰe	开铠恺忾{1}去
ge	ge	戤隑{斜靠}渠{第三人称单数}
nge	ŋe	呆{2}碍阂
he	he	海□{我～：我们}
e	ɦe	孩害艾苇规{～矩}
kwe	kue	刽灌盔
kw'e	kʰue	宽恢魁款盔
ngwe	ŋue	外{2}
hwe	hue	欢灰唤徽{1}悔獾诲
we	ɦue	回茴蛔迴完丸帏患换晦会桓浣涣汇焕碗婉荟煨秽缓垣宛溃诲
e	e	哀唉埃亥蔼霭爱咳嗳
pô	pɔ	玻疤笆芭葩巴吧播把靶霸坝爸
p'ô	pʰɔ	帕{悉～：人名}怕□{约～：地名}
bô	bɔ	爬琶耙罢
mô	mɔ	吗痳码玛蚂马骂麻
tô	tɔ	朵{2}
nô	nɔ	㑚{白}哪拿{～撒勒：地名}囡那□{叹词，表提示}
tsô	tsɔ	遮樜渣窄蔗诈榨
ts'ô	tsʰɔ	蹉车{2}剉挫措扠杈错{1}叉岔
dzô	dzɔ	揸查茶
sô	sɔ	沙痧砂纱裟鲨奢所舍晒赦
zô	zɔ	蛇社射{1}座昨{1}
kô	kɔ	伽{1}佳加枷袈迦哥歌嘉嫁家价架假果{1}驾
k'ô	kʰɔ	颗{1}窠科可裤课□{抓；拿}
ngô	ŋɔ	牙芽俄蛾衙哦我瓦疋{2}雅饿
hô	hɔ	呵
ô	ɦɔ	河瑕荷夏丫下{1}□{～手：随手；顺便}
