汉字	注释	音标	
多		to1	
拖		tʰo1	
驮		tʰo2	
舵		tʰo5	
大		tʰai5	
哪		nai3	
锣		lo2	
左		tso3	
哥		ko1	
个	~人	ko5	
个	一~	kai5	
个	我~	ke5	
鹅		ŋo2	
饿		ŋo5	
河		ho2	
贺		ho5	
茄		kʰio2	
波		po1	
婆		pʰo2	
磨	~刀	mo2	
磨	石~	mo5	
剁		to5	
惰		tʰo5	
糯		no5	
螺		lo2	
坐		tsʰo1	
座		tsʰo5	
锉		tsʰo5	
蓑		so1	
果		ko3	
过		ko5	
课		kʰo5	
火		fo3	
货		fo5	
禾		vo2	
祸		fo5	
和	~气	fo2	
瘸		kʰio2	
靴		ɕio1	
疤		pa1	
怕		pʰa5	
霸		pa5	
爬		pʰa2	
麻		ma2	
马		ma1	
骂		ma5	
拿		na1	
茶		tsʰa2	
叉		tsʰa1	
查		tsʰa2	
家		ka1	
假	真~	ka3	
假	放~	ka3	
嫁		ka5	
牙		ŋa2	
虾	鱼~	ha1	
下	底~	ha1	
下	~来	ha1	
下	~面	ha1	
亚		a1	
爸		pa3	
姐		tɕi1	
借		tɕia5	
写		ɕia3	
泻		ɕia5	
邪		ɕia2	
斜		tɕʰia2	
谢	姓~	tɕʰia5	
谢	凋~	ɕia5	
爹		tia1	
遮		tsa1	
蔗		tsa5	
车		tsʰa1	
扯		tsʰa3	
蛇		sa2	
射		sa5	
舍		sa3	
社		sa1	
惹		ŋia1	
爷		ia2	
也		ia1	
野		ia1	
夜		ia5	
瓜		kua1	
垮		kʰua3	
瓦		ŋa3	
花		fa1	
化		fa5	
补		pu3	
簿		pʰu1	
部		pʰu5	
步		pʰu5	
模	~子	mu2	
墓		mu5	
肚	腹	tu3	
肚	鱼~	tu3	
土		tʰu3	
兔		tʰu5	
度		tʰu5	
炉		lu2	
卤		lu3	
橹		lu3	
路		lu5	
露		lu5	
租		tsu1	
做		tso5	
粗		tsʰu1	
醋		tsʰu5	
错		tsʰo5	
鼓		ku3	
苦	辛~	kʰu3	
苦	~味	fu3	
裤		fu5	
吴		ŋ̍2	
五		ŋ̍3	
午		u3=/ŋ̍3-	
胡		fu2	
户		fu5	
乌		vu1	
女		ŋi3	
吕		li1	
蛆		tɕʰi1	
徐		ɕi2	
绪		ɕi5	
猪		tsu1	
除		tsʰu2	
苎		tsʰu1	
锄		tsʰu2	
助		tsʰu5	
梳		so1	
煮		tsu3	
书		su1	
鼠		su3	
薯		su2	
车	~马炮	ki1	
锯		ki5	
渠	他	ki2	
去		ɕi5	
鱼		ŋ̍2	
语		ŋi3	
虚		ɕi1	
许		ɕi3	
余		i2	
夫		fu1	
预		i5	
斧		fu3	
符		fu2	
甫		pʰu3	
扶		pʰu2	
雾		vu5	
娶		tɕʰi3	
须		ɕi1	
厨		tsʰu2	
柱		tsʰu1	
住		tsʰu5	
朱		tsu1	
主		tsu3	
输		su1	
树		su5	
乳		iui3	
句		ki5	
区		kʰi1	
雨		i3	
芋		u5	
戴		tai5	
台		tʰoi2	
待		tʰoi5	
袋		tʰoi5	
来		loi2	
栽		tsoi1	
财		tsʰoi2	
在		tsʰoi1	
该		koi1	
改		koi3	
开		kʰoi1=/hoi1-	
