#i			
p	[1]卑碑悲[2]脾{～胃}啤裨琵{～琶}枇{一～香蕉}[3]鄙{～人}比妣彼[5]秘闭庇篦痺泌[6]避备俾婢{奴～}被{～动}		
pʰ	[1]披砒{～霜}丕[2]脾{～气}皮{调～}疲[3]痞{地～}疕{粒仔～:疮痂}鄙{卑～}[5]臂屁{～事}		
b	[1]微{笑～～}[2]眉{～目}楣{横～}嵋糜{～子}微维{～持}[3]尾{～大不掉}米美{～国}[6]媚寐魅味未{～时}		
t	[1]猪蛛{蜘～}知[2]池持{保～}迟提{张～：提防}锄{～头}[3]抵{～抗}底{彻～}[5]致置智蒂{肚脐～}戴{～帽}[6]稚痔{～疮}雉{山～}待{～厝：在家}箸{筷子}弟{小～}地={土～公}治{～安}		
tʰ	[1]痴笞[2]啼{鸡～}苔{青～}[3]耻[5]剃{～头}		
l	[2]离{分～}厘狸璃{琉～}篱{～笆}梨{～园弟子}儿{女～}[3]李理里鲤裹{衫～：衣服里层}汝{你}[6]离{～开}吏痢腻二贰利{～益}字{写～}俐饵{鱼~}莉		
ts	[1]支{分～}肢{四～}枝{接～}之芝脂□{女阴}[2]鹚{鸬～}糍{麻～：米制食品}荠{马～：荸荠}[3]紫姊梓子{果～}只址止趾旨指{～示}[5]志痣{像～}至贽[6]舐{以舌取物}		
tsʰ	[1]鳃{鱼～}[2]持{～续}徐{姓氏}[3]侈齿{不～}[5]试{考～}翅{鱼～}刺[6]饲{～猪}市		
s	[1]诗丝尸施思{相～}司{公～}私{～家}西{～瓜}[2]时匙辞{相～}徐{林则～}[3]死{生～}始矢徙{迁～}[5]四{～月}肆{～万}世{一～人}试势{北～：北面方向}[6]是氏寺视豉{豆～}寺嗣序{～大：长辈}		
k	[1]机{～器}饥肌讥奇{～数}基羁{～留}支{～持}枝{树～}妓{～女}技{～术}箕{簸～}[2]奇琦崎{～岖}其期棋旗麒{～麟}祁祈鳍骑{～兵}蜞{蜈～：水蛭}[3]几{～何}纪杞{枸～}指己{自~}[5]记寄冀计{伙～}既痣{乌～：黑痣}[6]妓{娼～}技{口～}暨{～今}己{家～：自己}		
kʰ	[1]欺□{歪斜不正}[2]骑{～兵}蜞{蜈～：水蛭}[3]企岂起齿{～科：牙科}[5]去器气{空～}汽弃[6]忌{～刻：忌讳}		
ɡ	[2]宜谊疑[4]蚁{蚂～}拟[6]义议毅		
h	[1]希稀牺{～牲}嬉嘻熙曦[2]鱼{大～}[3]喜[5]戏肺{～痨}[6]耳{大～}		
∅	[1]衣{大～}依伊{第三人称}医[2]移夷姨胰怡贻遗{～留}颐[3]倚{偏～}椅已以[5]意[6]异肄预{参与}易{容～}		
#iʔ			
p	[7]鳖{掠龟走～}		
pʰ	[7]□{趴}		
b	[7]覕{躲藏}[8]篾{竹～}		
t	[7]滴{点～}[8]笛{芦～}碟{菜～}□{～物件：要东西}		
tʰ	[7]铁{钢～}[8]□{粘糊状}		
l	[8]裂{～开}		
ts	[7]褶{～皱}接{～人客}[8]折{树枝~}舌{～仔：舌头}		
tsʰ	[7]□{头向下}[8]□{向下压}蠘{梭子蟹}		
s	[7]薛{姓氏}[8]折{～本}蚀{消～}		
k	[7]□{～墙：砌墙}		
kʰ	[7]缺{～角}		
#ĩ			
p	[1]边{～头}鞭{马～}□{扳住}绷{～面}编{～头鬃：打辫子}[2]棚{戏～}坪{草～}平{～路}[3]扁{园～}[5]变{～弄:耍弄}柄{把～}[6]病{破～:生病}		
pʰ	[1]篇{长～}偏{占便宜}[2]彭{姓氏}平{～倒转:扳回}坪{草～}澎{～湖：地名}[5]片{刀～}[6]鼻		
m	[1]□{用手抓取细粒状物体}[2]棉{～花}绵{～羊}暝{暗～:夜晚}芒{刀～:刀锋利处}盲{青～:盲人}明{～仔□:明天}[3]猛{紧～:快}[5]麺{～线:一种细长如线的挂面}		
t	[1]□{甜}□{骹后～:脚后跟}[2]缠{膏膏～:纠缠不休}[3]□{～力:使劲出力}□{～伓知:假装不知道}[6]郑{姓氏}滇{水～:水涨满}		
tʰ	[1]添{～饭}天{～顶:天上}[2]□{目珠～开：眼睛睁开}[3]挺{～开：铺开}展{～开}[5]繵{～衫：缝衣服}		
n	[1]□{奶}□{掂：手～}[2]年{新～}泥□{～衫：晾}尼{～姑}[3]染{～布}耳{木～}		
ts	[1]争{～头名}晶{水～}櫼{柴～：木楔}□{拳打}精{鬼～}[2]钱{趁～：赚钱}睛{天～}簷{厝～：屋簷}[3]井{古～：水井}□{幼小}[5]箭{射～}煎{～粿}□{相争论}[6]静{安静}		
