	注释：-白读，=文读
#ɿ	
ts	[1]知支栀资姿咨滋之芝正-{～月}[2]只{～有}执汁结-{～果子}质织=职植殖[3]制智自致指{动词}巳志寺蛰颈治[5]翅至痔痣正{～面}[7]紫旨指{名词}子梓止趾脂渍
tsʰ	[1]痴齿{牙～}十拾{捡}□{米糠}[2]秩[3]滞赐[7]此耻齿{～轮}[0]稚
dz	[5]池={水～}瓷迟慈磁辞词祠持兹
s	[1]斯厮施私尸司思诗声[2]什{～锦}失室={办公～}食={粮～}蚀识适释[3]势{形～}誓氏屎示□{□uo212～：阿姨}嗣士仕柿事=市□{□tɕyo212～崽：板栗}[5]豉视{近～}饲试式时[7]使={大～}史驶始□{～个时候：什么时候}[0]势{大～：大家}饰□{猫～：猫}□{伢～：伢子，小孩}视{电～}
z	[2]实赢[0]易{容～}□{□xɑ35～：弟弟}□{火～：火苗}
#i	
p	[1]蓖[2]毕必碧璧瓶-{药～}枇[3]比扁{～的}并{～排}□{石～：石板}[5]鼻闭箅{蒸～：蒸笼}[7]彼[0]婢痹备
pʰ	[1]批[2]弼僻辟[5]屁[7]鄙[0]庇
b	[3]篦□{～饭：稀饭}[5]疲脾琵
m	[1]名[2]秘蜜[3]媚[5]迷谜靡弥[7]米={一～}咪{抿}
t	[1]低今{～朝：今天}□{□tɕyᴇ35～：结巴}[2]笛敌狄[3]抵帝地={～主}第递[5]滴[7]的{目～}[0]□{灰～：灰尘}
tʰ	[1]侄[7]体[0]隶{奴～}
d	[5]题提
n	[2]立笠逆历={～史}[3]履{鞋子}丽荔利痢厘李{姓}鲤吏领{引～}[5]厉励黎离□{兔～崽：兔子}[7]狸礼{敬～}理[0]隶{～书}
tɕ	[1]飢{～饿}饑{～荒}肌几{茶～}基机=讥今{～年}腈经{念～}井-{天～}[2]糍缉集辑吸级及疾吉即极戟屐积迹籍藉寂激击剂[3]计=继际寄技妓姊冀忌幾{～个}既季纪{世～}□{黄～：黄母牛；水～：水母牛}[7]室-{房子}挤济己纪{～律}幾{～乎}[0]杞□{□tsɐ55～崽：膝盖；□nu55～骨：膝盖骨}
tɕʰ	[1]妻溪=欺清-轻{～重；年～}青[2]戚[3]企器弃汽请[7]起=祈岂七漆[5]砌契刺气凊{～水：凉水}净-
dʑ	[3]牸{水～：水母牛}[5]奇骑歧祁鳍其棋期旗
ȵ	[1]燃-[3]尔你谊义议[5]泥尼倪念疑沂砚[0]腻
ɕ	[1]西栖犀熙稀希星腥□{鱼～：鱼鳞}□{～该：应该}[2]习袭息昔席夕锡析[3]戏[5]四肆媳[7]洗喜{双～}[0]係{关～}荠{荸～}
∅	[1]医衣依翳[2]缢乙一{～二三}益液译[3]逸肄意忆亿易{交～}翼影{～崽：影子}[5]饴仪夷姨遗□{～亮：熄灯}[7]椅以已一{十～}
#u	
