繁	简	国际音标	备注	调类			调值																																										
瘸	瘸	tɕhyɪ		2																																													
巴	巴	pə	【白读】尾~。	1																																													
巴	巴	pa	【文读】~西；~士。	1																																													
疤	疤	pa		1																																													
芭	芭	pa	~蕉。	1																																													
吧	吧	po	语气词	4																																													
吧	吧	pa	外语bar的音译：酒~。	4																																													
把	把	pa/ma		3																																													
霸	霸	pa		4																																													
怕	怕	pha		4																																													
爬	爬	pha		2																																													
杷	杷	pha		2																																													
媽	妈	ma		1																																													
麻	麻	ma		2																																													
馬	马	ma		3																																													
瑪	玛	ma		3																																													
碼	码	ma		3																																													
罵	骂	ma		4																																													
拿	拿	na/la		2																																													
茶	茶	tsha		2																																													
渣	渣	tsa		1																																													
詐	诈	tsa		4																																													
炸	炸	tsa	爆~；~弹。	4																																													
叉	叉	tsha		1																																													
差	差	tsha		1																																													
差	差	tshɛ	出~	1																																													
差	差	tshɿ	参~。	1																																													
岔	岔	tsha		4																																													
查	查	tsha		2																																													
沙	沙	sa		1																																													
紗	纱	sa		1																																													
灑	洒	sa		3																																													
釃	酾	sɿ		1																																													
加	加	tɕia	【文读】	1																																													
加	加	ka	【白读】	1																																													
嘉	嘉	tɕia	【文读】	1																																													
嘉	嘉	ka	【白读】	1																																													
家	家	ka	【白读】一~人；大~；人~。	1																																													
家	家	tɕia	【文读】国~；~庭；~教。	1																																													
假	假	tɕia	放~。	4																																													
假	假	tɕia	真~。	3																																													
賈	贾	tɕia	姓。	3																																													
賈	贾	kəu	商~。	3																																													
稼	稼	tɕia		4																																													
嫁	嫁	tɕia		4																																													
架	架	tɕia	【文读】	4																																													
架	架	ka	【白读】	4																																													
駕	驾	tɕia		4																																													
價	价	tɕia		4																																													
牙	牙	a	【白读】	2																																													
芽	芽	ia	【文读】	2																																													
衙	衙	a		2																																													
雅	雅	ia		3																																													
霞	霞	ɕia		1																																													
下	下	χa	【白读】	4																																													
下	下	ɕia	【文读】陛~。	4																																													
夏	夏	ɕia		4																																													
鴉	鸦	a	【白读】老~。	1																																													
鴉	鸦	ia	【文读】涂~。	1																																													
丫	丫	a	【白读】	1																																													
丫	丫	ia	【文读】	1																																													
啞	哑	a	【白读】~巴。	3																																													
啞	哑	ia	【文读】沙~。	3																																													
亞	亚	a	【白读】	4																																													
亞	亚	ia	【文读】~洲。	4																																													
姐	姐	tɕɪ		3																																													
借	借	tɕɪ	【文读】	4																																													
借	借	tɕia	【白读】	4																																													
且	且	tɕhɪ		3																																													
笡	笡	tɕhɪ	斜。	4																																													
寫	写	ɕɪ	【文读】	3																																													
寫	写	ɕia	【白读】	3																																													
瀉	泻	ɕiɪ		4																																													
卸	卸	ɕiɪ	【文读】	4																																													
卸	卸	ɕia	【白读】	4																																													
邪	邪	ɕiɪ	【文读】	2																																													
邪	邪	ɕia	【白读】	2																																													
邪	邪	ɪ	莫~。	2																																													
斜	斜	tɕhia		2																																													
謝	谢	ɕɪ		4																																													
爹	爹	tɪ	指爷爷	1																																													
爹	爹	tia	指父亲	1																																													
遮	遮	tɕiɪ		1																																													
者	者	tsɪ		3																																													
蔗	蔗	tsa		1																																													
車	车	tshɪ		1																																													
車	车	tɕʮ	象棋棋子。	1																																													
扯	扯	tshɪ		3																																													
蛇	蛇	sɪ		2																																													
射	射	sɪ		4																																													
賒	赊	ɕɪ		1																																													
舍	舍	sɪ		4																																													
捨	舍	sɪ		3																																													
赦	赦	ɕɪ		4																																													
社	社	sɪ		4																																													
喏	喏	na		1																																													
惹	惹	lɪ	【文读】	3																																													
惹	惹	ɤ	【白读】	3																																													
爺	爷	ɪ	【文读】	2																																													
爺	爷	ia	【白读】	2																																													
耶	耶	ɪ		1																																													
椰	椰	ɪ		1																																													
揶	揶	ɪ		2																																													
也	也	ɪ	【文读】	3																																													
