單字	音標	註
東	təŋ32	
凍	təŋ23	
通	tʰəŋ32	
桐	tʰəŋ21	
洞	təŋ43	
筒	tʰəŋ21	
銅	tʰəŋ21	
童	tʰəŋ21	
同	tʰəŋ21	
聾	ləŋ32	
籠	ləŋ21	
隆	ləŋ21	
窿	ləŋ32	
聰	tsʰəŋ32	
蔥	tsʰəŋ32	
叢	tsʰəŋ21	
忠	tsəŋ32	
中	tsəŋ32	當中
中	tsəŋ23	中毒
蟲	tsʰəŋ21	
沖	tsʰəŋ32	
崇	səŋ21	
眾	tsəŋ23	
終	tsəŋ32	
充	tsʰəŋ32	
絨	jəŋ21	
功	kəŋ32	
工	kəŋ32	
公	kəŋ32	
攻	kəŋ32	
躬	kəŋ32	
宮	kəŋ32	
弓	kəŋ32	
空	hŋ32	
洪	hŋ21	
虹	kʰəŋ23	
烘	kʰəŋ23	
紅	hŋ21	紅色
翁	jəŋ32	
雄	hŋ21	
熊	jəŋ21	
融	jəŋ21	
風	fəŋ32	
蓬	pʰəŋ21	
蜂	fəŋ32	
矇	məŋ21	
濛	məŋ21	
蒙	məŋ21	
夢	məŋ43	
豐	fəŋ32	
窮	kʰəŋ21	
董	təŋ45	
桶	tʰəŋ45	
動	təŋ43	
攏	ləŋ23	
總	tsəŋ45	
孔	kʰəŋ45	
懵	məŋ45	
棟	təŋ43	
痛	tʰəŋ23	
弄	ləŋ43	
粽	tsəŋ45	
送	səŋ23	
貢	kəŋ23	
哄	kʰəŋ23	起哄
諷	fəŋ45	
鳳	fəŋ43	
啄	tœʔ23	
獨	tək33	
讀	tək33	讀書
鹿	lək33	
碌	lək55	
角	kɔ23	
陸	lək33	
六	lək33	
族	tsʰək33	
速	tsʰək55	
肅	sək55	
竹	tsək55	
築	tsək55	
逐	tsʰək33	
筑	tsək55	
縮	sək55	
熟	sək33	
叔	sək55	
肉	jək33	
穀	kək55	
谷	kək55	山谷
鞠	kək55	
菊	kək55	
哭	hək55	
麴	kək55	
蓄	tsʰək55	
屋	ək55	
粥	tsək55	
育	jək33	
卜	pək55	
腹	fək55	
福	fək55	
幅	fək55	
僕	pək33	
服	fək33	
木	mək33	
目	mək33	
牧	mək33	
撲	pʰɔ23	
冬	təŋ32	
疼	tʰəŋ23	訓“痛”
疼	tʰəŋ23	好疼
鼕	tʰəŋ21	
農	nəŋ21	
膿	nəŋ21	
宗	tsəŋ32	
鬆	səŋ32	
統	tʰəŋ45	
宋	səŋ23	
督	tək55	
毒	tək33	
褥	jək33	
酷	hək33	
沃	jək55	
濃	nəŋ21	
龍	ləŋ21	
縱	tsəŋ32	縱橫
縱	tsəŋ23	縱情
蹤	tsəŋ32	
從	tsʰəŋ21	從事
松	tsʰəŋ21	
重	tsʰəŋ21	重來
重	tsʰəŋ23	白讀
重	tsəŋ43	文讀
鐘	tsəŋ32	
鍾	tsəŋ32	
衝	tsʰəŋ32	衝入
衝	tsʰəŋ32	衝南
舂	tsəŋ32	
共	kəŋ43	
恭	kəŋ32	
供	kəŋ32	口供
供	kəŋ23	供品
凶	hŋ32	
兇	hŋ32	
容	jəŋ21	
傭	jəŋ21	
頌	tsəŋ43	
庸	jəŋ21	
封	fəŋ32	
逢	fəŋ21	
縫	fəŋ21	縫衫
縫	fəŋ21	一條縫
鋒	fəŋ32	
丰	fəŋ32	
腫	tsəŋ45	
種	tsəŋ45	樹種
種	tsəŋ23	種樹
鞏	kəŋ45	
恐	kʰəŋ45	
擁	jəŋ45	
勇	jəŋ23	
奉	fəŋ43	
捧	pəŋ45	
誦	tsəŋ43	
用	jəŋ43	
綠	lək33	
錄	lək33	
促	tsʰək55	
粟	sək33	
續	tsʰək33	
俗	tsʰək33	
燭	tsək55	
囑	tsək55	
屬	sək33	
觸	tsək55	
鐲	tsək55	
束	tsʰək55	
贖	sək33	
辱	jək33	
曲	kʰək55	
獄	jək33	
玉	jək33	
浴	jək33	
慾	jək33	
欲	jək33	
局	kʰək33	
樁	tsɔŋ32	
撞	tsɔŋ43	
幢	tsɔŋ43	一幢樓
雙	sœŋ32	
江	kɔŋ32	
扛	kɔŋ32	
控	kʰəŋ23	
腔	hɔŋ32	
缸	kɔŋ32	
降	hɔŋ21	投降
降	kɔŋ23	降級
講	kɔŋ45	
港	kɔŋ45	
項	hɔŋ43	
棒	pʰaŋ23	
巷	hɔŋ43	
桌	tsœʔ23	
濁	ts/tsʰək33	
捉	tsək55	
確	kʰɔ23	
學	hɔk33	
握	a23	
剝	mɔ23	
駁	pɔ23	
雹	pɔk33	
離	lɐi21	
麗	lɐi43	
璃	lɐi45	玻璃
籬	lɐi21	
劑	tsɔi32	
斯	sɐi32	
隨	tsʰui21	
肢	tsi32	
支	tsi32	
只	tsi45	
枝	tsi32	
氏	si43	
炊	tsʰui32	
吹	tsʰui32	
提	tʰɔi21	
垂	sui21	
匙	si21	門匙
匙	tsʰi21	匙羹
堤	tʰɔi21	
施	si32	
兒	ji21	
規	kʰɔi32	
蛇	sɛ21	蛇王
移	ji21	
脾	pʰɐi21	
示	si43	
累	lui43	積累
累	lui43	勞累
紫	tsɐi45	
此	tsʰi45	
紙	tsi45	
是	si43	
舐	sai23	
企	kʰɐi23	
積	tsɐk55	
刺	tsʰai/i23	
睡	sui43	
瑞	sui43	
翅	tsʰi23	
易	ji23	容易
易	jɐk33	貿易
臂	pɐi23	
避	pɐi43	
知	t/tsai/i32	知道
知	tsi23	知識
蜘	tsi32	
池	tsʰi21	
錘	tsʰui21	
馳	tsʰi21	
差	tsʰa32	差異
差	tsʰai32	交差
差	tsʰi32	參差
衰	sui32	衰仔
虧	kʰɔi32	
崖	ŋai21	
儀	ji21	
宜	ji21	
危	ŋɔi21	
犧	hɐi32	
戲	hɐi23	
椅	ji45	
委	vɔi45	委員
爲	vɔi21	以爲
爲	vɔi43	爲了
襬	pai45	
碑	pɐi32	
疲	pʰɐi21	
罷	pa43	
皮	pʰɐi21	
披	pʰɐi32	
奇	kʰɐi21	奇怪
奇	kɐi32	奇數
騎	kʰɐi21	騎單車
騎	kʰɐi23	輕騎
灑	sa45	
跪	kɔi43	
蟻	ŋɔi23	
毀	vɔi45	
倚	ji45	
彼	pɐi45	
被	pʰɐi23	被子
被	pɐi43	被動
技	kɐi43	
智	tsi23	
寄	kɐi23	
誼	ji21	
義	ji23	
議	ji23	
纍	lui21	
梨	lɐi21	
資	tsɐi32	
姿	tsɐi32	
雖	sui32	
私	sɐi32	
脂	tsi32	
推	tʰui32	
誰	sui21	
屍	si32	
羨	sɪŋ43	
唯	vɔi21	唯恐
唯	vɔi45	唯唯諾諾
遺	vɔi21	非遺
維	vɔi21	
姨	ji21	
比	pɐi45	比如
葵	kʰɔi21	
壘	lui23	壘球
姊	tsɐi45	
死	sɐi45	
指	tsi45	
旨	tsi45	
視	si43	
水	sui45	
地	tɐi43	
淚	lui43	
利	lɐi43	
類	lui43	
醉	tsui23	
翠	tsʰui23	
次	tsʰɐi23	
自	tsɐi43	
四	sɐi23	
肆	sɐi23	大肆
肆	sɐi23	同“四”
穗	sui43	
至	tsi23	
出	tsʰɐk55	
二	ji43	
季	kɔi23	
棄	hɐi23	
鼻	pɐi43	
屁	pʰɐi23	
尼	nɐi21	
呢	nɛ32	語氣詞
追	tsui32	
遲	tsʰi21	
鎚	tsʰui21	
師	si32	
篩	sɔi32	
獅	sɐi32	
肌	kɐi32	
龜	kɔi32	烏龜
飢	kɐi32	
悲	pɐi32	
黴	mui21	
眉	mɐi21	
軌	kɔi45	
几	kɐi32	
鄙	pʰɐi45	
否	fɔ45	是否
美	mɐi23	
致	tsi23	
質	tsɐk55	質量
質	tsi23	人質
緻	tsi23	
帥	sui23	
率	sɐk55	率先
率	lɐk33	比率
愧	kʰɔi23	
器	hɐi23	
位	vɔi43	
祕	pɐi23	
費	fɔi23	
備	pɐi43	
櫃	kɔi43	
狸	lɐi21	
仔	tsɐi45	仔細
仔	tsɔi45	狗仔
滋	tsɐi32	
慈	tsʰɐi21	
思	sɐi32	思考
思	sɐi23	意思
絲	sɐi32	
司	sɐi32	
詞	tsʰɐi21	
辭	tsʰɐi21	
祠	tsʰɐi21	
持	tsʰi21	
治	tsi23	
