cid	character	initial	final	tone	note
241	耳	∅	ɚ	51	
242	记	tɕ	i	35	
243	棋	dʑ	i	223	
244	喜	ɕ	i	51	
245	意	∅	i	35	
246	几	tɕ	i	35	
247	气	tɕh	i	35	
248	希	ɕ	i	433	
249	衣	∅	i	433	
250	嘴	ts	ue	51	
251	随	z	ue	223	
252	吹	tɕh	y	433	白
252	吹	tɕh	ue	433	文
253	垂	dz	ue	223	
254	规	k	ue	433	
255	亏	kh	ue	433	
256	跪	ɡ	ue	24	
257	危	∅	ue	223	
258	类	l	e	24	
259	醉	ts	ue	35	
260	追	ts	ue	433	
261	锤	dz	ue	223	文
262	水	ɕ	y	51	
263	龟	k	ue	433	
264	季	tɕ	i	35	
265	柜	ɡ	ue	24	
266	位	∅	ue	24	
267	飞	f	i	433	
268	费	f	i	35	
269	肥	f	i	223	
270	尾	m	i	51	白
270	尾	∅	ue	51	文
271	味	v	i	24	
272	鬼	k	ue	51	
273	贵	k	ue	35	
274	围	∅	ue	223	
275	胃	∅	ue	24	
276	宝	p	ɔ	51	
277	抱	b	ɔ	24	
278	毛	m	ɔ	223	
279	帽	m	ɔ	24	
280	刀	t	ɔ	433	
281	讨	th	ɔ	51	
282	桃	d	ɔ	223	
283	道	d	ɔ	24	
284	脑	n	ɔ	51	
285	老	l	ɔ	51	
286	早	ts	ɔ	51	
287	灶	ts	ɔ	35	
288	草	tsh	ɔ	51	
289	糙	tsh	ɔ	35	
290	造	dz	ɔ	24	
291	嫂	s	ɔ	51	
292	高	k	ɔ	433	
293	靠	kh	ɔ	35	
294	熬	ŋ	ɔ	223	
295	好	x	ɔ	51	
296	号	x	ɔ	24	
297	包	p	ɔ	433	
298	饱	p	ɔ	51	
299	炮	ph	ɔ	35	
300	猫	m	ɔ	433	
301	闹	n	ɔ	24	
302	罩	ts	ɔ	35	
303	抓	ts	ua	433	
304	找	ts	ɔ	51	
305	抄	tsh	ɔ	433	
306	交	tɕ	iɔ	433	
307	敲	kh	ɔ	433	
308	孝	ɕ	iɔ	35	
309	校	∅	iɔ	24	
310	表	p	iɔ	51	
311	票	ph	iɔ	35	
312	庙	m	iɔ	24	
313	焦	tɕ	iɔ	433	
314	小	ɕ	iɔ	51	
315	笑	ɕ	iɔ	35	
316	朝	dz	ɔ	223	
317	照	ts	ɔ	35	
318	烧	s	ɔ	433	
319	绕	ȵ	iɔ	24	
320	桥	dʑ	iɔ	223	
321	轿	dʑ	iɔ	24	
322	腰	∅	iɔ	433	
323	要	∅	iɔ	35	
324	摇	∅	iɔ	223	
325	鸟	t	iɔ	51	
326	钓	t	iɔ	35	
327	条	d	iɔ	223	
328	料	l	iɔ	24	
329	箫	ɕ	iɔ	433	
330	叫	tɕ	iɔ	35	
331	母	m	u	51	
332	抖	t	iəu	51	
333	偷	th	iəu	433	
334	头	d	iəu	223	
335	豆	d	iəu	24	
336	楼	l	iəu	223	
337	走	tɕ	iəu	51	
338	凑	tɕh	iəu	35	
339	钩	k	iəu	433	
340	狗	k	iəu	51	
341	够	k	iəu	35	
342	口	kh	iəu	51	
343	藕	ȵ	iəu	51	
344	后	∅	iəu	24	
345	厚	ɡ	iəu	24	
346	富	f	u	35	
347	副	f	u	35	
348	浮	v	u	223	
349	妇	v	u	24	
350	流	l	iəu	223	
351	酒	tɕ	iəu	51	
352	修	ɕ	iəu	433	
353	袖	ʑ	iəu	24	
354	抽	tɕh	iəu	433	
355	绸	dʑ	iəu	223	
356	愁	dʑ	iəu	223	
357	瘦	ɕ	iəu	35	
358	州	tɕ	iəu	433	
359	臭	tɕh	iəu	35	
360	手	ɕ	iəu	51	
361	寿	ʑ	iəu	24	
362	九	tɕ	iəu	51	
363	球	dʑ	iəu	223	
364	舅	dʑ	iəu	24	
365	旧	dʑ	iəu	24	
366	牛	ȵ	iəu	223	
367	休	ɕ	iəu	433	
368	优	∅	iəu	433	
369	有	∅	iəu	51	
370	右	∅	iəu	24	
371	油	∅	iəu	223	
372	丢	t	iəu	433	
373	幼	∅	iəu	433	
374	贪	th	ɛ	433	
375	潭	d	ɛ	223	
376	南	n	ɛ	223	
377	蚕	z	ɛ	223	
378	感	k	ɛ	51	
379	含	∅	ɛ	223	
380	暗	ŋ	ɛ	35	白
380	暗	∅	ɛ	35	文
381	搭	t	ɐʔ	53	
382	踏	d	ɑʔ	223	
383	拉	l	a	433	
384	杂	dz	ɑʔ	223	
385	鸽	k	əʔ	53	
386	盒	∅	ɑʔ	223	
387	胆	t	ɛ	51	
388	毯	th	ɛ	51	
389	淡	d	ɛ	24	
390	蓝	l	ɛ	223	
391	三	s	ɛ	433	
392	甘	k	ɛ	433	
393	敢	k	ɛ	51	
394	喊	x	ɛ	35	
395	塔	th	ɐʔ	53	
396	蜡	l	ɑʔ	223	
397	赚	dz	ɛ	24	
398	杉	s	ɛ	433	
399	减	tɕ	ie	51	
400	咸	∅	ɛ	223	
401	插	tsh	ɐʔ	53	
402	闸	z	ɑʔ	223	
403	夹	ɡ	ɑʔ	223	
404	衫	s	ɛ	433	
405	监	tɕ	ie	433	
406	岩	ŋ	ɛ	223	
407	甲	k	əʔ	53	白
407	甲	tɕ	ieʔ	53	文
408	鸭	ŋ	ɐʔ	53	
409	黏	ȵ	ie	433	
410	尖	tɕ	ie	433	
411	签	tɕh	ie	433	
412	占	ts	uɛ	35	
413	染	ȵ	ie	51	
414	钳	dʑ	ie	223	
415	验	ȵ	ie	24	
416	险	ɕ	ie	51	
417	厌	∅	ie	35	
418	炎	∅	ie	223	
419	盐	∅	ie	223	
420	接	tɕ	ieʔ	53	
421	折	ts	əʔ	53	
422	叶	∅	iæʔ	223	
423	剑	tɕ	ie	35	
424	欠	tɕh	ie	35	
425	严	ȵ	ie	223	
426	业	ȵ	iæʔ	223	
427	点	t	ie	51	
428	店	t	ie	35	
429	添	th	ie	433	
430	甜	d	ie	223	
431	念	ȵ	ie	24	
432	嫌	∅	ie	223	
433	跌	t	ieʔ	53	
434	贴	th	ieʔ	53	
435	碟	d	iæʔ	223	
436	协	∅	iæʔ	223	
437	犯	v	ɛ	24	
438	法	f	ɐʔ	53	
439	品	ph	iŋ	51	
440	林	l	iŋ	223	
441	浸	tɕ	iŋ	35	
442	心	ɕ	iŋ	433	
443	寻	ʑ	iŋ	223	
444	沉	dz	eŋ	223	
445	参	s	eŋ	433	
446	针	ts	eŋ	433	
447	深	s	eŋ	433	
448	任	z	eŋ	24	
449	金	tɕ	iŋ	433	
450	琴	dʑ	iŋ	223	
451	音	∅	iŋ	433	
452	立	l	iæʔ	223	
453	集	dʑ	iæʔ	223	
454	习	ʑ	iæʔ	223	
455	汁	ts	əʔ	53	
456	十	z	æʔ	223	白
456	十	ʑ	iæʔ	223	文
457	入	z	æʔ	223	
458	急	tɕ	ieʔ	53	
459	及	dʑ	iæʔ	223	
460	吸	ɕ	ieʔ	53	
461	单	t	ɛ	433	
462	炭	th	ɛ	35	
463	弹	d	ɛ	223	
464	难	n	ɛ	223	
465	兰	l	ɛ	223	
466	懒	l	ɛ	51	
467	烂	l	ɛ	24	
468	伞	s	ɛ	51	
469	肝	k	ɛ	433	
470	看	kh	ɛ	35	
471	岸	ŋ	ɛ	24	
472	汉	x	ɛ	35	
473	汗	∅	ɛ	24	
474	安	∅	ɛ	433	
475	达	d	ɑʔ	223	
476	辣	l	ɑʔ	223	
477	擦	kh	a	433	
478	割	k	əʔ	53	
479	渴	kh	əʔ	53	
480	扮	p	ɛ	35	
481	办	b	ɛ	24	
482	铲	tsh	ɛ	51	
483	山	s	ɛ	433	
484	产	tsh	ɛ	51	
485	间	k	ɛ	433	
486	眼	ŋ	ɛ	51	
487	限	∅	ie	24	
488	八	p	ɐʔ	53	
489	扎	ts	əʔ	53	
490	杀	s	ɐʔ	53	
491	班	p	ɛ	433	
492	板	p	ɛ	51	
493	慢	m	ɛ	24	
494	奸	k	ɛ	433	
495	颜	ŋ	ɛ	223	
496	瞎	x	ɐʔ	53	
497	变	p	ie	35	
498	骗	ph	ie	35	
499	便	b	ie	24	
500	棉	m	ie	223	
501	面	m	ie	24	
502	连	l	ie	223	
503	剪	tɕ	ie	51	
504	浅	tɕh	ie	51	
505	钱	dʑ	ie	223	
506	鲜	ɕ	ie	433	
507	线	ɕ	ie	35	
508	缠	dz	ɛ	223	
509	战	ts	ɛ	35	
510	扇	ɕ	yɛ	35	
511	善	ɕ	yɛ	24	
512	件	dʑ	ie	24	
513	延	∅	ie	223	
514	别	b	iæʔ	223	
515	灭	m	iæʔ	223	
516	列	l	iæʔ	223	
517	撤	tsh	əʔ	53	
518	舌	z	æʔ	223	
519	设	s	əʔ	53	
520	热	ȵ	iæʔ	223	
521	杰	dʑ	iæʔ	223	
522	孽	ȵ	iæʔ	223	
523	建	tɕ	ie	35	
524	健	dʑ	ie	24	
525	言	∅	ie	223	
526	歇	ɕ	ieʔ	53	
527	扁	p	ie	51	
528	片	ph	ie	35	
529	面	m	ie	24	
530	典	t	ie	51	
531	天	th	ie	433	
532	田	d	ie	223	
533	垫	d	ie	24	
534	年	ȵ	ie	223	
535	莲	l	ie	223	
536	前	dʑ	ie	223	
537	先	ɕ	ie	433	
538	肩	tɕ	ie	433	
539	见	tɕ	ie	35	
540	牵	tɕh	ie	433	
541	显	ɕ	ie	51	
542	现	∅	ie	24	
543	烟	∅	ie	433	
544	憋	p	ieʔ	53	
545	篾	m	iæʔ	223	
546	铁	th	ieʔ	53	
547	捏	ȵ	ieʔ	53	
548	节	tɕ	ieʔ	53	
549	切	tɕh	ieʔ	53	
550	截	dʑ	iæʔ	223	
551	结	tɕ	ieʔ	53	
552	搬	p	ɛ	433	
553	半	p	ɛ	35	
554	判	ph	ɛ	35	
555	盘	b	ɛ	223	
556	满	m	ɛ	51	
557	端	t	uɛ	433	
558	短	t	ɛ	51	
559	断	d	ɛ	24	
560	暖	n	uɛ	51	
561	乱	l	uɛ	24	
562	酸	s	uɛ	433	
563	算	s	uɛ	35	
564	官	k	uɛ	433	
565	宽	kh	uɛ	433	
566	欢	x	uɛ	433	
567	完	∅	uɛ	223	
568	换	∅	uɛ	24	
569	碗	∅	uɛ	51	
570	拨	p	o	433	
571	泼	ph	ɐʔ	53	
572	末	m	ɑʔ	223	
573	脱	th	əʔ	53	
574	夺	d	æʔ	223	
575	阔	kh	uəʔ	53	
576	活	∅	uɐʔ	223	
577	顽	∅	uɛ	223	
578	滑	∅	uɐʔ	223	
579	挖	∅	uəʔ	53	
580	闩	ɕ	yɛ	433	
581	关	k	uɛ	433	
582	惯	k	uɛ	35	
583	还	∅	uɛ	223	
584	还	∅	ua	223	
585	弯	∅	uɛ	433	
586	刷	s	uəʔ	53	
587	刮	k	uəʔ	53	
588	全	dʑ	yɛ	223	
