#ɿ
tsʰ[5]此{官话借词}[6]慈{官话借词}磁{~石，官话借词}
s[3]思{官话借词}[9]示视士市寺侍

#i
p[1]骠{肥~}標彪[2]匙{汤~}瓢嫖{~赌}勺{瓢的训读}[3]錶表[5]璧{官话借词}僻{官话借词}碧{官话借词}[6]壁{官话借词}必{官话借词}弼{官话借词}[7]鳖憋[9]敝弊币毙避庇痹臂
pʰ[1]飘漂漂{~亮}[5]票{车~}[6]疲{官话借词}脾{官话借词}闢{官话借词}[7]掷劈撇{~捺}丢秕{~子}鄙
m[2]苗[6]庙谜[8]䉲{竹篾}觅篾{竹~}
f[7]血
t[1]猪朝{今~}刁貂雕[2]槌锤拳条[3]鸟的{慢慢~}[5]钓调{音~}调{~动}[6]的{官话借词，目~}嫡{官话借词}敌{官话借词}[7]竹烛着{~衣}[8]笛着{睡~}碟蝶牒[9]递
tʰ[3]柱[5]跳[6]筷箸厨住[7]帖{碑~}贴踢铁剔
n[3]女[5]拟[6]尿逆{~风，官话借词}[7]捏塑泥菩萨[8]孽
l[1]狸{野~}[3]了{~结}[5]履[6]泪歴虑滤料廖{姓}率{官话借词}[8]六绿陆[9]例厉励吏
ts[1]蕉{芭~}椒焦樵[6]缉{官话借词，~鞋口}辑{官话借词，编~}籍{官话借词}藉{官话借词，狼~}寂{官话借词}即{官话借词}[7]接妾捷脊节截[8]席[9]际祭济
tsʰ[1]锹[5]趣[7]戚切{~开}
s[1]消宵霄硝销萧箫[3]需须[5]笑[6]袭{官话借词}昔{官话借词}席{官话借词}夕{官话借词}析{官话借词}悉{官话借词}熄{官话借词}媳{官话借词}[7]薛屑{木~}雪削[9]恤
tɕ[1]枝肢只{~有}脂[3]支{官话借词}芝{官话借词}纸旨指止趾[5]翅鳍痔痣照[6]置执质职殖植绩[7]摺{~叠}隻折{~断}浙炙[9]技妓智致稚{幼~}志
tɕʰ[3]齿[5]耻[6]池{官话借词}持{官话借词}赤{官话借词}斥{官话借词}秩{官话借词}赵[7]尺
ȵ[3]蚁耳惹[6]二贰{~心}月{~亮}[7]月{年~}[8]热
ɕ[1]尸诗烧煨[3]施{官话借词}嬉{官话借词}是屎喜少{多~}[5]试[6]豉{豆~}时始什{官话借词，~物}适{官话借词}释{官话借词}识{官话借词}失{官话借词}室{官话借词}[8]石{单念}舌[9]市氏式
k[1]饥{~饿}杞塍[2]骑旗棋[3]继基己纪{~律}几{~个}举拘驹矩缴{上~}搅[5]寄季记既锯句叫[6]级{官话借词}击{官话借词}激{官话借词}局{官话借词}吉{官话借词}极{官话借词}[7]涩揭结菊脚[9]据具俱惧橘剧{~烈}剧{戏~}
