ᴀ
p [1] 巴芭疤笆把{量词}爸吧 [3] 把{～守}靶 [5] 霸坝{堤～}耙{～地}罢把{刀～}
p' [1] 啪 [2] 钯{～子}杷爬琶 [5] 怕
m [1] 妈 [2] 麻蟆 [3] 马码蚂{～蚁} [5] 骂
t [1] 大{ᴀ～～指父亲} [3] 打 [5] 大
t' [1] 他
n [1] 那{没～，没有} [2] 拿哪{ᴀ} [3] 哪{b～里} [5] 那
l [1] 拉{b入}啦 [2] 旯
tʂ [1] 查{山～}渣 [3] 拃{～了一～}咱 [5] 诈榨{～油}炸{ᴀ～弹}乍
tʂ' [1] 叉杈差{～别} [2] 茶茬查{调～}搽 [3] 厦{大～}衩{～裤} [5] 岔{三～路}诧{～异}
ʂ [1] 沙纱萨仨 [3] 洒傻撒{～种} [5] 厦{～门}撒
k' [3] 喀
x [1] 哈
iᴀ
p [1] □{语助词“吧呀”的合音}
l [3] 俩
tɕ [1] 痂
c [1] 家加嘉傢{～俱}佳 [3] 假贾{姓～} [5] 架驾稼嫁价
c' [1] □{抱} [3] 卡恰{（入）～好}
ç [1] 虾哈{～腰}霞瑕遐 [2] 暇 [5] 吓{～一跳}下{～降}夏
∅ [1] 鸦丫 [2] 牙芽衙伢涯 [3] 雅哑亚 [5] 砑讶鸭{入}轧{入}压{ᴀ入}
uɑ
n [1] 搦{～成一团}
tʂ [1] 抓 [3] 爪
ʂ [3] 耍
k [1] 瓜刮{入} [3] 寡剐 [5] 挂卦
k' [1] 夸 [3] 垮侉 [5] 跨
x [1] 花华桦 [2] 铧猾{入} [5] 划化画话
∅ [1] 蛙洼娃{ᴀ鸡～}挖{入} [2] 娃{b} [3] 瓦{（名词）} [5] 瓦{（动词）}瓦{～刀}袜{ᴀ入}
uʌ
l [1] 罗{～嗦}
ʂ [1] 嗦{罗～}摔{白}
k' [1] 棵{一～树}颗{一～珠}
∅ [3] 我
ɔ
p [1] 包{白} [5] 豹{白}
p' [1] 泡{白} [2] 袍{白}
m [2] 茅{（白）厕所} [5] 帽{白}
f [2] 房{白}
t [1] 兜{白} [3] 斗{升、斗} [5] 豆{白}
t' [2] 头{（白）刚才、先头}
l [2] □{厢房}
ʂ [1] 梢 [5] 潲{白}
k [1] 羔{白}
k' [5] 扣{白}
x [2] 壕{白}
ɣ [3] 袄{白} [5] 鏊{烙饼用具}
iɔ
p [3] 表{（白）夹衣或棉衣的外层}
t' [1] 条{（白）木～、枝～、萝卜～}
c [5] 窖{（白）}
c' [1] 丘{（白）}
∅ [3] 莠
o
p [1] 波菠玻 [3] 跛{～足}簸{～一～}播 [5] 簸{～箕}
p' [1] 坡颇{ᴀ} [2] 婆 [3] 颇{b}叵 □{豁出去，如～上命他也要去} [5] 破
m [2] 魔磨摩{～擦} [3] 抹{～油} [5] 磨{～面，石～}
uo
t [1] 多朵 [3] 躲 [5] 舵驮{名词}惰𮃄{柴～}堕剁
t' [1] 拖 [2] 驼驮{～起来}陀沱 [3] 妥椭 [5] 唾
n [2] 挪{～动} [3] 诺{入} [5] 懦糯
l [1] □{ᴀ后圪～，炕箩} [2] 罗锣箩{b}骡螺萝腡{手指文} [3] 裸{～体}瘰{～疠}虏 [5] 摞{～起来}
tʂ [3] 左佐 [5] 坐座
tʂ' [1] 搓 [2] 矬{～矮} [5] 挫措错
ʂ [1] 梭{织布～} [3] 锁琐所唢唆{教～}
k [1] 锅戈蜗{ᴀ} [3] 果裹馃{油～} [5] 过
k' [1] 科{白}窠 [5] 课{白}
x [2] 和{～气} [3] 火伙 [5] 祸货
∅ [1] 倭{～寇}窝蜗{b} [5] 卧
ɤ
k [1] 歌 [3] 哥 [5] 个
k' [1] 苛{文}科{文} [3] 可 [5] 课{文}
x [2] 何荷{～花}河 [5] 贺
ɣ [1] 阿{～胶}俄 [2] 蛾鹅讹娥 [5] 饿
ə
n [3] 那{那儿，那里}
l [2] 儿而 [3] 耳饵尔 [5] 二贰
tʂ [3] 这{这儿，这里}
ie
p [2] 别{ᴀ入} [5] 别{b入}
m [1] 乜{～斜}
t [1] 爹
l [3] 咧{～咀}
tɕ [1] 遮秸蔗 [3] 姐者 [5] 借芥疥
tɕ' [1] 车{～马} [3] 且扯 [5] □{圪～，拖延时间}
ɕ [1] 赊奢些 [2] 蛇鞋邪斜协{入} [3] 舍佘写 [5] 泻卸谢社射麝赦舍{宿～}
c [1] 皆阶街偕 [3] 解{了～，～开} [5] 介界届戒械
c' [2] 茄
ç [2] 谐解{姓～}携懈蟹
∅ [1] 爷{ᴀ} 耶 [2] 爷{b} 崖 [3] 惹{入}也野冶 [5] 夜
ue
k' [5] 筷{白}块{白}
∅ [5] 外{白}位{白}
ye
l [1] □{圪～，轮子}
tɕ [1] 嗟
c' [2] 瘸
ç [1] 靴
∅ [3] 哕{圪～} [5] 耀{b}跃{b}
ʅ
tʂ [1] 支肢枝栀知{文}资姿咨兹芝炙{入}蜘{文}智滋辎{～重} [3] 紫纸姊旨梓滓止趾址指{～向}子脂 [5] 制{文}滞自致稚至字志痣恣痔峙帜□{称，～盐}
tʂ' [1] 疵哆雌{ᴀ}差{参～}驰 [2] 雌{b}瓷慈磁辞词糍祠 [3] 此齿趾耻 [5] 翅赐刺伺次
ʂ [1] 斯厮撕施私师狮尸司丝思嗣饲诗嗜 [2] 时 [3] 死屎使史驶始豉 [5] 氏四肆示视寺似祀士仕柿事矢巳{辰～}市恃试侍势{文}
i
p [3] 蓖{～麻}陛彼俾譬比鄙秕{～谷} [5] 蔽敝币闭弊毙臂被备避蓖痹{ᴀ麻～}
p' [1] 批披坯{ᴀ}匹 [2] 庇痹{b}皮琵枇 [3] 脾疲痞 [5] 屁
m [1] 靡{～费} [2] 迷谜糜弥媚眉楣嵋泥{白} [3] 米 [5] 秘泌
t [1] 低羝提{白} [3] 底抵 [5] 第弟帝递
t' [1] 梯屉 [2] 题堤提{文}蹄啼 [3] 体 [5] 替涕剃嚏
n [2] 泥{文}倪尼 [3] 你 [5] 腻
l [1] 璃 [2] 犁黎篱梨 [3] 鲤礼狸李里理 [5] 例厉历{入}励丽隶离荔利痢吏
tɕ [1] 知 [3] 挤济 [5] 系{～鞋带}制{白}痔治祭际剂
tɕ' [1] 妻栖凄痴 [2] 齐脐池迟 [5] 砌
ɕ [1] 西犀 [5] 细世势
c [1] 鸡稽饥讥戟肌基几{～乎}机姬 [3] 几己{（文）自～} [5] 计寄技妓冀纪记忌既季继
c' [1] 期欺 [2] 奇骑岐祁鳍棋旗企杞岂箕 [3] 启起其己{（白）自～} [5] 契器弃气汽泣讫迄
ç [1] 奚溪兮畦牺熙希稀匙 [3] 嬉喜 [5] 系{～统，联～}戏
∅ [1] 倚蚁伊医衣姨{ᴀ}依揖{（入）作～} [2] 移疑拟肄{～业}姨{b} [3] 椅矣已{～往}以乙{入}亦尾{（白）猪～巴} [5] 艺刈宜仪议谊义易{入}意异缢毅日{（入）～头}逸{入}忆{入}亿{入}翼益{入}译{入}易{交～}疫{入}役{入}抑匿{白}逆{入}癔
u
p [3] 补捕 [5] 部簿{文}布怖步埠抱{b}脯{胸～}
p' [1] 铺{～设} [2] 蒲菩 [3] 谱普浦 [5] 铺{店～}
m [2] 模谋 [3] 某亩牡母姆 [5] 牧{入}暮慕墓募幕{入}穆{入}目{入}
f [1] 夫跗{～面}麸孚 [2] 敷俘孵符扶芙浮 [3] 府腑俯甫斧抚釜腐辅否肤 [5] 父赋付讣附妇负阜富副缚赴
t [2] 都{～城} [3] 肚{羊～} [5] 肚
t' [2] 徒屠途涂{文}图 [3] 土吐 [5] 兔
n [2] 奴{文} [3] 努 [5] 怒
l [2] 卢炉芦庐如 [3] 鲁橹卤乳汝儒 [5] 路赂鹭露{文}潞辘
tʂ [1] 租组猪诸诛蛛{～网}朱珠株 [3] 祖煮柱主阻帚 [5] 著柱住注驻蛀
tʂ' [1] 粗初刍 [2] 除锄厨 [3] 储褚苧处{相～}杵楚础 [5] 醋处{～长}
ʂ [1] 输苏酥疏{～远}蔬书舒枢殊梳 [3] 数{动词}暑鼠黍署薯 [5] 素诉塑嗉{鸡～}疏{注～}树竖漱庶恕数{～学}
k [1] 姑孤箍估牯辜 [3] 古股鼓 [5] 故固雇顾
k' [1] 枯 [3] 苦 [5] 库裤
x [1] 呼乎 [2] 胡湖狐壶瓠
∅ [1] 乌污坞巫诬呜侮 [2] 吴蜈无吾毋 [3] 五伍午武鹉舞{ᴀ} [5] 误悟晤恶{可～}务雾戊舞{b}物{入}勿{入}
y
n [3] 女
l [2] 驴 [3] 吕旅屡履缕捋 [5] 虑滤律{入}率{（入）效～}
tɕ [1] 疽 [5] 聚
tɕ' [1] 蛆趋 [3] 取娶 [5] 趣
ɕ [1] 须需胥吁{文} [2] 徐 [5] 序叙绪絮续婿
c [1] 居车{～马炮}驹 [3] 举 [5] 巨拒距据锯句具矩剧{～烈，戏～}俱
c' [1] 渠区驱瞿 [5] 去{来～，～皮}
ç [1] 墟虚嘘吁{ᴀ（文）长～短叹} [3] 许
∅ [1] 淤吁{叹气}愚[2] 余于盂鱼渔与{给～}虞榆逾 [3] 语雨宇禹汝{白}擩{～进去} [5] 吁{呼～}浴欲{～望}郁育玉狱誉{荣～}预豫御{驾～}娱遇愉愈芋喻裕域
ᴀi
p [3] 摆 [5] 拜败稗
p' [2] 排牌徘{～徊} [5] 派
m [2] 埋 [3] 买 [5] 卖迈
t [1] 呆 [5] 戴贷代袋待怠殆带大{～夫}
t' [1] 胎苔态 [2] 台抬 [5] 太泰
n [3] 奶乃 [5] 奈耐捺{白}
l [2] 来{～去} [5] 癞赖
tʂ [1] 栽斋灾 [3] 宰载{一年半～，～重} [5] 再在债寨载{满～}
tʂ' [1] 猜差{出～}腮{白}鳃 [2] 才财材裁柴豺 [3] 彩采睬 [5] 蔡菜
ʂ [1] 筛腮{文} [5] 赛晒塞{～外}
k [1] 该 [3] 改 [5] 盖{文}丐{乞～}概溉
k' [1] 开 [3] 慨{感～}凯楷
x [2] 还{～有}孩 [3] 海 [5] 害亥骇解{～数}
∅ [1] 哀埃挨捱唉 [3] 蔼矮碍{障～}霭 [5] 艾爱碍{～事}
uᴀi
tʂ [5] 拽
tʂ' [3] 揣{～摸}
ʂ [1] 衰摔{文} [3] 甩{～手} [5] 帅率{～领}
k [1] 乖 [3] 拐 [5] 怪
k' [3] 蒯㧟{挎，～篮} [5] 会{～计}刽桧块{文}筷{文}快
x [2] 怀槐淮 [5] 坏
∅ [1] 歪{好～，意好坏} [3] 歪{意，不正} [5] 外{文}
ei
p [1] 杯碑卑婢悲背{～东西}北{文} [5] 贝倍辈背{～后}焙{～干}
p' [1] 胚坯{b} [2] 培陪赔邳 [3] 丕沛裴 [5] 配佩辔{～头}
m [2] 霉梅枚玫媒煤 [3] 每美 [5] 妹昧寐墨{入}
f [1] 非飞妃 [2] 肥 [3] 翡匪榧菲 [5] 痱费废肺吠
k [5] 盖{白}
x [2] 孩{白}
uei
t [1] 堆 [3] 兑{～清} [5] 对队兑{～换}碓
t' [1] 推 [2] 颓 [3] 腿 [5] 退蜕褪
n [5] 内
l [2] 雷 [3] 蕊儡累{积～}垒 [5] 累瑞泪类锐
tʂ [1] 追锥椎堆{b}
tʂ' [1] 摧崔吹炊 [2] 垂槌锤
ʂ [1] 虽 [2] 随髓绥谁遂隧 [3] 水 [5] 岁税碎睡穗
k [1] 归圭闺规龟{文}轨 [3] 诡鬼 [5] 桂跪柜贵
k' [1] 盔溃亏窥 [3] 奎癸傀魁逵葵□{～对，将就} [5] 愧
x [1] 恢挥辉{ᴀ}徽灰□{孤单、寂寞} [2] 回和{白} [3] 晦毁悔 [5] 贿汇会{开～，～不～}绘惠慧秽{文}讳
∅ [1] 危威卫{～生}微 [2] 为{作～}维遗{～之千金}围韦薇 [3] 桅煨伪委萎违伟苇纬尾{文} [5] 卫{保～}位{文}魏畏慰胃谓猬唯惟未味{文}
ɑo
p [1] 抱{ᴀ}包刨{～地}雹鲍 [3] 褒保堡宝饱 [5] 报暴豹{文}爆曝{文}刨{～床}
p' [1] 泡{文}抛剖 [2] 袍{文}跑胞狍 [5] 炮
m [1] 猫{ᴀ} [2] 髦毛茅猫{b}矛锚 [3] 卯 [5] 冒帽{文}茂贸貌
t [1] 刀叨 [3] 祷岛倒{打～}导捣悼 [5] 到倒{～水}稻盗道{文}
t' [1] 掏 [2] 滔桃逃淘陶涛萄 [3] 讨 [5] 套
n [2] 铙 [3] 脑恼 [5] 闹
l [1] 捞{ᴀ} [2] 劳捞{b}牢饶 [3] 老挠扰绕 [5] 唠{～叨}涝
