汉字	ipa	声母	韵母	声调	
答	tɐp3	t	ɐp	中陰入	3
搭	tɐp3	t	ɐp	中陰入	3
塔	tʰɐp3	tʰ	ɐp	中陰入	3
塌	tʰɐp3	tʰ	ɐp	中陰入	3
插	tʃʰɐp3	tʃʰ	ɐp	中陰入	3
夾	kɐp3	k	ɐp	中陰入	3
甲	kɐp3	k	ɐp	中陰入	3
裌	kɐp3	k	ɐp	中陰入	3
恰	hɐp3	h	ɐp	中陰入	3
鴨	øɐp3	ø	ɐp	中陰入	3
押	øɐp3	ø	ɐp	中陰入	3
鴿	kip3	k	ip	中陰入	3
八	pat3	p	at	中陰入	3
法	fat3	f	at	中陰入	3
髮	fat3	f	at	中陰入	3
發	fat3	f	at	中陰入	3
札	tʃat3	tʃ	at	中陰入	3
扎	tʃat3	tʃ	at	中陰入	3
紮	tʃat3	tʃ	at	中陰入	3
擦	tʃʰat3	tʃʰ	at	中陰入	3
刷	tʃʰat3	tʃʰ	at	中陰入	3
察	tʃʰat3	tʃʰ	at	中陰入	3
殺	ʃat3	ʃ	at	中陰入	3
刮	kwat3	kw	at	中陰入	3
涮	kwat3	kw	at	中陰入	3
挖	wat3	w	at	中陰入	3
壓	øat3	ø	at	中陰入	3
割	kɔt3	k	ɔt	中陰入	3
渴	hɔt3	h	ɔt	中陰入	3
柏	pak3	p	ak	中陰入	3
伯	pak3	p	ak	中陰入	3
百	pak3	p	ak	中陰入	3
拍	pʰak3	pʰ	ak	中陰入	3
責	tʃak3	tʃ	ak	中陰入	3
窄	tʃak3	tʃ	ak	中陰入	3
冊	tʃʰak3	tʃʰ	ak	中陰入	3
策	tʃʰak3	tʃʰ	ak	中陰入	3
拆	tʃʰak3	tʃʰ	ak	中陰入	3
格	kak3	k	ak	中陰入	3
革	kak3	k	ak	中陰入	3
隔	kak3	k	ak	中陰入	3
客	hak3	h	ak	中陰入	3
嚇	hak3	h	ak	中陰入	3
瞎	hak3	h	ak	中陰入	3
握	øak3	ø	ak	中陰入	3
駁	pɔːk3	p	ɔːk	中陰入	3
搏	pɔːk3	p	ɔːk	中陰入	3
剝	mɔːk3	m	ɔːk	中陰入	3
皮	mɔːk3	m	ɔːk	中陰入	3
幕	mɔːk3	m	ɔːk	中陰入	3
作	tɔːk3	t	ɔːk	中陰入	3
鵲	tɔːk3	t	ɔːk	中陰入	3
嚼	tɔːk3	t	ɔːk	中陰入	3
托	tʰɔːk3	tʰ	ɔːk	中陰入	3
託	tʰɔːk3	tʰ	ɔːk	中陰入	3
洛	lɔːk3	l	ɔːk	中陰入	3
駱	lɔːk3	l	ɔːk	中陰入	3
絡	lɔːk3	l	ɔːk	中陰入	3
烙	lɔːk3	l	ɔːk	中陰入	3
酪	lɔːk3	l	ɔːk	中陰入	3
桌	tʃɔːk3	tʃ	ɔːk	中陰入	3
捉	tʃɔːk3	tʃ	ɔːk	中陰入	3
戳	tʃʰɔːk3	tʃʰ	ɔːk	中陰入	3
索	ɬɔːk3	ɬ	ɔːk	中陰入	3
削	ɬɔːk3	ɬ	ɔːk	中陰入	3
國	kɔːk3	k	ɔːk	中陰入	3
各	kɔːk3	k	ɔːk	中陰入	3
角	kɔːk3	k	ɔːk	中陰入	3
閣	kɔːk3	k	ɔːk	中陰入	3
覺	kɔːk3	k	ɔːk	中陰入	3
腳	kɔːk3	k	ɔːk	中陰入	3
確	kʰɔːk3	kʰ	ɔːk	中陰入	3
郭	kʰɔːk3	kʰ	ɔːk	中陰入	3
卻	kʰɔːk3	kʰ	ɔːk	中陰入	3
殼	hɔːk3	h	ɔːk	中陰入	3
約	jɔːk3	j	ɔːk	中陰入	3
惡	øɔːk3	ø	ɔːk	中陰入	3
把	pa24	p	a	陰上24	
打	ta24	t	a	陰上24	
耍	ʃa24	ʃ	a	陰上24	
灑	ʃa24	ʃ	a	陰上24	
假	ka24	k	a	陰上24	
賈	ka24	k	a	陰上24	
寡	kwa24	kw	a	陰上24	
頗	pʰo24	pʰ	o	陰上24	
火	fo24	f	o	陰上24	
伙	fo24	f	o	陰上24	
左	to24	t	o	陰上24	
顆	lo24	l	o	陰上24	
裹	lo24	l	o	陰上24	
阻	tʃo24	tʃ	o	陰上24	
楚	tʃʰo24	tʃʰ	o	陰上24	
礎	tʃʰo24	tʃʰ	o	陰上24	
所	ʃo24	ʃ	o	陰上24	
果	ko24	k	o	陰上24	
棵	ko24	k	o	陰上24	
可	ho24	h	o	陰上24	
姊	tɛ24	t	ɛ	陰上24	
姐	tɛ24	t	ɛ	陰上24	
且	tʰɛ24	tʰ	ɛ	陰上24	
者	tʃɛ24	tʃ	ɛ	陰上24	
扯	tʃʰɛ24	tʃʰ	ɛ	陰上24	
捨	ʃɛ24	ʃ	ɛ	陰上24	
朵	tœ24	t	œ	陰上24	
躲	tœ24	t	œ	陰上24	
妥	tʰœ24	tʰ	œ	陰上24	
鎖	ɬœ24	ɬ	œ	陰上24	
瑣	ɬœ24	ɬ	œ	陰上24	
寫	ɬœ24	ɬ	œ	陰上24	
比	pi24	p	i	陰上24	
鄙	pʰi24	pʰ	i	陰上24	
彼	pʰi24	pʰ	i	陰上24	
匪	fi24	f	i	陰上24	
紫	ti24	t	i	陰上24	
子	ti24	t	i	陰上24	
此	tʰi24	tʰ	i	陰上24	
旨	tʃi24	tʃ	i	陰上24	
指	tʃi24	tʃ	i	陰上24	
止	tʃi24	tʃ	i	陰上24	
址	tʃi24	tʃ	i	陰上24	
只	tʃi24	tʃ	i	陰上24	
紙	tʃi24	tʃ	i	陰上24	
始	tʃʰi24	tʃʰ	i	陰上24	
齒	tʃʰi24	tʃʰ	i	陰上24	
恥	tʃʰi24	tʃʰ	i	陰上24	
史	ʃi24	ʃ	i	陰上24	
駛	ʃi24	ʃ	i	陰上24	
屎	ʃi24	ʃ	i	陰上24	
死	ɬi24	ɬ	i	陰上24	
己	ki24	k	i	陰上24	
幾	ki24	k	i	陰上24	
紀	ki24	k	i	陰上24	
喜	hi24	h	i	陰上24	
起	hi24	h	i	陰上24	
豈	hi24	h	i	陰上24	
倚	øi24	ø	i	陰上24	
椅	øi24	ø	i	陰上24	
補	pu24	p	u	陰上24	
輔	pʰu24	pʰ	u	陰上24	
普	pʰu24	pʰ	u	陰上24	
譜	pʰu24	pʰ	u	陰上24	
捕	pʰu24	pʰ	u	陰上24	
脯	pʰu24	pʰ	u	陰上24	
蒲	pʰu24	pʰ	u	陰上24	
苦	fu24	f	u	陰上24	
虎	fu24	f	u	陰上24	
府	fu24	f	u	陰上24	
腑	fu24	f	u	陰上24	
俯	fu24	f	u	陰上24	
甫	fu24	f	u	陰上24	
脯	fu24	f	u	陰上24	
斧	fu24	f	u	陰上24	
堵	tu24	t	u	陰上24	
賭	tu24	t	u	陰上24	
祖	tu24	t	u	陰上24	
組	tu24	t	u	陰上24	
土	tʰu24	tʰ	u	陰上24	
股	ku24	k	u	陰上24	
鼔	ku24	k	u	陰上24	
古	ku24	k	u	陰上24	
取	tʰy24	tʰ	y	陰上24	
煮	tʃy24	tʃ	y	陰上24	
主	tʃy24	tʃ	y	陰上24	
鼠	ʃy24	ʃ	y	陰上24	
黍	ʃy24	ʃ	y	陰上24	
暑	ʃy24	ʃ	y	陰上24	
擧	ky24	k	y	陰上24	
許	hy24	h	y	陰上24	
擺	pai24	p	ai	陰上24	
解	kai24	k	ai	陰上24	
拐	kwai24	kw	ai	陰上24	
底	tɐi24	t	ɐi	陰上24	
抵	tɐi24	t	ɐi	陰上24	
牴	tɐi24	t	ɐi	陰上24	
體	tʰɐi24	tʰ	ɐi	陰上24	
使	ʃɐi24	ʃ	ɐi	陰上24	
駛	ʃɐi24	ʃ	ɐi	陰上24	
又	ʃɐi24	ʃ	ɐi	陰上24	
洗	ɬɐi24	ɬ	ɐi	陰上24	
啟	kʰɐi24	kʰ	ɐi	陰上24	
鬼	kwɐi24	kw	ɐi	陰上24	
軌	kwɐi24	kw	ɐi	陰上24	
委	wɐi24	w	ɐi	陰上24	
毀	wɐi24	w	ɐi	陰上24	
偉	wɐi24	w	ɐi	陰上24	
矮	øɐi24	ø	ɐi	陰上24	
宰	tɔi24	t	ɔi	陰上24	
彩	tʰɔi24	tʰ	ɔi	陰上24	
採	tʰɔi24	tʰ	ɔi	陰上24	
睬	tʰɔi24	tʰ	ɔi	陰上24	
改	kɔi24	k	ɔi	陰上24	
海	hɔi24	h	ɔi	陰上24	
悔	fui24	f	ui	陰上24	
嘴	tui24	t	ui	陰上24	
腿	tʰui24	tʰ	ui	陰上24	
水	ʃui24	ʃ	ui	陰上24	
飽	pau24	p	au	陰上24	
跑	pʰau24	pʰ	au	陰上24	
走	tau24	t	au	陰上24	
糾	tʃau24	tʃ	au	陰上24	
找	tʃau24	tʃ	au	陰上24	
爪	tʃau24	tʃ	au	陰上24	
肘	tʃau24	tʃ	au	陰上24	
吵	tʃʰau24	tʃʰ	au	陰上24	
炒	tʃʰau24	tʃʰ	au	陰上24	
稍	ʃau24	ʃ	au	陰上24	
攪	kau24	k	au	陰上24	
絞	kau24	k	au	陰上24	
狡	kau24	k	au	陰上24	
搞	kau24	k	au	陰上24	
校	kau24	k	au	陰上24	
對	kau24	k	au	陰上24	
較	kau24	k	au	陰上24	
巧	hau24	h	au	陰上24	
考	hau24	h	au	陰上24	
保	pɐu24	p	ɐu	陰上24	
堡	pɐu24	p	ɐu	陰上24	
寶	pɐu24	p	ɐu	陰上24	
剖	pʰɐu24	pʰ	ɐu	陰上24	
否	fɐu24	f	ɐu	陰上24	
抖	tɐu24	t	ɐu	陰上24	
陡	tɐu24	t	ɐu	陰上24	
酒	tɐu24	t	ɐu	陰上24	
斗	tɐu24	t	ɐu	陰上24	
早	tɐu24	t	ɐu	陰上24	
棗	tɐu24	t	ɐu	陰上24	
倒	tɐu24	t	ɐu	陰上24	
島	tɐu24	t	ɐu	陰上24	
搗	tɐu24	t	ɐu	陰上24	
討	tʰɐu24	tʰ	ɐu	陰上24	
禱	tʰɐu24	tʰ	ɐu	陰上24	
草	tʰɐu24	tʰ	ɐu	陰上24	
紐	nɐu24	n	ɐu	陰上24	
扭	nɐu24	n	ɐu	陰上24	
摟	lɐu24	l	ɐu	陰上24	
久	tʃɐu24	tʃ	ɐu	陰上24	
韭	tʃɐu24	tʃ	ɐu	陰上24	
醜	tʃʰɐu24	tʃʰ	ɐu	陰上24	
丑	tʃʰɐu24	tʃʰ	ɐu	陰上24	
手	ʃɐu24	ʃ	ɐu	陰上24	
首	ʃɐu24	ʃ	ɐu	陰上24	
守	ʃɐu24	ʃ	ɐu	陰上24	
搜	ɬɐu24	ɬ	ɐu	陰上24	
嫂	ɬɐu24	ɬ	ɐu	陰上24	
韭	kɐu24	k	ɐu	陰上24	
狗	kɐu24	k	ɐu	陰上24	
茍	kɐu24	k	ɐu	陰上24	
九	kɐu24	k	ɐu	陰上24	
稿	kɐu24	k	ɐu	陰上24	
蒿	kɐu24	k	ɐu	陰上24	
久	kɐu24	k	ɐu	陰上24	
口	hɐu24	h	ɐu	陰上24	
好	hɐu24	h	ɐu	陰上24	
朽	jɐu24	j	ɐu	陰上24	
襖	øɐu24	ø	ɐu	陰上24	
表	piu24	p	iu	陰上24	
剿	tiu24	t	iu	陰上24	
少	ʃiu24	ʃ	iu	陰上24	
小	ɬiu24	ɬ	iu	陰上24	
矯	kiu24	k	iu	陰上24	
繳	kiu24	k	iu	陰上24	
曉	hiu24	h	iu	陰上24	
繞	ȵiu24	ȵ	iu	陰上24	
擾	ȵiu24	ȵ	iu	陰上24	
舀	jiu24	j	iu	陰上24	
膽	tam24	t	am	陰上24	
慘	tʰam24	tʰ	am	陰上24	
覽	lam24	l	am	陰上24	
攬	lam24	l	am	陰上24	
斬	tʃam24	tʃ	am	陰上24	
減	kam24	k	am	陰上24	
寢	tʰɐm24	tʰ	ɐm	陰上24	
枕	tʃɐm24	tʃ	ɐm	陰上24	
嬸	ʃɐm24	ʃ	ɐm	陰上24	
審	ʃɐm24	ʃ	ɐm	陰上24	
沈	ʃɐm24	ʃ	ɐm	陰上24	
錦	kɐm24	k	ɐm	陰上24	
感	kɔm24	k	ɔm	陰上24	
敢	kɔm24	k	ɔm	陰上24	
坎	hɔm24	h	ɔm	陰上24	
砍	hɔm24	h	ɔm	陰上24	
點	tim24	t	im	陰上24	
陜	ʃim24	ʃ	im	陰上24	
檢	kim24	k	im	陰上24	
堿	kim24	k	im	陰上24	
又	kim24	k	im	陰上24	
險	him24	h	im	陰上24	
淹	øim24	ø	im	陰上24	
掩	øim24	ø	im	陰上24	
板	pan24	p	an	陰上24	
版	pan24	p	an	陰上24	
反	fan24	f	an	陰上24	
毯	tʰan24	tʰ	an	陰上24	
坦	tʰan24	tʰ	an	陰上24	
盞	tʃan24	tʃ	an	陰上24	
鏟	tʃʰan24	tʃʰ	an	陰上24	
產	tʃʰan24	tʃʰ	an	陰上24	
碱	kan24	k	an	陰上24	
簡	kan24	k	an	陰上24	
柬	kan24	k	an	陰上24	
揀	kan24	k	an	陰上24	
繭	kan24	k	an	陰上24	
澗	kan24	k	an	陰上24	
挽	wan24	w	an	陰上24	
玩	wan24	w	an	陰上24	
品	pʰɐn24	pʰ	ɐn	陰上24	
粉	fɐn24	f	ɐn	陰上24	
頓	tɐn24	t	ɐn	陰上24	
准	tʃɐn24	tʃ	ɐn	陰上24	
僅	tʃɐn24	tʃ	ɐn	陰上24	
蠢	tʃʰɐn24	tʃʰ	ɐn	陰上24	
診	tʃʰɐn24	tʃʰ	ɐn	陰上24	
