漢字	注釋	周城	金華	洛本卓	營盤	共興	大華
天	天	xe¹	xĩ¹	xĩ¹	xᴇ¹	xẽ¹	xĩ¹
日	太陽	ȵe⁷	jĩ⁷	ȵi⁷	ȵi⁷	ȵi⁷	ȵi⁷
景	亮光；影子	kɛ³	kɛ̃³	qã³	qɛ³	qɛ̃³	qõ³
月	月亮	ua⁷	ŋua⁷		ua⁷	uã⁷	
星	星星	ɕɛ¹	ɕɛ̃¹	ɕã¹	ɕɛ¹	ʂɛ̃¹	ɕõ¹
雲	雲	vu²	ŋv²		ʁɛ²	ʁɛ²	jɛ²
□	風		si¹				
風	風	pi¹	pi¹	tɕui¹	tsuᴇ¹	tɕuĩ¹	pi¹
雨	雨	vu⁴	vu⁴	dʑɛ⁴	zɿ⁴	ʐɿ⁴	ʐɿ⁴
虹	彩虹	ko⁵	kõ⁵		qø⁵		
雪	雪	sui⁷	sui⁷	suɛ⁷	suᴇ⁷	sui⁷	sʰue⁷
霜	霜	sou¹	sõ¹	ɕõ¹	ɕø¹	ʂõ¹	ɕʰõ¹
露	露	ko⁵	kõ⁵	kõ⁵	kø⁵	ka⁵	ko⁵
霧	霧		mɯ²	mɯ̃²	mɯ²	mu²	
火	火	xui³	xui³	fĩ¹	xui³	xue³	ɕui³
氣	空氣；氣息；氣力；生氣；志氣		tɕʰi⁷				
地	大地；田地	tɕi⁶	tɕi⁶	dʑi⁶	dʑi⁶	dʑi⁶	dʑĩ⁶
□	山		ɣo²				
□	山	sv⁵	sv⁵		ɕø⁵	ʂo⁵	
□	坡	po²	po²	pɔ⁴	bø⁴	bõ⁴	bo⁴
□	山谷		kõ⁵				
□	山谷	tsou²	tsõ²	ʈõ²	tiø²	dʐõ²	
岩	石頭		ŋɛ²	ã²	ȵɛ²		
江	江	kv¹	kṽ¹	qõ¹	qø¹	qṽ¹	qõ¹
湖	湖	ko²	ko²	qo²	qo²	qo²	ko²
□	潭；池塘	pɯ⁴	pɯ⁴	bɯ⁴	bɯ⁴		pɯ̃⁴
□	溝		kʰo¹	kʰu¹	kʰø¹	kʰo¹	kʰõ¹
井	水井；形狀像水井的	tɕɛ³	tɕɛ̃³		tɕɛ³	tʂɛ̃³	
道	路	tʰu³	tʰu³	ʈʰu³	tʰiu³	tʰiu³	tʰv³
石	石頭	tso⁸	tso⁸	ʈõ⁸	tiu⁸	dʐu⁸	do⁸
沙	沙子	so¹	so¹	ɕo¹	ɕo¹	ʂo¹	ɕõ¹
泥	泥土	ne²	ni²	ne²	nɛ²		nõ²
水	水	ɕui³	ɕui³	ɕui³	ɕui³	ɕui³	ɕui³
羣	羣	kv²	kv²	tʂɛ̃²	tsɿ²	tʂɿ²	
金	金子	tɕe¹	tɕĩ¹	tɕĩ¹	tɕi¹	tɕĩ¹	tɕi¹
銀	銀子	ȵi²	jĩ²	ȵi²	ȵi²	ȵi²	ȵi²
銅	銅	tɯ²	tṽ⁴		tu²		ti²
金	銅	kɛ³	kɛ̃³	qõ³		qɛ̃³	
𪉱	鹽	pi¹	pĩ¹	tsuẽ¹	tsuɛ¹	tɕuĩ¹	tsuẽ¹
□	灰	su¹	su¹		ɕu¹	ɕu¹	su¹
邑	村寨	jɯ⁷	jɯ⁷	jɯ⁷	jɯ⁷	jou⁷	ʐɿ⁷
橋	橋	ku²	ku²	ku²	ku²	ɡu²	
身	身體	tsʰi¹	tsʰɛ̃¹	tɕʰi¹	tsʰɿ¹	tsʰi¹	tʂʰʅ¹
頭	頭；頭兒，首領；隻	tɯ²	tɯ²	ʈɯ²	tiɯ²	ti²	tɕɯ²
□	鬃毛	ɕa⁷	ɕa⁷	ɕa⁷	ɕa⁷	ɕa⁷	
