#ɿ
ʦ[1]脂[2]糍祠[3]姊[6]字治
ʦʰ[3]紫[5]刺赐次
s[1]撕私师狮蛳司丝思思[3]死[5]四肆厠[6]饲事

#i
p[1]碑[2]皮脾琵枇匹[3]比[4]被[6]别
pʰ[1]披[5]屁
m[2]迷密[4]尾抿
f[1]飞[2]肥[5]痱
t[1]猪朱硃知[4]柱[6]箸住地
n[4]女
l[2]离璃离梨厘疑[4]吕旅你李里里理鲤[6]滤厉利痢泪
ʧ[1]支枝[3]煮主乳纸只指趾[5]蛀翅痣
ʧʰ[1]蛆[3]取娶齿[5]趣
ʃ[1]书舒须输尸[2]薯匙[3]鼠许屎喜[4]竖舌[5]系[6]树豉折失
k[1]车饥基几机[2]骑其棋旗[3]己杞几[5]锯句计继寄记季[6]吉
kʰ[3]起[5]器气汽
ŋ[4]耳
x[1]虚嬉稀[5]戏
∅[1]医衣依[2]移姨[3]椅已以[4]雨玉[6]芋易二贰乙

#u
p[1]巴[2]婆[3]补[5]布[6]部步菢薄
pʰ[1]铺{～开}[3]谱普浦[5]铺{店～}
f[1]夫敷麸[2]湖壶乎胡扶浮[3]火虎府俯斧抚[4]妇[5]戽富副[6]负
t[2]徒
l[2]炉[4]鲁橹卤
k[1]锅姑[3]古估盬股鼓[5]过雇顾
kʰ[1]窠枯[3]苦[5]库裤
∅[1]乌污[2]禾梧[4]武舞[6]吴悟雾

#a
p[5]倍辈背臂[6]背壁
pʰ[5]配[6]劈
m[6]妹觅
f[6]汇会会惠慧汇{～钱}
t[5]戴贷代袋带
tʰ[1]胎[5]太泰[6]踢
n[3]奶[6]耐
l[6]肋力历
ʦ[4]在[5]再鲫[6]疾瞪值织脊
ʦʰ[1]猜[5]菜[6]赤尺戚
s[3]使[6]惜席锡
k[1]该[3]改解解[5]盖芥戒械
kʰ[1]开
ŋ[6]捱
x[2]还{～有}[3]海[6]害
∅[5]爱

#ua
t[1]堆[5]对碓队兑
tʰ[1]推[3]腿[5]退
n[6]内
ʦ[1]追[3]嘴[5]缀醉锥[6]罪赘
ʦʰ[1]吹
s[1]鳃[3]水[5]碎税[6]睡
k[1]龟归[3]诡轨鬼[5]鳜桂贵[6]跪柜骨
kʰ[1]亏
∅[5]餧[6]外爲位味[6]累

#ɑ
p[1]包[3]饱[4]刨雹[5]豹爆[6]刨剥北百伯白卜
pʰ[1]抛[5]泡炮泡[6]拍
m[2]猫[6]墨麦脉
t[3]斗抖陡逗[6]豆痘得德
tʰ[1]偷[5]透
n[6]闹
l[2]捞楼[6]漏勒
ʦ[3]爪走[6]贼侧摘
ʦʰ[1]抄钞超[3]炒[5]糙凑[6]撤拆㿭
s[3]数[5]数潲嗽[6]虱塞色
k[1]膏交胶教勾钩沟[3]搞狗苟[5]校窖觉够[6]角格隔
kʰ[1]敲抠[3]考口[5]扣[6]壳刻克客
ŋ[4]咬藕[6]额
x[2]喉猴[4]厚[5]孝[6]后候黑吓
∅[5]沤怄

#uɑ
f[6]划
k[6]括
kʰ[6]阔
∅[6]轭

#ɤ
p[4]鼻笔[6]柏
m[4]蜜
t[2]头
tʰ[1]他
l[4]栗[5]乐[6]立笠粒
ʦ[5]做[6]蛰侄
ʦʰ[6]七漆出
s[6]时湿十悉膝实

#uɤ
p[2]排牌簰[3]摆[5]拜[6]败
m[2]埋[4]迈[6]买卖
f[1]花[2]槐[6]华华{～山}鞋坏话法滑发罚
t[6]大
l[6]癞
ʦ[1]差[2]柴[5]债罩[6]寨
ʦʰ[3]采
s[1]筛[5]晒[6]刷
k[1]瓜街[3]寡[5]界怪挂卦褂[6]割刮
kʰ[5]块块快
ŋ[4]瓦
∅[4]哕[6]挖

#e
p[4]扁[5]闭
pʰ[1]坯丕
m[4]米谜
f[1]灰[5]肺
t[1]低[2]蹄啼[3]底抵[4]弟笛[5]帝滴[6]直
tʰ[1]梯[3]体[5]替涕剃[6]剔
n[2]泥[6]腻
l[2]犂黎篱尼[4]礼
ʦ[2]齐脐[3]挤[4]荠[6]蓆
ʦʰ[5]砌脆
s[1]西犀[3]洗[5]细世岁[6]食石
k[1]鸡

#ie
p[1]彪[2]薸瓢嫖[3]表
pʰ[5]票漂
m[2]苗描[3]秒[4]没[6]庙
t[1]朝[2]条调调[3]鸟[5]钓吊[6]掉着{～衣裳}着{～力}
tʰ[5]跳跳
n[6]尿
l[2]撩[6]料
ʧ[1]遮焦蕉椒招[5]借蔗照[6]噍嚼
ʧʰ[1]车锹[3]且
ʃ[1]赊消宵硝烧[2]蛇[3]写少[4]社[5]笑肖[6]薛削射
k[2]茄桥荞[3]绞搅[5]叫[6]轿急及杰脚觉
kʰ[6]吃
ŋ[6]日
∅[4]也叶[6]页入揖噎越一

#o
p[1]芭疤[2]琶杷钯[5]坝[6]八
