#ɿ
ts　[1]之资兹脂[3]紫子姊止滓[5]制智至致置
tsʰ　[1]雌疵疾嗤[2]池瓷慈辞持[3]此侈[5]刺次伺[6]自字寺饲祀痔治
s　[1]斯私施师尸司诗[3]死矢史始[5]四世[6]誓示祝士柿事市恃侍

#i
p　[1]蓖[3]比彼[5]闭蔽泌
pʰ　[1]批披[2]皮琵[5]譬屁庇痹[6]被避备币陛鐾{~刀布}
m　[1]谜[2]迷弥[3]米尾[6]媚
f　[1]灰恢麾飞挥虚[2]肥[3]水毁匪许[5]费废肺税[6]吠惠汇睡
t　[1]低堤[2]犁离厘[3]底礼李里旅[5]虑[6]例厉丽利隶吏泪荔
tʰ　[1]梯吹[2]提啼[3]体[5]替涕[6]第弟地
tɕ　[1]鸡饥基几{~乎}[3]几{~个}己挤嘴姐{下~}[6]祭济记既醉季计寄冀
tɕʰ　[1]蛆妻欺溪趋[2]齐奇伊岐祁其祈瞿[3]企起岂启取[5]契气弃器趣[6]剂徛技忌聚
ȵ　[2]泥宜尼倪疑[3]你蚁拟[6]义艺毅腻
ɕ　[1]西牺嬉希虽须[2]徐[3]喜洗[5]细岁婿戏怨[6]序系
Ø　[1]衣医[2]夷移[3]椅已矣以[5]易{难~}意亿肄缢[6]异

#u
p　[3]补[5]布怖
pʰ　[1]铺{~设}[2]蒲脯{胸~}[3]普谱浦捕[5]铺{店~}[6]部步簿
m　[2]模摹[3]母亩[6]募
f　[1]呼戽夫俘敷孵[2]胡狐壶符扶[3]虎浒府脯{果~}抚殕腐辅[5]付赴副富[6]户互釜附妇负
t　[1]都猪诸朱株周[3]赌肚{猪~}煮主[5]妬著注
tʰ　[1]枢[2]徒除厨[3]土处{相~}[5]兔处{~所}[6]度肚{腹~}柱住
n　[2]奴[3]努[2]怒
l　[2]卢庐如儒[3]鲁乳[6]路
ts　[1]租[3]祖帚[5]昼咒
tsʰ　[1]粗初抽[2]锄绸仇[3]楚丑[5]醋臭[6]助纣宙
s　[1]苏梳书输收[2]殊[3]暑数{动词}手[5]素庶数{名词}[6]署树竖受寿
k　[1]姑[3]古[5]故
kʰ　[1]枯箍[3]苦[5]库
Ø　[1]乌[2]吴无[3]午武[5]务恶{可~}[6]误雾戊

#y
tɕ　[1]拘[3]矩[5]句
tɕʰ　[1]趋[2]锄
ȵ　[2]渔[3]女语[2]遇
k　[1]居车{~马炮}[3]举
kʰ　[1]区[2]聚
Ø　[1]于迂[2]余{姓}愚娱愉[3]雨与[6]预芋裕御

#a
p　[1]巴[3]把[5]霸爸
pʰ　[2]爬杷耙[5]怕[6]罢
m　[1]妈[2]麻蟆{虾~}[3]马[6]骂
f　[1]花[2]华划{~船}[5]化[6]话画
t　[1]遮[3]者打[5]蔗
tʰ　[1]车{火~}他
n　[2]拿[6]那
l　[1]拉
ts　[1]渣抓[5]炸
tsʰ　[1]叉差{和~}[2]茶
s　[1]沙奢赊杉[2]蛇佘[3]洒耍傻舍{~弃}[5]厦舍{房~}赦晒[6]射
k　[1]家痂佳[3]假{真~，放~}贾
kʰ　[1]揢{扼}
ŋ　[1]鸦[2]牙[3]雅哑[5]亚
x　[1]暇[2]霞虾{~蟆}[6]下夏厦{~门}

#ia
t　[1]爹
tɕ　[3]姐[5]借
tɕʰ　[2]茄[3]且[6]谢斜
ɕ　[3]写[5]泻
Ø　[2]爷[3]野[6]夜

#ua
k　[1]瓜[3]寡[5]挂
kʰ　[1]夸[3]垮[5]跨
Ø　[1]蛙[3]瓦[6]话

#æ
t　[1]知支[3]纸指[5]志痣
tʰ　[2]池迟[3]齿耻[5]翅[6]稚
s　[1]施筛尸[2]时[3]屎[5]试世[6]是
Ø　[2]儿[3]耳[6]二

#iæ
tɕ　[3]姐
tɕʰ　[2]𠍲{他}[5]去
ȵ　[2]鱼余{剩~}[3]惹
k　[5]锯
kʰ　[2]𠍲[5]去{青云音}

#o
