"單字"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"注释"
"菊"	"見"	"開"	"三"	"東"	"入"	"見"	"通"	"g"	"uk"	1	
"哭"	"溪"	"開"	"一"	"東"	"入"	"見"	"通"	"h"	"uk"	1	
"麴"	"溪"	"開"	"三"	"東"	"入"	"見"	"通"	"h"	"uk"	1	
"蓄"	"曉"	"開"	"三"	"東"	"入"	"影"	"通"	"c"	"uk"	1	
"斛"	"匣"	"開"	"一"	"東"	"入"	"影"	"通"	"f"	"u"	4	
"斛"	"匣"	"開"	"一"	"東"	"入"	"影"	"通"	"f"	"uk"	6	
"斛"	"匣"	"開"	"一"	"東"	"入"	"影"	"通"	"h"	"uk"	6	
"屋"	"影"	"開"	"一"	"東"	"入"	"影"	"通"		"uk"	1	
"郁"	"影"	"開"	"三"	"東"	"入"	"影"	"通"	"j"	"uk"	1	
"粥"	"以"	"開"	"三"	"東"	"入"	"以"	"通"	"z"	"uk"	1	
"鬻"	"以"	"開"	"三"	"東"	"入"	"以"	"通"	"z"	"uk"	1	
"育"	"以"	"開"	"三"	"東"	"入"	"以"	"通"	"j"	"uk"	6	
"昱"	"以"	"開"	"三"	"東"	"入"	"以"	"通"	"j"	"uk"	1	
"蹼"	"幫"	"開"	"一"	"東"	"入"	"幫"	"通"	"bb"	"uk"	1	
"卜"	"幫"	"開"	"一"	"東"	"入"	"幫"	"通"	"bb"	"uk"	1	"又baat6"
"腹"	"幫"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	1	
"蝠"	"幫"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	1	
"福"	"幫"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	1	
"幅"	"幫"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	1	
"僕"	"並"	"開"	"一"	"東"	"入"	"幫"	"通"	"b"	"uk"	6	"上江bbuk6"
"服"	"並"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	6	
"匐"	"並"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	6	
"馥"	"並"	"合"	"三"	"東"	"入"	"幫"	"通"	"f"	"uk"	6	
"木"	"明"	"開"	"一"	"東"	"入"	"幫"	"通"	"m"	"uk"	6	
"沐"	"明"	"開"	"一"	"東"	"入"	"幫"	"通"	"m"	"uk"	6	
"睦"	"明"	"合"	"三"	"東"	"入"	"幫"	"通"	"m"	"uk"	6	
"穆"	"明"	"合"	"三"	"東"	"入"	"幫"	"通"	"m"	"uk"	6	
"目"	"明"	"合"	"三"	"東"	"入"	"幫"	"通"	"m"	"uk"	6	
"牧"	"明"	"合"	"三"	"東"	"入"	"幫"	"通"	"m"	"uk"	6	
"撲"	"滂"	"開"	"一"	"東"	"入"	"幫"	"通"	"bb"	"ok"	1	"打耳光"
"撲"	"滂"	"開"	"一"	"東"	"入"	"幫"	"通"	"p"	"ok"	6	"打耳光"
"撲"	"滂"	"開"	"一"	"東"	"入"	"幫"	"通"	"p"	"uk"	1	
"撲"	"滂"	"開"	"一"	"東"	"入"	"幫"	"通"	"p"	"e"	2	
"撲"	"滂"	"開"	"一"	"東"	"入"	"幫"	"通"	"p"	"ok"	5	
"冬"	"端"	"合"	"一"	"冬"	"平"	"端"	"通"	"dd"	"ung"	1	
"疼"	"定"	"合"	"一"	"冬"	"平"	"端"	"通"	"t"	"ung"	3	
"彤"	"定"	"合"	"一"	"冬"	"平"	"端"	"通"	"d"	"ung"	4	"上江tung4"
"鼕"	"定"	"合"	"一"	"冬"	"平"	"端"	"通"	"d"	"ung"	4	"上江tung4"
"農"	"泥"	"合"	"一"	"冬"	"平"	"端"	"通"	"n"	"ung"	4	
"膿"	"泥"	"合"	"一"	"冬"	"平"	"端"	"通"	"n"	"ung"	4	
"宗"	"精"	"合"	"一"	"冬"	"平"	"精"	"通"	"d"	"ung"	1	
"淙"	"從"	"合"	"一"	"冬"	"平"	"精"	"通"	"d"	"ung"	1	
"鬃"	"從"	"合"	"一"	"冬"	"平"	"精"	"通"	"d"	"ung"	1	
"鬆"	"心"	"合"	"一"	"冬"	"平"	"精"	"通"	"sl"	"ung"	2	
"鬆"	"心"	"合"	"一"	"冬"	"平"	"精"	"通"	"t"	"ung"	4	
"統"	"透"	"合"	"一"	"冬"	"去"	"端"	"通"	"t"	"ung"	2	
"綜"	"精"	"合"	"一"	"冬"	"去"	"精"	"通"	"d"	"ung"	1	
"宋"	"心"	"合"	"一"	"冬"	"去"	"精"	"通"	"sl"	"ung"	3	
"篤"	"端"	"合"	"一"	"冬"	"入"	"端"	"通"	"dd"	"uk"	1	
"督"	"端"	"合"	"一"	"冬"	"入"	"端"	"通"	"dd"	"uk"	1	
